科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付给职工以及为职工支付的现金,"4,702,835,663.06","5,200,207,980.68","5,553,733,708.68",,"2,306,985,239.23","3,339,677,119.00","5,738,978,696.89","1,183,964,028.97","2,288,481,036.22","3,751,156,244.31","5,669,795,440.62","1,212,475,955.02"
取得借款收到的现金,"8,546,946,072.57","14,074,872,255.47","14,801,707,576.44",,"7,411,563,780.00","12,957,207,878.00","16,809,575,832.49","5,246,868,590.00","8,690,504,806.45","12,962,456,214.14","17,234,592,741.57","4,187,216,563.65"
支付的各项税费,"1,229,829,181.26","1,481,509,060.82","1,497,636,073.50",,"944,364,320.93","1,076,131,512.50","1,758,153,427.37","293,736,552.09","697,570,585.72","937,786,702.17","1,339,333,900.16","418,921,836.50"
收到其他与筹资活动有关的现金,"12,840,000.00","17,590,000.00","1,312,490,000.00",,"331,640,000.00","354,643,457.73","854,640,000.00",,,,"1,047,000,000.00","20,000,000.00"
支付其他与经营活动有关的现金,"3,167,052,222.59","3,630,254,084.62","2,558,229,738.34",,"1,574,299,091.92","2,852,915,790.60","3,673,039,454.05","1,458,597,944.66","1,864,912,525.37","3,251,407,972.42","4,678,080,663.77","2,263,802,472.05"
筹资活动现金流入小计,"8,726,686,072.57","14,106,871,987.77","16,239,752,886.55",,"9,602,439,480.00","15,184,712,036.00","19,562,076,532.49","5,255,868,590.00","8,761,914,906.02","13,114,766,313.71","18,634,062,680.36","4,214,279,063.65"
经营活动现金流出小计,"35,136,522,310.09","34,573,495,361.23","33,421,369,482.55",,"19,205,571,530.90","27,709,424,461.00","40,394,130,390.79","12,372,609,900.73","20,477,189,475.41","30,293,320,686.37","41,679,324,492.49","15,988,285,756.87"
偿还债务支付的现金,"8,654,283,054.45","9,118,931,290.00","11,310,305,717.87",,"6,071,945,240.65","10,188,190,229.00","16,600,544,495.55","2,468,950,966.45","5,601,275,616.45","9,968,929,812.45","15,251,574,616.45","1,712,000,000.00"
经营活动产生的现金流量净额,"-779,286,819.02","-2,531,116,909.47","676,680,003.71","-4,428,881,000.00","-4,925,174,475.49","-522,853,543.94","-2,731,020,815.65","-3,324,220,501.42","-2,939,562,285.14","-1,831,812,588.85","2,372,169,918.60","-3,738,050,714.21"
分配股利、利润或偿还利息支付的现金,"342,323,343.38","454,797,022.25","928,613,731.33",,"264,967,812.45","467,580,745.50","737,120,665.29","164,250,281.49","397,059,817.91","757,387,893.99","1,015,645,500.27","200,743,503.97"
收回投资收到的现金,"3,868,144.83","218,889,206.89","1,631,747,190.52",,"621,070,206.20","888,882,362.20","1,425,957,744.15","166,465,367.00","1,812,210,050.24","2,068,388,436.24","2,422,331,582.16","487,149,900.00"
支付其他与筹资活动有关的现金,"2,683.54",,"1,550,000.00",,,,"120,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","301,418,318.50",
取得投资收益收到的现金,"54,594,353.16","63,068,235.78","14,424,788.60",,"1,430,484.37","14,514,514.02","17,422,102.74","426,945.41","2,564,315.83","9,586,952.82","14,195,590.51","43,967.41"
筹资活动现金流出小计,"8,996,609,081.37","9,573,728,312.25","12,240,469,449.20",,"6,336,913,053.10","10,655,770,975.00","17,457,665,160.84","2,933,201,247.94","6,298,335,434.36","11,026,317,706.44","16,568,638,435.22","1,912,743,503.97"
处置固定资产、无形资产和其他长期资产收回的现金净额,"37,705,959.61","26,483,024.99","101,425,216.53",,"124,101.35","26,567,630.03","36,446,644.06","857,837.69","1,593,330.15","2,316,661.32","5,463,822.76","4,933,064.71"
筹资活动产生的现金流量净额,"-269,923,008.80","4,533,143,675.52","3,999,283,437.35","1,196,410,300.00","3,265,526,426.90","4,528,941,061.10","2,104,411,371.65","2,322,667,342.06","2,463,579,471.66","2,088,448,607.27","2,065,424,245.14","2,301,535,559.68"
处置子公司及其他营业单位收到的现金净额,"3,044,174.74","140,605,459.81",,,,,,,,,,
四、汇率变动对现金的影响,"-21,823,509.02","2,698,856.56","-13,642,807.50",,"2,776,300.27","4,612,089.28","22,112,730.57","-706,982.22","-4,170,098.05","-1,854,598.82","-41,281,723.01","-26,909,601.91"
收到其他与投资活动有关的现金,,,,,"38,689,027.82","45,352,344.50","52,414,573.46","6,040,544.46","12,119,638.92","18,227,989.50","25,031,068.98","4,036,674.54"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"99,212,632.34","449,045,927.47","1,747,597,195.65",,"661,313,819.74","975,316,850.75","1,532,241,064.41","173,790,694.56","1,828,487,335.14","2,098,520,039.88","2,467,022,064.41","496,163,606.66"
五、现金及现金等价物净增加额,"-1,931,699,316.94","1,030,808,677.34","4,095,657,073.44",,"-2,264,164,631.33","3,137,648,548.80","-1,977,637,146.80","-1,438,121,135.26","243,704,396.63","669,816,382.66","1,697,742,695.32","-2,172,304,727.81"
购建固定资产、无形资产和其他长期资产支付的现金,"356,347,306.92","357,065,401.79","328,673,772.20",,"139,744,571.52","188,068,191.64","363,789,920.95","42,886,863.39","106,944,428.61","419,030,582.61","1,268,209,212.61","450,434,819.71"
期初现金及现金等价物余额,"4,518,170,962.69","2,586,471,645.75","3,617,280,323.09",,"7,712,937,396.53","7,712,937,396.50","7,712,937,396.53","5,735,300,249.73","5,735,300,249.73","5,735,300,249.73","5,735,300,249.73","7,433,042,945.05"
投资支付的现金,"603,531,305.52","1,056,279,454.66","1,862,783,941.90",,"1,043,093,650.26","1,566,799,716.80","2,170,765,618.87","566,324,840.50","995,439,027.34","1,260,159,128.83","3,673,579,614.81","726,402,982.09"
期末现金及现金等价物余额,"2,586,471,645.75","3,617,280,323.09","7,712,937,396.53",,"5,448,772,765.20","10,850,585,945.00","5,735,300,249.73","4,297,179,114.47","5,979,004,646.36","6,405,116,632.39","7,433,042,945.05","5,260,738,217.24"
