科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月
支付给职工以及为职工支付的现金,"66,568,620.11","128,851,993.45","198,916,190.85","298,885,196.00","79,055,955.01","159,863,963.18","241,798,493.38","341,553,538.58","82,393,823.41","166,354,541.70","240,283,065.55"
取得借款收到的现金,"39,000,000.00","71,000,000.00","104,500,000.00","232,533,648.00","82,466,352.00","169,966,352.00","203,966,352.00","256,466,352.00","131,500,000.00","172,500,000.00","236,000,000.00"
支付的各项税费,"46,500,046.83","102,081,115.63","156,144,500.71","203,834,709.91","58,750,572.94","135,796,204.91","200,876,898.99","257,785,142.26","64,021,022.33","140,514,015.12","215,765,148.80"
收到其他与筹资活动有关的现金,"274,266.53",,,,,,,,,,
支付其他与经营活动有关的现金,"98,370,998.20","188,042,006.81","288,261,693.76","332,246,096.43","87,352,512.11","166,946,835.64","228,012,289.09","355,275,075.97","109,074,827.97","190,992,701.14","342,509,210.14"
筹资活动现金流入小计,"68,164,666.53","99,890,400.00","133,390,400.00","261,424,048.00","82,466,352.00","169,966,352.00","203,966,352.00","256,466,352.00","131,500,000.00","172,500,000.00","334,825,673.07"
经营活动现金流出小计,"755,842,795.61","1,528,251,357.01","2,289,772,537.23","3,135,608,056.89","802,110,274.67","1,655,528,910.70","2,459,413,210.91","3,282,396,653.68","815,179,288.64","1,676,684,658.39","2,650,036,039.11"
偿还债务支付的现金,"72,050,000.00","91,050,000.00","138,550,000.00","254,493,600.00","78,340,000.00","157,873,648.00","193,340,000.00","269,040,000.00","93,500,000.00","211,500,000.00","265,500,000.00"
经营活动产生的现金流量净额,"-28,617,279.96","22,397,491.57","72,350,558.31","180,731,089.57","38,430,053.01","132,207,693.02","235,297,722.76","311,216,100.30","70,109,901.90","146,828,211.13","243,394,891.71"
分配股利、利润或偿还利息支付的现金,"10,349,653.41","19,076,725.08","57,492,378.03","85,823,864.72","10,098,861.15","17,495,333.71","50,811,576.43","88,448,198.95","14,613,081.34","62,529,832.34","88,280,912.27"
收回投资收到的现金,"5,941,962.63","31,139,965.54","44,953,246.24","72,691,690.74","15,981,298.05","21,577,655.33","23,162,254.97","25,492,145.20","1,070,850,596.65","1,871,396.65","3,799,182.44"
支付其他与筹资活动有关的现金,"21,650,000.00","21,650,000.00","21,650,000.00","24,333,667.66","1,120,000.00","1,120,000.00","1,120,000.00","2,134,863.21",,"191,951.89","191,951.89"
取得投资收益收到的现金,"3,995,086.69","5,757,191.63","19,210,486.42","29,005,585.26",,"5,600,000.00","23,805,153.64","41,363,273.22",,"2,007,344.65","2,480,529.81"
筹资活动现金流出小计,"104,049,653.41","131,776,725.08","217,692,378.03","364,651,132.38","89,558,861.15","176,488,981.71","245,271,576.43","359,623,062.16","108,113,081.34","274,221,784.23","353,972,864.16"
处置固定资产、无形资产和其他长期资产收回的现金净额,"7,536,474.50","17,038,034.96","25,837,625.12","36,446,171.30","29,458,221.77","39,636,653.87","56,374,024.84","57,924,287.67","3,261,298.00","32,988,325.72","32,889,178.39"
筹资活动产生的现金流量净额,"-35,884,986.88","-31,886,325.08","-84,301,978.03","-103,227,084.38","-7,092,509.15","-6,522,629.71","-41,305,224.43","-103,156,710.16","23,386,918.66","-101,721,784.23","-19,147,191.09"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,"909,909,368.52","822,949,045.80"
四、汇率变动对现金的影响,"-870,144.62","-1,865,049.60","-1,487,769.08","-3,512,016.61","-3,133,028.38","-4,929,747.99","-5,108,462.93","-5,462,913.31","12,081.38","-85,799.83","-56,698.71"
收到其他与投资活动有关的现金,"86,109.07",,,,,,,"1,351,257.52",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"17,559,632.89","53,935,192.13","90,001,357.78","138,143,447.30","45,439,519.82","66,814,309.20","103,341,433.45","126,130,963.61","1,074,111,894.65","946,776,435.54","862,117,936.44"
五、现金及现金等价物净增加额,"-98,246,170.35","-58,667,154.24","-64,845,317.84","32,218,842.91","55,837,455.46","118,621,873.78","189,773,851.03","205,812,113.27","1,019,118,116.51","944,867,379.07","1,003,244,990.35"
购建固定资产、无形资产和其他长期资产支付的现金,"31,711,036.85","54,582,651.73","83,985,009.81","102,392,018.38","11,000,144.84","32,066,543.60","65,182,826.86","76,625,843.64","20,013,836.09","46,929,683.54","74,827,308.00"
期初现金及现金等价物余额,"525,406,971.10","525,406,971.10","525,406,971.10","525,406,971.10","557,625,814.01","557,625,814.01","557,625,814.01","557,625,814.01","763,437,927.28","763,437,927.28","763,437,927.28"
投资支付的现金,"18,215,952.98","46,665,811.53","57,422,477.01","77,524,574.59","6,806,435.00","36,881,207.14","37,268,790.96","34,713,190.82",,,"8,236,640.00"
期末现金及现金等价物余额,"427,160,800.75","466,739,816.86","460,561,653.26","557,625,814.01","613,463,269.47","676,247,687.79","747,399,665.04","763,437,927.28","1,782,556,043.79","1,708,305,306.35","1,766,682,917.63"
