科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收回投资收到的现金,,"13,731,474.00","22,063,713.69","17,779,643.76","6,470,000.00","6,970,000.00",,"148,307.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,999,362.62",,,"10,050,000.00","9,727,925.62",
支付其他与筹资活动有关的现金,"165,334.21",,,,"500,000.00",,,,,,,"130,000,000.00",,,,"203,800,000.00",,,,"84,400,000.00",,,,"36,672,338.72",,"40,000,000.00","46,694,000.00","227,542,000.00",,"7,950,480.00","7,950,480.00","386,120,000.00","1,875,000.00","27,301,150.64","133,415,405.65","398,406,978.01","60,000,000.00","107,000,000.00","158,324,959.20","385,884,458.22","33,355,219.29","73,998,005.48","187,326,572.14","1,084,409,994.28","253,438,723.98","805,783,271.72","1,052,427,431.20","1,064,733,893.63","325,349,826.52"
取得投资收益收到的现金,,,,"540,170.06",,,"6,970,000.00",,"202,957.32","463,786.06","478,163.06","802,048.26",,,"349,763.80","349,763.80",,,"161,942.60","184,945.80",,,,,,,"161,942.60","170,568.80",,,,"23,003.20",,,,,,,,"275,857.67",,"381,064.05","381,064.05","780,230.62",,,"5,196.41","143,261.66",
筹资活动现金流出小计,"165,334.21","15,808,537.53","22,983,593.23","42,132,024.31","2,541,063.18","53,874,257.57","68,814,225.13","86,203,272.05","52,645,992.63","156,065,695.13","157,858,552.62","357,560,110.85","3,605,999.98","9,139,869.98","16,096,628.73","353,854,949.26","85,397,820.40","130,028,661.62","135,604,578.27","302,269,855.88","4,582,326.79","183,170,169.26","253,652,460.05","380,108,398.68","124,696,027.78","237,383,887.50","418,670,715.54","697,301,478.33","73,615,466.65","136,532,344.88","264,029,303.11","733,635,507.90","63,065,314.47","157,907,217.37","383,569,837.44","737,833,779.58","132,100,938.67","262,123,321.84","467,720,272.14","761,957,327.60","61,048,637.34","187,530,536.46","486,757,520.26","3,839,181,043.42","558,620,458.95","1,903,284,402.73","2,777,946,382.51","3,908,331,813.05","685,187,059.61"
处置固定资产、无形资产和其他长期资产收回的现金净额,"11,000.00","11,000.00","12,000.00","12,000.00",,,,"27,000.00",,,,,,350.00,350.00,"297,850.00","8,000.00","8,000.00","8,000.00",,,"48,560.00","48,560.00","8,626.20",,,,,,,,"30,000.00","12,000.00","12,000.00",,"15,000.00","7,300.00","7,300.00","10,381.61","7,300.00",,,,"195,480.00","546,006.55","2,687,838.77","2,692,570.77","3,989,245.68",
筹资活动产生的现金流量净额,"-165,334.21","84,191,462.47","77,016,406.77","57,867,975.69","-2,041,063.18","38,625,742.43","24,685,774.87","47,726,727.95","30,354,007.37","26,934,304.87","25,141,447.38","23,639,889.15","16,394,000.02","23,860,130.02","26,903,371.27","38,945,050.74","-4,397,820.40","35,371,338.38","79,795,421.73","63,130,144.12","65,417,673.21","49,829,830.74","76,347,539.95","55,591,601.32","-44,696,027.78","-35,182,042.60","3,531,129.36","-11,901,478.33","-3,615,466.65","143,173,655.12","134,676,696.89","102,364,492.10","14,434,685.53","-10,407,217.37","-4,915,619.44","-9,358,360.58","-12,100,938.67","42,005,520.16","94,317,319.86","79,521,860.30","-1,048,637.34","-9,452,536.46","-57,879,520.26","389,504,774.45","-134,088,458.95","-255,981,548.56","-23,905,445.01","47,965,104.94","40,535,028.20"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,"95,506.15",,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,"-180,064.72",,,,"-5,219.31",,,,"-1,214.51",,,,"-1,213.02",,,,"-6,101.80",,,,"-4,482.68",,,,"-10,380.16",,,,"-3,118.30",,-730.65,"4,009.99","5,678.00",,"7,721.20","9,000.92","8,811.91",128.29,"-1,932.92","-4,408.93","43,173.57","44,853.37","-11,936.76","-42,592.11","72,587.98","-14,446.56"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"242,913.90",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"11,000.00","13,742,474.00","22,075,713.69","18,331,813.82","6,470,000.00","6,970,000.00","6,970,000.00","175,307.14","202,957.32","463,786.06","478,163.06","802,048.26",,350.00,"350,113.80","647,613.80","8,000.00","8,000.00","169,942.60","184,945.80",,"48,560.00","48,560.00","104,132.35",,,"161,942.60","170,568.80",,,,"53,003.20","12,000.00","12,000.00",,"15,000.00","7,300.00","7,300.00","253,295.51","283,157.67",,"381,064.05","381,064.05","2,975,073.24","546,006.55","2,687,838.77","12,747,767.18","13,860,432.96",
五、现金及现金等价物净增加额,"1,075,130.28","12,092,523.86","-3,924,736.36","-3,958,506.30","28,095,357.60","10,271,741.47","-7,035,898.38","4,551,972.88","-5,235,173.23","3,439,900.37","-5,909,641.41","1,874,627.82","3,576,147.57","4,080,376.20","-8,451,384.36","9,455,352.78","9,719,731.72","4,415,045.11","57,933,052.43","15,274,320.07","66,720,097.12","19,355,058.82","38,444,725.64","12,321,699.82","-31,088,520.72","-26,134,325.96","-11,284,998.82","10,597,031.62","-12,418,385.58","51,100,224.80","33,464,666.70","15,371,463.60","1,374,154.46","-35,736,463.87","-32,133,935.67","-19,048,629.18","-24,456,607.93","33,308,110.27","39,498,143.56","20,966,362.14","47,917,682.06","74,024,980.58","60,956,459.06","30,771,901.97","-135,000,073.12","61,984,263.43","187,522,722.61","451,996,394.17","200,435,393.71"
购建固定资产、无形资产和其他长期资产支付的现金,"997,363.00","2,630,680.70","4,398,635.12","12,405,292.11","5,480,289.00","6,069,909.00","6,301,539.00","19,437,660.20","15,235,500.00","15,780,268.30","38,665,368.30","90,548,802.70","4,554,406.00","4,917,441.39","5,154,761.83","47,460,316.45","1,164,640.00","29,944,168.00","37,241,635.35","74,068,891.47","3,861,423.33","40,681,299.76","88,208,027.36","166,233,565.33","7,623,791.12","13,847,221.38","42,098,649.39","64,943,135.50","15,674,163.23","82,904,309.86","79,086,836.26","196,451,687.47","28,964,700.00","45,910,789.54","52,813,789.54","102,759,294.99","10,557,020.00","56,997,020.00","128,571,776.92","174,346,274.24","2,400,000.00","2,603,200.00","16,490,883.08","889,015,068.61","97,764,043.87","253,901,514.41","517,907,171.83","642,154,339.73","65,124,139.61"
期初现金及现金等价物余额,"18,309,338.51","18,309,338.51","18,309,338.51","29,718,054.52","25,759,548.22","25,759,548.22","25,759,548.22","25,759,548.22","30,311,521.10","30,311,521.10","30,311,521.10","30,311,521.10","32,186,148.92","32,186,148.92","32,186,148.92","32,186,148.92","41,641,501.70","41,641,501.70","41,641,501.70","41,641,501.70","56,915,821.77","56,915,821.77","56,915,821.77","56,915,821.77","69,237,521.59","69,237,521.59","69,237,521.59","69,237,521.59","79,834,553.21","79,834,553.21","82,834,553.21","79,834,553.21","106,125,859.63","95,206,016.81","95,206,016.81","95,206,016.81","76,157,387.63","76,157,387.63","76,157,387.63","76,157,387.63","97,123,749.77","97,123,749.77","97,123,749.77","892,147,825.18","886,497,998.32","922,919,727.15","922,919,727.15","922,919,727.15","1,374,916,121.32"
投资支付的现金,,,,,,"500,000.00",,"9,150,000.00",,,,,,,,,,,,,,,,,,,,,,,,"1,280,000.00",,,,,,,,,,,,"3,306,394.70",,,,,
期末现金及现金等价物余额,"19,384,468.79","30,401,862.37","14,384,602.15","25,759,548.22","53,854,905.82","36,031,289.69","18,723,649.84","30,311,521.10","25,076,347.87","33,751,421.47","24,401,879.69","32,186,148.92","35,762,296.49","36,266,525.12","23,734,764.56","41,641,501.70","51,361,233.42","46,056,546.81","99,574,554.13","56,915,821.77","123,635,918.89","76,270,880.59","95,360,547.41","69,237,521.59","38,149,000.87","43,103,195.63","57,952,522.77","79,834,553.21","67,416,167.63","130,934,778.01","116,299,219.91","95,206,016.81","107,500,014.09","59,469,552.94","63,072,081.14","76,157,387.63","51,700,779.70","109,465,497.90","115,655,531.19","97,123,749.77","145,041,431.83","171,148,730.35","158,080,208.83","922,919,727.15","751,497,925.20","984,903,990.58","1,110,442,449.76","1,374,916,121.32","1,575,351,515.03"
