科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付其他与筹资活动有关的现金,"10,432,339.50","1,060,834.16",,"1,440,162.85","9,268,621.07","10,344,039.59","11,173,695.08","8,936,512.66","1,943,521.63","522,356.75","1,079,304.10","326,295.14","8,669,929.51","8,532,586.59","22,291,405.83"
取得投资收益收到的现金,,,,,,,,,,,,"7,321.39","256,581.38","199,222.28","1,372,935.08"
筹资活动现金流出小计,"13,564,406.17","31,418,886.44","73,852,369.19","2,589,776.55","74,367,554.39","75,442,972.91","76,272,628.40","8,936,512.66","12,741,601.63","11,320,436.75","11,877,384.10","326,295.14","21,918,746.21","22,109,756.90","39,571,102.29"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"15,000.00","162,000.00",,,,,,"198,000.00","198,000.00","199,500.00",,,"1,000.00","128,000.00"
筹资活动产生的现金流量净额,"5,435,593.83","5,281,113.56","19,169,385.45","270,221,110.56","197,772,652.95","196,851,958.13","196,144,565.91","-8,936,512.66","-12,628,679.03","-7,366,907.24","-6,990,078.92","-292,275.34","285,937,578.77","296,241,729.87","280,298,514.58"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,6.44,"-3,318.69",-417.68,,-85.65,-85.65,-44.57,,"2,443.44","-18,825.99","8,233.16",,"42,873.91","125,942.96","-219,757.56"
收到其他与投资活动有关的现金,"5,000,000.00","6,000,000.00",,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"5,000,000.00","6,015,000.00","162,000.00",,,,,,"198,000.00","198,000.00","199,500.00","29,007,321.39","53,706,581.38","161,250,222.28","270,550,935.08"
五、现金及现金等价物净增加额,"-27,131,282.72","2,107,687.27","28,602,406.31","216,892,614.58","173,633,987.27","91,546,580.06","78,177,760.08","-53,876,890.03","-34,610,091.39","-93,837,150.47","-76,737,728.02","-25,540,446.65","215,316,938.11","114,123,199.99","147,175,164.64"
购建固定资产、无形资产和其他长期资产支付的现金,"63,125,067.04","20,244,787.15","15,153,518.80","7,880,100.31","13,929,423.51","67,625,577.08","84,379,278.88","8,432,534.18","10,797,050.80","17,017,032.22","17,828,957.31","12,463,120.08","14,436,868.89","16,435,245.65","24,474,897.82"
期初现金及现金等价物余额,"88,204,467.95","61,073,185.23","63,180,872.50","91,783,278.81","91,783,278.81","91,783,278.81","91,783,278.81","169,961,038.89","169,961,038.89","169,961,038.89","169,961,038.89","93,223,310.87","93,223,310.87","93,223,310.87","93,223,310.87"
投资支付的现金,,,,,,,,,,,"29,000,000.00","9,990,000.00","17,000,000.00","141,000,000.00","232,000,000.00"
期末现金及现金等价物余额,"61,073,185.23","63,180,872.50","91,783,278.81","308,675,893.39","265,417,266.08","183,329,858.87","169,961,038.89","116,084,148.86","135,350,947.50","76,123,888.42","93,223,310.87","67,682,864.22","308,540,248.98","207,346,510.86","240,398,475.51"
