科目,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
应收股利,"874,091,187.00","865,043,934.00","233,339,972.00","115,575,553.00","982,330,101.00","1,138,811,843.00","122,139,883.00","58,364,539.00","1,588,237,437.00","1,635,064,769.00","1,677,470,589.00","1,602,703,857.00","1,259,156,930.00","1,270,137,897.00","1,292,630,651.00","62,763,443.00","4,000,842,381.00","4,024,457,596.00","1,597,427,443.00","83,486,653.00","1,820,194,209.00","2,030,311,352.00","2,062,505,854.00","53,446,599.00"
应付股利,,"13,448,960.00","1,293,754,019.00","450,451,407.00",,"3,787,604.00","137,989,198.00","386,101,206.00",,"5,013,034.00","648,013,740.00","492,784,744.00","8,680,613.00","7,417,619.00","531,108,327.00","526,090,708.00","11,289,100.00","12,150,000.00","6,075,000.00","521,123,817.00",,"9,375,743.00","3,575,743.00",
存货,"1,536,698,494.00","2,457,359,374.00","1,579,748,921.00","1,654,486,635.00","1,397,419,180.00","1,390,903,734.00","1,580,977,660.00","1,821,602,503.00","2,036,360,024.00","2,372,377,743.00","2,196,144,754.00","2,390,418,035.00","2,660,568,844.00","2,501,462,744.00","2,623,201,957.00","2,260,865,222.00","1,926,988,270.00","1,929,747,063.00","1,923,302,888.00","2,749,087,148.00","2,493,564,358.00","2,284,598,157.00","3,459,611,815.00","2,878,911,126.00"
其他应付款,"690,899,036.00","1,823,907,795.00","725,686,468.00","1,433,441,114.00","1,054,292,672.00","1,061,786,090.00","1,444,772,800.00","1,894,891,950.00","2,079,398,875.00","2,347,317,871.00","2,515,099,710.00","2,752,508,077.00","2,675,534,939.00","2,358,002,122.00","2,353,313,021.00","2,346,134,696.00","3,462,842,323.00","3,901,026,276.00","4,269,030,732.00","4,903,142,118.00","5,732,046,962.00","5,299,359,178.00","5,973,449,515.00","6,707,105,977.00"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,"22,334,051.00","22,613,465.00","22,907,553.00","23,212,753.00","201,841,681.00","197,702,248.00","223,932,389.00","262,927,612.00","382,333,959.00","335,405,703.00","310,879,022.00","260,067,635.00","656,322,222.00","392,419,282.00","610,162,413.00","785,326,017.00"
一年内到期的非流动负债,"307,198,612.00","1,293,655,678.00","316,194,445.00","200,097,223.00","98,944,445.00","93,888,889.00","6,768,345,460.00","6,978,664,452.00","6,730,953,044.00","6,735,132,489.00","33,844,906.00","33,844,906.00","42,698,663.00","21,862,977.00","67,676,205.00","55,849,904.00","432,201,861.00","326,227,737.00","367,972,511.00","325,545,691.00","1,021,885,174.00","893,090,460.00","1,057,867,366.00","2,498,058,608.00"
其他流动资产,"74,453,451.00","130,400,049.00","38,908,095.00","142,031,657.00","322,860,864.00","267,401,324.00","774,806,996.00","754,996,995.00","1,087,586,098.00","1,010,614,915.00","1,252,632,377.00","1,628,902,990.00","1,938,630,829.00","2,024,561,188.00","3,744,138,173.00","2,141,938,886.00","1,548,837,620.00","5,204,145,615.00","4,862,834,270.00","9,216,941,351.00","3,408,467,775.00","4,953,955,704.00","3,020,428,582.00","1,751,425,954.00"
其他流动负债,"19,506,654.00","34,009,369.00","69,534,892.00","127,608,275.00","186,010,797.00","274,833,714.00","366,924,402.00",,"281,757,908.00","1,324,120,632.00","362,259,563.00","434,035,103.00","5,535,768,185.00","4,459,001,963.00","4,441,563,770.00","1,425,815,403.00","492,328,431.00","2,791,113,452.00","2,821,849,222.00","2,866,273,068.00","2,957,385,956.00","598,369,775.00","667,396,420.00","669,413,870.00"
流动资产合计,"21,893,230,735.00","20,979,034,117.00","22,543,155,118.00","20,672,776,645.00","20,274,379,107.00","24,211,222,604.00","25,414,065,666.00","24,422,070,100.00","26,513,832,618.00","26,679,129,681.00","24,377,521,842.00","27,271,993,349.00","26,974,199,764.00","25,306,814,345.00","27,364,377,515.00","23,523,583,712.00","28,007,623,069.00","34,223,978,877.00","34,522,574,745.00","36,041,568,874.00","34,971,178,810.00","34,234,526,130.00","39,117,014,220.00","38,097,585,044.00"
流动负债合计,"5,971,714,311.00","9,962,860,669.00","7,225,489,219.00","8,417,314,619.00","8,867,524,018.00","9,359,044,812.00","16,542,925,401.00","16,698,591,058.00","18,082,897,027.00","19,054,662,488.00","15,543,099,975.00","19,997,758,960.00","20,245,434,854.00","17,709,399,979.00","18,652,343,746.00","16,068,845,200.00","18,666,734,908.00","21,120,538,045.00","22,648,437,301.00","24,831,194,545.00","24,321,716,740.00","22,371,902,593.00","25,862,960,683.00","26,974,957,547.00"
可供出售金融资产,"98,854,887.00","101,553,142.00","148,453,243.00","144,911,864.00","144,099,227.00","232,458,332.00","299,558,156.00","294,108,415.00","152,228,029.00","138,137,661.00","382,379,058.00","350,315,275.00","899,625,633.00","1,170,308,587.00","1,351,994,501.00","1,745,841,661.00","2,035,343,740.00","2,000,948,065.00","2,139,191,086.00","2,248,646,688.00","2,024,359,295.00","1,982,938,834.00","2,020,393,643.00","2,248,766,792.00"
长期借款,"484,384,337.00","496,895,873.00","496,747,861.00","582,877,336.00","504,790,596.00","489,200,113.00","373,584,412.00","225,023,459.00","218,989,837.00","224,546,372.00","199,493,118.00","193,476,603.00","207,616,438.00","256,106,372.00","314,946,979.00","350,934,464.00","1,098,843,200.00","1,165,365,789.00","1,027,567,156.00","906,007,306.00","625,674,517.00","946,164,085.00","719,236,351.00","697,758,516.00"
持有至到期投资,"70,141,718.00","70,389,950.00","70,651,339.00","70,926,065.00","71,174,950.00","71,406,658.00","71,653,486.00","71,915,707.00","49,852,805.00","59,529,025.00","79,554,256.00","99,590,453.00","79,638,720.00","79,684,756.00","79,801,866.00","79,826,479.00","79,853,931.00","76,595,925.00","16,712,000.00",,,,,
应付债券,"7,252,929,449.00","7,252,929,449.00","7,261,981,268.00","7,252,929,449.00","7,271,293,901.00","11,228,134,202.00","4,553,359,705.00","4,554,708,445.00","4,556,137,018.00","4,557,496,372.00","4,558,855,725.00","4,560,215,079.00","4,561,750,183.00","6,543,004,293.00","6,545,125,272.00","6,547,359,457.00","6,550,057,399.00","10,239,586,201.00","10,258,500,101.00","10,246,357,932.00","9,720,787,240.00","9,502,926,155.00","8,856,202,078.00","8,223,666,242.00"
长期应收款,,,,,,,,,"215,046,096.00","215,046,096.00","215,044,985.00","304,247,837.00","264,635,149.00","275,320,414.00","286,792,151.00","309,245,591.00","92,003,091.00","188,931,894.00","250,917,568.00","344,908,959.00","434,353,249.00","841,696,906.00","499,015,438.00","371,285,940.00"
长期应付款,"90,733,086.00","90,655,214.00","43,151,989.00","43,068,847.00","18,530,114.00","19,632,145.00","18,378,441.00","19,540,484.00",,,,,,,"105,299,605.00","108,418,991.00","52,487,929.00","52,299,962.00","46,027,238.00","36,910,051.00","109,812.00","30,399,890.00","245,031.00","9,297,723.00"
长期股权投资,"14,364,625,735.00","14,678,284,217.00","16,126,862,823.00","17,295,456,448.00","16,861,938,221.00","17,650,961,278.00","16,997,096,403.00","18,487,031,034.00","18,403,094,774.00","19,522,487,385.00","17,743,462,140.00","18,597,813,217.00","18,670,989,260.00","19,723,887,395.00","18,547,114,308.00","19,528,627,202.00","18,455,874,962.00","19,768,574,851.00","21,651,054,240.00","23,109,136,188.00","22,635,697,718.00","25,282,473,263.00","24,695,875,643.00","26,391,720,818.00"
专项应付款,"5,660,754.00","5,660,754.00","3,021,866.00","3,021,866.00",,"1,188,262.00",,,,,,,,,,,,,,,,,"115,468,526.00",
投资性房地产,"32,057,263.00","76,255,504.00","30,920,140.00","26,761,922.00","30,579,660.00","30,070,501.00","45,276,529.00","71,849,110.00","143,473,539.00","144,145,294.00","142,727,676.00","141,609,642.00","342,231,862.00","366,864,567.00","364,767,714.00","342,505,158.00","343,957,926.00","338,072,641.00","363,181,971.00","360,856,443.00","1,311,432,541.00","1,331,543,516.00","1,304,575,963.00","1,283,498,624.00"
预计负债,"3,541,326.00","15,123,579.00","14,382,999.00","15,756,858.00","21,586,817.00","28,049,154.00","37,576,156.00","41,447,468.00","74,221,052.00","75,643,383.00","95,813,693.00","118,252,409.00","186,255,955.00","213,438,645.00","220,763,052.00","210,650,730.00","230,813,336.00","230,756,940.00","258,644,256.00","292,738,024.00","371,641,028.00","374,272,414.00","425,531,206.00","606,089,669.00"
固定资产,"3,274,955,381.00","5,944,552,329.00","3,428,015,882.00","3,548,696,668.00","4,298,207,528.00","4,233,012,579.00","4,702,455,543.00","5,090,325,039.00","6,585,223,449.00","6,536,554,459.00","6,474,090,425.00","6,919,518,551.00","7,912,456,130.00","7,872,585,218.00","7,724,961,996.00","7,795,602,836.00","7,952,774,330.00","9,558,003,668.00","11,099,317,593.00","11,599,654,522.00","11,018,084,207.00","10,807,747,017.00","10,587,752,761.00","10,853,355,849.00"
递延所得税负债,"38,901,243.00","34,986,405.00","20,672,843.00","6,479,319.00","16,322,613.00","14,587,360.00","16,075,388.00","5,661,394.00","21,338,503.00","20,221,700.00","21,752,715.00","49,069,654.00","34,882,283.00","46,212,676.00","43,814,287.00","32,426,158.00","41,606,832.00","60,687,176.00","47,140,140.00","48,552,372.00","71,951,592.00","101,099,521.00","101,579,946.00","105,634,365.00"
在建工程,"875,130,247.00","1,753,727,078.00","1,492,375,165.00","1,840,401,756.00","1,431,741,420.00","1,500,486,202.00","1,239,995,465.00","882,919,541.00","472,447,028.00","617,809,810.00","1,270,933,322.00","1,182,943,676.00","377,312,097.00","644,917,897.00","966,881,345.00","1,402,115,120.00","2,388,509,918.00","1,672,828,576.00","789,234,215.00","561,720,359.00","600,572,967.00","860,291,335.00","1,084,248,444.00","1,375,957,527.00"
其他非流动负债,"354,333,052.00","351,536,905.00","374,913,723.00","495,239,885.00","670,070,016.00","541,781,723.00","617,007,902.00","594,362,140.00","773,500,011.00","766,288,535.00","729,420,710.00","722,922,076.00","1,151,251.00","12,488,523.00","13,567,312.00","12,027,407.00","21,843,194.00","21,778,890.00","21,778,891.00","21,778,890.00","30,691,662.00","30,254,237.00","18,088,831.00","14,940,740.00"
工程物资,,,"65,556.00",,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"8,230,483,247.00","8,247,788,179.00","8,214,872,549.00","8,399,373,560.00","8,502,594,057.00","12,322,572,959.00","5,615,982,004.00","5,440,743,390.00","5,644,186,421.00","5,644,196,362.00","5,605,335,961.00","5,643,935,821.00","5,957,699,577.00","8,037,293,976.00","8,057,356,412.00","8,428,612,204.00","9,061,632,703.00","12,841,304,698.00","13,268,235,295.00","13,653,523,487.00","12,931,063,474.00","13,390,943,795.00","13,077,025,635.00","12,047,900,775.00"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,"33,752,593.00",,
负债合计,"14,202,197,558.00","18,210,648,848.00","15,440,361,768.00","16,816,688,179.00","17,370,118,075.00","21,681,617,771.00","22,158,907,405.00","22,139,334,448.00","23,727,083,448.00","24,698,858,850.00","21,148,435,936.00","25,641,694,781.00","26,203,134,431.00","25,746,693,955.00","26,709,700,158.00","24,497,457,404.00","27,728,367,611.00","33,961,842,743.00","35,916,672,596.00","38,484,718,032.00","37,252,780,214.00","35,762,846,388.00","38,939,986,318.00","39,022,858,322.00"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"6,148,057,675.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,435,020,097.00","6,450,798,045.00","6,453,360,605.00","6,466,062,369.00","6,500,455,793.00","6,508,297,811.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"6,622,863,723.00","8,871,104,073.00","8,869,124,135.00","8,867,326,689.00","8,870,274,009.00","8,870,239,384.00","8,869,802,134.00","8,869,816,207.00","8,900,951,455.00","8,899,123,520.00","8,899,494,299.00","8,900,014,444.00","8,923,498,967.00","8,921,889,500.00","8,911,326,946.00","8,911,241,804.00","8,948,646,258.00","9,350,411,681.00","8,604,281,850.00","8,705,105,131.00","8,773,298,562.00","9,029,593,703.00","9,849,166,835.00","9,892,187,924.00"
无形资产,"2,159,485,486.00","2,308,813,788.00","2,567,234,803.00","2,600,691,882.00","2,537,540,380.00","2,441,527,717.00","2,474,164,468.00","2,802,600,734.00","2,944,543,298.00","3,033,010,319.00","2,959,780,876.00","3,094,716,631.00","3,490,621,790.00","3,445,957,664.00","4,014,115,993.00","3,941,456,864.00","4,240,999,143.00","4,410,307,052.00","4,585,499,831.00","4,608,829,242.00","4,951,865,322.00","4,791,824,381.00","6,311,298,004.00","6,429,444,367.00"
盈余公积,"1,216,631,340.00","1,216,631,339.00","1,288,766,706.00","1,303,191,442.00","1,288,333,027.00","1,288,333,027.00","1,288,333,027.00","1,288,333,027.00","1,630,128,129.00","1,630,128,129.00","1,630,128,129.00","1,630,128,129.00","1,880,700,150.00","1,880,700,150.00","1,880,700,150.00","1,880,700,150.00","2,271,173,193.00","2,271,173,193.00","2,271,173,193.00","2,271,173,193.00","2,605,811,769.00","2,605,811,769.00","2,605,811,769.00","2,605,811,769.00"
开发支出,"762,039,413.00","1,222,858,119.00","688,364,247.00","1,122,197,874.00","1,267,846,746.00","1,403,169,964.00","1,405,841,537.00","1,255,553,526.00","954,394,730.00","1,120,569,465.00","1,320,801,022.00","1,480,339,406.00","1,672,723,883.00","1,896,831,020.00","1,683,752,029.00","1,935,997,780.00","2,070,494,006.00","2,032,042,276.00","1,850,076,228.00","2,101,352,753.00","2,341,205,007.00","2,737,781,021.00","1,630,929,760.00","1,874,062,311.00"
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,
商誉,"304,517,744.00","4,085,069,817.00","304,517,744.00","304,517,744.00","305,841,729.00","305,841,729.00","305,841,729.00","305,841,729.00","305,841,729.00","305,841,729.00","305,841,729.00","354,772,802.00","305,841,729.00","305,841,729.00","305,841,729.00","305,841,729.00","305,841,729.00","305,841,729.00","305,841,729.00","305,841,729.00","305,841,729.00","305,841,729.00","305,841,729.00","305,841,729.00"
未分配利润,"15,171,220,525.00","16,060,360,977.00","15,292,752,831.00","15,162,346,598.00","14,494,627,366.00","14,972,878,684.00","15,584,193,218.00","16,222,499,165.00","16,289,702,000.00","17,138,916,666.00","17,371,154,627.00","17,403,379,416.00","18,066,049,760.00","18,595,920,747.00","19,300,831,338.00","19,736,938,512.00","20,865,960,751.00","22,793,526,292.00","24,075,141,526.00","25,188,634,298.00","25,530,459,300.00","29,384,851,440.00","30,282,619,782.00","32,412,037,015.00"
长期待摊费用,"162,850,272.00","178,831,614.00","163,408,113.00","182,406,507.00","208,929,698.00","213,245,887.00","240,979,407.00","258,785,392.00","322,350,627.00","332,096,885.00","321,013,604.00","317,472,546.00","263,807,851.00","253,167,022.00","254,340,280.00","244,412,323.00","234,467,355.00","243,506,959.00","286,918,433.00","293,486,717.00","290,135,098.00","314,389,238.00","317,817,467.00","322,661,011.00"
少数股东权益,"976,052,385.00","989,357,898.00","937,468,780.00","930,837,741.00","921,759,600.00","896,115,568.00","877,609,936.00","825,604,040.00","805,005,161.00","753,313,274.00","780,021,103.00","783,295,004.00","795,955,732.00","752,679,675.00","766,294,184.00","865,331,897.00","844,809,890.00","777,735,081.00","962,247,536.00","1,049,616,917.00","1,037,307,798.00","1,043,665,602.00","1,030,273,439.00","1,045,823,456.00"
递延所得税资产,"339,134,325.00","383,753,557.00","425,687,744.00","452,927,418.00","567,621,861.00","567,202,963.00","573,115,463.00","551,578,751.00","529,587,251.00","509,622,799.00","480,406,081.00","500,794,572.00","481,410,717.00","464,152,943.00","434,501,390.00","409,909,846.00","440,537,898.00","434,748,042.00","536,911,811.00","719,757,788.00","789,875,469.00","855,969,149.00","890,494,721.00","965,290,766.00"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,"273,782,400.00","1,252,737,953.00","1,381,831,172.00","1,287,344,681.00","1,445,737,229.00","1,290,789,019.00","197,980,948.00","344,194,182.00","194,234,206.00","181,689,818.00","582,866,826.00","542,183,030.00","651,495,288.00","751,103,691.00","517,521,245.00","394,079,911.00","319,941,189.00","313,478,212.00","417,617,452.00","331,458,437.00","793,812,973.00","831,739,355.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"22,443,792,471.00","30,804,089,115.00","25,720,339,199.00","28,842,634,101.00","29,107,352,592.00","29,936,728,491.00","29,801,715,415.00","31,363,297,997.00","31,276,064,303.00","32,879,045,109.00","31,890,269,380.00","33,525,824,426.00","35,344,161,647.00","37,041,702,242.00","36,666,360,590.00","38,792,486,280.00","39,158,179,274.00","41,424,481,589.00","44,194,797,894.00","46,567,669,600.00","47,121,040,054.00","50,477,707,419.00","50,442,056,546.00","53,743,625,089.00"
所有者权益(或股东权益)合计,"30,134,825,648.00","33,572,474,384.00","32,823,132,549.00","32,698,722,567.00","32,011,613,624.00","32,466,333,324.00","33,056,873,676.00","33,646,033,649.00","34,062,813,473.00","34,859,315,940.00","35,119,355,286.00","35,156,122,994.00","36,115,226,980.00","36,601,822,632.00","37,321,037,947.00","37,818,612,588.00","39,437,434,732.00","41,686,617,723.00","42,800,700,043.00","44,124,520,442.00","44,839,438,650.00","48,949,387,161.00","50,619,084,448.00","52,818,351,811.00"
资产总计,"44,337,023,206.00","51,783,123,232.00","48,263,494,317.00","49,515,410,746.00","49,381,731,699.00","54,147,951,095.00","55,215,781,081.00","55,785,368,097.00","57,789,896,921.00","59,558,174,790.00","56,267,791,222.00","60,797,817,775.00","62,318,361,411.00","62,348,516,587.00","64,030,738,105.00","62,316,069,992.00","67,165,802,343.00","75,648,460,466.00","78,717,372,639.00","82,609,238,474.00","82,092,218,864.00","84,712,233,549.00","89,559,070,766.00","91,841,210,133.00"
负债和所有者(或股东权益)合计,"44,337,023,206.00","51,783,123,232.00","48,263,494,317.00","49,515,410,746.00","49,381,731,699.00","54,147,951,095.00","55,215,781,081.00","55,785,368,097.00","57,789,896,921.00","59,558,174,790.00","56,267,791,222.00","60,797,817,775.00","62,318,361,411.00","62,348,516,587.00","64,030,738,105.00","62,316,069,992.00","67,165,802,343.00","75,648,460,466.00","78,717,372,639.00","82,609,238,474.00","82,092,218,864.00","84,712,233,549.00","89,559,070,766.00","91,841,210,133.00"
