科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
收回投资收到的现金,,,,"35,462,196.11","28,650,706.82","28,650,706.82","28,650,706.82","26,407,130.09",,,"70,609.35","227,840.00","81,413.96","509,106.00","1,331,781.90","76,677,603.00","10,466,461.40","22,480,859.40","30,010,784.40","313,902,181.40","1,400,000.00","1,402,143.75","1,602,143.75","2,151,246.25","5,015,160.00","5,015,160.00","5,015,160.00","15,015,160.00","20,271,975.00","41,870,825.00","42,445,825.00","20,000,000.00",,"10,000,000.00","10,000,000.00","21,000,000.00","15,000,000.00",,"15,000,000.00","2,806,681.26",,,,"209,049,174.61"
支付其他与筹资活动有关的现金,,,,"76,000.00",,"10,000.00","10,000.00","56,200,000.00","13,197,721.70","3,090,397.09","-39,520,845.66","11,166,248.93","100,333.33","1,234,891.03","9,371,114.42","12,060,000.00","-1,024,491.67","-10,940,550.93","11,002,480.00",,"44,688.47",,"94,665.08","2,238,000.00",,,,,,,,,,"53,000,000.00","53,000,000.00",,,,,,,,"1,125,000.00",
取得投资收益收到的现金,,"988,762.65","1,180,538.65","4,951,142.71","-7,351,912.85","-7,351,912.85","-7,351,912.85",,,,,"26,649.10",,"83,775.90","14,761,764.29","44,128,277.03",662.77,"14,618.28","3,871,573.28","14,618.28",,"3,478,502.71","3,608,679.54","3,596,942.14","1,683,477.07","1,683,477.07","6,015,430.40","6,021,730.40","2,975.00","2,218,259.78","2,263,509.78","2,553,034.78",,,,,,,,"32,973,270.00",,,,"11,464,753.50"
筹资活动现金流出小计,"23,883,385.09","155,403,422.59","218,192,251.63","327,882,867.47","135,428,194.15","248,446,575.17","434,450,022.53","553,797,211.54","133,690,323.50","379,855,050.79","452,813,384.23","491,859,085.61","82,948,432.27","271,551,823.02","338,121,860.02","454,192,131.75","100,645,061.27","262,084,909.58","409,336,469.96","546,542,670.14","115,396,961.29","292,655,712.28","439,506,138.60","555,315,999.42","100,711,350.72","218,391,185.65","362,357,229.56","500,832,655.17","86,641,533.83","239,367,489.80","401,486,137.59","540,435,971.54","84,493,533.89","167,385,667.99","327,401,021.08","482,767,988.00","46,208,367.35","148,563,445.64","170,060,423.15","238,505,087.76","11,132,450.00","72,498,444.45","74,776,656.24","97,065,866.31"
处置固定资产、无形资产和其他长期资产收回的现金净额,"251,000.00",,,"376,000.00","57,639.38","141,970.24","-202,204.45","2,554,600.00","26,000.00","2,683,932.55","2,740,652.55","6,974,886.29",,"2,101,266.21","2,101,266.21","1,975,374.21",,"20,000.00","20,500.00","793,490.38","164,000.00","164,000.00","164,000.00","210,384.61",,"10,450.00","10,450.00","282,750.00","26,000.00","26,000.00","26,000.00","26,000.00","168,000.00","168,000.00","168,000.00","276,000.00",,"160,000.00","172,000.00","225,000.00","30,000.00","5,023,386.45","5,323,386.45","5,978,156.46"
筹资活动产生的现金流量净额,"156,116,614.91","161,892,151.28","254,222,786.44","231,048,825.57","-33,538,813.19","-69,167,641.37","-134,794,879.28","-68,767,830.58","10,507,398.20","-56,597,329.09","-158,351,436.53","-137,430,580.85","64,015,436.69","46,630,777.64","93,578,560.14","178,001,613.50","31,060,312.18","11,619,041.28","-124,985,608.38","-137,401,942.16","-28,894,434.27","-3,863,213.72","-50,437,166.80","-8,445,287.68","-16,912,032.93","-65,505,875.65","-68,083,372.83","-92,571,454.48","13,333,491.24","-52,306,929.80","-109,952,978.59","-161,452,780.04","-39,493,533.89","-23,115,667.99","-53,131,021.08","-86,735,177.47","-26,208,367.35","-78,563,445.64","-80,060,423.15","-95,324,087.76","-11,132,450.00","-22,498,444.45","35,223,343.76","5,434,133.69"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,"1,629,924.65","1,629,924.65","2,102,640.01",,,,,,,,,,,,,,,,,,,,,,,,,,"15,000,000.00",,"14,956,804.12",,,,
四、汇率变动对现金的影响,"-167,273.71","-175,050.99","-386,024.50","-1,281,172.35","-569,573.94","-516,350.28","4,574,638.66","-433,083.23","-76,087.44","-120,860.07","-173,087.89","-204,196.54","-147,283.67","-385,940.38","-883,387.21","-1,511,427.13","-83,497.40","78,091.98","606,234.85","-2,385,992.33","-30,575.64","-531,521.73","-505,939.80","-1,949,604.51","182,293.43","456,256.18","497,559.67","254,383.97","766,379.73","600,652.99","75,040.96","553,242.04","-380,685.52","-103,439.45","-34,854.88","1,213,101.26","-441,021.02","268,233.14","157,832.29","454,877.25","521,781.27","-29,078.36","-173,568.41","-2,022,199.43"
收到其他与投资活动有关的现金,,,,,,,,,,,"70,805.87",,,,,"7,175,600.00",,,,,,,,,,,,,,"5,000,000.00",,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"251,000.00","988,762.65","1,180,538.65","40,789,338.82","21,356,433.35","21,440,764.21","21,096,589.52","28,961,730.09","26,000.00","4,313,857.20","4,511,992.42","9,332,015.40","81,413.96","2,694,148.11","18,194,812.40","129,956,854.24","10,467,124.17","22,515,477.68","33,902,857.68","314,710,290.06","1,564,000.00","5,044,646.46","5,374,823.29","5,958,573.00","6,698,637.07","6,709,087.07","11,041,040.40","21,319,640.40","20,300,950.00","49,115,084.78","44,735,334.78","22,579,034.78","168,000.00","10,168,000.00","10,168,000.00","21,276,000.00","15,000,000.00","15,160,000.00","15,172,000.00","50,961,755.38","30,000.00","5,023,386.45","5,323,386.45","226,492,084.57"
五、现金及现金等价物净增加额,"72,660,701.70","13,865,418.95","81,064,101.72","29,274,329.35","-26,056,012.19","-6,005,928.50","17,316,855.19","-520,899.49","17,384,038.02","17,056,548.44","-17,977,609.84","-26,880,436.34","23,976,375.57","44,167,661.01","107,723,640.84","70,228,928.24","3,736,258.97","-16,636,980.19","-60,521,519.52","-32,987,067.26","-17,828,153.12","74,807,169.49","5,831,439.17","30,231,359.17","-23,350,991.72","-44,819,035.80","-32,398,286.93","-44,539,000.87","21,506,989.28","23,176,062.65","-6,126,519.13","19,357,175.73","-13,936,261.49","-5,253,062.83","-14,118,632.30","-11,150,435.58","30,609,690.21","624,178.46","5,152,235.98","44,728,666.93","-39,105,491.57","-32,759,504.21","-8,786,060.43","1,336,756.96"
购建固定资产、无形资产和其他长期资产支付的现金,"71,440,656.91","123,142,804.46","144,506,993.83","124,884,162.52","3,058,167.50","6,556,593.67","8,199,102.66","32,951,145.77","3,755,335.64","5,574,830.01","7,157,632.15","13,233,133.21","2,482,876.44","9,016,787.08","10,710,600.05","12,146,263.69","5,422,738.20","7,016,036.61","13,330,464.39","23,389,081.23","2,452,308.07","74,725,845.03","123,922,708.11","154,478,583.99","2,528,918.52","9,447,623.48","10,252,836.65","14,905,933.66","7,239,151.18","8,020,291.18","3,790,153.14","8,438,698.06","2,493,430.56","8,034,524.86","8,596,055.53","10,781,373.23","212,650.00","5,795,488.95","7,057,149.65","12,242,730.70","1,793,948.38","12,757,308.01","47,283,553.08","62,465,934.54"
期初现金及现金等价物余额,"34,208,832.09",,,"34,208,932.09","63,483,161.44","63,483,161.44","63,483,161.44","63,483,161.44","62,962,261.95","62,962,261.95","62,962,261.95","62,962,261.95","55,633,471.21","36,081,825.61","35,781,825.61","36,081,825.61","106,310,753.85","106,310,753.85","124,179,736.87","106,310,753.85","73,323,686.59","73,323,686.59","73,323,686.59","73,323,686.59","103,555,045.76","103,555,045.76","103,555,045.76","103,555,045.76","59,016,044.89","59,016,044.89","59,016,044.89","59,016,044.89","78,373,220.62","78,373,220.62","78,373,220.62","78,373,220.62","67,222,785.04","67,222,785.04","67,179,589.16","67,222,785.04","111,951,451.97","111,951,451.97","111,951,451.97","111,951,451.97"
投资支付的现金,,,"975,870.00","62,609,947.50",,"20,000,000.00","20,000,000.00","25,108,336.12",,,"199,774.34","331,306.00",,"618,820.00","44,192,720.00","77,214,137.00","17,291,145.00","31,007,695.50","37,128,558.00","325,991,575.00",,"510,450.00","966,583.75","1,266,406.25","4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00","41,473,255.00","41,870,825.00","42,546,400.00","20,264,950.85",,"12,000,000.00","12,000,000.00","20,000,000.00",,"12,000,000.00","12,000,000.00","22,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","212,000,000.00"
期末现金及现金等价物余额,"106,869,533.79",,,"63,483,261.44","37,427,149.25","57,477,232.94","80,800,016.63","62,962,261.95","80,346,299.97","80,018,810.39","44,984,652.11","36,081,825.61","79,609,846.78","80,249,486.62","143,505,466.45","106,310,753.85","110,047,012.82","89,673,773.66","63,658,217.35","73,323,686.59","55,495,533.47","148,130,856.08","79,155,125.76","103,555,045.76","80,204,054.04","58,736,009.96","71,156,758.83","59,016,044.89","80,523,034.17","82,192,107.54","52,889,525.76","78,373,220.62","64,436,959.13","73,120,157.79","64,254,588.32","67,222,785.04","97,832,475.25","67,846,963.50","72,331,825.14","111,951,451.97","72,845,960.40","79,191,947.76","103,165,391.54","113,288,208.93"
