科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-1,263.70","-3,689.50","-3,571.35","-12,787.12","-6,027.95","-6,027.95","-25,407.10","-1,606.77","-2,794.95","-2,744.17","-9,334.48","-2,733.81","-4,784.48","-4,784.48","-8,852.63","-5,387.00","7,050,218.93","11,778,858.74","14,546,148.31","4,745,603.97","9,354,155.14","11,211,234.44","16,202,045.10","8,511,781.39","34,674,488.34","45,195,079.05","65,648,167.27","6,072,080.06","7,408,121.98","19,385,365.86","34,230,632.74","9,121,491.35","16,504,460.77","24,046,595.76","187,026,773.20","48,659,562.01","69,026,237.24","121,168,746.87","244,617,682.22","135,954,621.39","269,481,532.53","372,052,462.90"
三、利润总额,"461,126.89","262,335.80","-683,084.19","568,223.31","-274,483.20","-505,758.25","474,868.49","-442,346.17","69,965.98","-657,580.98","480,070.70","-1,334,426.19","-1,363,856.92","-1,400,504.42","595,023.73","-265,778.00","360,742,189.80","413,325,283.45","817,195,828.47","77,624,012.25","138,838,496.43","262,710,547.43","681,364,379.66","167,236,536.99","399,093,604.51","570,249,529.91","697,060,407.58","30,363,662.71","236,966,492.17","274,431,457.27","566,358,548.26","24,977,637.35","107,269,130.53","128,747,844.57","391,515,469.77","73,803,148.81","100,706,929.81","159,332,415.38","739,791,788.09","123,551,302.74","273,748,560.71","371,551,157.86"
资产减值损失,,"-54,000.00","-54,000.00","-30,280.00",,,"30,280.00",,"-54,000.00","-54,000.00","-20,956.40",,-43.60,-43.60,"-33,043.60",,"1,013,980.20","468,647.60","3,840,853.70","5,054.54","-642,443.72","-1,240,025.39","-428,889.60","3,256,964.10","2,285,279.13","1,234,175.36","-2,136,224.19","-747,692.28","3,216,478.41","2,882,153.32","10,443,285.98","4,583,619.55","1,683,126.53","7,067,098.88","9,174,443.97","5,182,692.19","-4,562,832.26","-3,569,692.21","-1,026,821.61","2,014,666.54","-2,504,506.14","-2,983,576.93"
减:所得税,,,,,,,,,,,,,,,,,"91,643,028.08","105,357,187.07","212,879,653.71","21,582,198.18","42,726,527.65","73,645,909.90","164,619,781.34","39,189,950.47","92,633,824.17","144,142,020.52","195,287,305.41","18,022,080.87","46,243,027.92","53,393,846.74","163,061,103.81","12,827,830.99","35,864,769.41","21,553,719.54","103,592,659.82","18,198,873.02","19,229,363.17","24,515,262.74","263,230,102.79","61,955,016.89","94,906,229.01","143,690,139.03"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,"89,039,800.00","117,949,112.00",,"95,894,162.00","95,894,162.00","199,592,847.02",,"1,400,832.00","1,400,832.00","68,462,402.43",,"3,065,096.72","3,065,096.72","37,206,552.50","123,550,990.44","123,951,190.44","123,951,190.44"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,"-447,410.38","-564,674.36","-698,610.48","1,152,824.89","1,152,824.89","1,152,824.89","90,847,520.39","24,186,820.47","157,015,517.00","189,639,241.18","202,804,130.07","24,550,864.51","63,375,573.72","95,456,110.82","107,636,558.73","25,799,778.69","85,517,012.23","129,159,258.98","182,391,758.60","91,273,300.00","162,930,000.00","232,745,914.25","275,932,896.54","119,726,600.00","277,224,972.73","322,461,124.82"
四、净利润,"461,126.89","262,335.80","-683,084.19","568,223.31","-274,483.20","-505,758.25","474,868.49","-442,346.17","69,965.98","-657,580.98","480,070.70","-1,334,426.19","-1,363,856.92","-1,400,504.42","595,023.73","-265,778.00","269,099,161.72","307,968,096.38","604,316,174.76","56,041,814.07","96,111,968.78","189,064,637.53","516,744,598.32","128,046,586.52","306,459,780.34","426,107,509.39","501,773,102.17","12,341,581.84","190,723,464.25","221,037,610.53","403,297,444.45","12,149,806.36","71,404,361.12","107,194,125.03","287,922,809.95","55,604,275.79","81,477,566.64","134,817,152.64","476,561,685.30","61,596,285.85","178,842,331.70","227,861,018.83"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,"-447,410.38","-564,674.36","-698,610.48","1,152,824.89","1,152,824.89","1,152,824.89",,"24,186,820.47",,,"98,191,263.19","24,550,864.51","63,375,573.72","95,456,110.82",,"25,799,778.69","85,517,012.23","129,159,258.98",,"91,273,300.00","162,930,000.00","232,745,914.25","275,683,946.81","119,726,600.00","249,701,500.00","297,888,808.58"
归属于母公司所有者的净利润,"461,126.89","262,335.80","-683,084.19","568,223.31","-274,483.20","-505,758.25","474,868.49","-442,346.17","69,965.98","-657,580.98","480,070.70","-1,334,426.19","-1,363,856.92","-1,400,504.42","595,023.73","-265,778.00","270,116,662.81","309,364,827.50","606,703,419.91","56,279,432.51","97,047,226.52","184,107,161.33","504,633,273.07","128,227,581.73","307,007,424.59","427,644,170.33","508,514,764.25","15,170,641.67","193,435,511.79","225,508,462.44","421,456,860.88","13,878,041.94","73,630,207.82","130,613,756.40","306,745,766.15","67,002,957.93","105,745,927.95","158,363,672.07","523,893,734.29","68,356,319.29","186,138,582.72","244,390,941.79"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,"-1,017,501.09","-1,396,731.12","-2,387,245.15","-237,618.44","-935,257.74","4,957,476.20","12,111,325.25","-180,995.21","-547,644.25","-1,536,660.94","-6,741,662.08","-2,829,059.83","-2,712,047.54","-4,470,851.91","-18,159,416.43","-1,728,235.58","-2,225,846.70","-23,419,631.37","-18,822,956.20","-11,398,682.14","-24,268,361.31","-23,546,519.43","-47,332,048.99","-6,760,033.44","-7,296,251.02","-16,529,922.96"
