科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"45,257,603.80","50,996,322.39","45,495,817.48","61,913,372.60","40,196,606.04","62,005,050.67","82,902,964.84","21,624,653.82","45,343,839.20","70,793,484.56","106,532,261.49","37,216,741.73","72,831,094.55","108,475,839.37","142,037,330.69","45,375,847.71","89,812,352.03","134,326,137.33","176,157,438.92","47,493,046.64","94,959,174.81","136,934,107.48","173,963,459.79","46,053,225.44","87,153,615.79","126,207,766.09","161,364,008.73","42,556,906.83"
取得借款收到的现金,"75,437,790.37","50,000,000.00","98,000,000.00","128,000,000.00","68,000,000.00","115,000,000.00","145,000,000.00",,"20,000,000.00","20,000,000.00","75,410,624.19",,"45,000,000.00","91,978,466.23","125,178,466.23","41,372,624.43","80,372,624.43","100,372,624.43","134,104,217.43",,"10,000,000.00","25,069,492.36","62,831,765.90",,"100,147,680.00","126,127,140.00","146,127,140.00","45,000,000.00"
支付的各项税费,"7,448,961.95","14,456,225.20","19,092,052.61","24,610,218.99","6,200,128.07","8,146,643.41","9,835,317.61","1,066,870.98","2,478,199.65","5,727,688.09","8,308,849.18","3,139,381.98","11,442,799.27","15,914,272.56","18,275,922.24","3,583,413.28","6,818,038.59","8,256,229.82","9,115,936.61","2,327,354.98","4,201,436.93","5,817,577.16","10,837,063.48","1,944,682.53","3,554,502.95","5,105,770.84","7,433,434.79","1,455,079.67"
收到其他与筹资活动有关的现金,,,,,,,,"1,452,674.07","10,606,358.77","10,606,358.77",,35.69,92.44,113.44,,,"1,000,061.90","1,000,061.90","1,000,061.90",,,,,,,,,
支付其他与经营活动有关的现金,"10,312,405.55","13,794,278.40","10,748,736.90","12,561,481.68","7,623,762.83","10,099,004.32","13,479,266.21","4,270,245.16","7,131,635.79","10,581,082.24","13,393,348.38","2,879,080.00","15,058,622.91","22,625,165.51","241,893,829.59","2,922,059.35","14,900,229.14","27,498,930.27","37,324,962.07","4,759,561.18","12,404,495.79","16,113,969.58","20,517,475.20","5,384,939.25","12,781,356.99","21,248,087.98","27,105,238.94","10,264,639.85"
筹资活动现金流入小计,"112,409,790.37","50,000,000.00","98,000,000.00","128,000,000.00","68,000,000.00","115,000,000.00","145,000,000.00","278,875,674.07","308,029,358.77","308,029,358.77","352,833,624.19",35.69,"46,470,092.44","95,898,579.67","136,448,466.23","41,372,624.43","81,372,686.33","101,372,686.33","135,104,279.33",,"10,000,000.00","25,069,492.36","62,831,765.90",,"100,147,680.00","126,127,140.00","164,189,240.00","45,000,000.00"
经营活动现金流出小计,"432,894,081.46","505,311,401.98","433,699,776.96","558,327,888.95","283,219,628.32","438,591,897.91","533,433,855.76","135,001,908.35","268,279,179.57","414,309,629.22","535,891,695.52","143,239,320.19","386,584,786.66","724,928,506.46","913,839,758.74","183,969,645.99","375,329,860.80","618,438,317.87","841,655,644.69","211,200,558.96","475,619,930.87","751,280,119.68","1,016,777,493.09","235,651,162.72","527,051,567.66","787,528,194.75","983,658,717.18","216,740,665.94"
偿还债务支付的现金,"6,000,000.00","75,437,790.37","50,000,000.00","50,000,000.00","58,000,000.00","98,000,000.00","128,000,000.00","145,000,000.00","145,000,000.00","145,000,000.00","190,609,075.01","16,813,594.23","29,813,594.23","32,313,594.23","42,813,594.23","46,146,282.59","76,224,656.51","106,251,723.34","138,539,773.14","35,000,000.00","67,731,593.00","122,731,593.00","122,731,593.00","17,089,380.00","17,089,380.00","47,158,872.36","85,091,965.90","2,000,000.00"
经营活动产生的现金流量净额,"22,421,359.34","61,224,666.29","36,198,334.79","67,257,141.89","11,859,413.50","14,983,551.47","49,668,395.88","-1,940,693.24","34,517,828.49","48,589,353.20","68,682,837.28","21,324,990.49","6,297,412.27","-43,213,957.43","-4,725,256.87","-6,512,833.20","64,929,719.65","52,254,067.04","93,357,421.48","42,046,274.36","93,659,219.42","104,908,307.82","61,019,045.42","7,708,542.94","-41,378,931.87","-54,050,376.15","-50,769,326.98","-19,183,980.32"
分配股利、利润或偿还利息支付的现金,"989,423.45","2,264,503.16","3,678,477.70","5,389,446.53","4,192,033.16","6,193,033.11","8,322,033.09","1,937,323.35","38,869,292.05","39,737,061.22","40,031,787.44","245,510.54","14,281,037.69","20,083,767.90","21,279,573.83","1,455,909.75","11,614,597.06","13,371,537.83","14,551,559.88","1,042,358.56","1,686,667.22","1,928,453.04","2,156,612.00","444,820.75","1,345,620.89","3,035,888.33","4,649,367.15","1,622,037.69"
收回投资收到的现金,"18,090,000.00",,,,,,,,,,"36,000,000.00","10,000,000.00","10,000,000.00","70,000,000.00","78,500,000.00",,"12,000,000.00","12,000,000.00","12,000,000.00",,,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",
支付其他与筹资活动有关的现金,,"1,600,339.50","2,794,203.53","3,538,609.53","849,795.55","1,188,509.35","1,455,657.35","3,478,850.00","6,527,816.31","16,080,239.61","5,534,090.38",730.00,879.00,"1,077.00",,315.00,"1,008,673.61","1,020,550.59","1,020,550.59",,,,,,,,,
取得投资收益收到的现金,"131,310.61",,,,,,,,,"61,106.85","178,449.31","12,821.92","12,821.92","64,301.37","64,976.71",,"18,986.30","42,306.16","18,986.30",,,,"308,300.00","2,007,768.49","2,467,368.49","2,467,368.49","1,525,668.49",
筹资活动现金流出小计,"6,989,423.45","79,302,633.03","56,472,681.23","58,928,056.06","63,041,828.71","105,381,542.46","137,777,690.44","150,416,173.35","190,397,108.36","200,817,300.83","236,174,952.83","17,059,834.77","44,095,510.92","52,398,439.13","64,093,168.06","47,602,507.34","88,847,927.18","120,643,811.76","154,111,883.61","36,042,358.56","69,418,260.22","124,660,046.04","124,888,205.00","17,534,200.75","18,435,000.89","50,194,760.69","89,741,333.05","3,622,037.69"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"60,000.00","41,500.00","41,500.00","41,500.00","3,000.00","4,057,618.00","11,240,133.00","11,431,414.00",,,,,,"48,700.00","156,700.00","215,900.00","121,952.00","290,656.00","290,656.00","979,970.80","91,000.00","91,000.00","94,016.00","1,183,484.00","980,000.00"
筹资活动产生的现金流量净额,"105,420,366.92","-29,302,633.03","41,527,318.77","69,071,943.94","4,958,171.29","9,618,457.54","7,222,309.56","128,459,500.72","117,632,250.41","107,212,057.94","116,658,671.36","-17,059,799.08","2,374,581.52","43,500,140.54","72,355,298.17","-6,229,882.91","-7,475,240.85","-19,271,125.43","-19,007,604.28","-36,042,358.56","-59,418,260.22","-99,590,553.68","-62,056,439.10","-17,534,200.75","81,712,679.11","75,932,379.31","74,447,906.95","41,377,962.31"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,"-1,694,322.95","1,341,092.22","5,626,985.53",,,,,,,,,
四、汇率变动对现金的影响,"1,286.55","318,603.67","67,215.81","64,614.63","-388,015.26","-722,056.73","-1,115,355.34","7,239.57","270,033.37","165,674.98","-522,551.05","924,462.87","1,480,565.25","1,754,760.85","1,757,736.20","40,472.56","346,092.59","622,437.84","2,016,241.21","-291,199.95","-997,891.20","-2,197,289.32","-2,713,056.04","-2,159,954.11","1,131,076.59","2,609,644.26","2,044,075.57","-604,942.07"
收到其他与投资活动有关的现金,,,,"11,400,000.00",,,,"4,700,000.00",,"16,000,000.00",,,,"6,500,000.00",,"13,500,000.00",,"17,613,289.10","14,761,465.00",,,,,,,,"1,528,100.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"18,221,310.61",,,"11,460,000.00","41,500.00","41,500.00","41,500.00","4,703,000.00","4,057,618.00","27,301,239.85","47,609,863.31","10,012,821.92","10,012,821.92","76,564,301.37","78,564,976.71","13,500,000.00","10,373,363.35","31,153,387.48","32,623,336.83","121,952.00","290,656.00","290,656.00","1,288,270.80","12,098,768.49","12,558,368.49","12,561,384.49","14,237,252.49","980,000.00"
五、现金及现金等价物净增加额,"80,470,328.29","-53,184,261.71","-10,282,316.59","21,907,529.28","-31,377,828.89","-47,695,237.83","-36,776,785.15","69,037,885.88","79,201,241.05","-15,300,013.09","19,769,249.95","-7,625,614.51","-23,665,642.03","-43,497,840.12","-10,878,909.45","-12,579,373.17","26,543,159.69","-393,624.20","32,198,165.93","-293,786.02","23,123,097.62","-10,442,567.25","-18,842,583.05","-13,506,311.91","32,599,613.63","-13,500,029.88","-16,832,016.47","16,352,882.15"
购建固定资产、无形资产和其他长期资产支付的现金,"65,593,995.13","85,424,898.64","88,075,185.96","125,946,171.18","47,848,898.42","71,616,690.11","92,593,635.25","42,191,161.17","77,276,489.22","102,568,339.06","116,659,570.95","12,828,090.71","33,831,022.99","48,103,085.45","67,405,142.53","13,377,129.62","26,370,775.05","51,833,076.13","63,471,914.31","6,128,453.87","10,410,626.38","13,853,688.07","16,380,404.13","3,619,468.48","8,217,178.69","11,038,743.53","13,968,867.66","4,931,557.77"
期初现金及现金等价物余额,"32,899,960.35","113,370,288.64","60,186,026.93","60,186,026.93","82,093,556.21","82,093,556.21","82,093,556.21","45,316,771.06","45,316,771.06","45,316,771.06","45,316,771.06","45,316,771.06","65,086,021.01","65,086,021.01","65,086,021.01","54,207,111.56","54,207,111.56","54,207,111.56","54,207,111.56","86,405,277.49","86,405,277.49","86,405,277.49","86,405,277.49","67,562,694.44","67,562,694.44","67,562,694.44","67,562,694.44","50,730,677.97"
投资支付的现金,,,,,,,,"20,000,000.00",,"60,000,000.00","96,000,000.00","10,000,000.00","10,000,000.00","70,000,000.00","78,500,000.00",,"15,260,000.00","12,000,000.00","12,000,000.00",,,,,"10,000,000.00","13,000,000.00","10,000,000.00","10,000,000.00",
期末现金及现金等价物余额,"113,370,288.64","60,186,026.93","49,903,710.34","82,093,556.21","50,715,727.32","34,398,318.38","45,316,771.06","114,354,656.94","124,518,012.11","30,016,757.97","65,086,021.01","37,691,156.55","41,420,378.98","21,588,180.89","54,207,111.56","41,627,738.39","80,750,271.25","53,813,487.36","86,405,277.49","86,111,491.47","109,528,375.11","75,962,710.24","67,562,694.44","54,056,382.53","100,162,308.07","54,062,664.56","50,730,677.97","67,083,560.12"
