科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付的各项税费,"18,312,624.04","27,981,053.11","36,575,626.97","14,700,952.29","32,767,037.53","47,117,864.08","1,844,305.11","6,281,561.85","8,896,128.97","16,044,546.45","16,127,980.50","43,020,551.93","62,165,661.52","83,024,399.63","12,232,920.81","49,797,590.58","74,851,147.98","101,763,258.82","17,572,809.53","59,958,797.92","94,875,844.86","154,242,549.32","55,032,316.05","89,888,433.57","181,857,756.93"
收到其他与筹资活动有关的现金,"11,500,000.00","4,900,000.00",,,,,"10,000.00",,"3,270,000.00",,,,,,,,,,,"7,346,397.41",,,,,
支付其他与经营活动有关的现金,"5,991,770.14","11,018,457.75","19,268,248.46","6,073,303.28","11,048,907.72","17,220,950.84","5,384,679.40","14,883,862.75","28,609,555.72","43,019,246.69","33,096,348.46","44,562,003.30","87,263,587.47","76,646,263.94","30,100,653.87","47,992,348.24","37,766,883.70","79,045,511.76","39,676,265.78","82,224,533.07","196,524,277.58","70,175,630.77","40,884,377.33","140,666,610.39","176,311,777.50"
筹资活动现金流入小计,"76,030,000.00","96,615,000.00","120,980,000.00","90,000,000.00","524,284,560.00","518,614,071.50","1,010,000.00","151,000,000.00","269,270,000.00","360,300,000.00","182,600,000.00","621,399,976.00","1,006,399,976.00","1,096,399,976.00","171,000,000.00","637,300,000.00","818,020,000.00","1,612,889,991.28","270,000,000.00","1,109,146,397.41","1,555,799,998.20","2,422,853,298.20","191,373,107.52","1,244,184,672.60","2,609,194,047.92"
经营活动现金流出小计,"193,329,054.13","241,664,986.93","318,457,415.50","219,867,464.92","310,801,012.70","403,989,811.60","117,471,293.65","255,598,056.03","399,640,980.28","511,274,022.98","312,188,463.39","616,566,886.48","925,599,363.86","1,103,015,858.15","410,924,552.87","682,498,997.67","910,462,744.84","1,122,182,696.47","542,218,292.52","1,025,047,285.71","1,635,767,231.71","1,942,167,292.84","841,390,613.72","1,707,256,892.63","2,483,918,087.43"
偿还债务支付的现金,,"5,500,000.00","40,000,000.00","80,000,000.00","80,000,000.00","120,000,000.00",,"100,000,000.00","143,000,000.00","143,000,000.00","26,000,000.00","220,300,000.00","365,300,000.00","502,300,000.00","189,000,000.00","499,800,000.01","690,800,000.01","1,073,300,000.02","29,000,000.00","322,132,900.00","565,065,800.00","1,229,547,291.54","253,869,534.20","520,765,597.24","709,861,328.01"
经营活动产生的现金流量净额,"-31,736,725.00","-31,848,497.73","23,127,689.66","-84,137,724.79","-139,545,087.97","-102,742,448.48","-44,739,640.83","-106,128,538.43","-185,294,521.95","-193,026,520.71","-113,542,662.41","-274,968,915.67","-356,247,242.71","-64,016,216.93","-178,985,994.77","-233,138,597.58","-101,271,191.53","84,538,131.84","-273,775,872.06","-474,979,583.34","-540,813,985.84","105,675,610.87","-312,391,352.93","-870,874,133.75","-1,365,531,090.00"
分配股利、利润或偿还利息支付的现金,"7,233,776.09","4,806,960.52","5,462,199.65","4,964,326.81","7,680,729.58","10,779,676.79","2,584,899.99","24,690,032.18","29,736,794.96","34,535,880.42","5,574,114.04","12,008,474.89","33,485,477.98","51,017,199.53","16,401,380.60","25,091,082.13","52,142,320.18","73,434,630.38","24,641,630.72","60,979,868.99","84,007,977.89","106,737,194.81","28,341,501.62","92,551,534.70","121,026,196.42"
收回投资收到的现金,,,,,,,,,,,,,,,,"1,500,000.00","1,500,000.00","1,500,000.00",,,,"2,000,000.00","18,000,000.00","28,000,000.00","57,250,000.00"
支付其他与筹资活动有关的现金,"11,500,000.00","20,509,125.76","540,000.00","1,115,910.00","1,530,898.50","1,755,910.00",,"160,500.00","588,500.00","4,700,000.00","450,000.00","778,261.08","1,268,261.08","27,548,199.40","31,692,901.10","15,736,781.68","49,306,206.49","137,146,285.02","45,405,078.97","540,000.00","87,299,568.72","319,238,929.02","22,017,605.19","126,311,521.76","487,697,376.51"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,60.28,,,"575,229.60","911,602.00","693,912.21","2,932,632.67","3,796,301.76"
筹资活动现金流出小计,"18,733,776.09","30,816,086.28","46,002,199.65","86,080,236.81","89,211,628.08","132,535,586.79","2,584,899.99","124,850,532.18","173,325,294.96","182,235,880.42","32,024,114.04","233,086,735.97","400,053,739.06","580,865,398.93","237,094,281.70","540,627,863.82","792,248,526.68","1,283,880,915.42","99,046,709.69","383,652,768.99","736,373,346.61","1,655,523,415.37","304,228,641.01","739,628,653.70","1,318,584,900.94"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"23,800.00","3,606,955.39","3,606,955.39","3,606,955.39",,,,,"514,848.00","513,828.00","549,828.00","511,583.23",,"1,500,000.00","1,501,000.00","1,501,350.00",,,"13,750.00","368,187.15","105,670.00","110,270.00","20,169,060.00"
筹资活动产生的现金流量净额,"57,296,223.91","65,798,913.72","74,977,800.35","3,919,763.19","435,072,931.92","386,078,484.71","-1,574,899.99","26,149,467.82","95,944,705.04","178,064,119.58","150,575,885.96","388,313,240.03","606,346,236.94","515,534,577.07","-66,094,281.70","96,672,136.18","25,771,473.32","329,009,075.86","170,953,290.31","725,493,628.42","819,426,651.59","767,329,882.83","-112,855,533.49","504,556,018.90","1,290,609,146.98"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,"990,228.55","-2,071,662.07",,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,"-31,442.76",,"-64,074.42","-46,562.01"
收到其他与投资活动有关的现金,,"64,616.44",,,,,,,,,,,,,,"483,393.34","483,393.34","483,393.34",,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"64,616.44","23,800.00","3,606,955.39","3,606,955.39","3,606,955.39",,,,,"514,848.00","513,828.00","549,828.00","511,583.23",,"3,483,393.34","3,484,393.34","3,484,803.62",,,"1,579,208.15","1,208,127.08","18,799,582.21","31,042,902.67","81,215,361.76"
五、现金及现金等价物净增加额,"15,801,170.53","16,052,243.54","81,976,364.92","-94,222,094.98","267,667,856.17","244,647,635.56","-53,334,080.22","-115,768,105.23","-197,630,736.74","-104,655,490.02","14,494,430.80","-95,697,971.05","-40,809,813.32","98,988,030.58","-303,547,059.78","-253,131,731.98","-245,882,651.95","130,337,479.24","-151,366,395.67","148,992,701.59","67,699,703.44","485,238,887.20","-445,345,821.68","-458,196,384.70","-176,575,028.03"
购建固定资产、无形资产和其他长期资产支付的现金,"7,118,328.38","17,472,788.89","16,152,925.09","17,611,088.77","31,466,943.17","42,295,356.06","7,019,539.40","35,789,034.62","72,580,919.83","86,622,588.89","22,809,171.19","76,958,060.29","137,860,562.43","169,429,249.67","58,466,783.31","120,148,663.92","157,867,327.08","225,694,532.08","33,043,813.92","52,371,343.49","69,793,090.14","113,937,765.02","32,798,517.47","73,924,456.49","115,667,185.01"
期初现金及现金等价物余额,"15,750,847.86","31,552,018.39","47,604,261.93","129,580,626.85","129,580,626.85","129,580,626.85","374,228,262.41","374,228,262.41","374,228,262.41","374,228,262.41","275,919,178.83","269,572,772.39","269,572,772.39","269,572,772.39","368,560,802.97","368,560,802.97","368,560,802.97","368,560,802.97","498,898,282.21","498,898,282.21","498,898,282.21","498,898,282.21","984,137,169.41","984,137,169.41","984,137,169.41"
投资支付的现金,"2,640,000.00",,,,,,,,"35,700,000.00",,,"5,700,000.00","26,700,000.00","55,600,000.00",,,"16,000,000.00","61,000,000.00","15,500,000.00","33,600,000.00","76,820,000.00","208,710,445.48","5,600,000.00","48,352,641.61","66,350,340.11"
期末现金及现金等价物余额,"31,552,018.39","47,604,261.93","129,580,626.85","35,358,531.87","397,248,483.02","374,228,262.41","320,894,182.19","258,460,157.18","176,597,525.67","269,572,772.39","290,413,609.63","173,874,801.34","228,762,959.07","368,560,802.97","65,013,743.19","115,429,070.99","122,678,151.02","498,898,282.21","347,531,886.54","647,890,983.80","566,597,985.65","984,137,169.41","538,791,347.73","525,940,784.71","807,562,141.38"
