科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月
支付给职工以及为职工支付的现金,"3,858,089.22","7,048,002.41","11,188,764.84","9,567,997.23","4,265,392.13","7,763,989.68","12,002,923.72","11,617,740.49","3,976,433.18","6,957,394.32","10,565,348.95","12,646,034.85","4,011,457.79","6,957,147.15","10,948,773.21","16,226,292.51","3,455,873.27","6,923,622.34","11,923,058.77","17,899,687.81","4,797,215.20","8,708,166.34","12,497,101.96","15,604,142.31","5,348,984.73","10,166,333.28","15,087,575.79","18,852,060.11","6,118,762.18","10,929,089.57","15,320,274.12","22,856,671.09","5,520,673.71","9,827,529.58","13,738,527.19","25,864,935.23","7,067,267.10","12,490,116.53","19,020,338.27","31,644,141.97","6,481,575.92"
取得借款收到的现金,,,,,,,,,,"140,000,000.00","140,000,000.00","262,800,000.00",,"40,000,000.00","40,000,000.00","40,000,000.00",,,,,,,,,,"243,210,000.00","287,490,000.00","287,490,000.00",,,,,,,,,,,,,
支付的各项税费,"875,159.65","3,203,850.59","6,637,895.30","7,204,343.72","2,985,106.57","5,438,424.79","7,611,519.62","11,865,296.61","2,048,573.45","5,658,090.59","7,656,269.89","11,166,361.96","2,159,448.87","4,467,940.09","6,629,298.60","9,901,324.00","2,492,369.23","5,140,287.78","7,907,906.71","10,663,111.59","2,911,179.48","5,619,348.44","7,987,937.06","9,435,614.46","2,580,195.60","5,664,434.73","8,286,842.16","8,961,252.09","2,533,836.04","5,040,189.07","7,347,735.58","8,448,869.76","2,330,748.79","4,907,607.35","7,284,571.21","8,776,413.77","8,607,568.15","11,412,472.42","13,950,089.21","11,281,047.15","5,199,213.38"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,"972,000.00",,,,,,,,,,,,,,,,,,,,"80,000,000.00",,,,,
支付其他与经营活动有关的现金,"5,411,622.94","11,249,348.23","20,247,573.36","23,878,991.03","6,470,931.01","14,758,863.74","25,532,751.42","21,926,175.27","9,234,484.65","13,614,597.14","20,996,926.05","30,981,541.68","10,758,628.87","23,431,444.57","31,108,218.00","25,167,808.85","5,358,302.63","12,309,814.09","18,932,196.80","9,626,127.50","7,511,180.79","14,598,454.92","21,182,525.88","13,784,463.43","3,132,608.58","9,299,146.62","21,958,295.03","18,328,886.78","7,898,051.84","16,240,327.42","23,796,335.63","21,073,234.13","6,007,236.44","11,496,607.25","18,626,516.06","8,031,134.82","22,043,526.20","47,457,056.43","59,679,969.66","33,345,398.89","11,412,626.51"
筹资活动现金流入小计,,,,,,,,,,"140,000,000.00","140,000,000.00","262,800,000.00",,"40,000,000.00","40,000,000.00","40,972,000.00",,,,,,,,,,"243,210,000.00","287,490,000.00","287,490,000.00",,,,,,,,"80,000,000.00",,,,"400,000.00",
经营活动现金流出小计,"12,025,523.94","25,448,265.01","44,019,310.43","55,109,140.01","17,580,954.80","33,332,481.88","52,636,689.30","58,837,533.33","16,666,717.63","29,552,523.96","44,692,412.30","64,466,009.75","18,284,376.95","38,140,962.85","54,695,997.76","62,999,532.46","14,337,196.92","29,226,729.35","45,901,515.87","55,734,779.86","18,168,883.71","33,951,745.68","49,200,472.71","54,971,145.89","13,833,168.72","30,149,476.82","53,088,021.68","59,966,507.10","20,723,415.74","37,587,558.91","55,029,159.65","67,227,310.66","15,928,254.20","31,092,849.09","46,155,578.81","66,971,365.08","55,124,765.32","89,801,738.02","116,412,893.01","142,809,474.24","27,558,046.95"
偿还债务支付的现金,"6,650,000.00","7,050,000.00","14,000,000.00","12,200,000.00","7,050,000.00","14,050,000.00","14,050,000.00","14,050,000.00",,"106,750,000.00","110,750,000.00","211,550,000.00","2,000,000.00","2,000,000.00","4,000,000.00","6,000,000.00","2,000,000.00","4,000,000.00","9,000,000.00","14,000,000.00","5,000,000.00","10,000,000.00","15,000,000.00","20,000,000.00","5,000,000.00","154,000,000.00","154,000,000.00","201,490,000.00","4,068,000.00","39,872,000.00","40,100,000.00","40,100,000.00",,,,,,,,,
经营活动产生的现金流量净额,"7,629,644.67","10,886,776.12","9,083,975.11","28,565,011.45","5,875,403.11","15,978,145.17","17,696,083.55","22,720,319.68","698,904.14","1,129,560.18","3,491,148.12","1,165,860.00","290,909.69","7,215,286.53","10,806,470.04","30,598,520.18","6,413,625.42","17,571,678.89","31,233,797.26","31,224,967.47","2,746,167.20","6,102,946.03","8,201,320.65","13,799,450.81","1,924,006.82","2,653,366.31","3,325,142.69","42,822,709.57","-5,271,165.60","-3,637,202.88","5,486,926.11","4,464,971.70","1,595,599.29","3,886,413.17","5,802,501.11","43,900,623.06","-29,991,501.73","-37,373,783.52","-43,613,865.33","-30,228,818.04","-8,366,364.55"
分配股利、利润或偿还利息支付的现金,"2,310,668.00","4,536,877.25","6,793,731.00","9,201,849.49","2,434,663.34","4,733,697.84","6,950,499.84","9,164,233.15","1,688,466.75","4,053,346.19","6,153,796.19","9,199,368.19","2,487,870.00","4,795,230.00","7,636,530.00","10,797,971.11","2,968,747.77","6,138,969.99","9,338,939.44","12,456,410.27","3,026,408.33","5,991,912.50","8,696,909.73","11,098,623.62","2,453,520.83","5,529,293.67","10,863,572.17","17,017,816.79","5,108,999.99","9,878,859.83","14,232,084.50","18,534,744.85","4,255,364.02","8,468,867.31","8,958,289.14","8,958,289.14",,,,,
收回投资收到的现金,,,,,,,,"26,845.03",,,,,,,,,,,,"40,500,000.00","20,000,000.00","20,000,000.00","20,000,000.00","23,150,000.00",,"65,000,000.00","65,000,000.00","61,850,000.00",,,,"122,000,000.00",,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,"16,800,000.00",,,,,,"55,000,000.00","60,000,000.00","60,000,000.00",,,,,,,,,,,,,,,,,,,"49,563,990.38","49,563,990.38","49,563,990.38",
取得投资收益收到的现金,,,,"100,070.57",,,,,,,,"37,553.50",,,,"17,005.43",,,,"14,178,801.30",,,,"512,500.00",,"1,000,000.00","1,000,000.00","4,218,637.01",,,,"137,504.89",,,,,,,,,
筹资活动现金流出小计,"8,960,668.00","11,586,877.25","20,793,731.00","21,401,849.49","9,484,663.34","18,783,697.84","21,000,499.84","23,214,233.15","1,688,466.75","110,803,346.19","133,703,796.19","220,749,368.19","4,487,870.00","6,795,230.00","11,636,530.00","16,797,971.11","59,968,747.77","70,138,969.99","78,338,939.44","26,456,410.27","8,026,408.33","15,991,912.50","23,696,909.73","31,098,623.62","7,453,520.83","159,529,293.67","164,863,572.17","218,507,816.79","9,176,999.99","49,750,859.83","54,332,084.50","58,634,744.85","4,255,364.02","8,468,867.31","8,958,289.14","8,958,289.14",,"49,563,990.38","49,563,990.38","49,563,990.38",
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"10,000,000.00",,,,,,,,,"1,600.00",,,,"1,198,876.00",,,,,,,,,,,"38,000.00","38,000.00",,"10,000.00","140,000.00","152,000.00",,,,,,,,,
筹资活动产生的现金流量净额,"-8,960,668.00","-11,586,877.25","-20,793,731.00","-21,401,849.49","-9,484,663.34","-18,783,697.84","-21,000,499.84","-23,214,233.15","-1,688,466.75","29,196,653.81","6,296,203.81","42,050,631.81","-4,487,870.00","33,204,770.00","28,363,470.00","24,174,028.89","-59,968,747.77","-70,138,969.99","-78,338,939.44","-26,456,410.27","-8,026,408.33","-15,991,912.50","-23,696,909.73","-31,098,623.62","-7,453,520.83","83,680,706.33","122,626,427.83","68,982,183.21","-9,176,999.99","-49,750,859.83","-54,332,084.50","-58,634,744.85","-4,255,364.02","-8,468,867.31","-8,958,289.14","71,041,710.86",,"-49,563,990.38","-49,563,990.38","-49,163,990.38",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,"8,772.10",,,,"33,336.35",,,,"-2,029.93",,,,"-2,610.27",,,,"-5,575.91",,,,,,,,634.46,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,"10,000,000.00","100,070.57",,,,"26,845.03",,,,"39,153.50",,,,"1,215,881.43",,,,"54,678,801.30","20,000,000.00","20,000,000.00","20,000,000.00","23,662,500.00",,"66,000,000.00","66,038,000.00","66,106,637.01",,"10,000.00","140,000.00","122,289,504.89",,,,,,,,,
五、现金及现金等价物净增加额,"-5,016,634.54","-4,700,051.35","-5,997,053.80","1,035,786.49","-4,452,348.52","-4,708,019.95","-5,374,013.57","-2,541,314.13","-1,520,164.12","23,053,367.28","1,963,497.12","35,884,843.80","-4,567,236.31","39,677,516.13","37,667,965.31","49,748,993.49","-54,360,047.73","-61,438,341.04","-57,171,238.15","-13,016,150.17","-51,111,241.13","-57,313,014.47","-63,006,437.08","-63,434,519.24","-5,653,354.01","57,812,732.64","89,659,089.62","58,942,078.45","-18,236,864.07","-57,698,570.19","-54,153,746.45","-61,964,515.95","-2,785,639.47","-5,099,096.54","-3,824,974.67","109,922,230.39","-30,016,162.73","-87,414,630.01","-94,101,741.12","-80,493,327.08","-14,065,400.15"
购建固定资产、无形资产和其他长期资产支付的现金,"3,585,611.21","3,899,950.22","4,187,297.91","6,227,446.04","843,088.29","1,902,467.28","2,069,597.28","2,074,245.69","530,601.51","2,172,846.71","2,723,854.81","2,270,801.51","370,276.00","742,540.40","1,501,974.73","6,248,209.11","804,925.38","8,871,049.94","10,066,095.97","11,996,845.02","831,000.00","2,424,048.00","2,510,848.00","4,795,816.50","123,840.00","94,521,340.00","102,330,480.90","118,966,841.07","3,788,698.48","4,320,507.48","5,448,588.06","8,078,671.78","125,874.74","516,642.40","669,186.64","5,020,103.53","24,661.00","476,856.11","923,885.41","1,101,153.12","699,035.60"
期初现金及现金等价物余额,"6,775,444.84","6,775,444.84","6,775,444.84","6,775,444.84","7,811,231.55","7,811,231.55","7,811,231.55","7,811,231.33","5,269,917.20","5,269,917.20","5,329,917.20","5,269,917.20","41,154,761.00","41,154,761.00","41,154,761.00","41,154,761.00","90,903,754.49","90,903,754.49","90,903,754.49","90,903,754.49","77,887,604.32","77,887,604.32","77,887,604.32","77,887,604.32","14,453,085.08","14,453,085.08","14,453,085.08","14,453,085.08","73,395,163.53","73,395,163.53","73,395,163.53","73,395,163.53","11,430,647.58","11,430,647.58","11,430,647.58","11,430,647.58","121,352,877.97","121,352,877.97","121,352,877.97","121,352,877.97","40,859,550.89"
投资支付的现金,,,,,,,,,,"5,100,000.00","5,100,000.00","5,100,000.00",,,,,,,,"60,500,000.00","65,000,000.00","65,000,000.00","65,000,000.00","65,000,000.00",,,,,,,,"122,000,000.00",,,,,,,,,"5,000,000.00"
期末现金及现金等价物余额,"1,758,810.30","2,075,393.49","778,391.04","7,811,231.33","3,358,883.03","3,103,211.60","2,437,217.98","5,269,917.20","3,749,753.08","28,323,284.48","7,293,414.32","41,154,761.00","36,587,524.69","80,832,277.13","78,822,726.31","90,903,754.49","36,543,706.76","29,465,413.45","33,732,516.34","77,887,604.32","26,776,363.19","20,574,589.85","14,881,167.24","14,453,085.08","8,799,731.07","72,265,817.72","104,112,174.70","73,395,163.53","55,158,299.46","15,696,593.34","19,241,417.08","11,430,647.58","8,645,008.11","6,331,551.04","7,605,672.91","121,352,877.97","91,336,715.24","33,938,247.96","27,251,136.85","40,859,550.89","26,794,150.74"
