科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
经营活动产生的现金流量净额,"-2,265,518.69","-5,539,948.68","-8,508,368.25","1,322,062.88","-1,159,158.07","-2,662,826.08","-3,594,594.07","-3,639,712.11","-2,241,521.02","-2,280,786.31","-2,150,225.01","-7,923,071.04","-27,429.74","27,014.38","249,862.29","-8,789,302.74","-4,777,938.02","-8,052,299.29","-9,177,711.12","-10,331,139.07","-2,445,162.97","-7,701,265.87","-13,221,526.43","-31,585,228.73","-2,343,842.46","1,627,872.72","-3,614,602.83","-2,819,397.36","-1,801,897.06","2,984,646.95"
分配股利、利润或偿还利息支付的现金,,,0.01,,,,,,,,,"36,372.33",,,,"8,375,301.64",,,,"61,393.72","15,000.00","15,000.00","15,000.00","15,000.00",,,"25,000.00","25,000.00",,
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,0.01,,,,,,,"478,456.00",,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,"92,791.84","154,185.56",,754.24,754.24,754.24,,,,"26,147.60",,
筹资活动现金流出小计,0.01,,0.01,"16,950,000.00",,,,"478,456.00",,,,"36,372.33",,,,"85,927,554.52",,,,"61,393.72","15,000.00","15,000.00","15,000.00","15,000.00",,,"25,000.00","25,000.00",,
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,"1,280,000.00","1,280,000.00","1,280,000.00","1,280,000.00",,,,"99,900,000.00",,"28,580,000.00","29,640,000.00","29,640,000.00",,,,,,,,"984,136.69",,
筹资活动产生的现金流量净额,-0.01,"1,500,000.00","2,699,999.99","-13,350,000.00","900,000.00","1,800,000.00","2,700,000.00","3,121,544.00","600,000.00","600,000.00","600,000.00","7,396,627.67",99.73,99.73,99.73,"-75,853,954.52","3,410.89",,,"-61,393.72","-15,000.00","-15,000.00","2,925,000.00","2,925,000.00","3,538.29",,"-14,614.36","-173,546.08","4,092.20","55,000,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,740,000.00",,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,,,,"1,280,000.00","1,280,000.00","1,280,000.00","1,280,000.00",,,,"99,900,000.00",,"28,580,000.00","29,732,791.84","29,794,185.56",,754.24,754.24,754.24,,,,"3,750,284.29",,
五、现金及现金等价物净增加额,"-2,314,659.70","-4,090,139.68","-5,867,709.26","-12,071,615.54","-259,158.07","-862,826.08","-894,594.07","-518,168.11","-361,521.02","-400,786.31","-270,225.01","748,757.63","-80,175.08","-60,439.96","162,407.95","14,821,137.74","-4,774,527.13","20,527,700.71","20,555,080.72","19,333,319.77","-2,460,162.97","-8,087,606.53","-11,835,836.65","-30,392,138.07","-2,340,304.17","1,627,872.72","-3,629,217.19","754,170.85","-1,803,184.86","407,363.48"
购建固定资产、无形资产和其他长期资产支付的现金,"49,141.00","50,191.00","59,341.00","43,678.42",,,,,,,,"4,799.00","52,845.07","87,554.07","87,554.07","435,605.00",,,,"68,333.00",,"372,094.90","1,540,064.46","1,732,663.58",,,,"2,800.00","5,380.00","3,749.00"
期初现金及现金等价物余额,"13,096,586.37","13,096,586.37","13,096,586.37","13,096,586.37","1,024,970.83","1,024,970.83","1,024,970.83","1,024,970.83","506,802.72","506,802.72","506,802.72","506,802.72","1,255,560.35","1,255,560.35","1,255,560.35","1,255,560.35","16,076,698.09","16,076,698.09","16,076,698.09","16,076,698.09","35,410,017.86","35,410,017.86","35,410,017.86","35,410,017.86","5,017,879.79","4,517,879.79","4,517,879.79","5,017,879.79","5,772,050.64","18,772,252.41"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"10,781,926.67","9,006,446.69","7,228,877.11","1,024,970.83","765,812.76","162,144.75","130,376.76","506,802.72","145,281.70","106,016.41","236,577.71","1,255,560.35","1,175,385.27","1,195,120.39","1,417,968.30","16,076,698.09","11,302,170.96","36,604,398.80","36,631,778.81","35,410,017.86","32,949,854.89","27,322,411.33","23,574,181.21","5,017,879.79","2,677,575.62","6,145,752.51","888,662.60","5,772,050.64","3,968,865.78","19,179,615.89"
