科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
筹资活动产生的现金流量净额,,,"-88,407,745.05","225,519,493.12","197,593,866.27","242,346,888.54","75,681,728.96","1,487,823,188.85","511,102,555.89","24,394,079.93","-2,022,817,686.24","308,989,081.51","-630,510,002.08","-400,309,231.70","-506,589.05","-127,830,030.81","-54,395,816.09","-274,842,357.06","-553,078,045.26","-444,053,394.76","489,074,985.33","740,916,337.45","311,842,920.38","25,747,477.65","310,083,736.43","534,276,095.50","994,820,526.23","996,656,326.74","-241,778,938.83","-891,801,628.25","3,132,251,822.37","3,083,937,938.11","-36,645,793.09","-380,750,913.92","-1,015,776,432.67","-706,185,646.29","-815,257,920.18","-1,113,490,456.75","-1,356,736,068.58","-1,373,686,177.28","-338,839,433.09","-495,336,113.45","-675,878,001.81","-818,425,526.80","362,781,182.47","-365,682,891.00","-1,077,854,645.16","-1,253,630,591.83","-57,915,527.89"
处置子公司及其他营业单位收到的现金净额,,,,,,,,"1,049,106.89",,,,"8,016,690.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-517,349.04",,,,,
四、汇率变动对现金的影响,"-15,247.51","-160,987.24","-164,760.63","-67,595.34","125,746.54","-3,061,257.78","-16,731,554.60","-28,579,822.35","-9,780,096.25","-1,417,831.39","-2,191,698.19","-2,306,826.04","-3,589,339.29","-3,589,339.29","-25,160,259.92","4,959,825.04","23,399,289.27","10,780,102.40","-39,778,915.99","-1,987,061.47","35,894,047.99","44,003,933.44","57,168,601.78","43,582,095.64","-9,595,780.39","-44,743,565.80","-56,683,469.57","-87,161,385.98","-10,503,772.41","-4,989,804.03","-14,248,067.56","-26,493,315.28","-1,066,072.60","-8,621,759.57","37,075,678.64","71,999,060.41","21,158,776.05","118,343,865.92","143,796,331.93","179,344,851.29","-7,888,520.78","-31,934,730.41","-66,415,777.61","-110,375,471.38","-65,140,248.48","60,312,068.43","294,247,815.46","282,376,135.24","-133,775,873.45"
收到其他与投资活动有关的现金,,,,"5,773,872.24","260,000.00","260,000.00","2,260,000.00",,,,"73,009.19","2,052,339.27","4,896,330.00","4,674,200.00","4,689,748.00","5,524,600.00",,"14,353.60","75,453.08",,,"2,693.96","2,693.96",,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"268,284.40","1,244,400.80","1,859,036.20","6,094,204.70","2,517,973.20","4,322,605.83","14,699,533.74","13,682,820.60","95,100.00","479,950.00","10,440,530.69","27,850,614.50","5,535,686.00","6,093,058.00","15,973,838.02","19,298,059.72","44,098,083.78","108,803,071.79","115,327,700.74","153,533,929.07","5,967,895.30","283,314,460.24","321,801,159.17","352,501,845.88","3,917,115.04","7,208,255.84","18,936,511.49","73,657,500.24","39,145,801.90","42,567,605.71","227,140,796.25","538,489,724.83","81,874,484.98","82,777,545.98","111,624,827.75","241,663,920.50","101,348.30","1,064,947.61","13,477,958.51","31,538,178.82","1,598,550.72","92,051,833.96","121,072,618.74","162,410,591.19","42,357,224.35","1,657,827,535.10","2,492,015,504.13","3,074,867,071.90","1,235,956,056.98"
五、现金及现金等价物净增加额,"-458,685,234.15","-785,251,572.02","-901,803,617.98","-2,098,813,463.75","-8,276,091.65","4,370,676,598.20","3,421,324,215.98","6,486,908,907.91","-1,150,397,783.71","1,126,759,085.79","-457,872,316.63","3,037,405,362.50","-2,686,028,509.49","-2,132,661,017.04","-153,540,258.50","-1,188,146,277.20","-3,025,018,086.85","-2,954,606,125.61","-4,259,640,260.48","-3,386,326,724.22","-2,624,511,876.34","-2,230,090,818.89","-2,798,017,321.73","-1,355,227,179.44","202,487,733.75","996,835,391.14","971,511,761.96","3,179,373,301.53","-1,243,130,989.54","-1,216,545,085.31","3,649,230,655.91","5,694,070,368.13","-2,461,747,480.47","-1,516,136,698.28","-1,396,344,030.12","3,264,091,982.75","-823,124,187.47","2,023,554,293.27","3,939,378,881.90","7,327,744,192.51","-1,251,274,974.04","-1,660,682,440.24","-2,619,746,714.92","-522,807,010.61","-1,322,177,322.91","1,114,256,673.57","2,142,951,207.86","-1,948,121,758.18","-4,113,997,850.31"
购建固定资产、无形资产和其他长期资产支付的现金,"44,635,890.42","99,716,770.38","136,300,208.88","692,651,108.09","211,497,423.29","396,889,241.88","1,008,333,544.84","1,988,312,226.64","783,599,327.01","1,867,105,883.33","2,777,502,831.39","3,685,368,309.83","908,866,295.29","1,521,681,257.53","2,050,519,243.16","2,584,358,514.04","563,967,410.81","903,460,840.94","1,139,420,007.21","1,861,909,811.75","464,410,096.52","647,516,090.53","851,617,862.62","1,194,534,944.31","236,395,230.50","358,866,905.54","578,401,049.98","774,395,805.13","243,877,687.37","443,198,750.89","569,860,788.24","667,494,302.62","121,415,274.96","189,572,332.34","265,590,313.95","385,281,362.20","60,585,936.38","88,515,201.73","128,007,072.04","273,826,098.71","41,235,162.49","77,237,592.55","100,705,432.85","205,909,213.82","38,374,002.80","73,531,637.31","121,987,161.67","184,988,467.66","47,902,909.84"
期初现金及现金等价物余额,"3,141,807,892.22","3,141,807,892.22","3,141,807,892.22","6,926,194,176.42","4,827,380,712.67","4,827,380,712.67","4,827,380,712.67","4,827,380,712.67","11,314,289,620.58","11,314,289,620.58","11,314,289,620.58","11,788,434,105.76","14,858,614,313.58","14,858,614,313.58","14,858,614,313.58","14,858,697,640.26","13,670,551,363.06","13,670,551,363.06","13,670,551,363.06","13,670,551,363.06","10,284,224,638.84","10,285,000,143.30","10,114,771,707.83","10,284,224,638.84","8,928,997,459.40","8,929,997,459.40","8,928,997,459.40","8,928,997,459.40","12,108,370,760.93","12,108,370,760.93","12,108,370,760.93","12,108,370,760.93","17,802,441,129.06","17,802,441,129.06","17,802,441,129.06","17,802,441,129.06","21,066,533,111.81","21,066,533,111.81","21,066,533,111.81","21,066,533,111.81","28,394,277,304.32","28,394,277,304.32","28,394,277,304.32","28,394,277,304.32","27,871,470,293.71","28,848,070,618.12","28,848,070,618.12","28,847,748,952.33","26,899,627,194.15"
投资支付的现金,"19,125,000.00","19,125,000.00","19,125,000.00","1,175,819,100.00",,,,,,,,"155,787,400.00",,"3,999,781.17","26,999,781.17","452,400,303.35","34,029,685.40","67,952,605.97","74,395,511.84","93,397,122.48","394,000,000.00","394,000,000.00","394,000,000.00","404,000,000.00",,"28,000,000.00","33,000,000.00","33,000,000.00",,"51,000,000.00","67,000,000.00","67,000,000.00","12,000,000.00","23,627,240.00","73,652,590.30","113,971,569.15","23,966,755.66","39,966,755.66","200,716,755.66","200,716,755.66","2,000,000.00","2,000,000.00","2,000,000.00","746,884.48","48,000,000.00","905,024,849.80","2,455,933,359.31","3,307,133,584.95","959,969,719.16"
期末现金及现金等价物余额,"2,683,122,658.07","2,356,556,320.20","2,240,004,274.24","4,827,380,712.67","4,819,104,621.02","9,198,057,310.87","8,248,704,928.65","11,314,289,620.58","10,163,891,836.87","12,441,048,706.37","10,856,417,303.95","14,825,839,468.26","12,172,585,804.09","12,725,953,296.54","14,705,074,055.08","13,670,551,363.06","10,645,533,276.21","10,715,945,237.45","9,410,911,102.58","10,284,224,638.84","7,659,712,762.50","8,054,909,324.41","7,316,754,386.10","8,928,997,459.40","9,131,485,193.15","9,926,832,850.54","9,900,509,221.36","12,108,370,760.93","10,865,239,771.39","10,891,825,675.62","15,757,601,416.84","17,802,441,129.06","15,340,693,648.59","16,286,304,430.78","16,406,097,098.94","21,066,533,111.81","20,243,408,924.34","23,090,087,405.08","25,005,911,993.71","28,394,277,304.32","27,143,002,330.28","26,733,594,864.08","25,774,530,589.40","27,871,470,293.71","26,549,292,970.80","29,962,327,291.69","30,991,021,825.98","26,899,627,194.15","22,785,629,343.84"
