科目,2007年度,2008年1-3月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
筹资活动现金流出小计,"8,587,439,000.00","3,136,762,000.00","10,111,697,861.65","15,399,031,706.00","1,159,881,849.11","5,129,411,000.00","9,296,496,000.00","17,516,540,001.00","2,638,822,000.00","4,377,134,458.00","6,519,605,000.00","8,431,587,918.00","1,770,514,000.00","6,612,233,405.00","5,946,500,000.00","30,592,181,989.00","3,339,735,000.00","10,285,403,758.00","18,447,753,000.00","31,431,466,589.00","3,985,148,000.00","9,862,373,570.00","20,508,458,000.00","36,401,397,537.00","4,968,119,000.00","10,461,293,484.00","27,579,579,621.00","44,723,812,606.00","2,360,192,942.00","52,539,981,000.00","62,344,835,000.00","110,854,690,000.00","12,066,466,000.00","40,284,415,000.00","66,377,563,000.00","120,070,860,000.00","19,524,583,000.00","48,505,565,000.00","70,945,498,000.00","97,349,039,000.00","7,694,075,000.00","19,057,046,000.00","34,804,595,000.00","57,997,650,000.00","11,449,356,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"303,509,000.00","10,341,000.00","24,360,209.06","124,182,725.00","15,027,828.82","15,457,000.00","28,000,000.00","83,106,058.00","1,764,000.00","61,648,788.00","79,696,000.00","162,186,926.00","3,938,000.00","55,311,168.00","74,013,000.00","161,285,474.00","3,320,000.00","51,828,227.00","80,078,000.00","194,688,624.00","1,685,000.00","37,694,290.00","46,835,000.00","123,824,083.00","5,149,000.00","65,956,992.00","70,078,837.00","304,690,665.00","-2,225,327.00","249,561,000.00","251,550,000.00","222,339,000.00","47,701,000.00","98,001,000.00","104,135,000.00","383,720,000.00","8,536,000.00","266,175,000.00","293,271,000.00","996,195,000.00","24,839,000.00","298,686,000.00","304,112,000.00","1,335,456,000.00","57,516,000.00"
筹资活动产生的现金流量净额,"2,502,634,000.00","-495,258,000.00","7,046,884,077.09","5,817,557,452.00","-710,408,520.10","-571,681,000.00","668,958,000.00","103,689,875.00","894,798,000.00","1,617,795,385.00","864,497,000.00","4,661,022,949.00","3,615,449,000.00","9,640,207,354.00","10,769,046,000.00","8,897,660,424.00","7,235,311,000.00","3,087,550,403.00","-2,186,987,000.00","-5,672,473,882.00","1,254,070,000.00","3,030,152,213.00","6,323,764,000.00","1,473,078,894.00","2,637,190,000.00","10,288,982,073.00","6,027,982,925.00","-2,807,342,388.00","2,560,712,105.00","-1,441,329,000.00","1,761,096,000.00","-16,687,421,000.00","6,573,058,000.00","13,604,525,000.00","9,981,428,000.00","1,306,378,000.00","5,555,855,000.00","9,287,831,000.00","7,756,508,000.00","6,749,391,000.00","-5,090,027,000.00","-10,539,470,000.00","-2,950,515,000.00","-31,964,065,000.00","3,731,757,000.00"
处置子公司及其他营业单位收到的现金净额,"-1,255,000.00",,"3,671.00","-1,919,830.00",,,,,,,,,,,,"1,748,199.00",,,,,,,,,,,"228,084.00",,,"40,900,000.00","40,901,000.00","40,900,000.00",,"24,480,000.00","78,186,000.00","505,725,000.00",,"3,727,000.00","3,727,000.00","1,648,598,000.00",,,"483,543,000.00","630,430,000.00","44,181,000.00"
四、汇率变动对现金的影响,"-4,379,000.00","784,000.00","-1,783,781.86","26,616,522.00","3,080,140.53","223,000.00","13,455,000.00","-2,486,633.00","-5,054,000.00","-16,788,734.00","-18,187,000.00","-38,731,859.00","-5,179,000.00","-9,058,094.00","-5,179,000.00","-38,861,823.00","1,656,000.00","328,613.00","3,319,000.00","-206,421.00","-20,283,000.00","-69,170,097.00","-75,481,000.00","-83,187,174.00","-4,762,000.00","21,278,027.00","-14,113,297.00","-40,302,978.00","7,783,073.00","-46,194,000.00","27,798,000.00","7,816,000.00","27,675,000.00","182,559,000.00","245,448,000.00","485,807,000.00","-17,350,000.00","-85,024,000.00","-242,021,000.00","-310,358,000.00","-316,496,000.00","-200,633,000.00","195,655,000.00","12,596,000.00","-248,103,000.00"
收到其他与投资活动有关的现金,,,"28,706,628.37",,"651,086.68",,,,"888,000.00",,,,,"23,129,741.00","23,130,000.00","23,129,741.00",,,,"49,951,114.00",,"7,971,838.00","11,834,000.00","7,971,838.00",,,,"607,498,822.00","1,995,289,197.00","140,997,000.00","149,860,000.00","1,892,962,000.00",,"87,767,000.00","90,923,000.00","1,017,538,000.00",,"86,428,000.00","86,428,000.00","242,965,000.00",,"26,539,000.00","26,538,000.00","299,793,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"403,220,000.00","818,267,000.00","1,945,714,704.32","1,116,411,311.00","423,798,457.80","498,963,000.00","572,957,000.00","574,717,879.00","56,691,000.00","431,941,463.00","523,452,000.00","647,412,992.00","4,861,000.00","354,228,702.00","388,538,000.00","16,697,816,403.00","315,338,000.00","1,481,008,311.00","1,773,666,000.00","1,553,812,501.00","1,685,000.00","805,553,225.00","957,903,000.00","1,251,638,227.00","33,205,000.00","804,812,563.00","2,633,036,582.00","4,542,948,766.00","5,237,738,969.00","12,027,399,000.00","15,111,055,000.00","27,788,620,000.00","4,430,405,000.00","12,293,196,000.00","18,905,423,000.00","23,104,199,000.00","15,728,557,000.00","21,661,003,000.00","28,349,736,000.00","40,682,901,000.00","6,658,874,000.00","22,704,934,000.00","36,479,847,000.00","59,318,005,000.00","9,301,928,000.00"
五、现金及现金等价物净增加额,"1,592,135,000.00","-3,634,204,000.00","4,127,021,076.45","4,133,447,431.00","-2,259,479,080.76","-3,717,132,000.00","-3,392,506,000.00","-34,822,906.00","-5,155,041,000.00","-744,973,637.00","-1,225,968,000.00","2,710,116,117.00","-4,834,936,000.00","-1,603,662,108.00","-6,179,224,000.00","8,257,009,604.00","-311,593,000.00","-9,827,756,982.00","-11,953,246,000.00","-7,523,611,003.00","-2,133,005,000.00","-2,228,728,885.00","-3,148,064,000.00","-443,561,608.00","3,046,874,000.00","593,270,214.00","-447,410,343.00","1,196,292,895.00","3,881,099,428.00","-9,993,364,000.00","-7,748,741,000.00","-7,089,965,000.00","-8,798,099,000.00","-4,186,475,000.00","1,292,165,000.00","-1,929,975,000.00","-5,056,204,000.00","-4,137,477,000.00","-790,173,000.00","19,673,360,000.00","-19,115,666,000.00","-23,084,750,000.00","-15,829,051,000.00","-17,415,449,000.00","-3,342,141,000.00"
购建固定资产、无形资产和其他长期资产支付的现金,"1,839,798,000.00","501,826,000.00","2,616,282,584.67","3,871,297,769.00","615,346,505.04","1,545,799,000.00","2,714,151,000.00","4,696,900,569.00","972,833,000.00","2,186,104,200.00","3,174,410,000.00","5,843,574,164.00","1,116,263,000.00","2,271,287,098.00","2,723,658,000.00","6,196,727,461.00","941,041,000.00","1,707,230,925.00","3,348,875,000.00","3,872,047,110.00","1,073,348,000.00","1,774,288,687.00","3,013,339,000.00","4,580,154,580.00","1,137,224,000.00","2,235,584,788.00","2,845,809,521.00","5,110,876,304.00","371,143,362.00","3,978,740,000.00","4,866,688,000.00","9,077,282,000.00","1,614,819,000.00","4,065,533,000.00","5,648,115,000.00","10,373,021,000.00","1,748,199,000.00","3,839,227,000.00","5,562,287,000.00","8,696,807,000.00","1,686,854,000.00","3,527,455,000.00","4,977,251,000.00","9,041,777,000.00","1,295,390,000.00"
