科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
取得借款收到的现金,"443,008,136.71","644,969,855.65","720,000,000.00","214,851,937.39","274,851,937.39","20,000,000.00","140,000,000.00","140,000,000.00","190,000,000.00","50,000,000.00","85,000,000.00","380,000,000.00","400,000,000.00",,,"200,000,000.00","300,000,000.00","50,000,000.00","232,292,446.55","352,382,031.15","352,525,462.65","264,724,239.83","772,618,329.93","772,904,631.43","1,065,429,901.23","255,000,000.00","272,000,000.00","328,000,000.00","335,037,523.50","155,000,000.00","163,000,000.00"
支付的各项税费,"123,115,098.81","175,584,587.86","204,120,824.40","119,943,840.33","247,549,745.84","79,356,848.82","145,979,814.53","211,537,725.54","279,755,974.97","63,898,689.51","152,453,697.65","214,136,752.86","296,438,081.61","50,674,277.96","134,851,065.30","190,648,882.96","302,705,384.63","59,116,986.61","168,213,798.88","231,854,588.14","326,291,123.72","79,632,716.82","187,788,690.65","260,303,227.08","336,180,372.18","58,369,979.63","170,663,304.99","262,025,028.63","339,926,190.64","82,633,409.54","208,706,207.07"
收到其他与筹资活动有关的现金,"21,200,000.00","110,774,304.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"63,576,932.59","83,212,861.31","72,619,626.31","48,714,089.69","98,820,993.15","31,656,914.45","54,378,181.53","77,411,841.50","111,055,855.86","32,728,640.45","70,882,809.35","126,822,530.92","127,719,716.17","32,658,681.94","82,296,369.33","113,942,763.56","154,673,353.10","54,616,475.71","77,210,256.05","123,325,627.21","167,071,565.12","40,796,845.26","80,698,604.50","216,763,506.44","255,537,504.59","76,521,837.31","91,873,235.81","137,260,654.22","195,791,142.86","46,814,240.50","87,897,188.14"
筹资活动现金流入小计,"475,328,136.71","755,744,159.70","935,000,000.00","214,851,937.39","274,851,937.39","712,843,842.88","832,843,842.88","832,843,842.88","882,843,842.88","50,000,000.00","85,000,000.00","380,000,000.00","400,000,000.00",,,"288,000,000.00","388,000,000.00","50,000,000.00","232,292,446.55","356,132,077.18","360,003,335.82","264,724,239.83","772,618,329.93","772,904,631.43","1,071,788,101.23","255,000,000.00","292,944,890.00","348,944,890.00","355,982,413.50","155,000,000.00","175,107,700.00"
经营活动现金流出小计,"964,462,163.26","991,882,794.80","951,739,404.08","635,181,229.86","1,279,135,386.10","373,177,210.58","705,046,835.30","1,079,331,716.01","1,439,724,754.50","387,281,471.57","729,405,364.42","1,127,644,442.69","1,517,859,384.86","367,602,466.60","821,609,679.92","1,244,391,445.05","1,744,988,328.97","494,361,201.89","875,559,513.90","1,351,438,566.13","1,795,110,288.62","489,479,007.52","939,966,203.28","1,511,142,446.73","1,970,397,691.82","576,799,909.75","1,095,913,508.41","1,754,705,860.64","2,369,203,588.96","688,575,612.72","1,364,373,678.08"
偿还债务支付的现金,"459,892,967.80","582,295,729.42","545,074,126.23","192,151,626.41","422,893,112.91","90,000,000.00","161,958,824.48","261,958,824.48","381,958,824.48","20,000,000.00","70,000,000.00","120,000,000.00","170,000,000.00",,"19,100,000.00","343,300,000.00","402,109,996.52","100,000,000.00","157,500,000.00","400,947,690.88","551,078,373.38","50,124,560.67","50,587,767.88","121,038,429.88","121,455,928.75","435,462,819.54","854,929,378.94","855,394,871.67","905,484,665.97","167,949,988.38","188,912,633.16"
经营活动产生的现金流量净额,"471,520,586.21","522,848,132.77","517,181,455.26","135,994,970.86","359,503,205.05","169,297,506.65","278,852,426.99","430,568,205.97","687,612,639.28","62,677,996.58","231,124,952.45","215,682,887.09","433,091,684.98","51,115,481.76","60,464,223.70","456,222,979.77","566,501,852.49","-35,817,252.00","146,510,017.01","313,527,852.09","517,724,252.37","-35,148,915.96","75,958,780.49","182,235,197.10","533,282,185.45","306,704,118.47","627,300,691.98","837,555,141.88","1,191,539,050.23","-100,795,837.01","87,004,319.67"
分配股利、利润或偿还利息支付的现金,"393,672,946.33","451,696,180.78","959,496,738.73","19,059,390.52","184,362,314.52","11,612,384.39","216,323,705.01","219,047,611.95","227,850,039.72","821,711.11","77,855,739.57","230,480,902.77","582,593,972.20","20,116,188.50","31,676,704.86","37,391,220.96","69,953,062.32","3,645,226.71","266,492,957.89","304,604,620.91","306,324,199.41","8,069,347.00","622,995,145.06","761,269,591.51","769,497,570.37","14,951,077.87","108,412,858.49","400,888,720.93","406,652,311.05","4,987,167.89","47,953,650.19"
收回投资收到的现金,"75,500,000.00","10,000,000.00","249,344,666.49",,,,"12,010,000.00","12,010,000.00","12,010,000.00",,,,,,,,,,,,,,,,,,,,,,"9,578,598.71"
支付其他与筹资活动有关的现金,"49,419,864.50","8,800,000.00","138,522,112.36",,,,,,,,,,,,,"253,039.18",,,,,,,,,"45,441,108.00","91,758,892.00","91,758,892.00","91,758,892.00","91,758,892.00",,
取得投资收益收到的现金,"52,384,351.97","55,936,291.13","60,202,403.03","18,410.96","2,709,284.57","3,305,734.30","3,853,192.87","3,853,192.87","4,427,067.87","69,671,420.29","138,627,996.99","149,472,496.99","199,706,296.54","10,624,698.63","21,479,508.63","32,289,855.03","50,470,512.85","12,309,804.00","123,157,776.60","137,419,604.22","224,435,697.84","4,659,431.94","111,805,862.02","114,361,211.26","114,361,157.92","2,851,812.97","81,538,395.16","82,388,805.67","82,388,764.94",,
筹资活动现金流出小计,"902,985,778.63","1,042,791,910.20","1,643,092,977.32","211,211,016.93","607,255,427.43","101,612,384.39","378,282,529.49","481,006,436.43","609,808,864.20","20,821,711.11","147,855,739.57","350,480,902.77","752,593,972.20","20,116,188.50","50,776,704.86","380,944,260.14","472,063,058.84","103,645,226.71","423,992,957.89","705,552,311.79","857,402,572.79","58,193,907.67","673,582,912.94","882,308,021.39","936,394,607.12","542,172,789.41","1,055,101,129.43","1,348,042,484.60","1,403,895,869.02","172,937,156.27","236,866,283.35"
处置固定资产、无形资产和其他长期资产收回的现金净额,"16,939,884.82","1,679,060.92","3,376,536.83","392,527.31","2,916,965.62",,"45,844.02","349,882.48","427,538.06","953,661.53","1,017,411.53","1,017,411.53","1,460,132.69","4,903.84","239,469.65","366,264.80","1,311,300.49","1,103,412.59","721,940.54","1,352,973.70","1,524,816.67","611,128.16","2,002,528.62","3,337,525.77","3,836,683.13","104,300.18","5,434,938.28","7,281,549.48","7,538,030.72","2,023,886.84","4,498,664.02"
筹资活动产生的现金流量净额,"-427,657,641.92","-287,047,750.50","-708,092,977.32","3,640,920.46","-332,403,490.04","611,231,458.49","454,561,313.39","351,837,406.45","273,034,978.68","29,178,288.89","-62,855,739.57","29,519,097.23","-352,593,972.20","-20,116,188.50","-50,776,704.86","-92,944,260.14","-84,063,058.84","-53,645,226.71","-191,700,511.34","-349,420,234.61","-497,399,236.97","206,530,332.16","99,035,416.99","-109,403,389.96","135,393,494.11","-287,172,789.41","-762,156,239.43","-999,097,594.60","-1,047,913,455.52","-17,937,156.27","-61,758,583.35"
处置子公司及其他营业单位收到的现金净额,"35,141,390.41","4,181,385.52","234,187,094.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-18,622.00","2,059,131.91","7,853,990.22","-470,723.37","-466,764.84","90,941.09","-427,695.89","-235,407.86","-1,016,195.61","1,219,640.70","-149,039.35","-3,958,924.90","-4,222,247.72","-25,975.08","-48,952.33","-223,047.84","-104,780.11","-1,024,767.20","-3,966,313.12","-8,991,981.25","-3,324,897.84","1,479,026.15","1,289,203.70","3,027,413.46","2,047,932.00","375,308.37","2,082,453.77","1,484,054.90","-2,295,693.77","-4,059,509.76","-1,771,710.34"
收到其他与投资活动有关的现金,"57,000,000.00","31,000,000.00",,,,,,,,,,,"15,369,785.00",,,,"10,180,000.00","17,540,903.00",,"47,540,903.00","347,540,903.00",,,"30,000,000.00","30,000,000.00","30,000,000.00",520.99,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"236,965,627.20","102,796,737.57","547,110,701.33","410,938.27","5,626,250.19","3,305,734.30","15,909,036.89","16,213,075.35","16,864,605.93","70,625,081.82","139,645,408.52","150,489,908.52","216,536,214.23","10,629,602.47","21,718,978.28","32,656,119.83","61,961,813.34","30,954,119.59","123,879,717.14","186,313,480.92","573,501,417.51","5,270,560.10","113,808,390.64","147,698,737.03","148,197,841.05","32,956,113.15","86,973,854.43","89,670,355.15","89,926,795.66","2,023,886.84","14,077,262.73"
五、现金及现金等价物净增加额,"96,005,965.94","22,188,785.05","-44,106,942.81","103,118,112.71","-32,574,298.64","764,920,468.95","630,662,821.66","605,909,453.83","441,299,728.02","88,341,107.57","111,771,355.49","86,161,778.15","-112,054,284.34","-36,209,251.66","-195,667,400.66","-173,858,882.38","-63,423,734.18","-77,135,963.11","-36,809,740.78","1,158,725.09","424,863,391.52","143,894,608.75","144,955,250.38","-373,456,826.50","11,921,477.34","-46,997,572.71","-220,937,810.46","-398,718,609.52","-132,283,756.28","-258,613,532.17","-131,381,388.26"
购建固定资产、无形资产和其他长期资产支付的现金,"58,265,667.52","113,122,800.21","91,796,876.51","24,447,993.51","52,823,499.00","19,005,171.58","99,232,259.72","172,381,314.10","215,107,461.39","60,359,900.42","180,994,226.56","290,571,189.79","349,865,963.63","27,812,172.31","74,372,132.79","117,706,367.38","151,298,254.44","17,602,836.79","111,532,650.47","140,270,392.06","161,045,892.58","34,209,785.90","95,091,919.22","135,876,298.57","168,889,143.60","24,621,587.88","69,787,438.26","123,092,025.59","153,402,252.24","49,124,915.97","80,212,676.97"
期初现金及现金等价物余额,"135,432,704.20","231,438,670.14","253,627,455.19","209,520,512.38","209,520,512.38","176,946,213.74","176,946,213.74","176,946,213.74","176,946,213.74","618,245,941.76","618,245,941.76","618,245,941.76","618,245,941.76","506,191,657.42","506,191,657.42","506,191,657.42","506,191,657.42","442,767,923.24","442,767,923.24","442,767,923.24","442,767,923.24","867,631,314.76","867,631,314.76","867,631,314.76","867,631,314.76","879,552,792.10","879,552,792.10","879,552,792.10","879,552,792.10","747,269,035.82","747,269,035.82"
投资支付的现金,"95,538,316.03","205,344,666.49","19,183,235.79","12,010,000.00","12,010,000.00",,"19,000,000.00","19,000,000.00","19,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","55,000,000.00",,,"53,816,860.70","58,373,860.70",,,,"4,592,250.97","26,607.80","44,622.22","10,750,696.99","86,696,617.22","75,238,735.41","105,351,132.95","205,238,541.26","179,914,626.52","88,720,000.00","88,720,000.00"
期末现金及现金等价物余额,"231,438,670.14","253,627,455.19","209,520,512.38","312,638,625.09","176,946,213.74","941,866,682.69","807,609,035.40","782,855,667.57","618,245,941.76","706,587,049.33","730,017,297.25","704,407,719.91","506,191,657.42","469,982,405.76","310,524,256.76","332,332,775.04","442,767,923.24","365,631,960.13","405,958,182.46","443,926,648.33","867,631,314.76","1,011,525,923.51","1,012,586,565.14","494,174,488.26","879,552,792.10","832,555,219.39","658,614,981.64","480,834,182.58","747,269,035.82","488,655,503.65","615,887,647.56"
