科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
流动资产合计,"113,942,136.61","243,335,726.90","232,536,817.82","613,081,739.21","483,911,858.45","485,999,007.51","487,454,295.54","484,003,706.03","383,663,048.19","424,760,469.93","584,666,966.42","534,813,478.37","589,928,283.87","611,495,043.09","679,261,400.57","669,469,263.11","664,603,936.02","694,031,567.43","762,395,866.49","756,954,686.28","757,363,078.76","786,043,945.26","835,780,536.73","1,020,597,340.36","1,243,991,845.63","1,558,344,482.29","1,713,800,672.64","1,444,702,716.80","1,541,634,680.11","1,771,601,261.40","1,744,757,007.81","1,711,515,767.63","1,801,961,816.64"
流动负债合计,"51,741,912.82","103,863,770.73","145,454,538.97","132,696,114.79","52,799,103.72","87,102,230.75","92,109,672.71","96,333,439.35","121,942,964.39","150,680,693.30","242,455,246.58","212,773,727.75","273,307,022.20","284,457,151.71","340,785,960.26","324,698,605.93","319,309,155.72","341,293,093.30","395,187,519.25","480,810,869.08","474,761,170.04","480,783,860.19","508,723,547.62","639,355,621.87","691,367,564.18","896,073,886.84","1,052,189,455.31","757,404,662.44","851,596,367.12","1,040,421,649.57","934,127,170.81","965,915,352.08","1,245,006,055.33"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00"
长期借款,,,"15,000,000.00","35,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00",,,,,,,,,,,"19,400,000.00","19,400,000.00","14,600,000.00","30,600,000.00","94,500,000.00","136,191,170.00","143,291,170.00","159,707,986.44","160,807,986.44","161,311,468.89","137,658,572.51","141,419,124.38","85,419,124.38"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,"80,600,000.00","80,000,000.00",,,,,,,,,,,,,,"6,155,000.00","7,678,059.55","7,678,109.55","8,263,828.56","8,071,643.85","7,853,534.80","7,841,781.65","6,894,603.61","6,717,243.64","6,680,084.52"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000.00","4,870,768.99",,,,,,,
投资性房地产,,,,,,,,,"26,345,438.76","26,103,889.38","25,641,997.04","25,453,357.05","25,264,717.06","25,076,077.06","24,542,661.74","24,354,021.75","23,992,357.30","23,976,741.76","23,443,502.29","23,254,862.30","22,893,658.78","22,877,582.31","22,344,342.84","22,155,702.85","28,356,688.82","28,253,078.20","27,569,945.56","27,262,723.80","26,008,580.47","24,944,937.93","32,282,423.62","32,263,106.13","31,398,505.74"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,"1,202,182.95",,"1,722,729.28","2,490,990.33","1,991,653.60","2,138,527.51","4,101,098.54","2,509,675.99","4,362,673.03"
固定资产,"27,716,739.87","32,374,087.88","33,161,741.57","32,726,635.30","33,449,992.14","34,527,197.98","64,779,814.94","73,598,423.69","76,652,831.40","173,687,926.34","179,965,319.64","190,301,808.61","189,061,741.64","191,597,302.85","224,580,197.44","221,474,615.29","218,027,000.91","214,955,375.07","211,590,244.51","211,847,993.12","216,592,011.31","214,964,820.31","216,602,466.98","218,204,297.87","224,710,698.77","227,133,646.19","233,130,547.58","228,774,105.52","231,511,511.26","227,067,072.26","419,199,694.69","413,802,073.59","422,144,132.13"
递延所得税负债,,,,,,,,,,,"4,874,478.83","4,820,326.38","4,766,173.92","4,712,021.47","4,557,141.95","4,484,590.62","4,399,201.78","4,339,487.94","4,239,741.25","21,521,469.73","19,356,013.82","19,128,097.61","6,700,733.85","7,918,645.86","7,457,488.25","8,151,070.53","6,859,992.26","6,075,119.83","6,739,869.17","6,634,541.23","6,148,788.26","5,412,239.75","5,412,823.04"
在建工程,,,"52,981,290.35","56,055,561.84","90,764,822.17","124,696,406.42","115,887,265.36","116,689,660.52","134,411,329.49","28,376,539.42","27,565,815.97","29,664,956.54","33,458,939.54","39,344,311.65","1,056,570.12","1,394,763.12","1,454,763.12","1,489,153.35","1,783,161.60","18,231,260.60","3,508,174.12","3,970,310.72","8,095,061.56","9,558,569.80","11,264,796.48","34,588,293.94","92,916,124.53","94,047,748.90","109,361,112.33","122,673,880.97","2,863,717.94","3,914,212.00","9,198,029.71"
其他非流动负债,,,,,,,,,,,,,,,,,,,"1,159,686.62",,,,,"1,269,973.19",,,,,,,"64,010,615.23","66,957,397.82","27,979,456.24"
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,"15,000,000.00","35,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","4,874,478.83","4,820,326.38","4,766,173.92","4,712,021.47","4,557,141.95","4,484,590.62","4,399,201.78","4,339,487.94","5,399,427.87","22,606,235.43","39,765,858.60","39,468,085.22","22,177,380.17","40,608,089.97","105,438,272.11","149,966,055.18","161,092,954.46","178,469,176.78","178,210,606.65","176,231,652.33","217,716,462.27","222,677,587.16","128,811,312.27"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"51,741,912.82","103,863,770.73","160,454,538.97","167,696,114.79","67,799,103.72","102,102,230.75","107,109,672.71","111,333,439.35","136,942,964.39","165,680,693.30","247,329,725.41","217,594,054.13","278,073,196.12","289,169,173.18","345,343,102.21","329,183,196.55","323,708,357.50","345,632,581.24","400,586,947.12","503,417,104.51","514,527,028.64","520,251,945.41","530,900,927.79","679,963,711.84","796,805,836.29","1,046,039,942.02","1,213,282,409.77","935,873,839.22","1,029,806,973.77","1,216,653,301.90","1,151,843,633.08","1,188,592,939.24","1,373,817,367.60"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"30,187,511.37","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","176,000,000.00","176,000,000.00","176,000,000.00","176,000,000.00","352,000,000.00","352,000,000.00","352,000,000.00","352,000,000.00","352,000,000.00","352,000,000.00","352,000,000.00","365,401,281.00","365,401,281.00","364,925,238.00","364,925,238.00","402,826,113.00","426,239,104.00","1,028,562,810.00","1,028,562,810.00","1,028,562,810.00","1,028,562,810.00","1,028,562,810.00","1,041,006,249.00","1,041,006,249.00","1,041,006,249.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"25,662,398.27","99,876,687.86","99,994,087.86","455,135,557.77","455,135,557.77","455,135,557.77","455,135,557.77","455,135,557.77","360,360,982.77","361,096,237.77","361,259,409.77","361,259,409.77","186,747,917.19","187,849,252.52","186,518,969.15","186,518,969.15","187,292,027.16","187,743,088.50","183,439,493.07","247,074,250.38","246,339,186.69","247,891,313.53","259,951,826.26","488,581,223.07","632,736,640.92","82,991,808.61","86,199,402.38","89,146,701.88","92,080,632.57","95,019,832.57","127,284,712.12","128,402,987.13","124,882,664.90"
无形资产,"20,312,796.38","19,463,287.77","72,793,115.72","72,291,811.40","71,818,532.08","71,330,269.68","70,878,866.52","70,497,251.49","70,033,996.22","69,560,940.95","71,712,870.01","71,188,064.74","70,550,947.04","70,474,504.93","69,565,502.88","69,119,376.13","68,485,676.71","68,228,810.62","67,640,210.06","177,923,854.32","182,359,790.88","180,477,606.78","175,106,107.35","186,841,312.08","185,837,445.25","180,479,224.96","181,352,224.59","178,945,435.10","176,343,714.68","175,590,018.04","172,197,115.10","167,634,910.55","167,638,456.46"
盈余公积,"6,953,255.41","2,839,025.48","6,711,218.65","6,711,218.65","6,711,218.65","6,711,218.65","9,164,717.90","9,164,717.90","9,164,717.90","9,164,717.90","11,427,271.49","11,427,271.49","11,427,271.49","11,427,271.49","11,427,271.49","11,427,271.49","11,427,271.49","11,427,271.49","11,658,161.29","11,658,161.29","11,658,161.29","11,658,161.29","11,788,355.85","11,788,355.85","11,788,355.85","11,788,355.85","13,972,935.61","13,972,935.61","15,676,157.65","18,302,212.84","21,944,741.72","21,944,741.72","24,148,440.76"
开发支出,,,,,,,,,,,,,,,,,,,,,,,"825,991.56","825,991.56","825,991.56",,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,996,447.44","78,190,338.85"
商誉,,,,,,,,,,,"8,430,899.33","8,430,899.33","8,430,899.33","4,372,388.43","4,372,388.43","4,372,388.43","4,372,388.43","4,372,388.43","4,372,388.43","58,725,894.46","63,034,301.92","63,034,301.92","51,738,881.47","250,597,672.15","293,465,516.49","293,465,516.49","293,465,516.49","293,465,516.49","293,465,516.49","293,465,516.49","293,465,516.49","293,465,516.49","293,465,516.49"
未分配利润,"47,912,369.31","26,910,659.47","62,476,613.29","62,768,115.57","68,349,868.65","70,160,576.08","84,740,573.79","86,544,834.51","86,925,809.35","88,191,053.10","99,314,334.92","91,368,653.88","86,525,302.64","95,102,469.10","99,589,844.02","103,371,226.43","99,712,212.27","103,685,320.46","115,836,100.63","111,372,439.27","101,201,735.50","119,333,516.80","137,758,820.48","129,154,428.13","136,342,252.05","167,294,478.57","218,483,147.26","220,098,364.66","229,667,018.55","274,389,083.87","355,500,276.04","336,702,257.50","354,273,002.81"
长期待摊费用,,"322,857.20","264,285.80","249,642.95","235,000.10","220,357.25","205,714.40","378,851.84","354,317.21",,"821,914.62","747,379.98","672,845.34","598,310.70","607,212.42","515,146.56","423,080.70","331,014.84","257,761.38","404,772.38","639,572.80","197,995.97","546,882.74","622,061.00","1,472,042.53","1,495,538.80","2,627,907.11","2,536,379.57","2,438,607.03","2,644,715.10","2,438,717.29","3,238,234.17","5,537,644.73"
少数股东权益,,"2,920,744.34","3,650,982.54","3,653,472.09","3,773,126.46","4,208,405.90","4,404,889.74","4,310,419.98","4,005,977.70","4,089,976.26","4,429,753.03","4,355,525.02","4,124,462.39","9,226,097.22","9,883,424.29","9,463,809.78","9,776,463.93","9,434,405.57","9,571,907.58","9,673,180.86","9,773,054.07","9,707,630.98","9,316,787.96","7,537,733.24","7,378,778.03","6,523,489.60","11,091,907.93","9,892,015.07","12,480,778.69","12,883,760.05","11,425,767.98","11,765,841.17","14,552,588.63"
递延所得税资产,"485,774.32","914,928.13","1,550,190.05","1,559,088.17","1,588,670.31","1,544,750.31","1,349,455.15","1,321,075.94","1,339,490.84","329,782.58","1,521,190.50","1,971,448.58","2,096,254.92","2,382,803.71","2,977,701.93","3,809,985.78","5,518,829.38","5,879,653.90","5,331,851.00","5,450,879.57","7,088,229.31","7,160,198.40","7,515,376.94","8,255,022.60","12,525,878.32","11,063,142.70","16,379,537.72","18,310,504.82","18,883,639.05","19,864,758.96","21,037,001.44","20,754,114.73","22,838,120.78"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,"1,403,129.73",,,,,,,,,,,,,,,,,,,,,"11,783,273.78","53,716,862.79","91,674,885.18"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"48,515,310.57","53,075,160.98","160,750,623.49","162,882,739.66","197,857,016.80","232,318,981.64","253,101,116.37","262,485,263.48","389,737,403.92","379,462,208.40","315,660,007.11","327,757,914.83","329,536,344.87","333,845,699.33","327,702,234.96","325,040,297.06","322,274,096.55","319,233,137.97","314,419,119.27","495,839,516.75","496,115,739.12","492,682,816.41","482,775,111.44","703,215,629.91","772,137,117.77","790,156,550.83","861,705,632.14","857,414,058.05","871,866,216.11","880,092,681.40","968,162,063.96","1,001,506,274.09","1,056,575,375.74"
所有者权益(或股东权益)合计,"110,715,534.36","192,547,117.15","232,832,902.34","608,268,364.08","613,969,771.53","616,215,758.40","633,445,739.20","635,155,530.16","636,457,487.72","638,541,985.03","652,997,248.12","644,977,339.07","641,391,432.62","656,171,569.24","661,620,533.32","665,326,363.62","663,169,675.07","667,632,124.16","676,228,038.64","749,377,098.52","738,951,789.24","758,474,816.26","787,654,720.38","1,043,849,258.43","1,219,323,127.11","1,302,461,091.10","1,362,223,895.01","1,366,242,935.63","1,383,693,922.45","1,435,040,640.90","1,561,075,438.69","1,524,429,102.48","1,484,719,824.78"
资产总计,"162,457,447.18","296,410,887.88","393,287,441.31","775,964,478.87","681,768,875.25","718,317,989.15","740,555,411.91","746,488,969.51","773,400,452.11","804,222,678.33","900,326,973.53","862,571,393.20","919,464,628.74","945,340,742.42","1,006,963,635.53","994,509,560.17","986,878,032.57","1,013,264,705.40","1,076,814,985.76","1,252,794,203.03","1,253,478,817.88","1,278,726,761.67","1,318,555,648.17","1,723,812,970.27","2,016,128,963.40","2,348,501,033.12","2,575,506,304.78","2,302,116,774.85","2,413,500,896.22","2,651,693,942.80","2,712,919,071.77","2,713,022,041.72","2,858,537,192.38"
负债和所有者(或股东权益)合计,"162,457,447.18","296,410,887.88","393,287,441.31","775,964,478.87","681,768,875.25","718,317,989.15","740,555,411.91","746,488,969.51","773,400,452.11","804,222,678.33","900,326,973.53","862,571,393.20","919,464,628.74","945,340,742.42","1,006,963,635.53","994,509,560.17","986,878,032.57","1,013,264,705.40","1,076,814,985.76","1,252,794,203.03","1,253,478,817.88","1,278,726,761.67","1,318,555,648.17","1,723,812,970.27","2,016,128,963.40","2,348,501,033.12","2,575,506,304.78","2,302,116,774.85","2,413,500,896.22","2,651,693,942.80","2,712,919,071.77","2,713,022,041.72","2,858,537,192.38"
