科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
递延所得税负债,,,,,,,,,,,"2,480,782.70","1,160,797.62","393,622.94","156,695.49","3,298,179.09","349,872.13","569,179.08","32,006.51",,,"88,342.50",,"1,122,707.70",,"230,178.98",,,,,,"2,375.00","2,375.00","255,450.00","286,725.00","4,156,367.00","4,067,985.62","3,979,701.30","4,584,000.82","5,470,814.74","6,034,201.15","4,838,231.11","5,022,101.68"
在建工程,"3,650,795.38","8,807,234.50","9,364,303.20","10,779,983.10","14,733,530.54","14,803,903.91","5,612,879.11","2,569,716.54","3,429,541.46","16,145,068.85","18,601,955.50","19,308,251.57","28,042,792.67","42,300,609.59","84,024,707.82","144,993,412.17","186,899,173.65","225,042,770.48","40,334,997.56","53,591,298.04","24,173,858.31","22,479,633.17","5,356,223.42","1,834,082.71","5,735,455.60","5,253,585.34","4,831,430.14","3,235,435.81","6,710,257.53","8,310,938.82","9,727,733.25","10,834,033.51","15,321,969.78","19,079,443.54","5,722,864.45","6,787,582.12","5,912,662.28","2,755,881.23","4,166,893.64","10,973,590.18","23,934,009.79","31,006,463.14"
其他非流动负债,,,,,,,,,,,,,,,"12,500,000.00","12,500,000.00","12,500,000.00","22,500,000.00","22,500,000.00","22,500,000.00","21,375,000.00","20,812,500.00","20,250,000.00","19,687,500.00","19,125,000.00","18,562,500.00","18,000,000.00","17,437,500.00","27,919,166.67","27,159,166.68","28,609,166.67",,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,"2,480,782.70","1,160,797.62","393,622.94","4,856,695.49","20,798,179.09","17,849,872.13","18,069,179.08","37,532,006.51","37,300,000.00","37,300,000.00","21,463,342.50","169,556,250.00","164,605,901.45","163,586,281.25","163,919,547.73","163,792,456.25","163,895,543.75","163,998,631.25","175,145,885.42","175,051,472.93","28,611,541.67","27,679,041.68","26,999,616.67","26,098,391.68","70,086,105.79","54,803,927.48","70,765,326.43","73,119,124.22","60,830,226.84","46,664,029.83","44,859,557.20","44,432,757.99"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"506,941,291.97","493,366,387.44","394,097,685.52","462,071,055.01","386,207,913.70","380,664,120.78","231,623,819.61","265,474,141.02","343,517,831.20","369,767,908.51","303,915,092.26","425,733,645.60","310,467,409.37","282,286,164.55","410,225,243.91","393,326,537.78","424,184,202.31","510,416,752.49","539,832,855.72","545,324,955.83","566,923,681.95","622,135,226.90","757,617,002.60","714,421,801.43","704,394,578.41","718,982,927.71","708,083,730.05","682,172,499.87","1,191,353,167.97","1,099,815,405.80","970,597,599.29","1,054,349,406.74","1,257,566,636.34","1,093,343,568.95","1,127,051,069.43","911,071,676.02","929,592,449.10","983,110,356.22","1,154,515,699.93","928,387,288.74","995,040,139.93","1,196,474,634.73"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"100,850,000.00","135,850,000.00","135,850,000.00","135,850,000.00","163,020,000.00","163,020,000.00","163,020,000.00","163,020,000.00","163,020,000.00","163,020,000.00","163,020,000.00","163,020,000.00","163,020,000.00","163,020,000.00","163,020,000.00","326,040,000.00","326,040,000.00","326,040,000.00","326,040,000.00","326,040,000.00","326,040,000.00","326,040,000.00","326,040,000.00","326,040,000.00","326,040,000.00","326,040,000.00","326,040,000.00","326,040,000.00","398,203,374.00","398,203,374.00","398,203,374.00","398,203,374.00","398,203,374.00","398,203,374.00","444,714,992.00","444,714,992.00","444,714,992.00","444,714,992.00","534,604,028.00","534,604,028.00","534,604,028.00","1,069,208,056.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
