科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付其他与筹资活动有关的现金,,,,"10,550,177.72",354.57,,,,,"5,810,881.00",,,,"6,758,080.32","6,758,080.32","16,048,819.70","673,803.87",,"7,948,454.77","7,344,584.00","115,804.00",,"1,364,484.00","2,764,484.00",,"2,752,500.00","2,752,500.00","2,752,500.00",,,,"60,000,000.00","62,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00",,,,,,,,,
取得投资收益收到的现金,,"2,997,881.74","3,681,952.15","5,767,081.60",,"1,022,958.43","1,509,475.14","1,530,728.69",,"1,954,783.68","3,519,936.64","38,786,691.50","836,321.88","1,663,396.06","3,010,032.65","5,155,636.24","495,700.84","910,907.58","1,877,431.05","1,740,299.87","195,714.15","1,866,811.69","5,005,659.14","6,348,322.32","1,287.95","1,921,859.82","2,071,922.83","2,786,293.35","308,356.64","735,399.63","1,036,730.61","128,981,602.28","55,513,680.54","57,623,110.00","58,440,719.17","57,624,798.48","94,725.72","169,281.92","20,001,794.50","20,637,316.18","960,724.72","2,041,911.46","3,838,990.69","5,201,021.12","559,640.89"
筹资活动现金流出小计,"15,843,720.99","132,713,947.07","108,741,525.63","114,229,185.42","28,720,868.70","11,168,564.66","42,970,278.42","337,972,750.71","28,758,489.66","121,378,547.88","200,926,271.60","258,907,619.62","45,448,756.14","158,109,030.51","307,369,642.18","395,327,449.76","99,462,287.06","229,553,561.97","368,480,183.30","591,957,694.42","106,236,903.42","290,180,090.88","502,542,646.27","776,815,154.17","80,019,949.78","157,632,573.29","207,963,797.16","307,788,789.61","41,382,018.18","137,732,139.60","268,134,866.57","408,591,205.75","66,825,561.05","92,578,929.60","137,474,073.15","171,073,056.31","34,475,706.49","77,612,394.25","121,380,681.06","231,884,393.57","3,133,550.65","13,173,425.65","13,173,425.65","13,204,087.50",
处置固定资产、无形资产和其他长期资产收回的现金净额,"51,100.00","149,445.76","4,281,025.76","4,464,694.24","6,256.00","22,506.00","22,334,176.00","26,745,918.05",,,"49,800.00","169,800.00","733,319.23","1,221,419.23","1,272,229.23","1,416,895.73",,"388,850.00","523,389.90","335,621.36",,"107,700.00","117,700.00","508,009.37","2,500.00","2,548,378.78","2,679,298.78","339,522.78",,"208,117.31","14,928,037.31","15,250,922.76","33,070.00","56,870.00","355,770.00","854,992.04","8,700.00","1,174,500.00","1,563,828.50","173,299,864.29","25,667,256.21","26,271,728.21","26,879,511.68","27,725,394.91","1,092,600.00"
筹资活动产生的现金流量净额,"-15,711,724.95","-124,467,305.30","-101,714,883.86","-114,229,185.42","-28,720,868.70","-11,168,564.66","-42,970,278.42","-42,900,716.71","31,241,510.34","1,417,165.87","11,869,442.15","17,622,297.18","57,381,666.34","44,584,257.16","17,054,875.24","28,124,561.56","-13,555,894.81","17,699,399.63","-6,469,493.93","-1,901,383.86","96,812,295.48","92,766,192.88","145,170,017.90","149,669,700.22","124,477,608.51","90,415,295.30","89,974,071.43","76,085,466.98","9,747,981.82","1,397,860.40","-39,310,974.24","-139,461,205.75","24,098,438.95","15,421,070.40","-9,474,073.15","-2,383,056.31","35,524,293.51","12,387,605.75","-13,380,681.06","-123,884,393.57","-3,133,550.65","-13,173,425.65","-13,173,425.65","-13,204,087.50",
处置子公司及其他营业单位收到的现金净额,,,,,,,,"45,031,553.49","9,586,957.41","9,586,957.41","9,586,957.41","9,586,957.41",,"4,488,080.32","4,488,080.32",,,,,"8,101,891.48",,,,,,,,,,,"155,469,359.58",,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-564,589.11","-1,519,985.32","-2,401,213.97","-1,914,117.17","-2,042,405.33","-3,669,232.80","-3,991,733.16","-3,996,891.95","-246,950.04","176,834.81","131,610.09","-33,879.97","-289,359.98","-867,447.29","-2,010,307.63","-312,189.75","-1,095,105.91","-1,571,577.57","-2,026,237.88","3,622,740.41","575,564.28","2,401,212.79","3,502,066.16","-1,744,315.00","-3,592,707.57","-5,150,853.23","-8,361,428.08","-9,462,486.19","-217,895.43","1,085,625.20","1,459,108.70","-13,653,833.44","358,222.82","681,571.09","1,197,333.40","4,018,884.54","224,482.47","706,567.69","1,054,048.16","-2,155,414.92","400,799.96","735,760.22","1,201,869.29","3,682,970.48","253,166.34"
收到其他与投资活动有关的现金,"172,074,645.73","259,596,887.81","243,143,268.08","470,420,000.00","24,310,000.00","24,310,000.00","24,310,000.00","41,700,653.67",,,,"1,000,000.00",,"8,870,000.00","8,870,000.00","1,600,000.00",,"4,646,502.31","4,646,502.31","4,793,717.72",,,,,,,,"710,033.33",,,,"4,284,294.20",,,,,,,"2,622,906.20","1,742,906.20",,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"172,125,745.73","262,744,215.31","251,106,245.99","480,651,775.84","31,474,686.54","34,719,866.71","57,954,815.76","134,042,417.43","24,870,170.10","89,754,146.21","94,133,773.74","87,081,623.66","5,613,716.11","23,667,130.61","27,761,257.61","19,931,678.97","19,847,053.69","36,939,212.74","51,223,335.45","46,884,181.72","9,181,587.95","12,627,725.49","25,925,587.61","27,907,465.16","271,494.04","4,970,313.65","5,387,245.80","6,444,501.61","54,819,864.60","96,515,024.90","314,153,385.46","407,631,648.68","84,485,258.55","228,776,467.66","325,009,957.18","334,737,258.53","10,116,765.72","21,462,121.92","109,324,934.20","386,845,406.67","146,927,980.93","382,743,989.74","649,427,998.44","788,656,834.60","21,659,230.89"
五、现金及现金等价物净增加额,"11,253,330.52","72,454,327.32","46,744,434.12","181,042,091.35","-55,153,455.72","-58,265,422.96","-96,881,169.34","9,846,099.28","12,375,740.33","-78,574,997.33","-59,580,076.68","-104,182,304.25","58,996,732.73","30,193,538.23","-14,612,643.98","2,640,387.57","2,409,214.83","-18,631,049.71","-48,396,864.98","66,137,067.43","-13,310,266.14","-47,136,736.71","-20,218,642.19","-57,040,217.65","4,347,478.95","-91,525,524.24","-109,703,625.09","-100,477,296.10","-3,909,077.58","-11,344,698.14","69,766,852.94","-13,052,105.66","92,333,927.16","91,244,811.96","48,812,645.37","4,985,184.58","82,738,467.20","31,896,512.55","127,850,913.11","135,450,668.51","-51,224,555.70","-10,731,927.47","-114,123,900.29","27,574,951.91","-147,968,873.81"
购建固定资产、无形资产和其他长期资产支付的现金,"502,675.00","914,753.49","13,497,193.90","34,983,430.85","29,714,837.49","32,288,038.84","64,542,114.96","68,413,937.67","14,088,300.04","16,615,219.05","27,798,959.48","44,109,261.05","1,088,154.78","1,694,767.62","3,815,898.33","10,019,758.05","802,145.73","9,809,658.37","12,794,292.13","20,893,570.57","6,976,265.05","20,343,137.84","26,618,840.04","159,117,707.85","16,866,456.49","31,141,432.05","35,087,832.38","25,928,336.40","15,767,229.04","16,558,612.04","18,390,797.74","26,958,713.09","1,591,175.06","2,418,629.47","2,546,209.62","2,345,070.28","7,347.00","258,912.51","403,479.66","4,499,628.14","246,985.77","397,025.18","802,121.87","1,523,126.31","74,385.81"
期初现金及现金等价物余额,"88,950,844.88","90,150,844.88","90,150,844.88","90,150,844.88","271,192,936.23","271,192,936.23","271,192,936.23","271,192,936.23","282,729,006.66","281,039,035.51","282,729,006.66","281,039,035.51","176,856,731.26","176,856,731.26","176,856,731.26","176,856,731.26","179,497,118.83","179,497,118.83","179,497,118.83","179,497,118.83","245,634,186.26","245,634,186.26","245,634,186.26","245,634,186.26","188,593,968.61","188,593,968.61","188,593,968.61","188,593,968.61","88,116,672.51","88,116,672.51","88,239,367.60","88,239,367.60","75,187,261.94","75,187,261.94","75,187,261.94","75,187,261.94","80,172,446.52","80,172,446.52","80,172,446.52","80,172,446.52","215,623,115.03","215,623,115.03","215,623,115.03","215,623,115.03","243,919,069.44"
投资支付的现金,"74,539,588.84","8,639,588.84","12,950,128.84","14,747,108.84","2,054,600.00","7,313,730.69","7,930,340.69","10,659,380.69","9,500,000.00","77,467,330.00","89,861,835.00","76,393,455.00","1,644,540.00","4,668,750.00","8,991,745.41","25,797,679.67","13,378,009.40","30,691,487.90","52,829,771.17","14,256,459.22","4,264,328.80","8,853,451.38","9,167,193.63","17,378,928.63","6,000,000.00","6,000,000.00","6,000,000.00","7,800,000.00","54,423,100.00","95,444,950.00","142,491,500.00","229,577,030.00","20,151,830.00","160,360,305.00","260,360,305.00","329,083,645.00","10,000,000.00","20,000,000.00","35,880,000.00","136,038,605.00","170,300,000.00","354,313,720.00","714,329,170.00","754,335,680.00","120,006,990.00"
期末现金及现金等价物余额,"100,204,175.40","162,605,172.20","136,895,279.00","271,192,936.23","216,039,480.51","212,927,513.27","174,311,766.89","281,039,035.51","295,104,746.99","202,464,038.18","223,148,929.98","176,856,731.26","235,853,463.99","207,050,269.49","162,244,087.28","179,497,118.83","181,906,333.66","160,866,069.12","131,100,253.85","245,634,186.26","232,323,920.12","198,497,449.55","225,415,544.07","188,593,968.61","192,941,447.56","97,068,444.37","78,890,343.52","88,116,672.51","84,207,594.93","76,771,974.37","158,006,220.54","75,187,261.94","167,521,189.10","166,432,073.90","123,999,907.31","80,172,446.52","162,910,913.72","112,068,959.07","208,023,359.63","215,623,115.03","164,398,559.33","204,891,187.56","101,499,214.74","243,198,066.94","95,950,195.63"
