科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"12,465,029.31","39,205,014.87","80,045,589.31","30,603,784.80","78,906,640.65","75,309,143.92","223,525,500.57","57,512,068.82","201,674,022.24","222,273,964.94","351,457,445.62","61,083,818.86","150,395,486.32","214,447,633.91","445,677,086.61","161,158,437.15","193,166,394.51","254,349,496.52","470,483,363.55","160,299,792.42","233,855,351.21","297,376,064.47","490,784,053.78","176,584,542.89","279,893,713.19","359,192,199.77","499,303,460.87","190,301,896.63","294,232,633.18","383,011,379.28","521,177,277.61","224,504,601.91","329,249,416.38","415,183,967.83","549,617,465.18","230,618,187.64","325,692,075.33","422,921,608.22","526,889,795.01","235,425,874.22","338,192,404.56","440,432,576.29","558,282,444.12"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"33,745,212.76","52,840,611.87","120,463,582.49","55,248,397.15","183,370,830.37","268,208,516.66","353,722,215.69","97,545,442.01","234,746,923.32","341,567,547.50","434,080,126.65","72,063,718.62","212,575,836.00","363,205,705.92","503,331,558.21","55,334,496.68","239,697,343.54","371,634,638.20","514,806,367.59","44,024,947.38","190,857,717.55","269,586,525.69","397,678,801.26","66,974,515.34","228,132,416.95","315,030,902.18","440,466,727.21","93,910,237.98","216,431,794.53","328,706,898.46","465,033,775.90","85,948,483.86","278,675,282.91","361,681,775.11","537,945,479.86","122,002,812.33","291,201,486.96","404,225,385.93","542,238,511.07","130,709,688.99","263,124,876.76","323,470,474.93","504,280,002.75"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,"1,325,000.00",,"3,445,000.00","3,445,000.00","4,770,000.00",,,,"2,000,000.00",,,,,,,,"445,454,539.29",,"137,139,615.75","118,883,061.79","473,818,233.49","28,548,611.08","34,531,627.07","34,531,627.07","37,531,627.07"
支付其他与经营活动有关的现金,"31,954,382.70","81,197,491.94","288,220,495.14","54,654,839.41","212,826,586.94","447,710,037.05","681,921,433.37","141,338,316.99","313,194,638.27","560,274,998.03","716,122,678.39","164,405,803.32","293,254,987.75","497,799,769.69","878,454,838.14","139,792,396.09","354,970,245.05","560,469,599.27","843,390,715.78","122,930,017.37","270,454,236.11","442,894,037.01","688,049,830.01","142,701,001.31","282,087,647.68","465,517,637.05","626,824,093.34","127,304,559.67","298,949,495.91","511,761,587.82","738,877,375.12","157,907,961.47","319,916,938.52","582,403,647.06","833,676,733.32","182,950,374.05","388,332,931.58","579,596,529.34","988,356,205.01","134,650,122.05","414,304,421.69","645,668,246.04","998,404,291.90"
筹资活动现金流入小计,,"94,405,583.71","120,728,853.18",,"1,458,738,333.53","1,453,738,333.53","1,458,738,333.53",,,,,,,,,,,,"1,325,000.00",,"3,445,000.00","3,445,000.00","4,770,000.00",,"6,095,000.00","7,095,000.00","9,095,000.00",,,"30,652,700.00","30,652,700.00",,,,"451,922,539.29",,"137,939,615.75","119,683,061.79","474,618,233.49","28,548,611.08","35,031,627.07","35,331,627.07","38,331,627.07"
经营活动现金流出小计,"439,086,044.83","804,179,557.18","1,590,718,461.55","882,308,982.88","1,561,840,874.33","2,593,006,892.88","4,462,953,206.68","1,451,070,690.72","2,613,944,097.06","3,585,833,416.00","4,905,786,659.60","1,174,116,145.19","2,121,981,664.65","3,759,076,465.91","5,583,038,665.28","1,453,778,136.44","2,825,246,969.49","4,140,456,966.07","5,715,860,352.06","1,368,905,475.05","2,678,486,249.48","3,840,634,930.93","5,246,111,330.45","1,422,567,239.88","2,809,170,926.17","4,106,163,390.03","5,587,672,375.98","1,562,313,247.43","3,062,308,860.72","4,512,856,991.69","6,295,992,003.82","1,877,381,172.95","3,593,259,781.75","5,323,117,739.03","7,380,848,237.40","2,027,941,128.29","3,923,805,916.96","5,644,431,444.87","7,546,060,838.33","2,035,427,983.95","3,963,704,294.94","5,803,362,838.67","8,025,819,885.79"
偿还债务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"-3,550,226.26","132,172,817.68","424,585,863.76","-55,422,451.43","91,054,826.62","498,215,235.54","953,289,406.25","26,874,808.47","350,152,097.42","492,894,679.19","783,304,115.18","-47,905,577.49","370,602,344.82","516,106,257.76","549,521,760.94","62,849,198.89","255,666,572.18","481,386,033.88","412,168,730.77","90,777,528.18","78,029,705.33","189,075,563.99","302,406,650.52","123,397,117.39","183,265,232.28","253,823,337.63","245,433,702.04","44,173,476.14","499,704,781.45","518,721,185.01","595,413,906.91","64,968,851.62","608,470,328.47","814,998,734.32","861,246,226.23","8,117,766.23","-69,033,758.09","203,602,292.47","1,006,736,608.98","-104,764,499.26","-57,994,580.62","120,905,521.88","48,903,264.69"
分配股利、利润或偿还利息支付的现金,,"120,200,000.00","120,200,000.00",,"81,020,000.00","211,021,397.76","211,020,000.00",,"306,014,400.00","306,014,400.00","306,014,400.00",,"471,370,000.00","471,370,000.00","471,370,000.00",,"462,115,000.00","621,661,988.23","994,780,000.00",,"149,883,500.00","149,883,500.00","149,883,500.00",,"322,248,237.99","444,900,400.00","444,900,399.99",,"391,135,000.00","487,075,000.00","487,093,777.56",,"543,410,000.00","543,410,000.00","547,493,000.00",,"534,443,700.00","589,308,100.00","589,308,100.00",,,"23,140,000.00","483,646,600.00"
收回投资收到的现金,,,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00",,,,"300,653,445.42",,"251,302,436.99","352,716,135.62","352,627,436.99",,"23,104,388.89","53,604,144.60",,,,"50,000,000.00","100,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,,"2,772,000.00",,,"20,757,680.00","25,330,084.15",,,,"2,918,812.89"
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,"6,095,000.00","6,095,000.00","6,095,000.00",,,,"1,000,000.00",,"574,600.00","574,600.00","137,891,015.75","93,890,038.26","504,240.00","504,240.00","696,697,539.04","136,197,585.07","170,404,078.42","170,704,078.42","337,344,528.13"
取得投资收益收到的现金,,,,,,,,,"488,000.00","488,160.00","488,160.00",,,"38,356.16",,"24,657.60",,,,,,,"1,088,802.13","114,000.00","8,416,295.88","13,841,670.56","28,404,009.82","4,423,193.85","7,936,593.03","16,194,241.92","34,157,725.58","687,709.61","8,651,710.80","12,756,430.16","32,130,545.66","8,184,490.35","19,885,471.58","38,933,808.18","46,375,211.01","10,071,663.00","21,874,448.28","28,059,804.44","50,966,869.13"
筹资活动现金流出小计,,"120,200,000.00","120,200,000.00",,"81,020,000.00","211,021,397.76","211,020,000.00",,"306,014,400.00","306,014,400.00","306,014,400.00",,"471,370,000.00","471,370,000.00","471,370,000.00",,"462,115,000.00","621,661,988.23","994,780,000.00",,"149,883,500.00","149,883,500.00","149,883,500.00",,"328,343,237.99","450,995,400.00","450,995,399.99",,"391,135,000.00","487,075,000.00","488,093,777.56",,"543,984,600.00","543,984,600.00","685,384,015.75","93,890,038.26","534,947,940.00","589,812,340.00","1,286,005,639.04","136,197,585.07","170,404,078.42","193,844,078.42","820,991,128.13"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"4,102.00","932,602.00","18,528.90","401,149.23","392,749.42","712,687.00",,"3,121,409.20","3,387,324.84","852,081.10","120,450.00","1,181,727.00","1,182,327.00","1,418,571.95","361,573.07",600.00,"178,536.90","594,953.60",,"295,394.42","535,839.23","1,296,435.64","11,000.00","554,137.60","492,780.56","410,682.16",,"80,210.00","565,532.15","1,559,910.02","654,281.21","812,931.21","28,880,741.01","129,040,755.32","112,100.00","9,317,026.72","12,894,572.72","18,094,663.30","135,000.00","1,205,000.00","1,470,270.00","1,154,566.99"
筹资活动产生的现金流量净额,,"-25,794,416.29","528,853.18",,"1,377,718,333.53","1,242,716,935.77","1,247,718,333.53",,"-306,014,400.00","-306,014,400.00","-306,014,400.00",,"-471,370,000.00","-471,370,000.00","-471,370,000.00",,"-462,115,000.00","-621,661,988.23","-993,455,000.00",,"-146,438,500.00","-146,438,500.00","-145,113,500.00",,"-322,248,237.99","-443,900,400.00","-441,900,399.99",,"-391,135,000.00","-456,422,300.00","-457,441,077.56",,"-543,984,600.00","-543,984,600.00","-233,461,476.46","-93,890,038.26","-397,008,324.25","-470,129,278.21","-811,387,405.55","-107,648,973.99","-135,372,451.35","-158,512,451.35","-782,659,501.06"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,"1,325,000.00",,,,,,,"137,001,176.63","137,001,176.63","121,465,749.28",,,,,,,,,,,,,,,"6,800,000.00","5,080,330.91"
四、汇率变动对现金的影响,,"-177,914.36","-654,016.52",,-581.77,-581.77,"-89,001.88","-34,565.99","-34,541.29","-19,184.09","-32,638.16","8,622.74","-15,676.91","-24,435.82","-87,217.32","136,461.79","-137,369.26","-198,581.72","426,313.39","-227,772.08","-183,015.64","-80,353.67","866,349.50","-163,120.02","-397,913.15","-652,777.42","-940,094.37","-174,260.00","948,673.65","946,814.36","468,631.84","96,619.52","289,812.49","1,635,325.40","4,694,527.35","-108,917.68","-1,356,225.71","-647,961.79","4,384,235.62","-47,753.74","-3,827,670.02","-8,095,356.37","-8,025,215.46"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,600,000.00",,,,"300,275,000.00",,,,"111,000,000.00","127,500,000.00","552,500,000.00","333,100,000.00","2,063,500,000.00","230,200,000.00","1,795,200,000.00","2,485,200,000.00","3,495,521,953.99"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"4,102.00","932,602.00","18,528.90","401,149.23","392,749.42","712,687.00",,"13,609,409.20","13,875,484.84","11,340,241.10","120,450.00","1,181,727.00","1,220,683.16","302,072,017.37","386,230.67","251,303,036.99","354,219,672.52","353,222,390.59",,"23,399,783.31","54,139,983.83","2,385,237.77","125,000.00","145,971,610.11","201,335,627.75","253,880,441.26","54,423,193.85","58,016,803.03","66,759,774.07","335,992,635.60","1,341,990.82","9,464,642.01","41,637,171.17","274,943,300.98","135,796,590.35","581,702,498.30","405,686,060.90","2,153,299,958.46","240,406,663.00","1,818,279,448.28","2,521,530,074.44","3,555,642,533.91"
五、现金及现金等价物净增加额,"-14,780,155.71","30,456,746.54","263,625,383.74","-60,674,925.67","1,376,787,598.70","1,592,912,849.14","1,926,512,648.90","-73,974,077.57","-96,499,528.17","7,040,086.80","191,972,396.35","-181,478,295.34","-248,885,923.84","-220,796,527.74","-282,019,198.20","-67,758,448.27","-265,302,241.69","-258,374,317.44","-758,060,466.84","29,147,965.24","-242,645,895.37","-165,177,463.86","-39,481,214.35","-19,960,775.91","-464,147,017.13","-630,908,615.80","-427,382,192.74","-63,964,349.20","-645,610,186.91","-510,416,486.02","171,666,557.95","-547,503,335.44","-520,396,863.19","-576,002,407.54","-222,545,140.44","-317,970,829.88","-239,146,921.42","-228,767,445.30","-291,162,906.24","11,578,105.26","272,764,012.36","79,488,369.50","-47,840,991.05"
购建固定资产、无形资产和其他长期资产支付的现金,"-3,738,257.86","29,013,355.43","91,190,406.63","5,271,003.14","92,386,128.91","148,411,489.82","265,118,776.00","100,814,320.05","154,212,093.50","193,696,493.14","296,624,921.77","133,701,790.59","149,284,318.75","226,729,032.84","362,155,759.19","31,130,339.62","60,558,345.70","92,553,201.21","144,673,315.58","61,401,790.86","124,453,868.37","158,874,158.01","200,025,952.14","43,319,773.28","90,167,708.38","141,444,403.76","233,855,841.68","32,886,759.19","71,247,845.04","104,241,959.46","142,087,538.84","33,715,797.40","44,675,469.60","54,527,461.87","71,317,821.67","8,835,560.39","6,067,717.80","10,828,439.30","35,348,267.36","3,867,330.75","8,820,733.93","23,421,108.72","35,396,657.86"
期初现金及现金等价物余额,,"185,523,318.64","186,674,964.63",,"450,300,348.37","450,300,348.37","450,300,348.37","2,376,812,997.27","2,376,812,997.27","2,376,812,997.27","2,376,812,997.27","2,568,785,393.62","2,568,785,393.62","2,568,785,393.62","2,568,785,393.62","2,286,766,195.42","2,286,766,195.42","2,286,766,195.42","2,286,766,195.42","1,528,705,728.58","1,528,705,728.58","1,528,705,728.58","1,528,705,728.58","1,489,224,514.23","1,489,224,514.23","1,489,224,514.23","1,489,224,514.23","1,061,842,321.49","1,061,842,321.49","1,061,842,321.49","1,061,842,321.49","1,233,508,879.44","1,233,508,879.44","1,233,508,879.44","1,233,508,879.44","1,010,963,739.00","1,010,963,739.00","1,010,963,739.00","1,010,963,739.00","719,800,832.76","719,800,832.76","719,800,832.76","719,800,832.76"
投资支付的现金,,"46,734,487.06",,,,,"10,000,000.00",,,,,,,"40,000,000.00","300,000,000.00","100,000,000.00","249,461,135.90","349,461,135.90","385,749,586.01",,"73,000,000.00","103,000,000.00",,"100,000,000.00","380,570,000.00","500,070,000.00",,"129,500,000.00","741,897,600.00","536,000,000.00","10,680,000.00","195,000.00","2,967,000.00","87,267,000.00","216,343,320.31","279,050,670.13","347,383,393.87","356,450,119.37","363,648,036.39","12,500,000.00","29,500,000.00","47,918,310.38","131,305,415.27"
期末现金及现金等价物余额,,"215,980,065.18","450,300,348.37",,"1,827,087,947.07","2,043,213,197.51","2,376,812,997.27","2,302,838,919.70","2,280,313,469.10","2,383,853,084.07","2,568,785,393.62","2,387,307,098.28","2,319,899,469.78","2,347,988,865.88","2,286,766,195.42","2,219,007,747.15","2,021,463,953.73","2,028,391,877.98","1,528,705,728.58","1,557,853,693.82","1,286,059,833.21","1,363,528,264.72","1,489,224,514.23","1,469,263,738.32","1,025,077,497.10","858,315,898.43","1,061,842,321.49","997,877,972.29","416,232,134.58","551,425,835.47","1,233,508,879.44","686,005,544.00","713,112,016.25","657,506,471.90","1,010,963,739.00","692,992,909.12","771,816,817.58","782,196,293.70","719,800,832.76","731,378,938.02","992,564,845.12","799,289,202.26","671,959,841.71"
