科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
筹资活动现金流入小计,"55,369,793.80","72,751,073.89","52,055,400.00",,"226,900,000.00","226,900,000.00","248,833,670.00",,,,"1,000,000.00","5,525,520.00","5,525,520.00","5,525,520.00","6,625,520.00"
经营活动现金流出小计,"665,121,729.82","737,067,704.76","693,458,416.23",,"294,781,710.28","459,859,012.24","673,421,513.24","236,827,932.27","398,614,511.02","565,493,640.68","711,652,410.82","225,670,329.81","355,784,312.49","533,140,462.74","733,748,533.55"
偿还债务支付的现金,"26,194,526.00","78,888,885.80","69,589,031.89",,"20,055,400.00","20,055,400.00","21,055,400.00",,,,"1,000,000.00",,,,"1,100,000.00"
经营活动产生的现金流量净额,"32,053,064.06","32,803,156.74","66,999,634.36","-76,150,900.00","-62,029,570.75","-101,052,172.99","83,978,088.84","-134,552,013.40","-154,736,859.61","-183,531,563.19","38,290,064.43","-132,952,757.23","-148,734,963.93","-178,998,925.55","61,427,426.44"
分配股利、利润或偿还利息支付的现金,"12,422,597.30","15,704,606.34","13,462,513.27",,"9,734,368.71","9,752,155.38","9,765,524.90","12,645.21","22,561,397.58","24,232,163.55","24,241,316.67","10,875.00","23,075,508.63","24,273,138.34","24,284,399.41"
收回投资收到的现金,,,,,,"110,000,000.00",,,,,,,,,
支付其他与筹资活动有关的现金,"1,883,526.27","710,844.95","751,392.65",,"397,179.67","3,102,128.43","4,412,216.96","900,000.00","900,000.00","900,000.00","900,000.00",,"12,832.00","12,832.00","12,832.00"
取得投资收益收到的现金,,,,,,"658,438.35","742,298.62","817,890.41","1,367,945.20","1,950,164.38","2,370,080.59","144,108.44","469,729.25","1,212,688.15","1,582,879.95"
筹资活动现金流出小计,"40,500,649.57","95,304,337.09","83,802,937.81",,"30,186,948.38","32,909,683.81","35,233,141.86","912,645.21","23,461,397.58","25,132,163.55","26,141,316.67","10,875.00","23,088,340.63","24,285,970.34","25,397,231.41"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"213,388.46",,,,,,,,,300.00,360.00,360.00,"23,677.00","1,585,358.21"
筹资活动产生的现金流量净额,"14,869,144.23","-22,553,263.20","-31,747,537.81","-20,172,000.00","196,713,051.62","193,990,316.19","213,600,528.14","-912,645.21","-23,461,397.58","-25,132,163.55","-25,141,316.67","5,514,645.00","-17,562,820.63","-18,760,450.34","-18,771,711.41"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,"128,000,000.00","65,000,000.00","150,000,000.00","235,000,000.00","336,000,000.00",,"115,000,000.00","245,000,000.00","360,090,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,,"213,388.46",,,,"110,658,438.35","128,742,298.62","65,817,890.41","151,367,945.20","236,950,164.38","338,370,380.59","144,468.44","115,470,089.25","246,236,365.15","363,258,238.16"
五、现金及现金等价物净增加额,"43,736,176.67","8,507,601.68","32,803,032.05","-96,622,700.00","133,701,900.86","39,254,646.67","107,379,664.11","-171,120,251.89","-139,530,599.68","-181,186,389.41","72,267,149.91","-171,450,334.93","-253,634,065.10","-264,997,642.83","-13,087,679.23"
购建固定资产、无形资产和其他长期资产支付的现金,"3,186,031.62","1,955,680.32","2,449,064.50",,"981,580.01","9,341,934.88","110,941,251.49","1,473,483.69","12,700,287.69","19,472,827.05","23,251,978.44","4,156,691.14","4,306,369.79","4,974,632.09","20,751,632.42"
期初现金及现金等价物余额,"79,235,667.80","122,971,844.47","131,479,446.15",,"164,282,478.20","164,282,478.20","164,282,478.20","271,662,142.31","271,662,142.31","271,662,142.31","271,662,142.31","343,929,292.22","343,929,292.22","343,929,292.22","343,929,292.22"
投资支付的现金,,,,,,"155,000,000.00",,,,,,,"3,500,000.00","3,500,000.00","13,250,000.00"
期末现金及现金等价物余额,"122,971,844.47","131,479,446.15","164,282,478.20",,"297,984,379.06","203,537,124.87","271,662,142.31","100,541,890.42","132,131,542.63","90,475,752.90","343,929,292.22","172,478,957.29","90,295,227.12","78,931,649.39","330,841,612.99"
