科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
收回投资收到的现金,"570,300.00","2,352,925.00","3,068,925.00","2,145,325.00",,,,,,"400,000.00","400,000.00","307,498.62",,,"14,101,100.00","14,262,215.98","31,473,925.00","31,473,925.00","39,190,075.00","183,812,011.02","103,956.37","4,227,178.81","4,227,178.81","95,265,025.65","3,566,173.24","4,218,884.74","14,019,668.74","109,569,548.78","3,705,353.96","3,705,353.96","3,739,543.96","39,440,512.18","89,650.00","207,514.34","100,207,514.34","114,670,258.80",,,,"8,028,081.29",,"6,517,269.08","12,740,044.08","361,222,571.29"
支付其他与筹资活动有关的现金,,,,"84,980,000.00",,,,,,,,,,,,,,,,,,,,,"21,629,552.30","21,629,552.30","21,629,552.30","13,840,513.76",,,,"38,000.00",,,,"22,251,690.75",,,,"2,951,148.61",,,,"2,542,758.87"
取得投资收益收到的现金,"616,137.61","1,165,906.24","6,851,330.49","9,564,308.95",,,"1,521,344.29","540,048.25",,"814,463.30","1,964,492.77","199,259.06","428,081.42","29,740.00","29,740.00","1,578,396.10",,"4,066,040.28","18,627,571.40","2,213,226.05","1,018,778.77","28,298,704.57","31,739,510.78","2,489,719.78","21,093,381.40","27,881,300.36","73,373,287.35","5,311,394.09","25,344,381.77","25,662,701.97","31,523,695.66","13,177,111.78","6,976,758.30","13,503,359.51","15,459,727.30","4,782,749.55","2,045,163.89","16,044,539.78","16,044,539.78","11,441,161.80",,"10,746,093.68","15,318,899.60","43,862,609.14"
筹资活动现金流出小计,"496,742,762.27","1,226,194,276.87","2,399,116,654.54","2,879,831,777.38","540,078,328.30","1,043,079,858.76","1,933,703,467.22","4,182,445,769.28","480,006,489.32","1,493,406,135.25","2,554,922,141.53","2,557,983,483.44","391,723,807.83","1,229,708,419.50","2,022,674,826.96","2,534,931,150.78","384,660,764.27","1,655,580,280.51","2,184,668,685.98","2,463,274,874.96","771,383,918.47","2,467,297,119.61","4,433,012,328.71","4,588,024,436.42","286,391,450.80","1,012,618,508.84","1,551,099,209.00","1,182,033,517.53","725,029,036.67","1,614,528,966.20","2,082,595,192.80","2,228,881,410.93","290,722,846.38","408,632,528.06","708,338,508.54","857,145,514.84","1,706,737,664.17","2,758,514,325.54","3,728,741,575.62","5,861,907,283.15","956,746,343.71","2,568,344,067.41","4,180,198,097.47","6,743,994,446.94"
处置固定资产、无形资产和其他长期资产收回的现金净额,"305,030.57","461,383.57","6,615,072.12","19,280,801.92","543,969.54","1,019,976.38","2,390,992.01","30,047,510.18","278,315.53","560,456.47","18,031,576.47","2,767,377.29","41,845.00","24,685,369.82","25,801,759.28","6,221,873.74","443,487.60","1,572,838.98","2,019,920.58","6,252,877.63","4,219,318.78","4,446,477.25","6,607,053.80","50,118,213.50","12,699,702.91","16,869,178.91","17,270,640.87","32,211,714.48","152,800.00","1,764,159.71","3,359,683.82","94,396,135.37","218,487.22","1,238,720.74","2,263,437.30","79,076,573.36","126,265.00","2,131,409.83","2,654,213.00","65,588,042.86","712,281.06","1,281,180.35","2,447,677.28","37,490,057.16"
筹资活动产生的现金流量净额,"39,942,237.30","177,088,052.64","134,838,250.33","174,866,120.06","-22,017,515.75","514,406,385.83","400,189,214.10","-260,612,507.73","614,245,999.18","366,965,992.59","2,436,135.59","354,267,936.99","336,978,414.15","832,309,929.30","691,875,082.92","391,456,166.62","1,104,426,064.82","554,501,299.75","729,208,899.73","1,343,129,932.63","176,359,220.40","-393,430,917.05","-204,437,473.02","-4,407,092.37","407,479,136.86","-113,753,204.84","-235,084,789.00","804,282,063.56","-107,277,288.99","-996,777,218.52","-1,464,843,445.12","-495,765,520.83","-290,722,846.38","-308,632,528.06","-517,896,800.54","2,195,613,519.07","1,563,354,835.83","1,162,580,884.56","3,045,455,056.55","2,465,191,537.46","290,191,913.70","827,213,182.12","-621,182,062.31","-2,653,709,257.07"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"24,367,300.00","24,367,300.00","18,972,348.00",,"599,736,094.17","599,736,094.17","596,584,926.24",,,,,,,,,,,"208,020.60",
四、汇率变动对现金的影响,"404,919.01","1,749,340.31","6,457,800.99","123,914.28",,,,"-35,362.20",,,,"-3,154.30",,,,"-25,122.50",,,,"-225,858.63","-1,288.99",,,"-13,133.96",-352.66,"-1,366.84","-1,622.23","-111,208.67","-1,622.23",957.98,590.94,"18,450.85","-14,631.22","-13,146.57","-8,572.78","121,168.58",27.87,"1,883,606.70","4,490,836.04","-2,471,714.28","-2,573,583.01","-3,339,729.72","-7,567,977.50","-8,377,227.88"
收到其他与投资活动有关的现金,,,,"61,439,698.09",,,,,,,,"2,382,157.43",,,,,,,,,,,,,,,,,,,,,,,,,,"201,385,127.91","201,385,127.91",,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,491,468.18","3,980,214.81","16,535,327.61","92,430,133.96","543,969.54","1,019,976.38","3,912,336.30","30,587,558.43","278,315.53","1,774,919.77","20,396,069.24","5,656,292.40","469,926.42","24,715,109.82","39,932,599.28","22,062,485.82","31,917,412.60","37,112,804.26","59,837,566.98","192,278,114.70","5,342,053.92","36,972,360.63","42,573,743.39","147,872,958.93","37,359,257.55","73,336,664.01","129,030,896.96","166,065,005.35","29,202,535.73","630,868,309.81","638,359,017.61","743,598,685.57","7,284,895.52","14,949,594.59","117,930,678.94","198,529,581.71","2,171,428.89","219,561,077.52","220,083,880.69","85,057,285.95","712,281.06","18,544,543.11","30,714,641.56","442,575,237.59"
五、现金及现金等价物净增加额,"151,393,745.24","32,243,214.02","271,039,437.65","252,651,398.12","163,212,882.92","269,345,699.86","148,946,111.61","126,720,441.82","-50,614,682.85","-49,950,707.24","9,694,751.18","247,382,792.27","237,817,229.46","612,672,427.40","336,386,979.11","-9,103,340.79","8,305,087.69","136,011,159.10","-22,132,849.83","-70,322,109.85","253,425,537.72","37,274,473.73","338,750,199.03","17,765,061.86","-91,748,263.42","-188,839,464.64","-87,621,433.43","324,822,350.01","-252,549,629.10","-64,680,893.90","-218,183,059.60","914,606,155.28","-196,011,050.99","151,802,341.04","-483,855,548.34","1,568,862,578.22","-1,099,552,068.03","-2,170,560,203.83","-1,868,545,085.53","-2,186,926,021.37","15,565,734.48","763,081,159.93","1,411,503,818.19","257,229,212.09"
购建固定资产、无形资产和其他长期资产支付的现金,"50,384,528.35","147,984,563.37","233,239,298.85","261,465,861.56","79,461,755.76","144,021,179.81","220,480,865.95","253,514,076.51","82,133,572.27","146,130,135.96","198,063,270.20","319,407,794.80","73,321,099.56","107,780,626.38","155,220,452.28","403,702,661.59","169,140,075.92","236,545,827.54","289,764,449.39","487,724,171.67","55,010,566.39","160,699,535.19","207,779,471.11","859,506,620.76","255,556,299.01","106,634,638.89","167,551,329.20","430,363,945.70","53,527,616.51","152,827,232.86","281,014,847.27","574,908,665.67","59,960,135.84","225,650,347.43","387,710,681.35","504,359,373.68","150,395,844.74","216,561,971.00","297,330,131.01","609,455,067.42","35,763,538.10","162,056,276.07","338,265,719.97","834,501,703.61"
期初现金及现金等价物余额,"835,056,522.23","835,056,522.23","848,427,869.30","847,721,653.67","1,100,373,051.79","1,100,373,051.79","1,100,373,051.79","1,100,373,051.79","1,227,093,493.61","1,227,093,493.61","1,227,093,493.61","1,227,093,493.61","1,474,476,285.88","1,474,476,285.88","1,474,476,285.88","1,474,476,285.88","1,465,372,945.09","1,497,560,519.53","1,497,560,519.53","887,983,878.22","817,661,768.37","817,661,768.37","817,661,768.37","817,661,768.37","835,426,830.23","835,426,830.23","835,426,830.23","835,426,830.23","1,160,249,180.24","1,160,249,180.24","1,160,249,180.24","1,160,249,180.24","2,074,855,335.52","2,074,855,335.52","2,075,030,403.27","2,075,030,403.27","3,643,892,981.49","3,648,661,890.82","3,648,661,890.82","3,648,661,890.82","1,461,735,869.45","1,461,735,869.45","1,461,735,869.45","1,461,735,869.45"
投资支付的现金,"78,000.00","599,700.00","599,700.00","13,754,030.00",,,,,,,,"9,380,768.76","153,000,000.00",,"996,873.82","176,979,896.82",,,"90,000,000.00","100,846,000.00",,,"2,275,341.96",,,,,,"46,880.00","10,925,720.00","10,959,910.00","118,076,971.05",,"100,150,980.00","121,298,280.00","250,618,280.00","397,852,570.29","49,557,653.36","49,557,653.36","54,000,000.00",,,"79,200,000.00","191,716,994.95"
期末现金及现金等价物余额,"986,450,267.47","867,299,736.25","1,119,467,306.95","1,100,373,051.79","1,263,585,934.71","1,369,718,751.65","1,249,319,163.40","1,227,093,493.61","1,176,478,810.76","1,177,142,786.37","1,236,788,244.79","1,474,476,285.88","1,712,293,515.34","2,087,148,713.28","1,810,863,264.99","1,465,372,945.09","1,473,678,032.78","1,633,571,678.63","1,475,427,669.70","817,661,768.37","1,071,087,306.09","854,936,242.10","1,156,411,967.40","835,426,830.23","743,678,566.81","646,587,365.59","747,805,396.80","1,160,249,180.24","907,699,551.14","1,095,568,286.34","942,066,120.64","2,074,855,335.52","1,878,844,284.53","2,226,657,676.56","1,591,174,854.93","3,643,892,981.49","2,544,340,913.46","1,478,101,686.99","1,780,116,805.29","1,461,735,869.45","1,477,301,603.93","2,224,817,029.38","2,873,239,687.64","1,718,965,081.54"
