科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他应付款,"10,921,385.94","459,897.97","387,508.37","44,419,155.77","50,700,140.04","649,191.03","572,276.30","491,168.04","569,111.81"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,"1,000,000.00","2,000,000.00","9,000,000.00","8,500,000.00","8,500,000.00",,,,
其他流动资产,"11,891,139.89","12,426,603.76","10,484,873.11","7,049,382.71","6,416,750.79","8,594,547.22","7,437,283.74","21,753,231.41","28,390,081.02"
其他流动负债,,,,,,,,,
流动资产合计,"180,933,473.18","219,587,501.29","277,333,019.77","310,830,249.89","534,620,698.22","451,935,846.96","419,877,015.00","416,730,986.38","436,308,934.22"
流动负债合计,"118,106,418.92","111,897,180.22","146,947,466.48","193,974,845.61","164,678,542.97","88,294,374.82","85,587,748.93","170,048,792.52","282,266,815.46"
可供出售金融资产,,,,,,,,,
长期借款,"9,000,000.00","16,500,000.00","7,500,000.00",,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,,,,,,,
投资性房地产,,"1,471,244.66","1,398,922.34","1,362,832.88","1,344,788.15","1,326,743.42","1,308,698.69","4,667,294.32","4,609,016.15"
预计负债,,,,,,,,,
固定资产,"120,825,365.99","157,381,513.77","182,770,590.74","196,250,334.86","190,948,133.81","218,119,937.91","254,225,465.88","250,941,793.54","366,743,692.35"
递延所得税负债,,,,,,,,,
在建工程,"679,206.98","391,078.72",,"99,443.72","3,555,317.77","7,200,010.84","9,370,718.43","24,666,797.63","26,195,296.92"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,"19,658,307.24","28,605,340.01","19,117,789.45","12,386,266.36","12,246,414.46","9,730,127.83","9,143,146.34","9,905,024.51","9,500,436.04"
固定资产清理,,,,,,,,,
负债合计,"137,764,726.16","140,502,520.23","166,065,255.93","206,361,111.97","176,924,957.43","98,024,502.65","94,730,895.27","179,953,817.03","291,767,251.50"
生产性生物资产,,,,,,,,,
实收资本(或股本),"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","66,680,000.00","66,680,000.00","66,680,000.00","113,356,000.00","113,356,000.00"
油气资产,,,,,,,,,
资本公积,"48,384,992.64","48,367,380.01","48,367,380.01","48,367,380.01","267,207,380.01","267,207,380.01","267,207,380.01","220,531,380.01","220,531,380.01"
无形资产,"15,658,751.66","15,699,013.24","15,307,487.25","15,111,724.25","14,881,954.06","14,915,961.26","14,774,116.85","29,403,218.81","29,261,374.40"
盈余公积,"9,194,335.77","13,301,387.32","17,059,110.90","17,059,110.90","17,059,110.90","20,882,830.16","20,882,830.16","20,882,830.16","20,882,830.16"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,,,"591,647.33","591,647.33","999,600.00"
未分配利润,"87,206,796.34","121,058,392.67","151,478,829.52","160,243,742.47","174,876,160.18","190,681,361.85","206,059,966.28","199,362,517.91","214,289,960.73"
长期待摊费用,,"329,131.70","254,611.34","217,351.16","483,170.58","251,172.24","485,787.10","935,105.74","836,709.96"
少数股东权益,"5,528,255.76","33,049,197.38","48,771,363.70","51,924,845.50","53,886,795.58","57,465,952.00","61,632,151.07","64,760,348.70","69,569,574.03"
递延所得税资产,"1,506,998.09","2,404,001.80","2,780,290.83","2,883,655.87","2,969,243.96","3,497,188.33","3,758,671.88","3,809,747.46","4,114,738.61"
外币报表折算价差,,,,,,,,,
其他非流动资产,"18,475,310.77","9,015,392.43","1,897,017.79","7,200,598.22","7,831,097.55","3,695,165.71","12,801,101.63","67,100,302.60","61,327,633.82"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"157,145,633.49","186,691,376.32","204,408,920.29","223,125,940.96","222,013,705.88","249,006,179.71","297,316,207.79","382,115,907.43","494,088,062.21"
所有者权益(或股东权益)合计,"200,314,380.51","265,776,357.38","315,676,684.13","327,595,078.88","579,709,446.67","602,917,524.02","622,462,327.52","618,893,076.78","638,629,744.93"
资产总计,"338,079,106.67","406,278,877.61","481,741,940.06","533,956,190.85","756,634,404.10","700,942,026.67","717,193,222.79","798,846,893.81","930,396,996.43"
负债和所有者(或股东权益)合计,"338,079,106.67","406,278,877.61","481,741,940.06","533,956,190.85","756,634,404.10","700,942,026.67","717,193,222.79","798,846,893.81","930,396,996.43"
