科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
筹资活动产生的现金流量净额,"6,828,383.93","-16,742,671.11","-13,376,655.00","-10,993,800.00","-10,993,800.00","405,132,660.00","-4,800,000.50","-20,663,214.50","-21,570,314.50","-20,271,360.00","39,619,291.66"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,732.10,"-49,906.32","-18,203.73","16,526.70",,"41,249.19","2,788.45","32,256.53","105,481.15","-39,746.40","268,176.45"
收到其他与投资活动有关的现金,,,,,,,"600,000.00",,"907,100.00","2,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"12,230.77","10,210,000.00","96,545,541.36","45,281,340.75",,"105,556,124.72","86,041,185.31","456,021,884.68","898,145,164.94","1,317,305,178.50","214,783,366.84"
五、现金及现金等价物净增加额,"22,140,194.33","33,966,788.67","44,756,693.33","26,377,976.37","12,091,300.00","493,614,353.82","-531,229,121.40","-533,071,131.50","-596,614,160.23","-586,890,477.19","-3,070,618.24"
购建固定资产、无形资产和其他长期资产支付的现金,"25,865,643.90","8,712,688.09","18,097,866.09","2,282,634.19",,"5,663,389.21","37,368,941.00","37,674,358.00","50,071,839.00","59,783,522.14","8,928,160.70"
期初现金及现金等价物余额,"39,935,331.47","62,075,525.80","96,042,314.47","140,799,007.80",,"140,799,007.80","634,413,361.62","634,413,361.62","634,413,361.62","634,413,361.62","47,522,884.43"
投资支付的现金,,"10,000,000.00","96,000,000.00","45,000,000.00",,"105,000,000.00","582,000,000.00","980,000,000.00","1,494,500,000.00","1,933,931,868.84","242,400,000.00"
期末现金及现金等价物余额,"62,075,525.80","96,042,314.47","140,799,007.80","167,176,984.17",,"634,413,361.62","103,184,240.22","101,342,230.12","37,799,201.39","47,522,884.43","44,452,266.19"
