科目,2009年度,2010年度,2011年度,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-9,507.63","650,411.41","374,088.74","-264,177.13","-1,093,795.95","-91,303.88","-237,382.72","-157,734.06","605,237.32","763,049.61","3,122,123.08","6,221,738.24","8,537,821.81","2,610,052.09","4,671,874.60","4,004,554.74","11,584,222.92","2,062,899.69","-355,676.08","-656,759.64","2,409,351.58","-348,246.93","-8,626,913.79","-9,392,476.82","-7,472,296.27","3,896,812.92","5,809,500.32","7,593,884.31","11,060,114.16","4,433,339.92"
三、利润总额,"16,153,752.73","37,286,890.84","58,542,020.90","43,128,134.85","62,795,323.16","8,736,068.42","23,467,525.47","42,291,919.83","69,436,547.77","4,023,520.70","13,737,762.06","22,782,378.70","16,724,356.22","664,973.68","4,246,384.59","42,909,850.49","44,244,946.30","19,601,178.05","114,576,108.94","219,094,538.51","285,624,378.80","32,840,293.10","154,531,110.21","274,420,297.91","468,963,613.03","51,722,987.53","152,974,977.53","244,714,075.87","-1,857,684,166.07","53,424,536.26"
资产减值损失,"729,084.12","168,672.48","-165,385.60","1,817,343.85","3,597,369.47","149,891.40","-125,379.36","350,076.46","1,939,153.10","-535,485.61","3,587,706.86","3,878,558.16","8,154,343.11","-914,300.09","1,968,350.56","-1,249,982.45","-938,566.01","-403,753.73","14,814,490.07","18,307,244.58","46,885,068.00","-2,971,609.90","-17,483,284.00","-14,442,464.28","-24,828,634.10","-3,805,123.37","8,355,303.37","12,279,477.06","2,114,265,588.48","1,329,343.23"
减:所得税,"2,065,768.28","4,756,787.68","7,643,941.64","5,598,431.31","8,378,392.95","1,068,754.38","2,973,534.90","5,323,443.85","9,878,286.07","1,242,537.84","3,611,411.36","4,686,365.65","5,000,981.63","70,075.48","479,176.67","10,535,424.70","16,812,226.49","7,248,585.69","30,085,770.90","58,097,935.58","87,057,435.48","9,562,042.14","24,125,962.33","45,663,616.55","76,031,484.23","10,107,634.84","25,293,929.59","42,216,518.74","39,937,710.03","17,709,323.42"
加:公允价值变动净收益,"-19,048.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"113,233.26","8,323.29",,,,,,,"52,648.57",,"43,696.08","43,696.08","1,455.91","1,000,000.00","1,000,000.00","596,344.33","1,327,498.89",,,,"14,111,426.42",,,,,,,,"2,020,746.23",
四、净利润,"14,087,984.45","32,530,103.16","50,898,079.26","37,529,703.54","54,416,930.21","7,667,314.04","20,493,990.57","36,968,475.98","59,558,261.70","2,780,982.86","10,126,350.70","18,096,013.05","11,723,374.59","594,898.20","3,767,207.92","32,374,425.79","27,432,719.81","12,352,592.36","84,490,338.04","160,996,602.93","198,566,943.32","23,278,250.96","130,405,147.88","228,756,681.36","392,932,128.80","41,615,352.69","127,681,047.94","202,497,557.13","-1,897,621,876.10","35,715,212.84"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"14,087,984.45","32,530,103.16","50,898,079.26","37,529,703.54","54,416,930.21","7,663,960.26","20,494,715.53","37,182,337.76","59,483,261.70","1,697,188.41","6,444,046.29","13,057,828.30","6,380,284.13","492,500.75","3,147,450.19","33,760,160.14","30,814,621.60","13,350,124.21","84,490,338.04","160,996,602.93","201,402,236.61","23,278,251.28","130,405,398.50","228,757,122.46","371,519,890.94","28,621,209.67","98,774,881.17","160,379,487.03","-1,953,787,104.88","36,913,474.71"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,"3,353.78",-724.96,"-213,861.78","75,000.00","1,083,794.45","3,682,304.41","5,038,184.75","5,343,090.46","102,397.45","619,757.73","-1,385,734.35","-3,381,901.79","-997,531.85",,,"-2,835,293.29",-0.32,-250.62,-441.10,"21,412,237.86","12,994,143.02","28,906,166.77","42,118,070.10","56,165,228.78","-1,198,261.87"
