科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-1,153,222.25","-2,342,203.28","4,465,750.88","17,699,102.96","13,311,072.68","17,059,958.70","25,560,908.99","52,774,890.57","6,364,695.96","13,352,748.47","35,507,242.94","52,804,049.07","7,457,621.36","20,361,728.22","31,906,450.48","40,897,491.07","13,755,986.89","27,044,817.23","348,670,962.90","368,005,399.33","-35,014,054.98","142,884,577.63","289,534,279.26","139,911,083.33","-108,757,838.32"
三、利润总额,"27,427,349.70","52,254,402.88","84,649,006.97","122,414,940.08","-20,430,084.06","-46,318,871.28","31,174,949.23","62,960,427.23","-17,221,260.82","-24,329,851.80","-48,492,129.25","-33,200,176.98","-28,649,819.03","-97,899,903.36","-125,953,318.77","-76,192,056.68","-35,290,229.56","-34,418,855.62","890,893,356.78","963,698,044.30","756,349,825.14","843,678,131.56","1,002,232,103.74","1,344,576,273.37","335,001,077.13"
资产减值损失,,,"982,611.11","1,065,793.00",,"-12,585.30","93,490.36","2,739,629.76","327,906.00",,,"11,096,568.30",,"8,333,368.13","8,325,608.79","-3,441,866.54",,"-1,198,266.59","-1,198,266.59","-556,916.00",,"-2,716,851.49","-17,000.00","12,075,960.72",
减:所得税,"9,343,571.52","16,343,642.48","26,648,768.36","42,596,427.74","4,734,233.98","10,877,140.85","18,142,833.23","33,551,516.65","3,978,506.41","11,358,394.46","21,652,304.25","37,307,076.38","6,137,031.80","15,189,286.94","22,922,141.39","38,698,122.09","1,176,577.79","12,116,398.96","247,089,370.88","265,982,436.96","194,530,419.36","222,105,080.39","274,872,057.42","407,431,793.32","85,557,570.71"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,"365,741,739.00","337,989,713.00","419,317,422.00","335,151,437.00","341,735,881.00","457,547,737.00","-135,503,035.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"-356,910.62","101,725.71","-2,214,084.27","-2,246,773.44","-468,147.81","-96,132.29","-97,861.35","3,509,242.44","-303,937.18","-751,146.61","-1,186,597.74","4,658,303.79",,,,"5,921,928.10",,"11,708,312.75","80,125,948.86","100,495,998.06","28,094,470.81","33,312,659.18","62,878,246.21","58,216,477.96","14,997,233.34"
四、净利润,"18,083,778.18","35,910,760.40","58,000,238.61","79,818,512.34","-25,164,318.04","-57,196,012.13","13,032,116.00","29,408,910.58","-21,199,767.23","-35,688,246.26","-70,144,433.50","-70,507,253.36","-34,786,850.83","-113,089,190.30","-148,875,460.16","-114,890,178.77","-36,466,807.35","-46,535,254.58","643,803,985.90","697,715,607.34","561,819,405.78","621,573,051.17","727,360,046.32","937,144,480.05","249,443,506.42"
其中:对联营企业和合营企业的投资权益,"-356,910.62","101,725.71","-2,214,084.27","-2,246,773.44","-468,147.81","-96,132.29","-97,861.35","3,509,242.44","-303,937.18","-751,146.61","-1,186,597.74","4,658,303.79",,,,,,,,"4,080,965.44",,,,"-8,954,282.22",
归属于母公司所有者的净利润,"10,994,445.13","21,410,215.73","32,832,200.90","45,596,492.92","-7,351,242.72","-18,629,646.88","12,843,515.12","37,656,752.18","-6,032,676.20","-7,719,080.16","-15,416,706.30","-9,937,056.36","-41,793,525.53","-130,355,569.90","-175,424,065.14","-26,842,561.29","-14,966,801.16","-5,398,891.28","456,708,353.73","476,087,767.49","402,150,288.77","424,636,327.09","493,651,076.19","642,051,911.42","184,401,055.99"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"7,089,333.05","14,500,544.67","25,168,037.71","34,222,019.42","-17,813,075.32","-38,566,365.25","188,600.88","-8,247,841.60","-15,167,091.03","-27,969,166.10","-54,727,727.20","-60,570,197.00","7,006,674.70","17,266,379.60","26,548,604.98","-88,047,617.48","-21,500,006.19","-41,136,363.30","187,095,632.17","221,627,839.85","159,669,117.01","196,936,724.08","233,708,970.13","295,092,568.63","65,042,450.43"
