科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月
取得借款收到的现金,"189,575.09",,,,,"181,000.00",,,,,,,,,,,,,,,,,,,,,"997,184,353.28","1,193,985,158.07","340,384,061.13","495,109,810.83","696,109,810.83","1,132,522,837.81","50,000,000.00","50,000,000.00","388,750,400.00","1,130,402,695.46","209,451,600.00","426,380,756.00","1,107,660,256.00","1,139,110,256.00",,"418,503,308.62","418,503,308.62","418,503,308.62",,,
支付的各项税费,"2,164,119.23","4,667,422.12","8,254,049.70","9,315,263.29","941,019.35","1,885,476.98","2,856,450.53","4,202,479.01","1,321,436.40","2,576,298.33","3,556,112.04","4,861,376.60","1,403,581.19","1,481,372.78","2,213,153.40","2,799,011.06","873,665.96","1,299,207.94","1,296,961.30","1,616,745.99","158,372.52","364,926.43","578,904.34","863,441.85","111,720.67","1,802,538.18","75,581,459.24","89,262,113.18","52,456,527.23","94,932,128.48","112,373,869.13","147,546,520.17","11,999,331.50","74,639,692.54","99,678,949.09","127,659,085.29","254,989.96","2,259,520.65","3,579,202.91","3,027,053.10","7,127.37","7,154.55","9,701.17","15,075.64","25,056.47","27,827.98","27,880.47"
收到其他与筹资活动有关的现金,"140,131.86",,,,"90,000.00","190,375.04","5,318.16",,"13,148.09",,"78,263.86",,"58,836.37","95,836.85","120,649.96",,792.29,,"2,053.42","11,946,771.60",331.45,"5,825,607.38",,,12.04,"2,241.68","130,483,416.43","423,470,723.18",,,"33,500,000.00","1,224,606,327.65",,,,"5,674,906,115.21","839,367,053.73","948,211,153.73","952,866,153.73","1,059,861,385.67",,,"975,900.00","2,655,900.00","3,838,500.00","3,838,500.00","4,060,500.00"
支付其他与经营活动有关的现金,"1,385,275.53","12,164,489.20","17,046,561.61","17,908,659.03","8,434,279.97","20,916,875.04","28,548,217.17","30,162,238.26","3,601,680.81","8,197,962.86","11,932,608.74","16,031,108.83","3,069,406.98","9,071,667.94","11,547,722.70","15,757,303.29","36,273,851.36","7,192,769.76","72,717,320.57","8,257,805.88","74,951,689.57","769,728.10","85,625,301.29","12,697,231.48","81,472,038.58","3,000,632.26","165,343,323.36","34,982,882.56","570,793,704.86","1,193,369,850.92","2,416,036,984.35","9,228,543.58","981,334,096.51","1,794,754,601.49","2,347,705,376.29","23,420,201.68","193,246,006.65","13,729,185.29","19,368,720.80","13,770,730.51","4,881,943.90","5,786,150.04","7,374,281.49","13,057,448.50","5,853,473.20","6,012,934.44","5,535,641.89"
筹资活动现金流入小计,"889,455.47",,,,"90,000.00","371,375.04","5,318.16",,"13,148.09",,"78,263.86",,"58,836.37","95,836.85","120,649.96",,792.29,,"2,053.42","11,946,771.60",331.45,"5,825,607.38",,,12.04,"2,241.68","1,127,667,769.71","1,617,455,881.25","340,384,061.13","516,109,810.83","769,609,810.83","2,357,129,165.46","50,000,000.00","50,000,000.00","388,750,400.00","6,805,308,810.67","1,048,818,653.73","1,374,591,909.73","2,060,526,409.73","2,198,971,641.67",,"418,503,308.62","419,479,208.62","421,159,208.62","3,838,500.00","3,838,500.00","4,060,500.00"
经营活动现金流出小计,"11,295,831.13","33,383,324.17","58,995,782.39","131,780,347.51","17,536,075.85","37,136,977.08","54,354,482.22","66,435,504.59","16,079,407.81","32,131,387.53","46,098,366.04","58,985,789.54","14,311,225.77","30,409,644.01","44,515,302.52","56,680,469.96","42,110,615.78","22,331,933.77","86,830,345.75","43,549,862.28","79,893,863.56","12,141,615.46","99,871,882.94","26,217,968.89","83,655,893.50","10,454,323.04","3,096,448,789.30","2,832,008,219.36","1,497,024,294.70","5,468,028,693.69","11,018,521,646.45","7,393,034,999.51","2,967,316,824.51","7,931,829,498.64","12,472,624,605.72","10,377,061,295.78","1,026,433,024.01","2,223,833,530.73","3,127,801,482.39","3,239,756,376.29","412,156,849.03","414,670,727.15","418,053,361.27","469,325,397.29","7,073,121.84","7,592,980.97","7,490,090.78"
偿还债务支付的现金,"370,173.43","1,800,000.00","1,800,000.00",,,,,,,,,,"7,000.00",,,,,,,,,,,"1,796,108.79",,"5,277,000.00","994,927,209.05","1,202,470,785.68","410,849,646.25","638,554,884.82","967,426,367.82","1,183,332,508.49","158,973,800.00","168,973,800.00","312,973,800.00","424,820,859.53","188,872,076.23","788,805,031.46","959,715,283.61","990,174,689.16",,"418,734,510.39","418,734,510.39","418,764,510.39",,,"862,042.46"
经营活动产生的现金流量净额,"9,299,665.49","10,162,951.34","13,719,032.60","10,713,495.53","-1,741,153.50","-1,736,167.40","-1,474,976.66","6,999,699.57","-2,289,135.03","-2,817,867.83","-2,533,419.06","1,716,510.00","114,568.21","-1,562,568.62","-2,299,075.03","-5,567,026.18","-31,900,543.49","-5,363,089.47","-44,106,414.77","-12,187,110.62","-69,903,467.84","-4,243,385.68","-68,092,153.53","2,588,615.08","-82,151,306.25","371,392.58","-92,722,972.87","151,541,572.46","153,067,828.90","205,766,587.86","401,724,936.72","428,218,870.99","-121,688,080.23","447,828,535.85","-133,802,267.90","6,888,633.92","-607,204,322.47","-819,230,860.89","-938,212,701.32","-806,641,555.84","853,113.91","289,875.88","-707,346.65","-1,274,911.79","-4,085,402.98","-4,158,330.21","-4,155,892.62"
分配股利、利润或偿还利息支付的现金,,,,"7,362.91",142.36,,,,,,,,,,,,,,,,,,,,,,"30,648,251.38","41,767,507.28","11,995,296.38","19,769,719.17","28,508,226.45","43,454,316.49","5,825,537.38","11,408,094.01","16,989,037.47","28,023,437.19","5,554,890.67","10,918,688.32","11,892,943.86","45,716,950.18",,"1,104,987.82","1,104,987.82","1,105,127.09",1.00,1.00,1.00
收回投资收到的现金,,,,,,"7,475,000.00","8,050,000.00","8,050,000.00",,,,,,,,"10,000,000.00",,,,,,,,,,,,,,,-118.00,,"109,952,295.46","310,282,295.46","691,652,295.46",,"111,774,484.99","692,308,268.99","692,308,268.99","689,268,068.99",,,,,,,
支付其他与筹资活动有关的现金,315.50,,,"51,899.67",,158.06,,,"11,281.41",,"24,379.20",,"12,220.38","32,111.83","38,955.83",,,,,,,,"1,494,675.83",,"6,081.81","777,653.03","162,571,445.95","591,504,041.80","17,700.00","131,976.78","34,651,896.42","1,195,016,477.85","84,010.00","702,442.35","3,832,063.33","5,774,767,683.51","406,130,369.54","865,942,046.21","1,397,938,854.16","1,088,892,134.08",,"88,479.24","88,479.24","205,198.57","280,000.00","280,000.00","502,000.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,144.74",,,,,"565,859.38",966.67,,,"34,961,204.29",,,,,,,
筹资活动现金流出小计,"370,488.93","1,800,000.00","1,800,000.00","59,262.58",142.36,158.06,,,"11,281.41",,"24,379.20",,"19,220.38","32,111.83","38,955.83",,,,,,,,"1,494,675.83","1,796,108.79","6,081.81","6,054,653.03","1,188,146,906.38","1,835,742,334.76","422,862,642.63","658,456,580.77","1,030,586,490.69","2,421,803,302.83","164,883,347.38","181,084,336.36","333,794,900.80","6,227,611,980.23","600,557,336.44","1,665,665,765.99","2,369,547,081.63","2,124,783,773.42",,"419,927,977.45","419,927,977.45","420,074,836.05","280,001.00","280,001.00","1,364,043.46"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"60,263.94","60,263.94","12,402,949.93","2,500.00",,"4,300.00","4,300.00","18,960.00","28,732.50","28,732.50","28,732.50","8,680.00",,"9,325.00","29,010,087.00","10,000,000.00","33,732,130.54","12,852,630.54","40,732,130.54","1,041,675.00","1,041,675.00","818,692.19","11,790,541.90","610,000.00","1,540,000.00","2,913,625.81","2,547,464.85","600,000.00","600,000.00","908,385.00",,"22,032,964.00","32,964.00","145,535.60","4,867,309.50",,"102,062.00","102,062.00","3,098,944.00","403,198.00","413,198.00","661,948.00","661,948.00","66,600.00","66,600.00","66,600.00"
筹资活动产生的现金流量净额,"518,966.54","-1,800,000.00","-1,800,000.00","-59,262.58","89,857.64","371,216.98","5,318.16",,"1,866.68",,"53,884.66",,"39,615.99","63,725.02","81,694.13",,792.29,,"2,053.42","11,946,771.60",331.45,"5,825,607.38","-1,494,675.83","-1,796,108.79","-6,069.77","-6,052,411.35","-60,479,136.67","-218,286,453.51","-82,478,581.50","-142,346,769.94","-260,976,679.86","-64,674,137.37","-114,883,347.38","-131,084,336.36","54,955,499.20","577,696,830.44","448,261,317.29","-291,073,856.26","-309,020,671.90","74,187,868.25",,"-1,424,668.83","-448,768.83","1,084,372.57","3,558,499.00","3,558,499.00","2,696,456.54"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,"9,300.00",,,,,,,,,,,,,,,,,,,,"22,000,000.00","22,000,000.00",,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,581.71","3,582.00",,,,,,,,
收到其他与投资活动有关的现金,,,"279,687.75","78,421.65",,,,,"97,009.60",,,,,,,,,,,"152,955,489.19",,,,"147,590,101.00",,36.93,36.93,,,,"20,557.99",,,,,,"50,000.00",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"60,263.94","339,951.69","12,481,371.58","2,500.00","7,475,000.00","8,054,300.00","8,054,300.00","115,969.60","28,732.50","28,732.50","28,732.50","8,680.00","9,300.00","9,325.00","39,010,087.00","10,000,000.00","33,732,130.54","12,852,630.54","193,687,619.73","1,041,675.00","1,041,675.00","818,692.19","159,380,642.90","610,000.00","1,540,036.93","2,913,662.74","2,547,464.85","600,000.00","600,000.00","939,969.73",,"131,985,259.46","332,315,259.46","713,797,831.06","5,433,168.88","111,825,451.66","692,410,330.99","692,410,330.99","727,328,217.28","403,198.00","413,198.00","661,948.00","661,948.00","66,600.00","66,600.00","66,600.00"
五、现金及现金等价物净增加额,"-3,335,435.30","-2,086,385.77","1,905,793.84","3,672,079.96","-2,753,223.06","-468,255.85","-6,059,640.10","-3,548,657.04","-3,732,305.60","-5,599,251.90","-6,392,417.55","-3,375,627.65","-471,359.30","-2,674,358.10","-4,139,721.90","28,512,014.83","-22,108,973.15","26,790,929.07","-31,815,856.76","36,879,562.84","-68,880,341.39","-590,398.52","-69,279,227.17","11,299,780.78","-81,547,376.02","-80,894,506.84","-237,280,767.72","-73,023,205.05","62,615,211.05","56,487,969.56","106,730,166.60","47,248,573.42","-215,242,261.65","49,344,434.06","-88,941,889.71","-185,050,363.48","-54,012,660.72","-430,471,533.40","-568,173,601.38","-19,014,914.16","432,915.20","-1,589,117.02","-1,422,705.55","-678,009.29","-460,303.98","-533,231.21","-1,396,836.08"
购建固定资产、无形资产和其他长期资产支付的现金,"1,552,319.71","3,509,601.05","3,353,190.45","12,463,524.57","1,004,427.20","3,354,291.20","4,644,281.60","10,602,656.61","1,561,006.85","2,810,116.57","3,941,615.65","5,120,870.15","634,223.50","1,184,814.50","1,931,666.00","4,931,045.99","209,221.95","1,578,112.00","564,125.95","2,583,717.87","18,880.00","853,835.66","511,090.00","1,380,267.41",,"58,525.00","7,915,767.52","8,825,788.85","4,172,731.35","7,019,170.36","11,880,697.14","16,296,160.20","845,635.50","4,917,666.70","33,776,500.68","58,751,639.68","6,509,390.00","12,143,418.75","12,895,620.95","13,430,923.65","823,396.71","866,468.07","927,484.07","1,133,364.07",,,"4,000.00"
期初现金及现金等价物余额,,"9,338,950.03","9,338,950.03","9,338,950.03","13,011,029.99","13,011,029.99","13,011,029.99","13,011,029.99","9,462,372.95","9,462,372.95","9,462,372.95","9,462,372.95","6,086,745.30","6,086,745.30","6,086,745.30","6,086,745.30","34,598,760.13","34,598,760.13","34,598,760.13","34,598,760.13","71,478,322.97","71,478,322.97","71,478,322.97","71,478,322.97","82,778,103.75","82,778,103.75","313,889,601.42","231,111,497.67","461,788,422.54","461,788,422.54","461,788,422.54","158,088,292.62","776,027,830.48","776,027,830.48","776,027,830.48","205,336,866.04","718,495,420.68","718,495,420.68","718,495,420.68","20,286,264.65","1,271,350.49","2,895,112.72","2,895,112.72","1,271,350.49","1,638,658.37","1,638,658.37","1,638,658.37"
投资支付的现金,"584,573.43",,,"7,000,000.00",,"3,000,000.00","8,000,000.00","8,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"22,000,000.00","300,000,000.00","109,478,189.30","594,268,068.99","689,268,068.99","692,308,268.99",,,,,,,,,,,
期末现金及现金等价物余额,"-3,335,435.30","7,252,564.26","11,244,743.87","13,011,029.99","10,257,806.93","12,542,774.14","6,951,389.89","9,462,372.95","5,730,067.35","3,863,121.05","3,069,955.40","6,086,745.30","5,615,386.00","3,412,387.20","1,947,023.40","34,598,760.13","12,489,786.98","61,389,689.20","2,782,903.37","71,478,322.97","2,597,981.58","70,887,924.45","2,199,095.80","82,778,103.75","1,230,727.73","1,883,596.91","76,608,833.70","158,088,292.62","524,403,633.59","518,276,392.10","568,518,589.14","205,336,866.04","560,785,568.83","825,372,264.54","687,085,940.77","20,286,502.56","664,482,759.96","288,023,887.28","150,321,819.30","1,271,350.49","1,704,265.69","1,305,995.70","1,472,407.17","593,341.20","1,178,354.39","1,105,427.16","241,822.29"
