科目,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"6,494,447,384.67","7,702,082,883.13","4,577,517,447.59","6,252,771,516.53","9,005,003,564.76","2,533,580,676.29","5,054,095,694.26","7,498,574,995.81","10,556,608,958.11","2,754,479,753.83","5,646,637,782.08","8,430,699,392.59","12,054,212,394.17","3,382,723,226.08","6,214,739,925.39","9,963,199,300.81","14,148,360,907.54","3,571,346,220.70","9,595,164,451.19","13,960,999,536.40","20,380,986,094.50","5,054,240,354.60","9,949,143,808.53","14,933,519,746.65","21,473,884,401.89","5,674,839,654.43","11,327,509,656.30","17,006,636,502.57","23,313,617,700.11","6,216,723,257.77","12,348,190,973.01"
取得借款收到的现金,"20,738,861,990.46","30,097,684,033.90","21,692,976,675.49","25,660,350,839.92","32,336,812,125.91","6,337,245,721.54","17,052,765,527.69","23,434,213,226.11","29,887,827,526.09","9,659,621,016.25","19,515,979,123.04","29,229,636,650.32","41,741,875,263.04","13,700,914,275.86","31,420,244,640.60","46,116,025,810.02","55,565,458,178.55","22,080,587,424.49","48,459,645,017.49","67,772,534,537.46","80,688,463,962.17","22,843,925,714.10","40,021,077,051.26","65,068,248,648.24","93,534,980,925.80","37,569,213,208.57","62,976,250,451.92","95,657,534,222.36","124,282,407,730.57","45,504,216,712.22","84,659,421,816.05"
支付的各项税费,"2,731,291,532.27","3,903,101,064.19","2,045,777,250.80","2,728,585,604.99","4,266,129,065.25","1,008,646,806.50","2,504,617,093.79","3,394,056,305.32","5,144,906,364.59","1,385,511,513.53","3,117,336,080.95","4,146,285,923.26","6,249,145,470.68","1,413,052,874.09","3,731,584,615.13","5,229,503,466.97","7,369,866,327.49","1,973,500,053.10","5,280,081,063.07","6,719,075,342.86","9,903,067,749.19","2,126,114,628.91","6,306,695,723.77","6,709,477,684.20","10,466,651,427.82","2,943,587,924.84","6,277,537,535.76","8,336,654,865.26","12,015,179,559.28","3,303,886,286.81","7,048,795,602.79"
收到其他与筹资活动有关的现金,"225,761,515.00","308,026,010.01","98,729,989.53","21,531,930.65","494,751,992.90","86,259,044.79","48,960,231.96","54,750,600.80","469,878,112.51","1,294,267,672.41","1,360,334,546.54","1,955,184,370.21","1,352,502,574.71","709,273,417.75","2,918,853,877.49","4,763,770,028.39","12,779,196,982.96","1,116,970,930.64","4,694,071,038.37","9,884,193,501.62","15,188,259,082.01","966,506,704.28","4,174,517,254.91","6,216,076,167.40","9,678,158,827.92","1,354,995,353.15","7,499,610,392.30","8,067,739,695.59","7,334,752,027.92","1,064,140,068.03","1,717,158,555.70"
支付其他与经营活动有关的现金,"3,132,495,318.74","5,584,794,268.56","2,521,112,285.04","4,978,308,779.33","5,537,258,403.63","1,257,288,288.85","2,846,214,656.54","4,814,908,435.40","6,315,051,767.30","1,860,851,954.44","4,072,199,642.76","5,669,816,933.24","9,677,051,959.83","2,486,232,224.10","4,631,650,817.81","7,001,295,433.99","12,677,507,206.44","3,290,483,750.74","8,413,424,054.25","9,382,945,838.26","18,538,500,476.20","7,199,373,614.36","10,872,046,143.75","10,461,222,775.76","23,470,522,657.74","11,508,206,882.27","16,261,692,036.13","16,985,067,067.78","30,526,439,065.13","8,450,195,459.78","13,449,549,566.64"
筹资活动现金流入小计,"22,524,435,014.39","31,040,018,801.14","22,871,161,785.02","44,334,712,123.64","51,594,774,767.81","8,603,878,442.43","19,304,376,075.26","32,364,799,081.91","46,067,608,273.42","15,478,888,688.66","28,859,767,976.65","41,410,780,930.40","58,346,769,182.42","15,364,059,196.01","41,723,369,520.49","60,913,035,679.39","81,445,907,623.47","30,153,914,213.33","62,151,648,954.05","93,707,987,119.98","122,326,793,774.36","32,553,316,022.82","57,132,338,563.63","91,311,597,816.02","128,899,813,327.13","39,981,156,441.72","90,888,489,671.71","129,314,677,850.01","164,635,606,107.49","51,123,584,880.25","95,524,088,913.14"
经营活动现金流出小计,"74,913,543,846.56","89,874,387,344.18","44,963,120,456.52","72,044,538,205.44","91,035,796,055.24","22,531,469,129.04","49,376,694,825.53","79,950,709,725.77","107,584,745,039.19","30,080,447,694.48","59,647,600,577.75","97,840,294,449.03","136,011,119,536.46","35,467,994,464.48","70,520,782,016.95","108,064,933,212.51","154,488,564,253.52","42,391,349,979.30","91,051,582,528.19","131,463,329,543.46","190,221,651,304.06","55,496,985,107.78","104,919,050,989.37","156,958,596,100.05","228,546,690,716.10","67,160,471,363.83","128,005,366,840.30","187,055,621,963.67","261,634,037,528.99","76,011,237,097.67","139,000,262,694.41"
偿还债务支付的现金,"13,388,041,402.92","18,616,814,925.99","8,101,532,626.73","13,888,501,395.54","20,076,715,365.87","4,636,586,608.93","12,045,927,697.58","21,690,727,963.66","33,049,496,665.49","4,461,272,826.69","11,961,985,780.47","21,723,551,685.53","37,551,295,454.66","5,743,823,483.42","19,141,913,188.47","28,159,946,684.11","45,772,176,571.79","13,045,222,053.52","31,964,732,570.16","44,946,106,051.83","69,982,819,898.64","15,686,300,527.89","34,611,492,942.29","49,264,835,169.20","81,109,499,585.10","13,678,515,145.88","35,298,902,629.73","52,383,575,894.00","104,130,923,382.37","15,117,351,271.51","34,769,368,142.07"
经营活动产生的现金流量净额,"4,512,947,308.94","2,675,086,893.67","1,442,498,028.90","1,355,390,660.64","5,804,337,217.10","-1,034,744,020.04","-1,742,315,337.04","-1,075,410,685.80","2,422,923,494.91","-2,221,246,721.23","-2,177,351,437.97","-818,214,937.87","5,399,884,473.26","1,114,889,653.69","620,450,335.39","2,112,825,775.09","6,752,316,101.08","-546,752,404.46","-772,240,893.52","2,143,761,288.45","10,687,689,243.83","-1,535,341,125.14","1,206,288,628.51","6,132,189,213.04","28,937,155,427.84","-10,022,719,963.31","-13,659,075,649.03","-9,948,867,350.56","5,569,652,163.92","-14,288,141,598.07","-13,447,541,512.49"
分配股利、利润或偿还利息支付的现金,"2,207,222,489.58","2,682,795,540.36","1,198,571,973.01","2,706,635,528.72","3,560,608,337.99","1,012,341,995.34","3,932,486,288.06","3,523,317,545.80","5,254,955,020.13","1,040,707,493.84","2,650,172,634.76","4,451,351,198.17","6,566,077,524.27","1,608,942,111.69","3,485,901,374.94","5,922,025,200.44","8,466,452,880.99","2,088,107,517.89","5,433,976,401.82","9,419,816,980.44","12,959,900,963.87","2,085,274,545.81","4,383,516,547.80","7,656,316,229.94","11,198,612,643.43","2,677,873,157.65","5,843,631,050.34","9,663,900,443.02","13,581,749,752.57","3,579,628,591.45","8,150,081,275.33"
收回投资收到的现金,"68,361,061.40","11,122,175.00","450,473.28","450,473.28","450,473.28","7,526,299.87","7,256,176.16","1,107,256,176.16","1,999,720,048.32","10,730,000.00","10,730,000.00","10,730,000.00","10,730,000.00",,"16,582,549.91","16,646,720.15","16,646,720.15",,"180,217,800.00","509,901,797.21","1,106,801,792.44","208,163,112.10","227,766,112.10","223,176,480.07","236,403,878.39",,"69,325,839.28","82,118,756.89","21,473,434.42","200,053,346.45","239,591,448.61"
支付其他与筹资活动有关的现金,"114,771,896.13","177,590,641.80","72,639,831.49","176,819,700.70","581,472,926.68","79,830,920.37","117,825,858.03","188,575,048.66","2,039,022,667.65","1,059,439,752.05","2,217,978,180.14","2,242,381,932.01","1,541,017,313.47","915,374,417.13","2,587,908,966.88","4,141,509,492.22","5,978,157,554.77","3,591,876,820.37","7,532,456,950.85","9,209,371,246.60","12,156,304,081.19","4,091,132,422.99","4,071,079,950.71","10,165,591,564.30","12,369,393,269.34","873,528,836.96","3,634,739,934.92","7,848,602,416.21","8,291,292,931.33","1,579,484,631.97","2,338,925,740.22"
取得投资收益收到的现金,"78,641,589.50","19,997,179.52","66,853,029.13","71,209,181.79","111,630,385.99",,"109,185,850.72","104,819,998.00","172,403,186.89","22,134,297.48","33,490,227.73","41,626,115.42","284,373,065.88",,"3,969,261.99","40,734,923.00","86,644,554.15","411,049.72","47,512,234.12","75,948,394.17","135,003,633.09","7,469,674.68","42,720,876.11","138,700,095.73","163,008,254.79","22,530,000.00","97,036,970.20","186,439,630.71","267,028,750.22","15,868,515.47","268,493,237.18"
筹资活动现金流出小计,"15,710,035,788.63","21,477,201,108.15","9,372,744,431.23","16,771,956,624.96","24,218,796,630.54","5,728,759,524.64","16,096,239,843.67","25,402,620,558.12","40,343,474,353.27","6,561,420,072.58","16,830,136,595.37","28,417,284,815.71","45,658,390,292.40","8,268,140,012.24","25,215,723,530.29","38,223,481,376.77","60,216,787,007.55","18,725,206,391.78","44,931,165,922.83","63,575,294,278.87","95,099,024,943.70","21,862,707,496.69","43,066,089,440.80","67,086,742,963.44","104,677,505,497.87","17,229,917,140.49","44,777,273,614.99","69,896,078,753.23","126,003,966,066.27","20,276,464,494.93","45,258,375,157.62"
处置固定资产、无形资产和其他长期资产收回的现金净额,"79,305,599.03","47,887,819.94","35,218,061.09","67,701,006.46","600,422,796.97","3,693,617.06","623,631,246.52","40,416,938.58","257,667,167.86","144,532,066.92","256,466,297.51","1,862,855,563.55","4,292,464,578.30","3,727,756,957.09","5,401,074,317.86","7,129,277,517.36","11,250,611,392.54","3,496,168,367.55","4,303,604,857.17","6,847,468,129.84","15,276,367,923.18","5,611,117,149.33","9,994,824,511.63","15,561,441,227.77","27,142,841,970.29","4,462,937,880.74","9,921,035,879.01","14,353,772,389.30","17,212,448,739.40","2,538,684,018.43","4,106,981,760.79"
筹资活动产生的现金流量净额,"6,814,399,225.76","9,562,817,692.99","13,498,417,353.79","27,562,755,498.68","27,375,978,137.27","2,875,118,917.79","3,208,136,231.59","6,962,178,523.79","5,724,133,920.15","8,917,468,616.08","12,029,631,381.28","12,993,496,114.69","12,688,378,890.02","7,095,919,183.77","16,507,645,990.20","22,689,554,302.62","21,229,120,615.92","11,428,707,821.55","17,220,483,031.22","30,132,692,841.11","27,227,768,830.66","10,690,608,526.13","14,066,249,122.83","24,224,854,852.58","24,222,307,829.26","22,751,239,301.23","46,111,216,056.72","59,418,599,096.78","38,631,640,041.22","30,847,120,385.32","50,265,713,755.52"
处置子公司及其他营业单位收到的现金净额,,"49,720,892.26",,,,"11,057,186.03","40,000,000.00","40,000,000.00","135,500,000.00",,"19,000,000.00","27,000,000.00","43,000,000.00","11,184,000.00","11,184,000.00","11,184,000.00","10,773,238.15","84,034,598.81","84,034,598.81","84,034,598.81","84,034,598.81",,"644,609.97","644,609.97","667,176.10","18,771,711.13","21,142,061.09","21,366,350.20","271,683,811.18","427,476.85",
四、汇率变动对现金的影响,"14,712,804.94","-309,572,387.28","-53,539,972.55","-124,578,956.06","-295,839,290.57","22,908,698.05","42,996,839.65","26,168,590.00","-97,602,014.15","-74,304,716.57","-63,264,461.90","-197,124,541.43","-390,454,874.94","111,583,870.78","180,639,339.81","62,840,670.58","-10,233,856.52","187,333,979.85","-13,614,449.67","435,617,401.48","661,359,601.50","-111,287,034.29","587,066,848.64","334,574,060.10","1,257,304,726.63","37,169,487.02","315,936.13","-719,289,504.75","-198,303,744.66","-243,338,030.60","393,123,121.44"
收到其他与投资活动有关的现金,"6,364,338.13",,"12,978,627.34","52,273,605.79","41,419,137.68","70,301,093.27","79,473,494.07","95,915,272.82","212,558,527.71","13,389,064.59","29,209,619.87","51,276,494.50","340,876,449.92","7,118,806.49","13,202,605.47","24,611,507.20","574,052,602.77","49,920,516.74","99,306,874.96","1,156,080,703.67","1,749,287,814.54","39,307,299.00","320,815,889.85","316,085,176.03","655,295,360.96","1,635,703,586.69","1,950,666,661.65","2,486,665,771.66","3,252,932,585.69","539,504,327.16","1,669,724,666.71"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"232,672,588.06","128,728,066.72","115,500,190.84","191,634,267.32","753,922,793.92","92,578,196.23","859,546,767.47","1,388,408,385.56","2,777,848,930.78","190,785,428.99","348,896,145.11","1,993,488,173.47","4,971,444,094.10","3,746,059,763.58","5,446,012,735.23","7,222,454,667.71","11,938,728,507.76","3,630,534,532.82","4,714,676,365.06","8,673,433,623.70","18,351,495,762.06","5,866,057,235.11","10,586,771,999.66","16,240,047,589.57","28,198,216,640.53","6,139,943,178.56","12,059,207,411.23","17,130,362,898.76","21,025,567,320.91","3,294,537,684.36","6,284,791,113.29"
五、现金及现金等价物净增加额,"97,929,649.18","2,029,685,920.36","6,166,898,381.51","17,620,874,891.87","19,451,572,361.58","-378,816,736.03","-2,823,958,538.34","-3,775,235,735.91","-6,079,674,168.61","3,059,604,963.76","2,049,536,460.30","1,379,970,069.46","2,320,763,965.50","6,471,040,838.58","9,669,286,294.28","9,562,152,721.91","7,656,738,107.31","6,278,039,326.13","2,097,749,726.98","10,598,792,074.89","12,405,572,575.76","3,158,201,486.64","3,199,979,772.71","7,428,302,498.59","20,567,503,234.91","-8,355,138,627.34","2,085,211,280.10","4,167,894,624.73","-19,862,376,351.19","7,060,680,011.23","16,321,574,926.24"
购建固定资产、无形资产和其他长期资产支付的现金,"11,255,649,145.90","9,983,113,617.63","8,459,322,770.21","11,019,996,102.87","13,846,059,830.90","1,608,139,343.21","4,466,185,360.18","9,312,089,606.57","15,247,660,351.79","3,209,285,823.16","7,747,200,811.90","11,666,458,937.70","19,043,498,432.52","5,559,898,334.70","12,751,409,271.42","20,876,270,141.27","30,834,139,651.28","8,364,098,935.06","17,609,767,403.71","28,429,734,531.93","41,365,350,559.48","11,623,529,648.83","22,069,413,745.77","37,895,527,846.20","57,479,381,675.53","23,618,569,120.49","36,292,510,308.04","52,117,124,052.28","73,138,582,189.14","10,212,489,059.05","21,105,996,071.29"
期初现金及现金等价物余额,"10,922,702,978.83","11,020,632,628.01","13,050,318,548.37","13,050,318,548.37","13,050,318,548.37","32,501,890,909.95","32,501,890,909.95","32,501,890,909.95","32,501,890,909.95","26,422,216,741.34","26,422,216,741.34","26,627,959,836.30","26,629,714,649.68","28,950,478,615.18","28,950,478,615.18","28,950,478,615.18","28,972,855,439.14","36,629,593,546.45","44,701,362,858.63","44,717,339,869.23","44,717,339,869.23","57,122,912,444.99","57,122,912,444.99","57,122,912,444.99","57,122,912,444.99","77,690,415,679.90","77,690,415,679.90","77,690,415,679.90","77,690,415,679.90","57,828,039,328.71","57,854,197,144.06"
投资支付的现金,"211,312,749.36","18,528,739.55","261,650,000.00","285,250,000.00","294,750,000.00","720,002,681.97","720,002,681.97","740,456,961.30","969,204,968.00","540,218,398.90","179,732,124.00","509,992,124.00","500,166,040.00","19,500,000.00","145,800,000.00","134,142,676.50","1,206,623,663.50","45,936,937.40","859,198,037.03","444,079,965.52","430,260,110.00","87,702,035.60","744,126,042.00","1,147,662,912.14","1,596,066,430.63","1,377,921,526.00","3,532,625,800.00","5,838,040,679.95","4,897,867,039.67","1,194,076,051.34","2,380,909,615.34"
期末现金及现金等价物余额,"11,020,632,628.01","13,050,318,548.37","19,217,216,929.88","30,671,193,440.24","32,501,890,909.95","32,123,074,173.92","29,677,932,371.61","28,726,655,174.04","26,422,216,741.34","29,481,821,705.10","28,471,753,201.64","28,007,929,905.76","28,950,478,615.18","35,421,519,453.76","38,619,764,909.46","38,512,631,337.09","36,629,593,546.45","42,907,632,872.58","46,799,112,585.61","55,316,131,944.12","57,122,912,444.99","60,281,113,931.63","60,322,892,217.70","64,551,214,943.58","77,690,415,679.90","69,335,277,052.56","79,775,626,960.00","81,858,310,304.63","57,828,039,328.71","64,888,719,339.94","74,175,772,070.30"
