科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
处置固定资产、无形资产和其他长期资产收回的现金净额,,,0.40,"2,686.65",,,,,"154,900.00","158,320.00","158,320.00",,"172,000.00","172,000.00","172,000.00",,,"3,585,218.00","5,975,363.00","5,600.00","42,854.90","90,804.90","343,821.48",,
筹资活动产生的现金流量净额,"36,148,628.65","45,957,423.20","39,254,656.52","102,244,722.90","60,940,117.41","61,902,684.40","76,691,574.88","242,172,457.02","156,897,698.10","281,452,070.48","354,790,211.28","28,664,552.58","29,678,750.39","103,786,324.58","774,722,185.09","-73,969,610.01","41,415,562.97","257,024,546.73","1,367,576,728.13","525,214,442.08","1,126,838,411.81","1,153,914,319.05","1,086,549,898.30","-64,324,545.76","311,404,085.67"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,"28,850.00",,,,,,,,,,"5,888.30","5,888.30",,,
四、汇率变动对现金的影响,,"-9,875.41","1,503.95",-337.04,"-5,527.91","-6,383.79","-8,904.51","2,711.61","2,746.67","-134,954.83","-152,316.85","12,013.33","-299,648.79","-434,824.05","-272,125.29","-506,196.63","-73,057.61","243,513.97","2,205,969.64","6,741.52","-329,568.31","-1,448,864.49","-1,378,312.58","-517,280.61","-357,036.03"
收到其他与投资活动有关的现金,,,,,,,,,,,,,"4,000,000.00","4,000,000.00",,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,0.40,"2,686.65",,,,,"154,900.00","158,320.00","187,170.00","438,628,299.33","4,924,370.61","11,553,421.94","7,626,010.95",,,"11,830,652.00","118,640,318.62","28,430,463.09","147,532,414.05","164,037,255.33","149,416,025.85","536,057,150.02","1,463,107,778.20"
五、现金及现金等价物净增加额,"57,241,499.78","52,644,243.61","-104,245,482.08","66,278,903.70","-109,035,902.64","-180,853,167.24","20,251,434.55","80,845,214.57","-2,273,402.16","-13,923,158.65","234,311,163.65","-183,502,895.26","-131,230,368.28","-201,147,816.86","324,915,343.10","-438,205,760.59","-471,701,002.63","-447,099,999.94","778,940,972.39","97,077,571.94","-915,901,241.30","-1,016,646,450.60","-679,949,910.78","-518,904,798.27","-265,573,686.03"
购建固定资产、无形资产和其他长期资产支付的现金,"7,642,783.90","12,753,197.45","31,608,643.42","42,829,550.70","31,296,282.95","83,014,671.36","85,058,292.26","4,424,574.47","14,947,120.50","33,632,057.05","37,683,276.39","1,998,805.44","4,821,233.82","18,320,458.58","29,547,101.72","11,443,235.34","17,300,737.70","29,653,634.61","39,482,476.01","8,143,742.58","27,897,251.95","48,805,940.88","72,940,180.37","31,812,586.19","38,485,359.31"
期初现金及现金等价物余额,"37,514,353.33","94,755,853.11","147,400,096.72","147,400,096.72","213,679,000.42","213,679,000.42","213,679,000.42","233,930,434.97","233,930,434.97","233,930,434.97","233,930,434.97","472,241,598.62","468,241,598.62","468,241,598.62","468,241,598.62","793,156,941.72","793,156,941.72","793,156,941.72","793,156,941.72","1,572,097,914.11","1,572,097,914.11","1,572,097,914.11","1,572,097,914.11","892,148,003.33","892,148,003.33"
投资支付的现金,,,,,,,,,,"25,776,361.74","44,076,361.74","449,000,000.03","68,827,610.00","109,057,810.00","269,377,627.85","202,484,179.98","251,681,677.13","376,067,152.06","739,351,658.07","214,029,363.50","967,964,976.50","1,015,514,976.50","988,314,976.50","801,300,000.00","1,689,015,391.81"
期末现金及现金等价物余额,"94,755,853.11","147,400,096.72","43,154,614.64","213,679,000.42","104,643,097.78","32,825,833.18","233,930,434.97","314,775,649.54","231,657,032.81","220,007,276.32","468,241,598.62","288,738,703.36","337,011,230.34","267,093,781.76","793,156,941.72","354,951,181.13","321,455,939.09","346,056,941.78","1,572,097,914.11","1,669,175,486.05","656,196,672.81","555,451,463.51","892,148,003.33","373,243,205.06","626,574,317.30"
