科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
应交税费,"4,324,793.40","4,637,903.92","9,431,735.68","5,027,344.02","1,688,604.42","664,687.10","2,516,087.61","1,640,589.33","2,133,809.70","1,985,595.92","3,755,172.40","4,115,643.91","3,195,781.85"
应收利息,,,,,,,,,,,,,
应付利息,,"130,000.00","627,216.66",,,,,,,,"684,308.05","700,511.10","1,066,421.31"
应收股利,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,
存货,"75,895,403.72","76,502,525.08","86,995,114.54","84,223,852.47","85,798,322.56","86,478,983.63","89,773,139.15","91,372,392.27","91,751,268.96","97,806,313.51","99,957,533.29","99,484,518.30","106,961,217.66"
其他应付款,"241,393.71","956,360.56","886,048.72","1,072,715.81","1,114,797.76","1,085,285.25","1,155,457.65","2,246,707.50","2,072,483.81","1,851,967.95","51,951,106.95","59,589,516.30","40,197,349.81"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,
其他流动资产,"1,367,871.37","4,370,140.49","695,294.71","32,330,482.89","3,670,841.34","2,209,892.29","4,023,967.80","3,492,484.50","2,535,450.20","2,468,075.77","3,427,333.60","2,200,706.57","2,088,470.63"
其他流动负债,,,,,,,,,,,,,
流动资产合计,"207,222,511.12","204,556,879.73","192,782,401.11","234,301,284.29","228,482,932.53","338,672,276.67","245,644,232.06","273,200,887.42","272,664,674.64","229,971,875.77","275,493,336.66","257,091,018.09","273,581,660.77"
流动负债合计,"192,837,299.83","212,397,428.30","185,319,092.94","245,087,585.09","243,615,663.25","186,680,973.35","184,552,958.25","217,684,381.71","252,493,922.29","272,481,163.42","327,965,861.02","345,413,331.34","356,074,075.45"
可供出售金融资产,,,,,,,,,,,,,
长期借款,,"80,000,000.00","78,000,000.00","78,000,000.00","78,000,000.00","78,000,000.00",,,,,,,
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,
长期股权投资,,,,,"86,380,249.82",,,,,,,,
专项应付款,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,
固定资产,"66,131,898.37","100,761,862.35","91,234,985.57","88,904,625.81","46,109,185.19","84,107,197.86","82,226,338.50","80,166,312.20","78,539,809.04","76,180,427.46","78,776,571.04","79,767,567.31","78,691,178.03"
递延所得税负债,,,,,,,,,,,,,
在建工程,"46,516,926.56","44,576,464.21","45,822,535.04","45,961,159.82","34,049,106.57","47,001,641.69","64,264,182.43","84,900,838.48","105,069,685.34","117,709,136.56","211,617,404.62","214,500,841.91","216,952,067.89"
其他非流动负债,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,
非流动负债合计,"1,910,000.00","82,260,000.00","78,800,000.00","78,800,000.00","79,000,000.00","79,000,000.00","300,000.00","300,000.00","300,000.00","450,000.00",,,
固定资产清理,,,,,,,,,,,,,
负债合计,"194,747,299.83","294,657,428.30","264,119,092.94","323,887,585.09","322,615,663.25","265,680,973.35","184,852,958.25","217,984,381.71","252,793,922.29","272,931,163.42","327,965,861.02","345,413,331.34","356,074,075.45"
生产性生物资产,,,,,,,,,,,,,
实收资本(或股本),"63,657,408.00","63,657,408.00","63,657,408.00","63,657,408.00","63,657,408.00","84,907,408.00","84,907,408.00","84,907,408.00","169,814,816.00","169,814,816.00","171,464,816.00","171,464,816.00","171,464,816.00"
油气资产,,,,,,,,,,,,,
资本公积,"4,215,931.87","4,215,931.87","4,215,931.87","4,215,931.87","4,215,931.87","170,090,931.87","172,336,511.36","172,336,511.36","87,429,103.36","87,429,103.36","107,520,060.69","107,520,060.69","111,251,260.69"
无形资产,"37,761,289.86","36,482,651.82","34,659,628.00","34,331,774.14","1,161,910.88","33,739,582.99","33,470,517.30","33,140,559.58","32,808,607.57","32,493,371.05","54,206,048.51","52,110,309.03","52,519,938.05"
盈余公积,"12,945,206.74","17,639,081.92","21,559,205.78","22,442,985.01","23,111,344.40","23,495,769.41","24,912,605.42","25,482,331.63","26,725,084.50","26,725,084.50","28,213,535.17","28,213,535.17","28,213,535.17"
开发支出,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,"20,889,000.00","20,889,000.00","20,889,000.00"
商誉,"1,161,910.88","1,161,910.88","1,161,910.88","1,161,910.88",,"1,161,910.88","1,161,910.88","1,161,910.88","1,161,910.88","1,161,910.88","1,161,910.88","1,161,910.88","1,161,910.88"
未分配利润,"112,608,506.76","140,068,754.70","178,396,946.22","186,313,561.57","194,577,115.49","199,587,996.46","210,716,179.09","219,259,866.42","218,641,907.63","229,370,615.77","238,117,479.51","246,041,054.28","245,609,386.70"
长期待摊费用,"83,197.77","115,750,304.34","130,103,883.47","126,118,837.52","122,143,848.62","125,758,339.31","121,533,456.41","118,077,111.93","114,012,304.22","110,954,088.17","107,011,025.43","104,202,439.20","99,848,600.96"
少数股东权益,,,,,,,,,,,,,
递延所得税资产,"447,479.04","5,722,293.92","5,214,199.02","4,788,448.32","4,656,869.44","4,014,034.31","4,594,341.90","3,886,569.81","2,404,021.17","929,827.95","1,152,914.33","1,123,008.09","1,155,466.67"
外币报表折算价差,,,,,,,,,,,,,
其他非流动资产,"28,648,097.53","11,043,578.06","31,241,301.23","65,176,933.65","85,652,634.00","109,836,533.65","125,725,270.78","126,251,433.51","149,366,910.56","217,275,208.12","123,340,932.46","167,796,494.47","168,234,302.27"
非正常经营项目收益调整,,,,,,,,,,,,,
非流动资产合计,"180,750,800.01","315,499,065.58","339,438,443.21","366,443,690.14","380,153,804.52","405,619,240.69","432,976,018.20","447,584,736.39","483,363,248.78","556,703,970.19","577,266,807.27","620,662,570.89","618,563,464.75"
所有者权益(或股东权益)合计,"193,226,011.30","225,398,517.01","268,101,751.38","276,857,389.34","286,021,073.80","478,610,544.01","493,767,292.01","502,801,242.10","503,234,001.13","513,744,682.54","524,794,282.91","532,340,257.64","536,071,050.07"
资产总计,"387,973,311.13","520,055,945.31","532,220,844.32","600,744,974.43","608,636,737.05","744,291,517.36","678,620,250.26","720,785,623.81","756,027,923.42","786,675,845.96","852,760,143.93","877,753,588.98","892,145,125.52"
负债和所有者(或股东权益)合计,"387,973,311.13","520,055,945.31","532,220,844.32","600,744,974.43","608,636,737.05","744,291,517.36","678,620,250.26","720,785,623.81","756,027,923.42","786,675,845.96","852,760,143.93","877,753,588.98","892,145,125.52"
