科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付其他与筹资活动有关的现金,"3,882,000.00","32,876,496.00",,"792,304.00","7,750,000.00","3,350,000.00","17,550,000.00",,"254,654,500.00","269,734,500.00","412,183,620.89","147,186,497.08","480,120,038.61","511,181,697.77","248,838,649.27","104,209,874.90","361,313,683.87","510,327,920.00","1,727,856,169.13","1,180,608,346.73","1,355,193,554.10","1,691,329,904.20","2,714,176,835.45","1,392,542,555.73","2,503,396,440.73"
取得投资收益收到的现金,,,,,,,,,"2,000,000.00","2,000,000.00","2,000,000.00",,,,,,,"76,147.87","113,490.38","54,246.58",,"4,322,856.16","4,869,923.97","46,758.11","46,758.11"
筹资活动现金流出小计,"109,280,903.81","148,635,968.12","180,495,328.81","273,741,107.24","303,876,136.67","583,687,054.91","793,258,828.19","278,526,323.08","772,606,271.72","952,958,620.77","1,255,932,598.58","394,363,983.41","1,438,539,461.33","1,839,574,157.16","1,883,884,124.97","712,139,820.81","1,456,921,190.13","2,151,295,823.37","4,672,155,270.75","1,963,132,901.92","3,348,545,448.73","4,992,138,036.00","6,965,255,555.43","3,425,255,137.20","5,418,405,116.49"
处置固定资产、无形资产和其他长期资产收回的现金净额,"400,416.00","8,000.00","92,427.27","102,077.27","94,170.88","194,148.82","166,151.11","31,276.92","124,152.28","370,533.66","129,962.28","18,287.98","18,787.98","79,287.98","89,235.98",,,"1,944,694.00","1,728,194.00","18,336.21","33,336.21","398,465.04","482,858.19","32,590.00","102,440.00"
筹资活动产生的现金流量净额,"214,160,396.19","91,364,031.88","169,561,204.52","285,975,692.76","100,776,163.33","54,965,245.09","-13,948,828.19","222,887,812.94","203,242,364.30","124,950,876.36","165,621,426.33","447,323,661.93","753,321,980.53","723,888,404.67","1,178,733,763.48","193,636,950.02","444,330,094.75","1,250,947,831.93","1,074,571,958.38","749,962,015.93","1,463,946,015.38","2,290,530,091.17","2,507,121,976.54","-621,450,894.25","-1,014,039,622.49"
处置子公司及其他营业单位收到的现金净额,"12,932,005.49",,,,,,,,,,,,"3,699,659.01","7,285,302.42","7,182,149.92",,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,"-46,765.45","-46,765.45","204,339.16",,"22,977.35","51,724.40","441,577.75","-438,399.75","-482,045.75","-660,623.50","-946,407.42","-769,465.08","-800,738.10"
收到其他与投资活动有关的现金,,,,,,,,,,,"1,882,711.00",,,,,,,"546,600,000.00","754,600,000.00","124,000,000.00","242,698.09","271,599.46","2,392,990,000.00","183,040,000.00","183,040,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"248,729,277.49","8,000.00","92,427.27","102,077.27","94,170.88","194,148.82","166,151.11","31,276.92","6,124,152.28","6,370,533.66","8,012,673.28","3,811,119.68","3,718,446.99","7,364,590.40","8,706,647.73",,,"548,620,841.87","756,441,684.38","124,072,582.79","276,034.30","14,971,820.66","2,408,342,782.16","233,119,348.11","233,189,198.11"
五、现金及现金等价物净增加额,"-15,422,832.10","32,709,330.34","96,115,165.98","12,267,483.10","41,562,133.05","446,767.64","-39,585,909.59","245,613,920.90","216,083,503.06","96,272,053.71","18,892,368.84","164,002,640.26","156,519,339.59","98,764,208.77","118,197,081.50","27,043,441.31","663,236,845.35","533,410,718.92","5,436,903.68","280,785,102.62","193,788,586.29","165,978,911.04","111,175,661.43","-231,926,614.05","-238,939,714.02"
购建固定资产、无形资产和其他长期资产支付的现金,"47,309,608.16","81,596,334.43","31,070,452.29","35,921,559.15","10,931,146.16","45,011,478.33","127,056,516.75","37,122,652.13","51,039,878.01","62,812,472.90","70,200,166.85","25,275,704.75","41,502,462.95","51,661,310.39","82,414,108.07","18,512,637.22","25,783,521.30","36,214,758.48","48,859,492.05","10,891,705.06","47,848,656.42","66,290,305.81","72,506,549.70","17,310,076.14","28,956,371.93"
期初现金及现金等价物余额,"45,381,426.29","29,958,594.19","62,667,924.53","62,667,924.53","74,935,407.63","74,935,407.63","74,935,407.63","35,349,498.04","35,349,498.04","35,349,498.04","35,349,498.04","81,979,026.19","54,241,866.88","54,241,866.88","54,241,866.88","172,438,948.38","172,438,948.38","172,438,948.38","172,438,948.38","177,875,852.06","177,875,852.06","177,875,852.06","177,875,852.06","289,051,513.49","289,051,513.49"
投资支付的现金,"232,368,332.00",,,,,,,,"10,000,000.00","10,000,000.00","17,500,000.00","169,650,000.00","193,500,000.00","193,500,000.00","210,400,000.00","3,000,000.00","158,965,670.00","10,890,000.00","10,140,000.00","4,000,000.00","4,150,000.00","14,150,000.00","54,150,000.00","100,000,000.00","100,000,000.00"
期末现金及现金等价物余额,"29,958,594.19","62,667,924.53","158,783,090.51","74,935,407.63","116,497,540.68","75,382,175.27","35,349,498.04","280,963,418.94","251,433,001.10","131,621,551.75","54,241,866.88","245,981,666.45","210,761,206.47","153,006,075.65","172,438,948.38","199,482,389.69","835,675,793.73","705,849,667.30","177,875,852.06","458,660,954.68","371,664,438.35","343,854,763.10","289,051,513.49","57,124,899.44","50,111,799.47"
