科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,000,000.00","11,000,000.00","11,000,000.00","11,000,000.00",,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,"4,319,293.57","1,050.00",,,"7,971,162.08","5,750,630.21","6,482,023.36",,"6,297,806.43",,"251,163.18",,"11,218,174.05","2,990,080.13","2,132,118.50","8,575,203.26","20,043,483.27","15,197,985.27","17,346,344.16","14,284,968.95","551,771,176.56","631,975,037.71"
其他流动负债,,,"5,767,846.62","167,846.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,663,928.06","11,897,188.06",,,
流动资产合计,"298,598,570.08","328,661,427.82","657,179,018.94","604,704,547.86","471,991,606.55","467,294,409.00","469,213,136.25","469,756,436.10","463,168,345.67","443,488,137.03","465,455,274.56","497,117,163.09","465,514,781.56","529,643,964.49","552,977,811.37","472,824,960.68","397,469,000.16","370,121,272.44","407,801,567.40","395,331,380.94","379,043,094.82","382,124,737.29","1,052,137,928.13","1,051,810,485.65","939,752,613.54","927,964,099.20","910,392,659.54","906,363,326.45","870,572,472.96","846,540,663.29","879,856,719.39","820,102,579.35","831,594,081.11","843,020,131.27","896,683,464.28","956,571,430.45","921,326,401.60","1,017,414,409.07","1,009,907,461.62","1,790,832,112.16","2,101,615,075.66","1,592,188,596.93","1,606,053,659.62","1,708,137,123.78","2,282,508,064.69","2,330,887,460.36"
流动负债合计,"210,203,003.39","234,475,455.00","236,770,037.81","179,728,891.58","51,886,363.00","49,337,238.95","71,014,283.55","69,173,556.21","73,744,987.50","60,626,505.75","101,456,828.40","146,893,523.98","148,066,047.51","213,166,478.78","275,037,637.94","203,971,281.79","134,495,186.96","111,338,773.73","161,843,637.82","149,718,444.74","137,375,708.55","144,422,364.78","289,305,514.55","576,872,419.01","502,911,145.99","479,830,287.75","442,588,276.96","435,603,525.43","426,136,420.02","392,676,864.26","448,226,188.81","349,290,665.74","331,303,685.10","324,067,168.29","366,070,425.13","383,733,747.90","318,171,160.82","395,598,015.40","375,518,460.93","974,446,149.13","892,540,558.02","868,382,281.65","876,406,982.76","912,715,308.05","942,510,226.41","970,275,996.62"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"725,406.75","725,406.75","725,406.75","725,406.75","725,406.75","725,406.75","725,406.75","725,406.75","725,406.75","725,406.75","496,225,406.75","556,225,406.75","486,225,406.75","725,406.75",
长期借款,,,,,,,,,,,,,,,,,,,,,,,,"18,000,000.00",,,,,,,,,,,,,,,,,,,,,,
