科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
长期股权投资,,,,,,,,,,,,"16,207,915.19","15,480,317.79","13,772,278.48","13,253,280.93","92,560,731.11","90,867,879.35","88,784,894.07","6,000,000.00","9,445,932.39","9,006,075.98"
专项应付款,,,,,,,,,,,,,,,,,,,,,
投资性房地产,"9,411,695.74",,,,,,,,,,,,,,,,,,,"9,900,476.00","9,846,549.28"
预计负债,"780,562.72","500,000.00","672,135.14","1,949,936.44","736,200.00","1,022,135.14","451,250.00","1,650,864.90","1,650,864.90","1,313,178.94","1,313,178.94","686,130.90","686,130.90","1,259,660.81","1,089,396.64","1,089,396.64","5,888,195.86","3,564,470.66","2,463,405.21","4,600,052.32","6,386,923.27"
固定资产,"135,947,801.38","139,434,434.45","131,681,338.96","127,999,974.18","127,204,300.00","124,669,593.47","121,250,803.57","119,101,698.00","115,844,875.48","112,428,501.35","108,736,538.14","105,916,639.96","113,435,112.55","219,110,951.05","249,097,612.03","245,490,619.74","241,860,030.19","292,246,629.78","287,152,414.30","275,622,280.07","270,295,076.58"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,
在建工程,"1,712,878.27","205,128.20","1,221,108.70","3,797,208.50","3,797,200.00","8,030,669.90","23,337,671.75","38,924,306.77","76,776,873.88","101,107,865.40","133,850,658.80","145,426,844.65","147,898,483.00","39,937,771.75","34,907,808.88","35,619,501.83","42,804,063.54","3,346,535.46","5,237,917.44","6,235,640.11","8,671,401.12"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"780,562.72","500,000.00","672,135.14","1,949,936.44","736,200.00","1,022,135.14","451,250.00","1,650,864.90","1,650,864.90","1,313,178.94","1,313,178.94","686,130.90","686,130.90","1,259,660.81","1,089,396.64","1,089,396.64","5,888,195.86","6,088,655.35","4,987,589.90","7,124,237.01","17,291,107.96"
固定资产清理,,,,,,,,,,,,,,,,,,,,,
负债合计,"424,905,185.49","490,182,425.95","570,264,641.44","795,238,827.08","853,129,100.00","774,963,302.12","754,628,032.41","857,435,445.62","858,520,910.17","732,162,530.16","737,806,805.29","1,003,193,449.65","1,094,429,706.51","1,129,494,156.35","1,227,051,475.43","1,494,556,208.19","1,661,303,170.98","1,537,658,535.82","1,628,960,643.97","1,835,240,531.22","1,902,151,634.50"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"100,720,000.00","100,720,000.00","100,720,000.00","100,720,000.00","100,720,000.00","100,720,000.00","124,840,476.00","124,840,476.00","124,840,476.00","124,840,476.00","124,840,476.00","249,680,952.00","249,680,952.00","249,680,952.00","249,680,952.00","249,680,952.00","253,858,052.00","253,858,052.00","253,752,652.00","253,752,652.00","253,752,652.00"
油气资产,,,,,,,,,,,,,,,,,,,,,
资本公积,"81,502,399.64","81,502,399.64","81,502,399.64","81,502,399.64","81,502,400.00","81,502,399.64","517,730,279.40","517,730,279.40","517,730,279.40","517,730,279.40","517,730,279.40","392,889,803.40","392,889,803.40","392,889,803.40","392,889,803.40","392,889,803.40","451,897,462.61","466,479,862.65","473,351,685.03","482,080,391.91","483,220,809.33"
无形资产,"1,348,520.92","2,457,776.73","81,549,218.15","80,524,780.68","79,728,900.00","88,431,643.35","86,962,782.40","86,916,854.00","88,002,881.94","88,293,805.49","86,610,531.23","84,970,796.63","86,162,593.74","86,272,102.05","88,425,882.67","86,246,824.48","85,167,190.36","94,694,948.91","92,308,584.96","89,695,773.39","87,419,832.27"
盈余公积,"22,595,704.06","28,966,794.48","34,882,202.08","36,987,380.67","37,140,800.00","42,752,296.12","42,752,296.12","45,064,552.26","46,133,390.30","53,635,490.33","53,635,490.33","56,200,443.52","56,022,363.30","68,201,371.09","68,201,371.09","68,201,371.09","69,771,922.00","84,843,768.70","84,843,768.70","85,577,494.69","89,448,707.54"
开发支出,,,,,,,,,,,,"4,119,662.52","7,239,154.35","5,169,772.37","2,997,257.88","5,578,952.97","8,550,217.38","6,481,436.45","8,230,699.12","8,490,855.04","11,974,675.45"
减:库存股,,,,,,,,,,,,,,,,,"59,857,843.00","59,857,843.00","58,347,461.00","58,347,461.00","43,283,850.98"
商誉,,,,,,,,,,,,"23,613,000.00","31,747,500.00","249,594,215.70","249,594,215.70","261,582,121.52","357,582,967.91","357,764,380.53","357,764,380.53","357,764,380.53","357,764,380.53"
未分配利润,"53,566,136.44","97,020,272.70","130,093,695.72","107,828,896.65","112,668,700.00","190,563,781.79","139,596,079.07","145,498,494.47","150,070,567.85","233,565,165.53","167,350,582.73","140,621,916.59","130,231,925.48","242,461,259.48","180,321,461.91","129,146,322.78","156,002,459.87","298,817,266.77","240,090,740.14","87,401,516.52","133,542,283.91"
长期待摊费用,"10,020,189.08","4,180,523.47","5,915,774.57","10,414,828.53","12,498,200.00","13,934,100.12","13,404,630.80","13,487,257.35","13,081,010.02","14,720,814.20","16,045,368.73","17,062,157.91","18,572,613.11","24,787,376.61","24,114,415.92","23,177,229.26","23,280,033.92","24,711,755.52","22,578,543.72","26,268,929.36","27,509,435.10"
少数股东权益,,,,,,,,,,,,"2,897,400.75","4,424,101.28","34,440,741.00","37,162,342.26","44,508,479.01","68,931,549.65","76,974,903.83","81,691,522.73","86,807,443.20","102,422,793.95"
递延所得税资产,"733,918.47","1,115,687.96","2,841,112.32","3,449,379.93","3,490,800.00","8,845,402.56","5,381,284.63","5,966,012.57","6,453,221.55","7,014,007.48","6,200,327.36","6,684,953.42","7,540,730.09","5,757,092.07","5,690,340.40","7,900,671.98","9,413,115.45","14,161,749.61","14,083,860.90","14,854,443.82","13,817,736.30"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,"2,336,156.00","2,336,156.00","11,201,465.46","14,115,880.06","15,588,860.06","17,015,909.06","31,459,032.56","27,999,170.31","30,033,981.25","26,472,603.25","27,993,565.51","24,317,685.51","26,465,694.69","25,323,088.77","19,326,250.77","285,843,874.11"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"159,175,003.86","147,393,550.81","223,208,552.70","226,186,171.82","226,719,500.00","246,247,565.40","252,673,329.15","275,597,594.15","314,274,742.93","339,153,853.98","368,459,333.32","538,715,082.84","562,760,054.94","786,119,921.33","806,237,797.66","942,434,598.40","1,050,127,563.61","1,074,342,405.02","994,363,869.74","995,289,341.48","1,259,833,416.72"
所有者权益(或股东权益)合计,"258,384,240.14","308,209,466.82","347,198,297.44","327,038,676.96","332,031,900.00","415,538,477.55","824,919,130.59","833,133,802.13","838,774,713.55","929,771,411.26","863,556,828.46","842,290,516.26","833,249,145.46","987,674,126.97","928,255,930.66","884,426,928.28","940,603,603.13","1,121,116,010.95","1,075,382,907.60","937,272,037.32","1,019,103,395.75"
资产总计,"683,289,425.63","798,391,892.77","917,462,938.88","1,122,277,504.04","1,185,161,000.00","1,190,501,779.67","1,579,547,163.00","1,690,569,247.75","1,697,295,623.72","1,661,933,941.42","1,601,363,633.75","1,845,483,965.91","1,927,678,851.97","2,117,168,283.32","2,155,307,406.09","2,378,983,136.47","2,601,906,774.11","2,658,774,546.77","2,704,343,551.57","2,772,512,568.54","2,921,255,030.25"
负债和所有者(或股东权益)合计,"683,289,425.63","798,391,892.77","917,462,938.88","1,122,277,504.04","1,185,161,000.00","1,190,501,779.67","1,579,547,163.00","1,690,569,247.75","1,697,295,623.72","1,661,933,941.42","1,601,363,633.75","1,845,483,965.91","1,927,678,851.97","2,117,168,283.32","2,155,307,406.09","2,378,983,136.47","2,601,906,774.11","2,658,774,546.77","2,704,343,551.57","2,772,512,568.54","2,921,255,030.25"
