科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"26,456,691.07","51,661,754.88","33,725,395.60","73,495,986.27","31,834,770.24","48,213,643.03","79,107,292.66","21,031,110.20","34,015,352.36","56,621,788.82","114,577,425.30","21,646,858.35","43,838,859.26","65,865,727.85","126,057,089.98","15,062,333.69","26,367,181.85","42,965,401.64","94,733,108.40","18,470,491.80","46,272,644.67","64,383,170.03","101,207,097.79","13,616,673.30","29,746,097.73","44,362,902.07","65,299,144.04","16,281,606.75","34,260,813.39","48,798,860.69","63,512,824.18","21,401,970.94","39,701,415.36","60,609,889.78","71,558,583.06","27,631,813.13","47,686,794.40","61,664,321.69","72,056,583.41","23,384,373.90"
取得借款收到的现金,"40,000,000.00","74,510,000.00","175,580,000.00","390,562,000.00","206,628,000.00",,"336,791,200.00","42,080,000.00","107,682,000.00","211,242,000.00","408,708,338.17","100,125,600.00","408,303,926.80","824,266,638.27","980,995,852.52","126,387,152.10","273,386,698.76","399,191,572.66","900,081,698.76",,"148,250,000.00","150,990,000.00","631,705,760.50",,,,"2,396,442.13",,,,,,,,,,,,,
支付的各项税费,"10,212,043.64","45,223,129.82","34,810,816.65","52,383,431.95","30,828,257.34","48,789,284.33","58,404,216.89","48,598,896.85","55,242,131.34","75,255,216.11","80,196,742.20","5,563,962.47","12,105,436.31","16,910,169.33","40,396,145.94","3,070,232.70","7,347,568.00","10,500,220.55","18,951,686.35","2,264,834.63","3,242,501.47","5,488,495.75","15,636,777.56","11,026,608.06","12,907,521.75","14,260,778.21","8,469,757.91","1,630,952.33","2,335,853.16","3,838,271.60","4,355,092.73","9,071,925.08","11,183,131.73","12,795,347.56","14,499,027.95","10,036,180.48","11,425,167.16","14,603,618.34","18,411,518.97","6,200,694.22"
收到其他与筹资活动有关的现金,,,,,,,"1,955,445.95","119,788.33","195,961.31","1,087,999.76","4,197,000.93",,"327,573.09","532,058.67","8,000,000.00",,"42,380.97","63,839.26",,,,,"130,378.64",,,,"962,324.46","1,147.09","1,218.47","4,769.62",,,,,,,,,,
支付其他与经营活动有关的现金,"63,187,821.30","70,832,967.55","52,337,004.51","116,377,186.57","68,509,196.84","52,008,186.99","129,594,878.00","50,559,067.00","63,308,349.15","65,154,384.71","157,275,515.74","53,745,841.53","96,756,980.09","104,340,838.39","191,669,798.44","53,642,482.54","74,371,829.83","116,741,658.80","104,393,486.09","65,236,770.51","113,124,810.79","122,498,051.00","132,507,799.17","26,191,217.72","36,485,161.71","76,325,987.53","63,142,664.61","9,105,619.97","22,519,768.12","31,814,729.03","58,272,929.96","6,021,445.73","80,413,048.68","50,723,238.50","56,343,636.35","22,729,248.72","68,633,299.04","30,284,243.95","70,975,990.31","13,588,777.13"
筹资活动现金流入小计,"42,442,025.06","198,984,115.25","181,673,400.00","397,911,376.00","207,344,854.65","966,496,854.65","1,257,096,500.60","42,199,788.33","107,877,961.31","212,329,999.76","412,905,339.10","100,125,600.00","408,631,499.89","824,798,696.94","991,445,852.52","126,387,152.10","273,429,079.73","399,255,411.92","900,081,698.76",,"148,250,000.00","150,990,000.00","1,622,336,138.65",,,,"3,358,766.59","1,147.09","1,218.47","4,769.62",,,,,,,,,,
经营活动现金流出小计,"538,455,667.88","887,846,025.42","718,177,129.20","1,266,031,360.40","471,170,980.67","791,637,356.52","1,029,919,393.38","383,908,413.81","647,405,466.16","951,559,810.44","1,283,469,261.79","235,158,752.09","504,628,995.94","782,472,234.46","719,825,102.19","152,978,677.60","365,679,771.53","490,285,509.17","626,345,644.75","177,188,499.09","301,476,985.35","473,774,142.56","670,969,959.86","135,819,617.75","219,173,407.01","393,603,756.39","400,936,758.78","88,737,962.10","150,306,276.92","229,319,599.75","358,692,674.59","93,340,623.37","167,548,442.42","274,626,293.77","286,030,767.88","111,392,689.27","212,243,525.34","287,409,715.01","374,656,039.78","172,795,348.34"
偿还债务支付的现金,"11,274,822.81","78,772,240.75","112,520,000.00","296,790,000.00","150,278,000.00","85,382,000.00","354,938,000.00","67,235,200.00","67,235,200.00","169,555,200.00","257,925,200.00","38,002,806.10","191,851,202.67","277,161,745.67","623,883,226.64","159,998,110.50","379,152,207.35","600,588,072.66","1,068,384,106.09","53,631,500.00","155,607,000.00","200,120,350.00","945,572,365.45","3,331,500.00","47,663,000.00","47,994,500.00","50,722,442.13","331,500.00","663,000.00","994,500.00","1,326,000.00","331,500.00","663,000.00","663,000.00","663,000.00",,,,,
经营活动产生的现金流量净额,"22,708,045.96","57,032,160.31","-8,005,198.95","16,495,329.87","-76,266,068.14","-130,506,900.05","-135,135,515.84","-179,824,234.71","-360,712,175.95","-345,705,716.71","-498,090,053.48","-55,172,289.56","-175,157,414.89","-53,190,075.83","-86,269,450.05","57,999,925.99","105,487,175.66","244,677,945.50","225,757,360.06","62,094,124.32","15,565,130.39","54,972,911.89","-171,376,674.49","-43,520,773.92","-61,718,325.60","-99,763,202.62","-72,711,893.33","13,330,065.96","18,599,967.34","5,616,990.97","-5,023,789.89","-27,524,947.12","-24,496,073.83","-50,903,156.86","-31,399,833.35","-28,080,393.21","-73,159,401.50","-26,776,487.85","-9,607,841.11","-29,599,117.90"
分配股利、利润或偿还利息支付的现金,"3,353,980.96","3,225,632.20","2,750,362.69","5,895,919.66","4,181,034.80","6,556,449.86","6,909,468.82","1,392,729.87","71,656,234.78","74,144,526.93","77,083,497.85","6,364,197.65","13,623,550.87","23,060,090.18","49,579,368.82","7,447,840.40","25,218,600.24","45,565,513.01","65,743,250.21","2,775,928.71","8,842,229.55","10,096,764.29","25,253,964.34","877,789.54","1,283,492.54","1,331,228.54","8,759,646.86","29,254.88","52,874.26","71,769.76","85,941.39","9,447.75","10,654.97","10,654.97","10,654.97",,,,,
收回投资收到的现金,"240,000.00",,,,,,,,,,,,,,"24,081,579.09",,,,"22,500,000.00",,,,,,"330,000,000.00","561,604,061.96","300,000,000.00",,"16,000,000.00","16,000,000.00","82,000,000.00","80,000,000.00","250,000,000.00","255,000,000.00","410,000,000.00","450,000,000.00","700,000,000.00","600,000,000.00","750,000,000.00",
支付其他与筹资活动有关的现金,,,,"1,036,954.68","118,609.25","55,388,397.92","11,045,286.40",5.50,"429,747.00","429,747.00","2,455,853.81",,,,,"147,900.00",,,"7,014,685.80",,,,"1,652,789.35","530,000.00","1,024,158.61","1,024,158.61","1,024,158.61",,,,,,,,,,,,,
取得投资收益收到的现金,,"1,361,328.93",,,,,,,,,,,,,"367,728.63",,,,"3,668,071.94",,,,"20,538.40",,"3,741,438.81","10,573,737.44","17,447,011.42","825,534.25","6,265,722.90","12,202,509.42","21,014,832.66","6,600,821.92","14,483,438.36","17,071,146.23","24,697,654.05","4,872,427.80","11,954,519.78","15,026,906.44","18,164,442.00","2,962,500.00"
筹资活动现金流出小计,"14,628,803.77","81,997,872.95","115,270,362.69","303,722,874.34","154,577,644.05","147,326,847.78","372,892,755.22","68,627,935.37","139,321,181.78","244,129,473.93","337,464,551.66","44,367,003.75","205,474,753.54","300,221,835.85","673,462,595.46","167,593,850.90","404,370,807.59","646,153,585.67","1,141,142,042.10","56,407,428.71","164,449,229.55","210,217,114.29","972,479,119.14","4,739,289.54","49,970,651.15","50,349,887.15","60,506,247.60","360,754.88","715,874.26","1,066,269.76","1,411,941.39","340,947.75","673,654.97","673,654.97","673,654.97",,,,,
处置固定资产、无形资产和其他长期资产收回的现金净额,,"150,610.71","36,000.00","256,000.00","46,624.15","46,624.15","96,250.00",,,"130,000.00","145,670.19",,,,"400,000.00",,,,"75,995.00","1,374,489.26","1,374,489.26","1,570,590.87","543,380.77","272,000.00","272,000.00","272,000.00","105,893.21",200.00,"14,200.00","14,200.00","320,200.00",,,,"233,243.00",,,,"9,411.86",
筹资活动产生的现金流量净额,"27,813,221.29","116,986,242.30","66,403,037.31","94,188,501.66","52,767,210.60","819,170,006.87","884,203,745.38","-26,428,147.04","-31,443,220.47","-31,799,474.17","75,440,787.44","55,758,596.25","203,156,746.35","524,576,861.09","317,983,257.06","-41,206,698.80","-130,941,727.86","-246,898,173.75","-241,060,343.34","-56,407,428.71","-16,199,229.55","-59,227,114.29","649,857,019.51","-4,739,289.54","-49,970,651.15","-50,349,887.15","-57,147,481.01","-359,607.79","-714,655.79","-1,061,500.14","-1,411,941.39","-340,947.75","-673,654.97","-673,654.97","-673,654.97",,,,,
处置子公司及其他营业单位收到的现金净额,,"3,511,606.34",,,,,,,,,,,,,,,,,,,,,"33,778,116.42",,,,"32,257,488.19",,"55,575,760.50","55,575,760.50","55,575,760.50",,,,,,,,,
四、汇率变动对现金的影响,,,,,,,"-22,574.19","-3,982.66","-79,930.16","-226,105.02","-2,999,309.72","1,321,658.66","974,848.02","936,497.69","562,095.39","-409,905.08","-861,640.02","-437,072.02","-1,815,922.05","34,596.16","-181,817.83","-1,057,486.86","-2,110,147.43","618,459.51","19,909.11","113,706.39","383,134.03","145,698.96","113,114.52","52,495.71","85,328.73","-3,075.36","-26,220.12","-66,217.14","-86,750.29","-116,656.12","-30,895.43","8,360.87","117,714.11","-29,161.75"
收到其他与投资活动有关的现金,,,,,,,,,"9,014,084.43","6,063,788.62",,,,,"11,700,000.00",,,,"4,500,000.00",,,,,,,,"7,125,000.00",,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"240,000.00","5,023,545.98","36,000.00","256,000.00","46,624.15","46,624.15","96,250.00",,"9,014,084.43","6,193,788.62","145,670.19",,,,"36,549,307.72",,,,"30,744,066.94","1,374,489.26","1,374,489.26","1,570,590.87","34,342,035.59","272,000.00","334,013,438.81","572,449,799.40","356,935,392.82","825,734.25","77,855,683.40","83,792,469.92","158,910,793.16","86,600,821.92","264,483,438.36","272,071,146.23","434,930,897.05","454,872,427.80","711,954,519.78","615,026,906.44","768,173,853.86","2,962,500.00"
五、现金及现金等价物净增加额,"29,000,343.84","137,951,449.92","28,848,814.44","35,862,694.53","-54,913,713.87","638,253,789.23","663,683,359.11","-237,394,361.42","-452,057,387.44","-573,560,330.73","-665,791,574.52","-39,913,869.77","-53,874,222.73","76,718,319.20","-157,733,291.15","15,862,771.60","-31,234,761.01","-9,150,791.13","-25,134,011.63","6,981,209.24","400,489.48","-5,044,774.02","492,993,554.11","-48,080,292.22","-469,768,440.57","-495,870,790.20","-136,763,274.20","13,905,329.94","-204,440,626.54","-213,098,531.93","-156,945,952.69","-21,300,082.27","138,954,324.44","120,094,952.26","-26,075,984.32","-73,380,377.22","-175,382,398.09","-176,322,228.68","-156,652,616.44","-26,773,924.65"
购建固定资产、无形资产和其他长期资产支付的现金,"14,210,923.41","29,875,302.47","29,585,023.92","75,077,137.00","31,461,480.48","50,455,941.74","62,821,450.32","23,633,375.50","61,333,859.74","125,232,556.61","130,546,563.00","41,821,835.12","82,848,402.21","243,667,412.30","270,583,523.66","520,550.51","4,918,568.79","6,493,490.86","38,759,173.24","114,571.79","158,082.79","1,303,675.63","17,718,679.07","710,688.27","1,112,811.74","2,321,206.22","42,973,792.14","36,561.44","294,736.01","1,498,988.39","9,506,343.30","31,933.96","333,165.00","333,165.00","18,846,642.76","55,755.69","146,620.94","581,008.14","1,336,343.30","108,145.00"
期初现金及现金等价物余额,"8,740,433.77","37,740,777.61","175,692,227.53","175,692,227.53","211,554,922.06","211,554,922.06","211,554,922.06","875,238,281.17","875,238,281.17","875,238,281.17","875,238,281.17","209,446,706.65","209,446,706.65","209,446,706.65","209,446,706.65","51,713,415.50","51,713,415.50","51,713,415.50","51,713,415.50","26,579,403.87","26,579,403.87","26,579,403.87","26,579,403.87","519,572,957.98","519,572,957.98","519,572,957.98","519,572,957.98","382,809,683.78","382,809,683.78","382,809,683.78","382,809,683.78","225,863,731.09","225,863,731.09","225,863,731.09","225,863,731.09","199,787,746.77","199,787,746.77","199,787,746.77","199,787,746.77","43,135,130.33"
投资支付的现金,,,,,,,"22,500,000.00","7,504,220.50","7,500,000.00","7,500,000.00","48,110,058.06",,,"151,937,551.45","155,974,977.61",,,,,,,,,,"691,000,000.00","916,000,000.00","316,000,000.00",,"300,000,000.00","300,000,000.00","300,000,000.00","80,000,000.00","100,000,000.00","100,000,000.00","410,000,000.00","500,000,000.00","814,000,000.00","764,000,000.00","914,000,000.00",
期末现金及现金等价物余额,"37,740,777.61","175,692,227.53","204,541,041.97","211,554,922.06","156,641,208.19","849,808,711.29","875,238,281.17","637,843,919.75","423,180,893.73","301,677,950.44","209,446,706.65","169,532,836.88","155,572,483.92","286,165,025.85","51,713,415.50","67,576,187.10","20,478,654.49","42,562,624.37","26,579,403.87","33,560,613.11","26,979,893.35","21,534,629.85","519,572,957.98","471,492,665.76","49,804,517.41","23,702,167.78","382,809,683.78","396,715,013.72","178,369,057.24","169,711,151.85","225,863,731.09","204,563,648.82","364,818,055.53","345,958,683.35","199,787,746.77","126,407,369.55","24,405,348.68","23,465,518.09","43,135,130.33","16,361,205.68"
