科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
专项应付款,,,,,,,,,,
投资性房地产,,,,,,,,,,"15,014,103.72"
预计负债,,,,,,,,,,
固定资产,"841,253,626.92","1,094,909,146.99","1,185,429,699.63","1,366,953,253.77",,"1,356,377,832.98","1,337,813,395.41","1,320,707,420.41","1,399,474,501.06","1,890,689,041.99"
递延所得税负债,,,,,,,,,,
在建工程,"340,495,844.25","485,854,158.60","550,143,148.63","555,557,273.96",,"644,320,601.40","676,728,685.35","718,667,739.94","654,945,834.62","191,732,605.80"
其他非流动负债,,,,,,,,,,
工程物资,"4,798,906.53","2,130,417.19","3,785,120.51","4,465,007.48",,"4,422,922.24","5,708,851.67","5,761,608.61","6,797,178.96","6,963,777.49"
非流动负债合计,"84,000,000.00","282,749,700.00","452,988,300.00","368,870,500.00","310,623,300.00","385,053,900.00","378,421,900.00","370,068,300.00","380,134,700.00","411,474,270.53"
固定资产清理,,,,,,,,,,
负债合计,"668,867,641.65","1,034,115,054.31","1,315,080,055.72","1,330,078,328.84","1,334,510,100.00","1,380,912,285.69","999,963,593.21","968,253,667.68","945,069,561.65","973,810,312.64"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"252,000,000.00","252,000,000.00","252,000,000.00","252,000,000.00",,"252,000,000.00","336,000,000.00","336,000,000.00","336,000,000.00","336,000,000.00"
油气资产,,,,,,,,,,
资本公积,"437,773,121.54","437,844,521.54","437,850,040.35","437,850,040.35",,"437,850,040.35","989,217,237.73","991,314,674.40","992,301,526.11","992,200,250.40"
无形资产,"60,173,919.29","82,144,400.87","119,394,888.86","138,127,216.48",,"154,188,766.36","154,747,786.08","155,976,383.40","157,387,461.43","167,622,813.50"
盈余公积,"12,384,911.37","25,098,089.91","37,974,443.46","37,974,443.46",,"46,478,843.82","46,478,843.82","46,478,843.82","46,478,843.82","58,121,128.31"
开发支出,,,,,,,,,,
减:库存股,,,,,,,,,,
商誉,,"81,121.63","81,121.63","81,121.63",,"81,121.63","81,121.63","81,121.63","81,121.63","81,121.63"
未分配利润,"91,976,858.59","187,289,427.82","290,300,521.82","339,190,805.43",,"373,752,508.39","411,889,040.94","428,198,136.16","455,171,417.03","476,433,615.89"
长期待摊费用,"1,860,935.75","535,456.05","316,613.65","310,419.20",,"313,559.96","300,239.66","249,004.60","193,312.60","190,461.29"
少数股东权益,"48,727,182.97","137,193,553.35","278,336,982.91","276,140,725.00",,"271,800,306.73","266,060,108.77","268,107,791.42","263,183,777.97","249,343,179.06"
递延所得税资产,"288,978.77","927,941.33","1,339,835.46","1,625,704.25",,"1,835,289.47","1,949,657.80","1,421,363.32","1,370,841.73","2,139,374.29"
外币报表折算价差,,,,,,,,,,
其他非流动资产,"46,302,766.94","48,180,316.04","35,969,571.02","48,058,957.81",,"28,723,295.41","26,757,063.94","30,210,456.89","29,328,636.70","31,613,796.30"
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"1,311,174,978.45","1,730,694,606.05","1,912,493,841.14","2,130,596,682.95","2,155,936,800.00","2,206,273,444.59","2,219,462,117.57","2,247,816,144.09","2,265,573,809.60","2,322,220,287.95"
所有者权益(或股东权益)合计,"844,106,928.99","1,043,204,238.77","1,299,370,707.01","1,346,597,245.59","1,365,650,300.00","1,387,921,675.47","2,058,471,197.64","2,079,931,432.96","2,104,764,494.38","2,121,842,936.25"
资产总计,"1,512,974,570.64","2,077,319,293.08","2,614,450,762.73","2,676,675,574.43","2,700,160,400.00","2,768,833,961.16","3,058,434,790.85","3,048,185,100.64","3,049,834,056.03","3,095,653,248.89"
负债和所有者(或股东权益)合计,"1,512,974,570.64","2,077,319,293.08","2,614,450,762.73","2,676,675,574.43",,"2,768,833,961.16","3,058,434,790.85","3,048,185,100.64","3,049,834,056.03","3,095,653,248.89"
