科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
收到其他与筹资活动有关的现金,"123,135,200.00","47,336,685.60","137,644,617.05",,"26,590,000.00","30,750,000.00","27,790,000.00",,"850,000.00","4,286,250.00",,"2,060,000.00"
支付其他与经营活动有关的现金,"677,706,090.78","968,128,163.00","747,574,199.27",,"1,200,581,211.07","1,985,823,999.08","1,574,638,835.70","1,493,052,553.15","2,946,138,859.14","4,518,422,742.15","1,596,182,167.10","1,089,227,437.26"
筹资活动现金流入小计,"1,430,642,403.00","1,685,694,405.60","2,206,679,617.05",,"1,748,303,620.00","2,483,266,589.73","3,021,780,890.64","663,010,950.00","1,918,424,600.00","2,966,156,550.00","5,005,587,200.00","724,610,625.00"
经营活动现金流出小计,"7,944,865,542.24","7,844,635,041.16","7,932,923,403.49",,"4,798,463,789.31","7,858,726,708.29","12,223,960,549.88","5,428,458,757.67","11,067,124,394.89","15,930,161,961.41","18,847,288,799.05","4,985,085,722.94"
偿还债务支付的现金,"1,169,366,503.00","1,575,996,000.00","1,755,000,000.00",,"870,421,665.88","1,528,783,711.33","1,818,462,140.00","320,623,777.00","858,944,486.15","1,477,344,486.15","1,918,410,450.64","455,383,625.00"
经营活动产生的现金流量净额,"106,400,245.86","396,283,875.10","391,626,442.02","186,509,200.00","613,744,141.56","861,444,287.47","1,145,904,172.56","521,381,914.58","365,109,057.07","255,873,393.21","997,184,219.12","656,102,240.36"
分配股利、利润或偿还利息支付的现金,"187,484,547.61","191,056,707.63","102,356,796.39",,"47,744,058.71","64,359,264.07","88,699,682.86","23,786,739.33","319,236,634.17","353,453,689.46","400,460,036.87","38,663,048.40"
收回投资收到的现金,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,"41,790,000.00",,"10,870,000.00","29,470,000.00","32,016,000.00","403,475.00",,,"27,984,000.00",
取得投资收益收到的现金,"6,713,300.00","7,503,100.00","7,898,000.00",,,"7,898,000.00","7,898,000.00",,"7,898,000.00","7,898,000.00","7,898,000.00",
筹资活动现金流出小计,"1,356,851,050.61","1,767,052,707.63","1,899,146,796.39",,"929,035,724.59","1,622,612,975.40","1,939,177,822.86","344,813,991.33","1,178,181,120.32","1,830,798,175.61","2,346,854,487.51","494,046,673.40"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,037,828.45","1,068,453.80","1,070,833.60",,"50,357,194.29","50,926,384.61","50,529,555.90","56,060,800.00","73,186,671.09","84,731,888.78","78,948,435.89","14,494,162.00"
筹资活动产生的现金流量净额,"73,791,352.39","-81,358,302.03","307,532,820.66",,"819,267,895.41","860,653,614.33","1,082,603,067.78","318,196,958.67","740,243,479.68","1,135,358,374.39","2,658,732,712.49","230,563,951.60"
处置子公司及其他营业单位收到的现金净额,"33,868,404.68","21,494,421.03","46,048,494.44",,"63,251.04","3,573,750.00","6,070,234.73",,,,,
四、汇率变动对现金的影响,"-1,334,394.80","-48,654.62","861,517.87",,"1,159,632.23","1,661,649.48","3,051,114.79","86,167.88","-3,497,416.24","-7,095,875.11","-10,154,614.85","-1,887,561.19"
收到其他与投资活动有关的现金,,,,,,,,,,,"4,286,250.00","463,800,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"41,619,533.13","30,065,974.83","55,017,328.04",,"50,420,445.33","62,398,134.61","64,497,790.63","56,060,800.00","81,084,671.09","92,629,888.78","91,132,685.89","478,294,162.00"
五、现金及现金等价物净增加额,"-372,077,295.23","-6,958,881.17","282,577,523.95",,"1,029,558,736.88","1,175,465,935.58","1,570,637,015.32","792,551,424.98","856,887,472.23","847,744,295.95","2,012,274,752.36","950,727,954.90"
购建固定资产、无形资产和其他长期资产支付的现金,"592,554,031.81","350,101,774.45","360,460,584.64",,"372,533,377.65","524,849,350.31","642,919,130.44","103,174,416.15","326,052,319.37","629,021,485.32","1,594,260,468.64","352,850,737.87"
期初现金及现金等价物余额,"879,802,905.44","507,725,610.21","500,766,729.04",,"783,344,252.99","783,344,252.99","783,344,252.99","2,353,981,268.33","2,353,981,268.31","2,353,981,268.31","2,353,981,268.31","4,366,256,020.67"
投资支付的现金,,,"112,000,000.00",,"82,500,000.00","82,500,000.00","82,500,000.00",,,,,
期末现金及现金等价物余额,"507,725,610.21","500,766,729.04","783,344,252.99",,"1,812,902,989.87","1,958,810,188.57","2,353,981,268.31","3,146,532,693.31","3,210,868,740.54","3,201,725,564.26","4,366,256,020.67","5,316,983,975.57"
