科目,2013年度,2014年度,2015年1-6月,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
经营活动产生的现金流量净额,"11,064,086.24","9,410,102.29","2,476,479.86","30,598,915.91","75,043,166.23","101,023,676.28","81,373,378.24","-25,275,980.41","-41,500,967.13","-45,706,707.88"
分配股利、利润或偿还利息支付的现金,"1,600,000.00","10,424,000.00","10,000,000.00","10,001,905.54","10,438,463.84",,"40,601,655.28","319,189.34","458,930.75","15,188,083.92"
收回投资收到的现金,,"249,990,000.00","181,000,000.00","203,000,000.00","124,900,000.00",,"279,900,000.00","30,000,000.00","130,000,000.00","345,000,000.00"
支付其他与筹资活动有关的现金,"12,889,322.11","81,923.81","284,760.00","20,205,048.24","44,000.00",,"44,000.00","4,223,989.91","14,871,269.91","20,872,100.71"
取得投资收益收到的现金,,"1,372,406.92","550,224.12","729,419.97","265,840.56",,"963,511.79",,"950,865.75","2,844,005.47"
筹资活动现金流出小计,"14,489,322.11","10,505,923.81","10,284,760.00","30,206,953.78","10,482,463.84",,"42,760,750.28","19,799,781.02","30,954,681.66","52,120,990.11"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"31,000.00",,"1,000.00",,,,"28,000.00","28,000.00","99,618.00"
筹资活动产生的现金流量净额,"41,170,677.89","68,160,516.87","-7,343,637.70","-22,996,331.48","32,685,737.09","1,899,743.22","285,450.65","291,301,358.98","285,234,342.34","309,829,204.35"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"-52,440.85","6,999.55","24,218.64","79,768.80","99,233.06",,"594,962.39","-73,772.89","-221,962.92","-464,666.21"
收到其他与投资活动有关的现金,,,,,"55,000,000.00",,"55,400,000.00","2,522,000.00","13,100,000.00","13,100,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,,"251,393,406.92","181,550,224.12","203,730,419.97","180,165,840.56",,"336,263,511.79","32,550,000.00","144,078,865.75","361,043,623.47"
五、现金及现金等价物净增加额,"49,975,395.09","14,007,025.63","4,412,209.06","-32,280,119.41","17,084,025.63",,"8,352,432.73","280,965,444.69","20,460,399.27","97,103,799.79"
购建固定资产、无形资产和其他长期资产支付的现金,"2,206,928.19","29,974,000.00","8,395,075.86","17,180,892.61","21,909,951.31",,"41,164,870.34","17,536,160.99","32,129,878.77","62,597,653.94"
期初现金及现金等价物余额,"12,795,141.71","62,770,536.80","76,777,562.43","76,777,562.43","44,497,443.02",,"44,497,443.02","52,849,875.75","52,849,875.75","52,849,875.75"
投资支付的现金,,"284,990,000.00","163,900,000.00","168,900,000.00","189,000,000.00",,"309,000,000.00",,"335,000,000.00","465,000,000.00"
期末现金及现金等价物余额,"62,770,536.80","76,777,562.43","81,189,771.49","44,497,443.02","61,581,468.65",,"52,849,875.75","333,815,320.44","73,310,275.02","149,953,675.54"
