科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"66,089,742.75","66,089,742.75","39,723,881.58","46,714,231.68","44,887,768.28","21,932,589.50","43,865,179.00","43,600,000.00","43,600,000.00","43,600,000.00","43,600,000.00","63,600,000.00","63,600,000.00","63,600,000.00","63,600,000.00","157,353,358.45","132,353,358.45","140,387,048.05","140,387,048.05","280,397,696.03","225,376,591.93","205,250,000.00","255,250,000.00","705,000,000.00","759,750,000.00","509,750,000.00","399,750,000.00","691,800,000.00","575,240,000.00","471,140,000.00","360,240,000.00","1,243,482,758.18","1,223,267,230.58","777,168,823.89","777,168,823.89","533,416,830.70","543,726,830.70","133,548,421.48","40,580,000.00","497,769,132.89","386,710,352.36","118,984,225.29","91,000,000.00","741,407,883.74","797,115,984.01","903,241,043.46","741,407,883.74","107,942,956.15","101,667,694.15"
其他流动资产,"182,505.62","678,056.54","883,366.34",,"311,260.39","434,743.26","1,220,534.43",,"708,357.79","811,833.80","343,264.68",,"533,020.11",,"224,160.19",,"233,499.94",,"19,184.17",,"20,135.05",,,"13,000,000.00",,,,"437,272,645.89","426,475,826.19","435,645,933.32","413,718,866.27","156,185,755.74","132,717,750.58","70,002,256.76","70,361,171.52","225,456,877.56","226,540,618.51","213,849,296.27","231,364,713.53","206,853,340.28","224,023,397.09","151,852,264.51","170,047,969.90","209,352,109.76","186,632,552.47","208,153,305.69","164,965,312.32","209,933,305.00","225,834,577.49"
其他流动负债,"735,352.51","599,613.19","403,636.34",,"145,794.02","27,095.27","111,062.78",,"51,376.89","65,977.96","31,671.81",,"16,122.00",,"2,380.65",,,,"2,517.60",,480.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"2,630,963,507.32","1,607,651,156.21","1,874,745,478.11","2,021,711,614.74","2,437,736,283.57","2,511,963,949.21","2,870,971,505.28","3,143,915,428.34","3,102,865,343.09","2,235,743,760.44","1,819,026,878.28","2,170,063,633.71","2,829,764,477.07","2,300,583,037.25","2,630,973,020.12","2,515,115,538.69","2,447,307,711.53","2,536,972,911.04","2,308,129,364.13","2,963,079,807.44","3,717,760,311.63","4,315,790,499.45","3,874,085,054.01","4,496,697,613.93","5,291,172,385.24","4,013,800,518.50","3,604,186,955.29","3,451,054,428.40","3,487,487,864.05","2,701,442,588.11","2,699,378,281.03","2,188,546,511.50","2,178,944,194.48","1,569,149,876.93","1,329,172,877.32","1,473,456,874.11","1,430,790,564.10","1,471,074,752.26","1,199,058,911.33","1,135,121,029.50","1,290,446,299.95","925,436,900.31","1,052,545,497.74","953,653,995.82","1,097,301,204.48","1,253,278,973.25","1,098,623,307.76","2,162,930,804.99","2,083,090,002.63"
流动负债合计,"1,965,883,857.14","1,288,926,004.84","1,603,136,765.14","1,871,717,283.80","2,147,347,249.23","2,337,699,396.71","2,673,965,621.44","3,342,715,623.88","3,406,681,237.21","2,583,211,987.10","2,326,452,207.73","2,817,927,805.91","2,820,642,204.83","1,711,322,839.27","1,705,664,894.02","1,925,654,906.60","1,911,190,939.34","1,856,256,169.62","2,052,694,661.19","2,731,013,021.78","3,233,250,112.45","4,360,387,473.62","3,927,109,002.78","5,318,516,560.23","5,796,795,012.40","4,658,656,535.38","4,568,685,428.76","5,640,432,930.87","5,485,526,470.93","5,377,675,051.50","5,311,449,931.33","6,422,672,377.97","6,556,264,232.86","4,426,963,712.30","4,269,187,735.06","4,035,743,584.26","4,027,611,212.22","3,856,314,921.93","3,640,028,035.17","4,230,216,564.81","4,206,423,865.42","3,607,849,786.88","3,704,423,645.29","4,351,007,147.26","4,395,155,693.93","4,000,527,941.36","2,575,087,413.33","1,201,388,257.74","1,081,830,826.20"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,332,400.00","11,820,070.13","11,820,070.13","11,820,070.13","11,820,070.13","10,807,170.13","10,807,170.13","10,807,170.13","10,807,170.13","11,820,070.13","11,820,070.13","11,820,070.13","11,820,070.13","8,868,392.85","8,868,392.85","8,868,392.85","8,868,392.85","6,000,000.00",
长期借款,"521,207,546.82","492,767,347.72","455,574,370.03","363,499,812.35","357,107,190.38","353,528,127.88","330,551,844.99","279,379,741.19","649,147,440.98","873,653,261.54","908,583,522.64","780,568,921.21","1,450,538,544.11","1,678,258,056.81","2,117,109,482.47","2,061,176,680.55","2,214,540,679.89","2,350,000,000.00","2,609,526,551.48","3,058,750,000.00","3,560,750,000.00","4,015,750,000.00","4,391,750,000.00","4,091,000,000.00","4,606,792,000.00","4,862,792,000.00","4,862,792,000.00","4,337,242,000.00","4,413,802,000.00","4,400,635,333.33","4,507,535,333.33","4,004,475,333.33","3,981,475,333.33","2,653,810,529.42","2,649,810,529.42","2,901,052,000.00","2,884,742,000.00","2,940,742,000.00","2,938,742,000.00","2,824,252,000.00","2,923,742,000.00","2,921,742,000.00","2,917,742,000.00","2,748,252,000.00","2,744,252,000.00","2,720,252,000.00","2,736,252,000.00","1,027,514,505.64","968,660,472.49"
