科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"12,966,385,340.00","16,388,876,569.00","20,255,651,399.00","10,356,983,503.00","23,300,377,815.00","4,535,525,448.84","10,653,556,931.00","12,474,043,806.16","23,415,338,438.00","4,519,640,964.00","11,440,732,138.00","14,162,136,040.00","26,338,776,569.00","5,209,074,999.15","13,510,133,122.00","14,823,593,298.37","28,479,947,780.00","6,158,324,631.23","15,045,548,710.00","18,862,213,127.00","31,514,149,881.00","7,232,745,330.15","16,956,095,741.00","21,172,814,000.00","35,727,520,071.00","8,176,751,422.00","18,127,221,301.00","24,253,922,051.00"
取得借款收到的现金,"54,897,396,374.00","77,582,576,057.00","55,542,965,433.00","46,090,659,901.00","74,632,691,884.00","16,463,962,060.10","59,849,557,807.00","97,437,686,842.72","99,864,955,483.00","19,118,001,702.00","55,039,805,156.00","86,343,706,256.00","116,266,049,161.00","43,857,713,133.39","85,320,495,867.00","138,668,419,564.16","143,080,722,987.00","42,564,684,828.42","87,361,599,531.00","140,494,431,689.00","177,033,808,789.00","39,694,992,873.26","93,322,601,998.00","108,743,293,844.00","139,325,647,412.00","34,938,141,558.00","69,917,634,674.00","110,153,537,833.00"
支付的各项税费,"5,358,720,165.00","7,722,001,250.00","9,021,508,984.00","5,495,133,440.00","9,700,185,562.00","2,050,138,843.52","6,048,924,639.00","6,800,338,790.69","11,161,251,242.00","2,437,107,908.00","6,266,837,001.00","7,416,307,747.00","11,547,603,376.00","2,565,370,910.38","6,641,329,009.00","8,514,797,099.17","14,973,338,470.00","2,943,046,914.83","9,255,549,741.00","10,007,083,508.00","16,341,755,394.00","3,652,546,837.13","10,129,464,245.00","11,898,324,879.00","15,024,745,709.00","4,280,412,600.00","6,891,705,369.00","11,969,412,898.00"
收到其他与筹资活动有关的现金,,,,,,,"983,022,059.00","983,022,059.00","4,865,903,031.00",,"2,575,676,753.00","5,000,916,939.00","6,157,492,641.00","287,315,718.51","283,225,875.00","2,861,367,902.44","8,676,137,843.00","1,707,383,470.00","1,323,520,169.00","6,356,419,949.00","24,327,369,040.00","398,987,865.46","1,631,342,831.00","1,957,611,397.00","1,500,000,000.00","206,045,271.00","1,521,527,342.00","3,197,113,122.00"
支付其他与经营活动有关的现金,"7,026,847,371.00","6,629,667,786.00","8,453,297,679.00","4,785,468,686.00","11,241,677,106.00","2,510,642,428.49","7,693,815,989.00","8,452,253,497.69","13,805,075,819.00","2,808,445,580.00","5,946,450,990.00","9,665,221,854.00","10,519,938,260.00","2,629,984,565.00","5,581,060,445.00","7,244,568,305.34","21,591,964,106.00","3,319,262,186.72","5,120,204,471.00","29,281,430,022.00","16,909,209,260.00","3,436,071,394.70","6,863,158,796.00","10,905,121,206.00","21,349,979,687.00","2,592,382,163.00","10,416,316,113.00","10,956,674,319.00"
筹资活动现金流入小计,"55,050,912,807.00","77,642,762,113.00","55,654,684,547.00","46,103,734,761.00","74,798,946,119.00","21,330,569,273.31","65,704,614,645.00","103,292,743,680.72","128,232,857,867.00","19,118,001,702.00","63,950,783,149.00","91,666,456,373.00","132,694,809,315.00","44,333,659,227.95","100,894,760,779.00","142,022,164,266.60","176,965,211,843.00","44,326,068,298.42","103,124,008,537.00","167,150,842,701.00","219,573,448,330.00","42,874,267,069.96","103,659,412,658.00","126,816,636,070.00","160,900,593,517.00","36,117,126,401.00","77,191,032,499.00","119,921,037,306.00"
经营活动现金流出小计,"185,887,506,769.00","213,730,683,981.00","248,101,485,520.00","127,149,141,143.00","265,710,026,596.00","59,055,600,209.19","123,971,151,289.00","214,055,485,437.05","276,071,230,088.00","72,500,042,272.00","137,846,439,363.00","220,664,214,255.00","298,174,472,510.00","78,529,716,635.82","159,208,902,268.00","283,630,558,862.70","345,508,226,871.00","104,083,064,619.78","188,579,596,882.00","296,131,500,284.00","355,662,210,850.00","109,411,808,328.32","191,103,808,634.00","326,558,323,563.00","382,307,179,768.00","110,028,772,920.00","206,788,295,034.00","336,226,516,586.00"
偿还债务支付的现金,"31,571,164,365.00","66,040,893,589.00","45,391,042,014.00","27,342,722,412.00","48,307,401,603.00","11,767,677,157.51","35,055,293,316.00","61,488,766,171.27","81,951,243,189.00","14,087,602,950.00","37,866,832,882.00","47,791,788,806.00","82,466,646,318.00","22,299,406,247.93","57,040,481,059.00","81,322,561,327.34","124,933,378,814.00","22,340,292,599.17","63,025,002,228.00","92,492,016,243.00","162,913,411,213.00","23,565,360,177.47","70,297,468,219.00","79,306,035,736.00","120,318,888,592.00","26,567,699,830.00","56,094,027,022.00","96,572,478,415.00"
经营活动产生的现金流量净额,"1,040,172,843.00","17,228,289,809.00","15,483,489,892.00","-7,632,974,956.00","1,712,152,642.00","-2,841,566,564.56","-5,007,030,037.00","-2,004,979,290.20","13,338,004,036.00","-2,611,570,757.00","-10,605,368,743.00","-6,540,894,638.00","6,970,190,099.00","-3,985,633,736.62","-17,524,381,480.00","-16,948,237,264.52","4,404,027,639.00","-16,723,970,066.26","-7,881,864,124.00","-4,009,295,761.00","31,911,056,350.00","-14,030,044,573.93","-15,582,869,116.00","-11,506,759,631.00","29,722,887,754.00","-13,704,098,333.00","-2,087,331,407.00","5,061,408,215.00"
分配股利、利润或偿还利息支付的现金,"3,817,364,477.00","4,160,681,036.00","4,698,213,665.00","4,166,595,157.00","6,527,656,600.00","1,755,806,475.42","3,060,290,066.00","4,725,163,635.08","9,468,853,734.00","1,852,054,375.00","3,288,702,251.00","9,148,663,282.00","11,355,039,604.00","2,257,246,110.77","5,307,348,309.00","10,131,334,293.01","14,758,717,968.00","2,457,933,501.77","6,459,216,744.00","10,808,101,636.00","17,958,508,613.00","2,471,951,372.55","4,773,473,414.00","13,413,867,096.00","17,327,174,145.00","2,821,814,785.00","6,357,481,875.00","9,865,864,260.00"
收回投资收到的现金,"783,088,964.00","1,255,591,388.00","733,173,105.00","236,531,522.00","514,726,865.00","624,807.86","976,537,600.00","3,431,332,884.76","7,112,584,598.00","35,221,264.00","1,329,726,206.00","2,330,208,334.00","6,148,218,823.00","1,722,054,521.47","4,424,216,246.00","4,424,216,246.00","8,823,509,664.00","4,584,637,752.35","7,910,874,929.00","9,721,134,130.00","10,534,142,838.00","256,735,929.74","537,522,866.00","2,089,268,376.00","1,960,518,754.00","721,092,970.00","403,262,757.00","1,651,974,737.00"
支付其他与筹资活动有关的现金,,"182,303,945.00","561,297,598.00","353,466,980.00","821,020,440.00","201,186,560.32","4,315,188,912.00","8,017,072,774.17","7,891,456,545.00","735,873,740.00","2,651,796,700.00","4,673,345,299.00","4,313,107,181.00","639,531,217.91","3,597,179,838.00","6,218,384,745.68","5,468,588,441.00","831,688,437.92","1,670,629,911.00","1,670,629,911.00","2,276,418,578.00","914,329,053.22","2,966,415,735.00","2,991,359,636.00","1,154,109,533.00","769,015,202.00","234,263,449.00","2,058,588,289.00"
取得投资收益收到的现金,"569,884,731.00","370,398,343.00","331,443,198.00","249,419,950.00","326,164,599.00","28,495,728.70","356,971,997.00","435,149,646.77","421,801,220.00","22,223,694.00","416,788,777.00","872,783,837.00","677,006,967.00","93,867,147.99","121,022,312.00","2,168,812,278.21","737,793,271.00","263,644,355.21","105,127,090.00","1,361,034,685.00","952,784,225.00","122,640,794.23","338,775,758.00","914,932,062.00","1,131,185,142.00","122,643,096.00","549,026,359.00","730,348,301.00"
筹资活动现金流出小计,"35,388,528,842.00","70,383,878,570.00","50,650,553,277.00","31,862,784,549.00","55,656,078,643.00","13,724,670,193.25","42,430,772,294.00","74,231,002,580.52","99,311,553,468.00","16,675,531,065.00","43,807,331,833.00","61,613,797,386.00","98,134,793,103.00","25,196,183,576.61","65,945,009,206.00","97,672,280,366.03","145,160,685,223.00","25,629,914,538.86","71,154,848,883.00","104,970,747,791.00","183,148,338,404.00","26,951,640,603.24","78,037,357,368.00","95,711,262,468.00","138,800,172,270.00","30,158,529,817.00","62,685,772,346.00","108,496,930,964.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"924,879,240.00","413,199,428.00","961,610,932.00","348,881,299.00","1,240,525,805.00","90,751,913.74","336,138,795.00","805,881,214.01","615,327,113.00","527,146,761.00","646,396,250.00","1,002,187,251.00","1,214,143,668.00","84,829,279.84","333,006,265.00","441,050,982.70","556,115,450.00","35,119,816.57","359,787,842.00","218,466,362.00","748,295,097.00","15,308,536.48","185,342,225.00","357,480,030.00","393,706,503.00","24,810,847.00","199,921,994.00","213,242,548.00"
筹资活动产生的现金流量净额,"19,662,383,965.00","7,258,883,543.00","5,004,131,270.00","14,240,950,212.00","19,142,867,476.00","7,605,899,080.06","23,273,842,351.00","29,061,741,100.20","28,921,304,399.00","2,442,470,637.00","20,143,451,316.00","30,052,658,987.00","34,560,016,212.00","19,137,475,651.34","34,949,751,573.00","44,349,883,900.57","31,804,526,620.00","18,696,153,759.56","31,969,159,654.00","62,180,094,910.00","36,425,109,926.00","15,922,626,466.72","25,622,055,290.00","31,105,373,602.00","22,100,421,247.00","5,958,596,584.00","14,505,260,153.00","11,424,106,342.00"
处置子公司及其他营业单位收到的现金净额,"98,761,156.00","53,996,968.00",,,"207,955,707.00","116,160,900.00",,"489,487.00",,,"205,981,341.00","205,981,341.00","209,515,717.00","2,000,000.00",,,,,,"537,559,662.00","710,780,809.00",,,,"1,962,466,192.00",,"97,340,287.00",
四、汇率变动对现金的影响,"-155,525,222.00","7,576,462.00","-112,233,020.00","-18,709,473.00","-181,052,596.00","75,344,109.57","2,650,174.00","19,255,860.36","1,234,781.00","-92,550,197.00","-153,690,097.00","-456,949,599.00","-213,174,978.00","189,376,495.38","85,185,835.00","54,643,946.65","-119,347,882.00","-65,467,662.77","-293,471,921.00","352,609,959.00","272,834,910.00","102,095,664.00","294,524,509.00","551,068,138.00","644,153,810.00","-71,743,268.00","-363,048,187.00","-716,135,344.00"
收到其他与投资活动有关的现金,"645,949,386.00","292,415,615.00","294,384,837.00","182,674,468.00","503,858,211.00","147,126,015.52","289,112,099.00","289,112,099.00","725,999,029.00","142,665,639.00","327,548,967.00","377,060,408.00","1,810,287,825.00","382,553,860.53","1,196,764,848.00","1,196,764,848.00","4,852,403,917.00","392,364,291.80","1,202,263,053.00","2,823,179,840.00","4,304,580,598.00","349,598,466.75","1,067,102,292.00","1,436,149,012.00","3,929,820,728.00","252,953,923.00","5,156,636,401.00","4,424,283,571.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,022,563,477.00","2,385,601,742.00","2,320,612,072.00","1,017,507,239.00","2,793,231,187.00","383,159,365.82","1,958,760,491.00","4,961,965,331.54","8,875,711,960.00","727,257,358.00","2,926,441,541.00","4,788,221,171.00","10,059,173,000.00","2,285,304,809.83","6,075,009,671.00","8,230,844,354.91","14,969,822,302.00","5,275,766,215.93","9,578,052,914.00","14,661,374,678.00","17,250,583,567.00","744,283,727.20","2,128,743,141.00","4,797,829,480.00","9,377,697,319.00","1,121,500,836.00","6,406,187,798.00","7,019,849,157.00"
五、现金及现金等价物净增加额,"3,805,164,049.00","7,539,404,715.00","5,009,158,741.00","121,022,358.00","6,295,105,503.00","-101,909,935.93","7,687,867,688.00","15,518,413,495.98","22,757,578,761.00","-12,715,900,464.00","-8,483,574,277.00","-5,889,834,769.00","13,235,674,287.00","2,360,001,124.83","-8,487,143,343.00","-10,563,864,336.64","-9,415,347,842.00","-5,114,900,277.23","3,649,917,260.00","27,160,265,444.00","23,137,425,978.00","-7,762,155,101.13","-13,626,795,138.00","-19,681,613,520.00","13,759,644,337.00","-18,649,121,673.00","-8,111,668,030.00","-16,628,705,100.00"
购建固定资产、无形资产和其他长期资产支付的现金,"17,353,463,140.00","18,248,053,833.00","14,402,708,650.00","6,845,630,995.00","16,094,727,719.00","4,913,638,047.36","6,772,287,672.00","9,029,958,198.82","19,613,007,683.00","4,847,249,858.00","7,597,683,166.00","18,586,481,101.00","25,134,178,492.00","7,452,288,031.18","17,169,417,952.00","31,267,899,903.69","42,818,109,393.00","10,938,267,423.69","21,349,219,401.00","37,651,778,482.00","52,015,849,520.00","9,739,573,451.96","21,638,557,857.00","38,644,839,262.00","36,936,068,392.00","10,651,894,332.00","15,668,941,501.00","24,130,974,167.00"
期初现金及现金等价物余额,"22,472,555,913.00","26,277,719,962.00","33,817,124,677.00","38,826,283,418.00","38,826,283,418.00","45,121,388,921.69","45,121,388,921.00","45,121,388,921.00","45,234,141,008.00","73,072,761,524.00","67,991,719,769.00","73,083,420,925.00","68,002,379,170.00","81,238,053,456.62","81,238,053,457.00","81,238,053,457.37","81,238,053,457.00","71,822,705,614.62","71,822,705,615.00","71,822,705,615.00","71,822,705,615.00","94,960,131,591.00","94,960,131,593.00","94,960,131,593.00","94,960,131,593.00","108,719,775,930.00","108,719,775,930.00","108,719,775,930.00"
投资支付的现金,"2,342,565,842.00","1,092,893,008.00","2,606,061,289.00","640,119,669.00","1,053,858,487.00","348,661,688.45","5,768,067,619.00","7,489,611,307.10","8,749,727,232.00","8,334,057,647.00","12,272,305,804.00","14,221,970,265.00","12,081,932,230.00","7,814,234,063.92","9,183,413,562.00","9,263,221,942.56","8,805,862,945.00","1,190,000,000.00","4,171,152,523.00","4,637,589,915.00","4,349,296,365.00","327,260,209.38","1,621,140,179.00","3,019,583,840.00","7,435,443,689.00","548,445,102.00","5,350,518,996.00","7,478,460,175.00"
期末现金及现金等价物余额,"26,277,719,962.00","33,817,124,677.00","38,826,283,418.00","38,947,305,776.00","45,121,388,921.00","45,019,478,985.76","52,809,256,609.00","60,639,802,416.98","67,991,719,769.00","60,356,861,060.00","59,508,145,492.00","67,193,586,157.00","81,238,053,457.00","83,598,054,581.45","72,750,910,114.00","70,674,189,120.73","71,822,705,615.00","66,707,805,337.39","75,472,622,875.00","98,982,971,058.00","94,960,131,593.00","87,197,976,489.87","81,333,336,455.00","75,278,518,073.00","108,719,775,930.00","90,070,654,257.00","100,608,107,900.00","92,091,070,830.00"
