科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
资本公积,"553,517,513.95","553,517,513.95","553,517,513.95","553,517,513.95","553,517,513.95","922,069,923.35","922,069,923.35","922,069,923.35","859,968,581.35","859,968,581.35","859,968,581.35"
无形资产,"715,020.06","714,134.87","959,566.48","897,113.49","868,061.58","837,041.14","33,795,684.24","33,119,675.42","32,305,000.56","31,745,088.01","30,958,508.21"
盈余公积,"26,570,651.33","28,764,950.01","32,617,550.06","32,617,550.06","32,617,550.06","32,617,550.06","35,605,780.30","35,605,780.30","35,605,780.30","35,605,780.30","37,893,762.94"
开发支出,,,,,,,,,,,
减:库存股,,,,,,,,,,,
商誉,"29,626,811.20","31,699,871.63","31,699,871.63","31,699,871.63","31,699,871.63","31,699,871.63","26,074,738.69","26,074,738.69","26,074,738.69","26,074,738.69","506,541,971.59"
未分配利润,"284,151,853.53","364,060,867.38","467,279,309.62","483,710,583.20","533,674,172.73","540,434,352.07","576,790,170.76","599,004,632.90","611,190,483.48","614,631,481.57","655,914,825.89"
长期待摊费用,"103,067,749.51","125,860,405.04","167,338,673.85","159,236,872.89","185,627,475.07","185,757,569.32","204,174,692.50","194,404,529.97","185,544,444.84","172,796,286.47","175,132,673.51"
少数股东权益,"5,074,338.34","14,658,978.30","17,391,090.32","18,404,210.26","18,394,588.51","19,867,639.41","20,683,600.51","21,976,096.67","20,342,887.29","18,943,731.45","79,812,526.93"
递延所得税资产,"944,579.38","741,847.97","912,716.70","1,210,434.14","1,051,245.82","1,315,705.28","1,549,917.46","1,652,570.55","1,696,029.31","1,839,823.29","12,371,982.59"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,"20,034,000.00"
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"360,108,056.27","454,576,844.61","592,195,017.49","575,490,496.34","602,048,464.72","623,722,625.12","701,179,291.03","694,118,911.09","705,768,036.59","693,247,289.29","1,218,749,260.56"
所有者权益(或股东权益)合计,"1,102,191,069.59","1,193,878,814.51","1,303,674,113.64","1,321,119,864.44","1,371,068,126.28","1,825,482,242.49","1,865,633,684.55","1,889,141,889.02","1,899,698,794.85","1,901,745,639.23","2,006,189,571.60"
资产总计,"1,494,488,319.27","1,617,164,517.55","1,816,764,781.36","1,808,955,740.51","1,893,427,799.48","2,348,611,534.58","2,376,099,838.68","2,386,066,426.32","2,359,774,268.58","2,326,184,262.02","3,359,175,606.50"
负债和所有者(或股东权益)合计,"1,494,488,319.27","1,617,164,517.55","1,816,764,781.36","1,808,955,740.51","1,893,427,799.48","2,348,611,534.58","2,376,099,838.68","2,386,066,426.32","2,359,774,268.58","2,326,184,262.02","3,359,175,606.50"
