科目,2009年度,2010年度,2011年度,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"1,444,404.47","3,252,644.51","4,816,494.46","5,485,467.58","7,414,588.47","2,883,679.31","5,156,647.33","10,396,137.14","13,624,200.36","1,755,377.37","11,029,875.05","15,595,961.07","26,209,180.59","7,779,210.82","13,593,120.88","25,522,916.20","42,874,314.06","12,929,027.93","37,058,323.75","71,546,878.41","118,776,244.69","36,990,775.28","64,356,056.92","100,884,055.35","144,056,131.91","53,676,002.62","109,128,901.45"
取得借款收到的现金,,"40,000,000.00","20,000,000.00","10,000,000.00","10,000,000.00","16,947,525.80","21,311,225.80","64,528,008.92","66,947,525.80","76,255,500.00","157,521,460.10","240,521,460.10","263,544,454.45","83,212,500.00","124,012,500.00","148,012,500.00","210,000,000.00","20,000,000.00","40,000,000.00","40,000,000.00","110,000,000.00",,"20,000,000.00","60,000,000.00","185,000,000.00","125,560,000.00","238,810,000.00"
支付的各项税费,"5,384,024.69","10,533,248.72","18,210,264.10","15,320,402.37","25,241,905.09","6,791,099.21","8,346,237.03","4,033,285.23","23,756,657.10","617,970.74","24,071,273.68","31,158,433.30","23,535,405.81","9,633,815.60","18,958,140.03","29,334,345.00","34,089,345.37","14,934,906.21","90,233,184.66","107,017,885.63","115,184,434.65","30,545,165.37","143,983,463.17","160,220,205.16","167,889,574.58","65,154,843.59","122,900,038.83"
收到其他与筹资活动有关的现金,,,,,,,,,"9,000,000.00",,"10,000,000.00","57,897,785.20","134,770,296.40",,"13,013,447.18","29,889,225.53","60,534,614.07",,,,"21,200,480.65",,,,"124,067,100.00",,"92,000,000.00"
支付其他与经营活动有关的现金,"9,200,445.01","43,650,582.91","7,633,210.42","6,555,901.49","34,219,446.67","38,415,512.86","53,852,699.73","71,046,502.70","44,471,020.83","8,369,979.62","23,175,029.92","30,622,057.51","30,472,404.98","10,543,092.88","24,533,981.70","54,224,534.63","36,594,149.73","36,140,547.34","33,912,229.46","44,433,197.83","63,875,538.34","32,330,253.08","49,594,272.92","67,486,341.92","99,925,640.35","34,877,172.76","94,266,866.44"
筹资活动现金流入小计,,"61,360,000.00","20,000,000.00","260,407,700.00","260,407,700.00","26,747,525.80","31,111,225.80","74,328,008.92","75,947,525.80","76,255,500.00","186,761,460.10","317,659,245.30","414,692,653.54","88,212,500.00","142,025,947.18","505,801,725.53","600,534,614.07","20,000,000.00","1,252,839,760.00","1,252,839,760.00","1,344,202,123.15",,"20,000,000.00","60,010,000.00","310,971,900.00","125,560,000.00","400,139,531.00"
经营活动现金流出小计,"245,327,171.53","370,619,921.11","493,406,336.66","312,906,013.87","476,590,532.94","125,193,521.23","272,643,782.80","439,509,067.77","314,844,277.62","94,991,364.03","421,096,459.18","598,230,458.37","722,854,878.79","121,302,534.47","260,031,447.65","575,872,074.08","914,622,001.36","305,732,935.93","800,805,155.91","1,349,962,279.78","2,033,301,186.05","613,509,391.91","1,240,304,523.25","1,723,878,995.77","2,396,678,232.56","795,641,265.68","1,777,477,805.84"
偿还债务支付的现金,,"20,000,000.00","32,000,000.00","18,000,000.00","18,000,000.00",,"4,175,788.12","49,528,008.92","16,947,525.80","65,000,000.00","42,100,355.98","146,893,985.46","152,899,247.10","97,849,650.24","141,783,900.00","221,427,577.88","314,276,609.54","32,000,000.00","86,000,000.00","96,000,000.00","190,483,350.00","20,000,000.00","50,000,000.00","50,000,000.00","145,000,000.00","125,560,000.00","245,810,000.00"
经营活动产生的现金流量净额,"-8,855,140.61","23,651,609.27","35,848,019.50","-38,235,836.73","-58,650,253.87","12,889,029.89","23,154,402.86","63,892,688.72","74,321,852.53","5,975,852.94","-90,870,442.70","-67,398,944.24","-185,708,086.95","25,148,749.91","22,842,971.29","132,406,074.53","49,775,971.07","35,397,132.52","28,619,928.58","-12,064,173.15","-49,028,923.75","222,894,400.50","302,516,002.88","313,513,144.03","462,752,610.63","127,419,281.20","-80,333,870.98"
分配股利、利润或偿还利息支付的现金,"2,928,672.00","1,365,588.00","938,277.78","237,204.44","224,404.44","16,000,000.00","16,000,000.00","16,199,977.45","16,894,144.11","982,833.33","18,923,370.04","21,606,177.24","29,565,700.08","2,825,711.17","9,491,384.44","12,128,994.45","16,193,261.81","1,906,921.84","35,279,151.16","36,638,526.17","38,089,842.16","1,121,575.01","61,009,335.68","61,898,669.02","63,315,071.31","1,580,436.59","3,318,471.08"
收回投资收到的现金,"16,000,000.00","22,500,000.00",,,,,,,,,"38,096,344.65","38,096,344.65","38,000,000.00",,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,"21,558,279.14","30,064,598.28","10,618,133.00",,,"328,464.12","6,200,000.00","1,217,326.00","1,615,750.00","1,965,750.00","14,223,800.00",,,,"5,484,900.00","80,000,000.00","187,876,977.05"
取得投资收益收到的现金,"113,233.26","8,323.29",,,,,,,,,,,,,"1,000,000.00","1,240,794.52","2,117,517.82",,,,"486,328.49","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00",,
筹资活动现金流出小计,"2,928,672.00","21,365,588.00","32,938,277.78","18,237,204.44","18,224,404.44","16,000,000.00","20,175,788.12","65,727,986.37","33,841,669.91","65,982,833.33","82,582,005.16","198,564,760.98","193,083,080.18","100,675,361.41","151,275,284.44","233,885,036.45","336,669,871.35","35,124,247.84","122,894,901.16","134,604,276.17","242,796,992.16","21,121,575.01","111,009,335.68","111,898,669.02","213,799,971.31","207,140,436.59","437,005,448.13"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"256,675.92",,,,,,,,,,,,,"8,547.01","10,100.00",30.00,940.17,940.17,"3,510.00",,"533,604.21","544,979.54","1,171,459.00",,"68,000.00"
筹资活动产生的现金流量净额,"-2,928,672.00","39,994,412.00","-12,938,277.78","242,170,495.56","242,183,295.56","10,747,525.80","10,935,437.68","8,600,022.55","42,105,855.89","10,272,666.67","104,179,454.94","119,094,484.32","221,609,573.36","-12,462,861.41","-9,249,337.26","271,916,689.08","263,864,742.72","-15,124,247.84","1,129,944,858.84","1,118,235,483.83","1,101,405,130.99","-21,121,575.01","-91,009,335.68","-51,888,669.02","97,171,928.69","-81,580,436.59","-36,865,917.13"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,"5,000,000.00","31,086,165.78","10,000,000.41","9,330,706.24","29,330,706.24","68,340,552.23",,"41,287,492.71","50,787,492.71","54,926,492.71",,"18,000,000.00"
四、汇率变动对现金的影响,,,,"-76,753.70","-103,232.01","-36,942.60",,,"-382,082.70",,"-31,098.39","-31,098.39","112,843.27",,"-10,875.71","-10,875.71","7,797.57",,"8,184.91","5,688.26","286,103.85","2,149.44","18,494.86","18,494.86","-616,404.61","-3,465.43",719.01
收到其他与投资活动有关的现金,,,"26,246,800.00",,,,,,"26,224,631.38",,"11,579,030.74","5,510,781.87","1,809,291.27","1,712,946.62",,,"1,000,000.00","1,006,110.65",,"6,000,000.00","39,150,000.00",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"16,113,233.26","22,508,323.29","26,503,475.92",,,,,,"26,224,631.38",,"49,675,375.39","43,607,126.52","39,809,291.27","1,712,946.62","1,000,000.00","6,249,341.53","34,213,783.60","11,006,141.06","9,331,646.41","35,331,646.41","107,980,390.72","1,000,000.00","42,821,096.92","52,332,472.25","57,097,951.71",,"18,068,000.00"
五、现金及现金等价物净增加额,"201,195.78","27,342,200.70","26,430,992.65","192,206,408.08","124,419,186.50","-23,463,583.65","-43,144,391.82","-67,148,869.83","-102,107,468.50","-11,768,818.98","-6,944,788.58","-5,850,227.07","-30,339,348.04","9,931,868.63","46,246,462.53","107,281,388.22","41,744,257.24","46,584,952.73","267,682,297.89","237,729,081.74","192,643,283.04","150,522,325.93","200,184,468.80","254,129,113.34","73,000,997.43","-23,547,519.06","-211,389,413.45"
购建固定资产、无形资产和其他长期资产支付的现金,"1,128,224.87","30,562,143.86","22,728,814.99","11,651,497.05","59,010,623.18","47,063,196.74","77,234,232.36","139,641,581.10","166,884,238.48","28,017,338.59","59,898,077.82","84,321,795.28","88,462,968.99","4,466,966.49","11,939,058.84","16,309,145.98","30,531,150.40","6,034,469.50","1,688,205.41","2,345,448.17","11,995,431.83","3,252,649.00","5,161,790.18","11,709,739.82","15,697,165.21","2,082,898.24","4,958,344.35"
期初现金及现金等价物余额,"1,742,481.65","1,943,677.43","29,285,878.13","55,716,870.78","55,716,870.78","180,136,057.28","180,136,057.28","180,286,796.66","180,136,057.28","103,553,326.76","69,858,803.03","69,858,803.03","69,858,803.03","59,761,936.61","39,519,454.99","39,519,454.99","39,519,454.99","81,263,712.23","81,263,712.23","81,263,712.23","81,263,712.23","273,906,995.27","273,906,995.27","273,906,995.27","273,906,995.27","347,007,991.70","346,907,992.70"
投资支付的现金,"3,000,000.00","22,500,000.00",,,,,,,"38,000,000.00",,,"6,800,000.00","17,700,000.00",,"2,500,000.00","2,500,000.00","2,500,000.00",,,,"32,376,500.00","49,000,000.00","49,000,000.00","48,136,588.96","48,055,185.00","67,300,000.00","67,300,000.00"
期末现金及现金等价物余额,"1,943,677.43","29,285,878.13","55,716,870.78","247,923,278.86","180,136,057.28","156,672,473.63","136,991,665.46","113,137,926.83","78,028,588.78","91,784,507.78","62,914,014.45","64,008,575.96","39,519,454.99","69,693,805.24","85,765,917.52","146,800,843.21","81,263,712.23","127,848,664.96","348,946,010.12","318,992,793.97","273,906,995.27","424,429,321.20","474,091,464.07","528,036,108.61","346,907,992.70","323,460,472.64","135,518,579.25"
