科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"35,291,388.74","76,096,347.34","56,659,289.25","86,617,391.18","121,228,167.28","44,412,596.18","83,279,271.95","126,255,654.92","174,031,977.82","63,000,442.77","121,128,025.28","182,783,323.73","250,080,004.53","84,863,140.05","160,698,384.19","240,107,009.64","324,516,156.01","107,064,816.59","202,525,488.18","312,122,833.05","420,407,117.97","143,481,622.86","265,089,717.56","396,757,592.39","532,064,725.29","150,276,156.05","273,269,957.54","400,196,459.90","530,091,915.48","155,287,809.40","292,838,124.94","434,731,873.73","580,509,771.12","172,818,560.43","313,956,737.30","453,958,302.12","605,743,217.76","173,115,513.22","320,039,537.66","452,293,922.51","600,975,663.90","168,660,392.44","303,009,704.81"
取得借款收到的现金,"5,000,000.00","25,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000.00","200,000,000.00","350,000,000.00",,"250,000,000.00","350,000,000.00","550,000,000.00",,"200,000,000.00","208,000,000.00","250,000,000.00",,,"130,900,000.00","150,000,000.00",,"300,000,000.00"
支付的各项税费,"37,391,554.98","68,131,658.77","44,337,826.49","56,031,052.03","78,022,718.59","37,436,094.57","55,289,212.81","72,503,457.86","105,109,955.39","44,745,724.37","69,010,469.65","97,590,090.79","136,219,180.09","71,857,109.29","126,827,457.90","161,826,739.52","211,100,154.62","77,070,187.51","133,984,060.46","180,493,375.26","263,605,177.05","120,157,993.58","194,652,311.48","260,383,848.84","338,552,643.07","83,577,411.20","179,920,713.21","224,165,573.40","273,219,314.24","81,410,971.57","123,221,730.36","162,839,181.36","212,661,848.24","61,416,410.04","103,861,815.35","125,317,824.30","138,733,117.82","24,661,525.23","52,938,496.33","68,657,453.38","94,095,570.94","40,790,437.22","61,150,705.55"
收到其他与筹资活动有关的现金,,,"2,000,000.00","8,694,546.25","6,694,546.25",,"48,138,270.24","51,218,985.78",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,290,000.00","1,290,000.00",,,,,,,"33,510,400.00"
支付其他与经营活动有关的现金,"116,641,090.48","208,795,786.25","99,679,882.02","153,915,111.73","218,070,353.68","98,837,552.29","134,117,717.64","224,487,033.32","292,222,177.75","86,876,829.74","187,067,538.75","298,304,353.15","441,951,017.18","141,094,396.08","253,638,981.25","415,472,365.23","532,232,547.10","282,089,985.57","563,302,033.83","696,472,844.08","964,909,589.86","200,495,829.49","492,572,852.84","665,116,630.27","1,103,564,120.32","190,761,436.37","371,411,498.43","607,451,042.25","828,181,528.17","244,538,178.61","430,106,554.55","663,271,477.80","806,793,656.73","212,657,803.01","419,956,404.76","639,783,322.23","967,986,232.94","181,321,313.78","391,217,987.72","690,772,072.87","897,685,714.32","267,649,061.62","437,368,037.61"
筹资活动现金流入小计,"11,000,000.00","31,000,000.00","2,000,000.00","311,600,000.00","309,600,000.00",,"48,138,270.24","57,098,985.78","14,280,000.00",,,,,,,,"442,059,992.84",,,"32,048,946.00","32,048,946.00","20,000,000.00","20,000,000.00","20,000,000.00","4,500,000.00",,"50,000,000.00","200,700,000.00","355,200,000.00",,"250,000,000.00","350,000,000.00","551,100,000.00","540,385,825.92","740,455,825.92","748,455,825.92","795,845,825.92","980,000.00","4,429,600.00","135,329,600.00","155,429,200.00",,"333,510,400.00"
经营活动现金流出小计,"963,081,882.05","2,001,040,646.97","1,328,090,940.14","1,957,356,611.98","2,726,031,338.86","953,566,717.43","1,698,670,296.63","2,558,604,235.57","3,511,608,748.56","1,248,413,460.76","2,330,910,624.80","3,469,757,502.19","4,888,907,003.43","1,791,500,380.14","3,124,984,312.49","4,604,591,524.60","6,274,788,028.01","2,107,520,241.14","3,856,416,656.88","5,660,768,810.60","7,598,543,398.23","2,465,301,292.00","4,459,040,166.44","6,446,915,055.69","8,318,718,134.04","2,327,061,831.62","4,175,735,593.80","6,168,934,837.80","7,530,976,944.06","2,094,203,555.60","3,970,802,755.07","5,800,394,030.24","7,383,461,360.59","2,242,364,854.46","4,014,027,017.40","5,785,164,830.05","7,558,883,838.01","2,126,139,625.26","3,728,230,398.58","5,865,818,392.41","7,749,944,457.12","2,104,688,401.14","3,824,301,748.10"
偿还债务支付的现金,"36,930,000.00","51,930,000.00",,"10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"50,000,000.00","100,000,000.00",,"150,000,000.00","250,000,000.00","250,000,000.00","320,000,000.00","500,000,000.00","600,000,000.00","649,500,000.00","109,000,000.00","176,600,000.00","200,000,000.00","200,000,000.00",,
经营活动产生的现金流量净额,"-21,263,425.18","74,751,454.63","27,383,701.98","127,777,835.76","156,779,830.73","30,920,050.53","20,825,872.90","144,335,940.03","218,621,167.27","182,346,743.43","88,417,947.01","321,106,267.61","298,859,047.71","242,017,237.38","157,561,382.65","466,200,371.07","484,556,100.47","71,994,632.56","-85,895,939.48","224,805,000.82","463,154,108.74","49,789,969.25","-189,576,944.58","-13,062,870.59","175,707,997.61","-56,062,767.52","-221,437,102.35","-280,060,305.42","-215,825,929.49","3,007,133.64","-142,740,754.01","-73,342,523.79","-88,326,002.73","-66,822,460.77","-198,000,441.26","-80,071,117.14","-168,445,179.43","91,452,649.74","82,770,355.02","98,773,989.87","-1,291,834.80","15,564,619.94","-2,148,273.07"
分配股利、利润或偿还利息支付的现金,"44,588,785.67","45,239,288.80","330,315.00","364,610.00","364,610.00",,"26,720,000.00","74,816,000.00","74,816,000.00",,"10,688,000.00","10,688,000.00","10,688,000.00",,"16,032,000.00","16,032,000.00","16,032,000.00",,"28,565,321.32","28,565,321.32","28,565,321.32",,"32,490,118.46","32,490,118.46","32,490,118.46",,"530,833.34","2,445,266.69","5,046,077.82","3,454,455.61","7,239,963.27","11,720,266.80","16,064,757.13","5,153,581.27","8,138,379.91","9,988,900.77","14,120,395.58","1,201,639.17","1,488,503.52","1,488,503.52","3,186,803.94","1,631,250.00","4,060,000.00"
收回投资收到的现金,"28,677,313.76","28,677,313.76",,,,,,,,,,,,,,,,,,,,,,,"9,000,000.00",,,"14,400,000.00","16,200,000.00",,,,,,,"789,067,333.35","834,067,333.35","134,500,000.00","155,588,000.00","274,590,330.00","366,108,000.00",,
支付其他与筹资活动有关的现金,,,,"5,603,117.10","6,694,546.25",,"48,521,770.32","51,630,206.90",,,,,,,,,"1,936,426.52",,,,,,,,,,,,,,,,,,"1,290,000.00","1,290,000.00","1,547,828.92",,,,,,
取得投资收益收到的现金,"38,835,901.63","38,371,807.63",,,,,,,,,,,,,,,,,,,,,,,,,,"1,800,000.00",,,"19,500,000.00","19,500,000.00","19,500,000.00",,,,"99,726.03","1,811,287.66","2,675,698.61","6,973,324.18","6,973,324.18",,
筹资活动现金流出小计,"81,518,785.67","97,169,288.80","330,315.00","15,967,727.10","17,059,156.25",,"75,241,770.32","126,446,206.90","74,816,000.00",,"10,688,000.00","10,688,000.00","10,688,000.00",,"16,032,000.00","16,032,000.00","17,968,426.52",,"28,565,321.32","28,565,321.32","28,565,321.32",,"32,490,118.46","32,490,118.46","32,490,118.46",,"530,833.34","52,445,266.69","105,046,077.82","3,454,455.61","157,239,963.27","261,720,266.80","266,064,757.13","325,153,581.27","509,428,379.91","611,278,900.77","665,168,224.50","110,201,639.17","178,088,503.52","201,488,503.52","203,186,803.94","1,631,250.00","4,060,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"99,413.32","120,277.20","68,153.83","72,146.83","127,870.33","36,593.96","4,922,143.96","4,922,693.96","4,975,144.95","21,049.85","35,179.35","69,380.15","161,311.40","171,608.20","346,828.70","538,831.26","581,689.05","568,999.70","594,514.13","767,433.46","1,122,559.47","71,291.28","225,021.18","460,577.13","944,011.96","212,835.04","479,246.26","495,725.51","263,617.82","585,725.86","707,313.46","938,532.06","3,147,281.05","121,635.95","205,109.72","222,024.78","1,114,890.46","1,134,007.37","1,852,751.09","219,202.04","1,241,251.68","63,282.41","116,071.44"
筹资活动产生的现金流量净额,"-70,518,785.67","-66,169,288.80","1,669,685.00","295,632,272.90","292,540,843.75",,"-27,103,500.08","-69,347,221.12","-60,536,000.00",,"-10,688,000.00","-10,688,000.00","-10,688,000.00",,"-16,032,000.00","-16,032,000.00","424,091,566.32",,"-28,565,321.32","3,483,624.68","3,483,624.68","20,000,000.00","-12,490,118.46","-12,490,118.46","-27,990,118.46",,"49,469,166.66","148,254,733.31","250,153,922.18","-3,454,455.61","92,760,036.73","88,279,733.20","285,035,242.87","215,232,244.65","231,027,446.01","137,176,925.15","130,677,601.42","-109,221,639.17","-173,658,903.52","-66,158,903.52","-47,757,603.94","-1,631,250.00","329,450,400.00"
处置子公司及其他营业单位收到的现金净额,,,,"7,000,000.00","8,940,243.81",,,,,,,,"12,477,884.73",,,,,,,,,,,,,,,,"6,053,426.26",,,,,"196,466.52","1,381,516.31","1,381,516.31",,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"58,000,000.00","58,000,000.00",,,,,,,,,,,,,,,,,,"100,000,000.00",,,,,"74,000,000.00",,,,"11,561,200.00",,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"125,612,628.71","125,169,398.59","68,153.83","7,072,146.83","9,068,114.14","36,593.96","4,922,143.96","4,922,693.96","4,975,144.95","21,049.85","35,179.35","69,380.15","12,639,196.13","171,608.20","346,828.70","538,831.26","581,689.05","568,999.70","594,514.13","100,767,433.46","1,122,559.47","71,291.28","225,021.18","460,577.13","83,944,011.96","212,835.04","479,246.26","16,695,725.51","34,078,244.08","585,725.86","20,207,313.46","20,438,532.06","22,647,281.05","318,102.47","1,586,626.03","790,670,874.44","835,281,949.84","137,445,295.03","160,116,449.70","281,782,856.22","374,322,575.86","63,282.41","116,071.44"
五、现金及现金等价物净增加额,"-12,386,278.75","67,465,154.92","8,286,730.29","362,317,313.38","324,457,357.55","-31,069,307.56","-127,607,757.54","-75,515,618.52","-92,677,323.66","95,326,516.53","-79,085,219.99","122,763,510.40","-2,026,098.24","220,451,974.00","58,165,613.81","328,101,753.23","578,418,663.45","-80,121,838.77","-366,228,470.59","19,999,862.98","146,288,791.76","-34,029,448.00","-349,458,525.14","-431,029,432.93","-397,412,201.24","-98,627,967.70","-324,654,305.18","-335,167,824.70","-273,070,204.62","-51,745,982.42","-133,561,306.11","-94,482,308.52","-99,980,281.32","-3,286,889.92","-140,946,057.47","73,715,465.62","-37,495,540.16","18,815,790.55","25,027,291.00","237,258,809.22","142,037,045.92","-103,899,575.74","192,372,149.92"
购建固定资产、无形资产和其他长期资产支付的现金,"46,216,696.61","66,286,409.50","20,834,810.52","68,164,942.11","111,501,431.07","62,025,952.05","82,005,010.75","111,179,767.82","211,490,372.31","86,041,276.75","152,850,346.35","183,704,137.36","270,000,962.08","21,736,871.58","83,710,597.54","122,605,449.10","205,810,692.39","144,685,471.03","244,361,723.92","291,056,195.98","259,402,266.73","103,890,708.53","129,616,483.28","216,537,021.01","339,984,092.35","42,778,035.22","153,165,615.75","220,057,978.10","329,476,441.39","51,884,386.31","103,787,902.29","129,858,049.99","155,186,802.51","25,473,300.13","48,038,212.11","66,839,740.69","87,788,435.85","20,860,515.05","44,200,610.20","77,139,133.35","103,236,091.20","17,896,228.09","35,046,048.45"
期初现金及现金等价物余额,"45,147,577.23","45,147,577.23","112,612,732.15","112,612,732.15","112,612,732.15","438,570,089.70","437,070,089.70","437,070,089.70","437,070,089.70","344,392,766.04","344,392,766.04","344,392,766.04","344,392,766.04","342,366,667.80","342,366,667.80","342,366,667.80","342,366,667.80","920,785,331.25","920,785,331.25","920,785,331.25","921,057,994.52","1,067,346,786.28","1,067,346,786.28","1,067,346,786.28","1,067,346,786.28","673,934,585.04","669,934,585.04","669,934,585.04","669,934,585.04","396,864,380.42","396,864,380.42","396,864,380.42","396,864,380.42","296,884,099.10","296,884,099.10","296,884,099.10","296,884,099.10","259,388,558.94","259,388,558.94","259,388,558.94","259,388,558.94","401,425,604.86","401,425,604.86"
投资支付的现金,,,,,,,,,,"1,000,000.00","1,000,000.00",,,,,,"25,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","32,400,000.00",,"18,000,000.00","189,400,000.00","268,300,000.00",,,,"12,000,000.00",,,,"164,150,000.00",,"980,000.00","580,680,000.00","620,680,000.00","80,000,000.00",,,"80,000,000.00","100,000,000.00","100,000,000.00"
期末现金及现金等价物余额,"32,761,298.48","112,612,732.15","120,899,462.44","474,930,045.53","437,070,089.70","407,500,782.14","309,462,332.16","361,554,471.18","344,392,766.04","439,719,282.57","265,307,546.05","467,156,276.44","342,366,667.80","562,818,641.80","400,532,281.61","670,468,421.03","920,785,331.25","840,663,492.48","554,556,860.66","940,785,194.23","1,067,346,786.28","1,033,317,338.28","717,888,261.14","636,317,353.35","669,934,585.04","575,306,617.34","345,280,279.86","334,766,760.34","396,864,380.42","345,118,398.00","263,303,074.31","302,382,071.90","296,884,099.10","293,597,209.18","155,938,041.63","370,599,564.72","259,388,558.94","278,204,349.49","284,415,849.94","496,647,368.16","401,425,604.86","297,526,029.12","593,797,754.78"
