科目,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付给职工以及为职工支付的现金,"19,939,263.08","25,576,464.33",,"40,739,120.75","22,816,129.59",,"54,659,136.89","75,794,545.99","33,712,475.79","55,102,033.09","73,413,203.68","103,106,903.07","48,935,206.08","74,495,411.88","98,830,201.18","135,839,079.99","72,601,562.80","103,450,774.01","135,516,459.22","176,958,335.57","81,451,275.49"
取得借款收到的现金,"86,907,777.64","78,839,160.35",,"135,086,434.00","54,968,891.36",,"167,063,581.37","180,679,953.78","55,974,173.28","83,478,660.73","83,478,660.73",,"29,328,530.00","29,328,530.00","29,328,530.00","28,789,790.00","30,266,610.00","30,266,610.00","30,266,610.00","31,989,430.00",
支付的各项税费,"20,079,551.45","22,715,140.21",,"46,017,258.99","9,779,972.44",,"39,387,850.94","58,390,077.54","23,056,058.15","50,361,608.03","71,152,160.89","102,175,725.84","21,549,673.65","46,042,324.90","71,606,386.71","110,843,846.63","26,957,550.82","62,511,124.04","84,379,298.43","123,837,327.74","31,547,326.70"
收到其他与筹资活动有关的现金,"7,159,687.50",,,"7,249,083.33",,,,"42,000,000.00","39,440,000.00","28,000,000.00","48,000,000.00","38,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,"10,149,450.00","10,149,450.00","15,427,850.00",
支付其他与经营活动有关的现金,"14,802,999.00","15,026,698.87",,"22,224,827.32","3,840,645.77",,"13,514,893.07","23,851,787.67","2,067,210.74","6,499,440.43","10,917,983.80","30,478,130.55","793,126.76","3,960,083.75","6,363,033.38","44,840,639.56","2,000,723.30","2,163,843.83","3,955,686.99","43,288,472.92","1,193,142.79"
筹资活动现金流入小计,"94,067,465.14","78,839,160.35",,"142,335,517.33","54,968,891.36",,"572,063,581.37","623,299,792.97","95,414,173.28","111,478,660.73","131,478,660.73","75,988,104.06","39,328,530.00","39,328,530.00","39,328,530.00","28,789,790.00","30,266,610.00","40,416,060.00","743,791,458.94","749,698,831.56",
经营活动现金流出小计,"225,831,156.64","194,464,145.55",,"278,110,783.21","85,138,154.69",,"248,444,261.31","336,742,193.08","120,979,803.32","236,189,418.88","319,744,328.78","450,608,519.25","141,270,640.54","260,626,652.49","365,555,531.65","517,267,650.86","198,341,423.00","338,692,227.65","463,800,299.13","645,170,483.10","212,473,639.74"
偿还债务支付的现金,"55,057,239.15","70,554,714.70",,"97,008,586.74","54,074,582.31",,"146,693,559.21","198,636,032.97","85,638,270.29","113,142,757.74","140,609,682.31","57,131,021.58","29,328,530.00","29,328,530.00","29,328,530.00","29,328,530.00","30,266,610.00","30,266,610.00","30,278,933.76","29,957,880.00","32,206,730.00"
经营活动产生的现金流量净额,"40,790,235.62","61,529,356.76","42,893,017.50","84,572,861.78","22,562,466.11","53,291,906.36","82,170,765.58","150,090,270.77","4,968,484.27","8,870,105.87","105,889,302.86","126,892,735.56","57,091,477.99","103,085,784.87","220,825,310.73","221,243,578.52","65,392,046.91","187,527,118.97","297,930,665.34","361,534,531.98","99,752,954.27"
分配股利、利润或偿还利息支付的现金,"1,255,330.10","2,899,984.28",,"3,382,801.33","1,490,866.21",,"4,957,194.28","4,720,655.98","560,579.13","22,345,598.07","22,610,108.37","22,754,653.73","148,769.63","71,468,614.76","71,611,518.04","71,545,797.92","38,392.53","149,933,289.14","150,068,316.47","150,186,319.73","110,157.46"
收回投资收到的现金,"3,000,000.00",,,,,,,,"150,000,000.00","359,000,000.00","359,000,000.00","401,392,630.15","78,000,000.00","168,000,000.00","438,000,000.00","772,428,901.62","40,000,000.00","240,000,000.00","240,000,000.00","403,317,898.66","640,000,000.00"
支付其他与筹资活动有关的现金,"7,159,687.50","249,083.33",,"10,000,000.00","28,000,000.00",,"60,585,271.38","70,000,000.00","10,000,000.00",,,"10,000,000.00","10,025,290.91","10,162,382.73","10,186,060.99","149,450.00","17,036.98","171,906.73","576,438.39",,"190,786.33"
取得投资收益收到的现金,,,,,,,,,"1,295,698.63","1,906,136.99","2,181,671.25",,"442,476.73","1,019,367.14","2,918,312.32",,"243,616.44","1,941,986.30","1,941,986.30",,"4,112,904.12"
筹资活动现金流出小计,"63,472,256.75","73,703,782.31",,"110,391,388.07","83,565,448.52",,"212,236,024.87","273,356,688.95","96,198,849.42","135,488,355.81","163,219,790.68","89,885,675.31","39,502,590.54","110,959,527.49","111,126,109.03","101,023,777.92","30,322,039.51","180,371,805.87","180,923,688.62","180,144,199.73","32,507,673.79"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"65,000.00",,,"129,520.86","129,520.86",,,"37,126.00","189,464.84",,"13,180.00","13,180.00","537,651.94",,"33,803.00","68,803.00","387,406.62",
筹资活动产生的现金流量净额,"30,595,208.39","5,135,378.04","2,534,907.14","31,944,129.26","-28,596,557.16","-13,234,802.87","359,827,556.50","349,943,104.02","-784,676.14","-24,009,695.08","-31,741,129.95","-13,897,571.25","-174,060.54","-71,630,997.49","-71,797,579.03","-72,233,987.92","-55,429.51","-139,955,745.87","562,867,770.32","569,554,631.83","-32,507,673.79"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"482,084.75","1,849,685.71",,"-164,064.91","-2,782,181.28",,"-444,061.41","385,222.80","-1,841,676.70","-1,890,731.55","-2,486,921.05","-2,547,515.55","-145,327.64","-128,991.93","-171,488.77","1,022,524.93","18,315.96","-275,038.42","-325,998.89","-554,570.67","185,494.42"
收到其他与投资活动有关的现金,,"1,627,200.00",,,"690,750.00",,"690,750.00","690,750.00",,"1,440,000.00","1,440,000.00","1,440,000.00",,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,000,000.00","1,627,200.00",,"65,000.00","690,750.00",,"820,270.86","820,270.86","151,295,698.63","362,346,136.99","362,658,797.25","403,022,094.99","78,442,476.73","169,032,547.14","440,931,492.32","772,966,553.56","40,243,616.44","241,975,789.30","242,010,789.30","403,705,305.28","644,112,904.12"
五、现金及现金等价物净增加额,"-16,375,586.13","122,277.34","24,590,210.71","50,320,481.69","-21,463,896.84","-16,234,719.79","390,517,196.38","272,766,027.13","107,639,119.31","69,105,835.32","143,019,848.36","148,279,722.22","-12,338,130.56","-192,526,431.65","-36,995,565.03","-3,069,559.11","-134,360,510.45","1,555,726.51","625,985,542.10","327,697,931.25","208,531,837.72"
购建固定资产、无形资产和其他长期资产支付的现金,"91,243,114.89","69,328,593.17",,"64,657,444.44","13,338,374.51",,"51,847,480.75","78,472,841.32","15,998,710.75","27,209,980.91","42,300,200.75","76,190,021.53","19,552,697.10","79,884,774.24","108,783,300.28","158,068,228.20","39,959,060.25","87,716,397.47","116,497,683.97","186,541,967.17","33,011,841.30"
期初现金及现金等价物余额,"76,658,125.62","60,282,539.49",,"60,404,816.83","110,725,298.52",,"110,725,298.52","110,725,298.52","383,491,325.65","383,491,325.65","383,491,325.65","383,491,325.65","531,771,047.87","531,771,047.87","531,771,047.87","531,771,047.87","528,701,488.76","528,701,488.76","528,701,488.76","528,701,488.76","856,399,420.01"
投资支付的现金,,,,,,,,"150,000,000.00","30,000,000.00","249,000,000.00","249,000,000.00","289,000,000.00","128,000,000.00","313,000,000.00","518,000,000.00","768,000,000.00","200,000,000.00","200,000,000.00","360,000,000.00","820,000,000.00","470,000,000.00"
期末现金及现金等价物余额,"60,282,539.49","60,404,816.83",,"110,725,298.52","89,261,401.68",,"501,242,494.90","383,491,325.65","491,130,444.96","452,597,160.97","526,511,174.01","531,771,047.87","519,432,917.31","339,244,616.22","494,775,482.84","528,701,488.76","394,340,978.31","530,257,215.27","1,154,687,030.86","856,399,420.01","1,064,931,257.73"
