科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"114,096,005.02","125,749,660.82","162,011,373.38","141,879,790.26","189,635,191.45","81,332,572.29","133,320,933.35","173,520,436.58","234,519,756.97","83,762,575.45","133,983,262.28","185,624,342.00","246,167,001.13","77,178,227.04","127,444,859.21","175,233,152.29","444,079,080.87","111,156,748.93","186,276,659.04","258,151,806.29","345,113,467.90","113,267,916.65","197,445,710.57","268,374,571.32","359,303,259.08","111,470,763.56","187,182,213.04","257,451,943.53","333,453,526.25"
取得借款收到的现金,,,,"306,120,000.00","419,000,000.00",,,,,,,,,,,,,,"200,000,000.00","200,000,000.00","300,000,000.00","695,875,000.00","695,875,000.00","695,875,000.00","695,875,000.00",,,,
支付的各项税费,"172,465,202.01","218,287,394.48","239,304,820.10","130,002,391.52","244,122,571.55","65,443,676.04","127,778,247.96","159,238,575.05","272,044,871.56","42,325,748.82","113,682,645.12","153,964,511.22","250,753,803.65","51,084,596.45","102,941,567.69","141,060,997.59","339,938,739.92","90,480,706.87","154,576,185.61","196,198,949.23","304,747,318.83","63,194,651.12","132,846,506.22","162,137,432.07","259,569,285.38","58,783,616.94","106,827,995.23","136,030,224.31","234,916,353.64"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"199,433,189.57","232,821,975.21","402,667,809.16","333,743,597.90","470,122,961.49","118,151,719.72","219,816,481.16","326,475,756.62","439,576,401.60","94,676,308.65","182,498,491.54","335,356,994.50","445,589,228.81","88,497,684.51","191,605,334.32","321,923,192.85","521,966,983.90","126,800,710.88","298,315,743.93","440,325,562.27","575,408,906.49","164,811,035.14","251,047,853.83","419,040,513.28","485,888,778.09","182,034,568.58","319,628,937.33","513,822,727.06","579,371,959.37"
筹资活动现金流入小计,,,,"403,010,904.00","515,890,904.00",,"637,445,756.46","637,445,756.46","648,449,000.00",,,,,,,,"500,479,994.29","-720,000.00","199,280,000.00","199,280,000.00","300,000,000.00","695,875,000.00","695,875,000.00","695,875,000.00","695,875,000.00",,,,
经营活动现金流出小计,"3,019,421,605.68","3,367,893,563.17","4,392,194,982.58","3,896,816,914.31","5,441,005,555.76","1,561,808,721.05","2,846,754,687.52","3,870,035,418.36","5,521,770,159.53","1,476,925,888.36","2,760,187,421.80","3,788,317,160.26","5,333,411,863.95","1,260,784,062.64","2,387,552,156.83","3,387,968,384.63","6,932,178,360.38","1,766,455,204.99","3,353,842,696.64","4,643,106,152.77","6,315,344,523.27","1,690,608,380.51","3,039,829,314.43","4,376,296,127.38","5,987,137,218.56","1,587,747,878.23","2,973,198,462.20","4,181,105,002.21","5,795,384,564.33"
偿还债务支付的现金,,,,,,"19,000,000.00","419,000,000.00","419,000,000.00","419,000,000.00",,,,,,,,,,,,,"200,000,000.00","300,000,000.00","450,000,000.00","450,000,000.00",,,,
经营活动产生的现金流量净额,"380,981,965.20","243,727,029.60","297,823,182.92","283,863,468.11","407,803,700.94","168,551,224.64","102,705,601.81","436,963,529.91","508,204,467.98","230,998,487.59","124,455,800.89","228,879,971.37","168,691,500.31","40,560,384.38","13,842,222.28","54,984,449.53","48,097,572.21","50,381,133.52","-11,913,997.89","144,986,571.59","239,277,444.16","17,489,342.53","62,275,828.29","130,755,276.87","214,921,501.65","-6,969,679.05","-11,078,780.71","177,039,810.04","135,348,392.75"
分配股利、利润或偿还利息支付的现金,"57,302,978.37","168,932,000.00","42,789,700.00","49,394,467.05","54,966,651.44","7,161,698.00","12,494,292.50","38,416,770.33","39,003,692.50",,"60,941,252.41","60,948,752.41","61,724,950.00",,"54,875,858.81","55,567,950.00","55,579,950.00",,"957,611.67","86,501,180.01","89,958,229.12","3,376,808.34","79,642,882.75","80,536,007.75","80,536,007.75","16,500,000.00","80,260,456.55","80,260,456.55","80,276,806.64"
收回投资收到的现金,"200,000,000.00","150,000,000.00",,,,,,,,,,,,,"105,000,000.00","325,000,000.00","1,894,600,000.00","150,000,000.00","395,000,000.00","570,000,000.00","1,130,000,000.00","180,000,000.00","385,000,000.00","490,000,000.00","722,000,000.00",,"235,000,000.00","362,370,575.90","840,016,993.76"
支付其他与筹资活动有关的现金,,,,,,,,,"6,198,243.54",,,,,,"2,000,000.00","2,450,000.00","4,256,552.69",,,,"720,000.00","120,000.00","120,000.00","360,800.00","360,800.00",,,,
取得投资收益收到的现金,"12,742,000.00","11,170,000.00","1,080,000.00","1,080,000.00","1,080,000.00","1,080,000.00","1,080,000.00","1,080,000.00","1,080,000.00",,"1,080,000.00","1,080,000.00","1,080,000.00","1,080,000.00","1,636,178.08","3,654,526.03","23,544,764.94","3,671,979.26","5,901,486.11","9,070,979.26","31,723,023.18","2,648,568.18","4,164,383.25","9,769,201.24","56,008,054.32","1,080,000.00","4,719,668.15","17,789,656.54","56,834,575.38"
筹资活动现金流出小计,"57,302,978.37","168,932,000.00","42,789,700.00","49,394,467.05","54,966,651.44","26,161,698.00","431,494,292.50","457,416,770.33","464,201,936.04",,"60,941,252.41","60,948,752.41","61,724,950.00",,"56,875,858.81","58,017,950.00","59,836,502.69",,"957,611.67","86,501,180.01","90,678,229.12","203,496,808.34","379,762,882.75","530,896,807.75","530,896,807.75","16,500,000.00","80,260,456.55","80,260,456.55","80,276,806.64"
处置固定资产、无形资产和其他长期资产收回的现金净额,"295,901.06","349,722.92","45,947,098.40",,,,,,"3,205.00","72,000.00","72,594.32","72,594.32","72,594.32",,,,"166,074.87",85.00,"24,050.00","25,370.00","27,071.00",500.00,600.00,"1,360.00","385,760.00",225.50,"151,402.50","1,027,632.50","2,255,418.16"
筹资活动产生的现金流量净额,"-57,302,978.37","-168,932,000.00","-42,789,700.00","353,616,436.95","460,924,252.56","-26,161,698.00","205,951,463.96","180,028,986.13","184,247,063.96",,"-60,941,252.41","-60,948,752.41","-61,724,950.00",,"-56,875,858.81","-58,017,950.00","440,643,491.60","-720,000.00","198,322,388.33","112,778,819.99","209,321,770.88","492,378,191.66","316,112,117.25","164,978,192.25","164,978,192.25","-16,500,000.00","-80,260,456.55","-80,260,456.55","-80,276,806.64"
处置子公司及其他营业单位收到的现金净额,,,,,"15,829,600.00",,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"31,419,619.37","360,842,532.25",,,,,,,,,,,"5,328,411.11",,"20,000,000.00","20,000,000.00","52,000,000.00",,"15,646,000.00","15,633,000.00","15,646,000.00",,"13,461,000.00","13,461,000.00","65,291,000.00",,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"244,457,520.43","522,362,255.17","47,027,098.40","1,080,000.00","16,909,600.00","1,080,000.00","1,080,000.00","1,080,000.00","1,083,205.00","72,000.00","1,152,594.32","1,152,594.32","6,481,005.43","1,080,000.00","126,636,178.08","348,654,526.03","1,970,310,839.81","153,672,064.26","416,571,536.11","594,729,349.26","1,177,396,094.18","182,649,068.18","402,625,983.25","513,231,561.24","843,684,814.32","1,080,225.50","239,871,070.65","381,187,864.94","899,106,987.30"
五、现金及现金等价物净增加额,"522,559,916.59","-128,959,113.42","-265,497,025.71","318,443,163.70","-9,780,620.60","128,730,030.87","288,859,963.22","591,047,214.31","551,173,027.47","220,372,314.31","-21,208,856.03","69,476,663.70","-72,171,168.07","-13,240,425.55","-132,908,569.79","-97,469,024.89","20,102,897.94","-141,883,244.37","-35,431,662.29","-135,526,789.86","208,563,589.31","-148,533,773.57","-195,272,465.62","-255,281,533.71","-31,341,235.89","-203,432,006.77","-256,858,055.08","-137,367,953.02","112,416,648.50"
购建固定资产、无形资产和其他长期资产支付的现金,"45,012,935.23","370,116,398.19","567,557,607.03","320,116,741.36","887,518,174.10","14,736,563.25","20,877,102.55","27,025,301.73","142,361,709.47","10,698,173.28","85,875,998.83","99,607,149.58","105,618,723.81","4,880,809.93","6,511,111.34","8,090,050.45","57,649,405.68","15,216,442.15","18,411,588.84","27,571,530.70","56,981,719.91","1,050,375.94","6,286,394.41","9,296,564.07","37,975,744.11","1,042,553.22","5,389,888.47","12,335,171.45","18,761,924.91"
期初现金及现金等价物余额,"307,062,903.20","829,622,819.79","700,663,706.37","435,166,680.66","435,166,680.66","425,386,060.06","425,386,060.06","425,386,060.06","425,386,060.06","976,559,087.53","976,559,087.53","976,559,087.53","976,559,087.53","904,387,919.46","904,387,919.46","904,387,919.46","1,111,859,358.93","1,402,856,685.55","1,131,962,256.87","1,131,962,256.87","1,131,962,256.87","1,340,525,846.18","1,340,525,846.18","1,340,525,846.18","1,340,525,846.18","1,309,184,610.29","1,309,184,610.29","1,309,184,610.29","1,309,184,610.29"
投资支付的现金,,"150,000,000.00",,,,,,,,,,,,"50,000,000.00","210,000,000.00","435,000,000.00","1,994,600,000.00","330,000,000.00","620,000,000.00","960,450,000.00","1,360,450,000.00","840,000,000.00","970,000,000.00","1,054,950,000.00","1,216,950,000.00","180,000,000.00","400,000,000.00","603,000,000.00","823,000,000.00"
期末现金及现金等价物余额,"829,622,819.79","700,663,706.37","435,166,680.66","753,609,844.36","425,386,060.06","554,116,090.93","714,246,023.28","1,016,433,274.37","976,559,087.53","1,196,931,401.84","955,350,231.50","1,046,035,751.23","904,387,919.46","891,147,493.91","771,479,349.67","806,918,894.57","1,131,962,256.87","1,260,973,441.18","1,096,530,594.58","996,435,467.01","1,340,525,846.18","1,191,992,072.61","1,145,253,380.56","1,085,244,312.47","1,309,184,610.29","1,105,752,603.52","1,052,326,555.21","1,171,816,657.27","1,421,601,258.79"
