科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
一年内到期的非流动负债,,,"4,000,000.00","31,500,000.00","32,000,000.00","27,647,497.50","12,500,000.00","8,500,000.00"
其他流动资产,"2,711,597.49","6,775,949.56","7,033,456.18","8,771,931.16","8,766,460.66","15,799,542.80","13,176,995.01","20,214,484.39"
其他流动负债,,,,,,,,
流动资产合计,"173,540,204.42","222,956,419.01","315,543,114.51","532,981,924.56","596,604,132.84","653,246,700.97","592,084,150.66","625,802,018.07"
流动负债合计,"117,552,693.62","144,500,257.86","165,509,685.54","236,550,901.73","312,626,934.96","355,311,761.62","315,266,173.27","386,425,252.26"
可供出售金融资产,,,,,,,,
长期借款,,"9,500,000.00","42,000,000.00","13,000,000.00","20,900,000.00","29,900,000.00","45,900,000.00","58,800,000.00"
持有至到期投资,,,,,,,,
应付债券,,,,,,,,
长期应收款,,,,,,,,
长期应付款,,"7,053,468.50","3,315,840.46","2,340,838.54",,,,
长期股权投资,,,,,,,,
专项应付款,,,,,,,,
投资性房地产,,,,,,,,
预计负债,"1,620,461.97","1,928,143.66","2,508,145.20","2,150,350.17","2,249,630.87","2,169,302.07","3,741,096.32","3,675,325.44"
固定资产,"55,598,799.83","71,253,378.78","65,152,386.92","59,059,030.45","61,064,614.91","59,937,797.93","72,975,124.38","70,226,764.50"
递延所得税负债,,,,,,,,
在建工程,"19,594,510.93","10,821,204.36","17,199,439.68","19,114,121.34","26,481,656.18","37,862,522.76","65,075,286.99","120,797,048.06"
其他非流动负债,,,,"13,462,400.00",,,,
工程物资,,,,,,,,
非流动负债合计,"7,120,461.97","28,198,396.95","62,294,015.11","30,953,588.71","36,612,030.87","45,531,702.07","70,071,415.32","81,340,269.89"
固定资产清理,,,,,,,,
负债合计,"124,673,155.59","172,698,654.81","227,803,700.65","267,504,490.44","349,238,965.83","400,843,463.69","385,337,588.59","467,765,522.15"
生产性生物资产,,,,,,,,
实收资本(或股本),"56,000,000.00","56,000,000.00","56,000,000.00","74,680,000.00","74,680,000.00","74,680,000.00","74,680,000.00","74,680,000.00"
油气资产,,,,,,,,
资本公积,"33,633,290.94","33,633,290.94","33,633,290.94","187,895,892.31","186,587,646.66","186,587,646.66","188,259,288.56","188,259,288.56"
无形资产,"21,363,266.76","29,400,355.01","28,765,179.39","28,664,729.86","47,920,464.48","49,957,559.48","49,598,906.03","49,692,313.67"
盈余公积,"8,721,896.35","12,664,887.19","17,791,304.42","17,791,304.42","17,791,304.42","17,791,304.42","23,371,157.16","23,371,157.16"
开发支出,,,,,,,,
减:库存股,,,,,,,,
商誉,,,,,,,,
未分配利润,"49,925,431.43","64,211,104.44","96,994,394.26","97,747,711.81","109,791,948.11","127,850,908.41","130,216,291.17","134,185,925.77"
长期待摊费用,"1,220,040.18","1,370,721.28","1,003,793.17","891,535.90","779,278.63","734,309.65","821,685.30","1,675,319.41"
少数股东权益,,,,,,"133,860.49","149,184.82","117,384.74"
递延所得税资产,"782,939.88","3,591,515.74","5,023,448.45","5,473,142.92","5,779,105.33","6,635,606.41","6,322,755.78","6,445,850.85"
外币报表折算价差,,,,,,,,
其他非流动资产,"1,453,900.00","333,000.00",,,,,"15,334,159.03","13,953,190.55"
非正常经营项目收益调整,,,,,,,,
非流动资产合计,"100,013,457.58","116,770,175.17","117,144,247.61","113,202,560.47","142,025,119.53","155,127,796.23","210,127,917.51","262,790,487.04"
所有者权益(或股东权益)合计,"148,880,506.41","167,027,939.37","204,883,661.47","378,679,994.59","389,390,286.54","407,531,033.51","416,874,479.58","420,826,982.96"
资产总计,"273,553,662.00","339,726,594.18","432,687,362.12","646,184,485.03","738,629,252.37","808,374,497.20","802,212,068.17","888,592,505.11"
负债和所有者(或股东权益)合计,"273,553,662.00","339,726,594.18","432,687,362.12","646,184,485.03","738,629,252.37","808,374,497.20","802,212,068.17","888,592,505.11"
