科目,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动现金流入小计,"8,093,339,553.04","3,961,540,000.00","9,756,332,233.97","12,033,200,000.00","13,311,919,327.86","13,801,919,327.86","17,246,649,327.86","576,500,000.00","4,784,964,878.96","5,978,712,484.49","12,527,268,669.05","595,000,170.57","4,279,548,023.70","8,142,450,000.00","10,509,450,000.00","1,076,000,000.00","3,419,150,000.00","6,206,150,000.00","7,751,850,000.00","783,000,000.00","3,301,450,000.00","6,787,450,000.00","9,928,700,000.00","18,000,000.00","1,904,450,000.00","2,804,250,000.00","5,856,352,000.00","1,747,000,000.00","3,152,050,000.00","5,380,050,000.00","9,485,997,200.00","450,000,000.00","2,258,445,128.00","4,258,445,128.00","7,200,395,123.75","663,390,000.00","563,394,872.00"
经营活动现金流出小计,"9,626,310,456.80","3,382,906,483.45","7,733,166,487.39","2,246,945,434.66","4,215,635,688.45","6,375,113,566.96","6,008,905,718.03","1,603,580,370.75","3,625,933,036.47","4,837,831,309.05","7,125,660,551.84","1,706,169,169.92","3,503,920,200.26","4,782,224,155.59","6,989,934,524.44","1,774,732,377.97","3,121,662,496.38","3,881,601,512.66","4,377,136,399.78","1,624,535,671.47","3,553,376,760.78","7,363,858,983.52","7,177,755,440.18","1,165,226,376.55","2,261,219,625.30","3,092,621,478.80","5,212,818,733.77","1,864,977,873.03","3,219,460,319.54","4,045,938,497.85","5,437,629,188.19","1,187,679,323.12","3,195,087,859.05","4,493,475,495.53","7,727,633,755.69","2,578,384,560.94","5,078,517,411.26"
偿还债务支付的现金,"4,593,666,796.10","2,643,302,035.11","6,455,264,918.82","7,024,642,840.00","8,334,092,167.86","9,127,392,167.86","12,591,453,626.27","60,000,000.00","3,118,450,000.00","4,418,600,000.00","8,838,100,000.00","576,976,076.28","4,316,366,692.75","5,932,268,087.85","7,985,218,669.05","1,050,000,000.00","3,388,450,000.00","6,428,450,000.00","8,451,150,000.00","362,000,000.00","1,976,150,000.00","4,200,150,000.00","4,326,150,000.00","368,000,000.00","2,474,450,000.00","3,864,450,000.00","6,506,450,000.00","1,068,000,000.00","2,614,450,000.00","4,958,940,000.00","10,780,548,308.24","450,000,000.00","839,800,000.00","3,359,800,000.00","6,580,750,000.00","141,000,000.00","384,650,000.00"
经营活动产生的现金流量净额,"-1,140,645,965.91","-985,381,206.28","-1,762,057,475.06","-668,915,184.31","-1,238,362,658.80","-1,515,301,547.40","-1,707,481,760.26","-976,441,173.32","-1,255,393,984.46","-1,207,678,718.76","-1,644,269,313.33","-570,978,123.60","-1,152,870,225.33","-1,688,091,479.24","-1,874,189,067.99","-710,698,326.87","-153,312,584.44","-465,035,541.26","1,484,656,667.22","-734,785,890.38","-853,735,486.99","-1,844,942,091.03","-2,294,449,001.32","-302,713,667.01","-408,064,927.25","-310,861,281.87","-428,867,167.14","-1,515,385,220.06","-1,713,257,003.11","-1,580,639,314.96","500,340,658.34","-36,827,892.58","995,629,823.48","812,535,291.18","983,430,764.31","-28,663,694.05","-627,131,939.30"
分配股利、利润或偿还利息支付的现金,"373,830,384.56","213,440,979.57","456,830,691.82","97,616,017.64","145,586,714.02","195,176,598.95","246,855,761.16","51,462,966.27","112,884,260.14","313,940,607.24","409,711,940.35","80,819,211.34","158,899,334.35","261,843,406.76","464,539,386.77","70,597,341.03","142,676,282.25","349,782,116.37","558,123,342.43","66,749,088.66","137,324,666.97","360,219,540.91","660,959,618.26","135,874,630.30","269,138,241.80","502,930,802.99","751,167,222.82","104,429,495.75","232,917,618.96","459,453,359.96","688,372,840.85","117,815,319.66","268,665,993.90","479,817,888.65","673,939,802.08","133,166,848.61","276,678,765.59"
收回投资收到的现金,,,,,,,,,,,,"2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","850,000,000.00","850,000,000.00","1,479,600,000.00","1,377,600,000.00","2,790,400,000.00","21,300,000.00","155,600,000.00",,,"3,893,700,000.00","3,893,700,000.00",,,,,,,,,,,
支付其他与筹资活动有关的现金,"710,000,000.00","361,400,000.00","379,897,317.69","4,632,890.02","4,632,890.02","4,632,890.02","566,032,890.02",,"3,325,000.00","3,375,000.00",,,,"12,500,000.00","12,500,000.00",,,,,,,,,,,,"500,000,000.00",,,,,,,,,,
取得投资收益收到的现金,,,"380,000.00",,,"951,815.29","951,815.29",,"5,272.00","5,272.00","5,272.00",,,"422,920.75","29,335,998.62",,"17,089,282.35","38,284,224.36","65,935,044.27","14,170,748.82","21,273,611.64","29,864,722.09","58,633,581.96","37,129,395.07","74,814,998.60","98,446,921.28","111,790,214.40","3,837,922.54","7,503,529.71","10,137,884.21","11,238,897.56","332,133.78","352,877.89","928,174.90","943,133.60","5,095.83","277,724.88"
筹资活动现金流出小计,"5,677,497,180.66","3,218,143,014.68","7,291,992,928.33","7,126,891,747.66","8,484,311,771.90","9,327,201,656.83","13,404,342,277.45","111,462,966.27","3,234,659,260.14","4,735,915,607.24","9,247,811,940.35","657,795,287.62","4,475,266,027.10","6,206,611,494.61","8,462,258,055.82","1,120,597,341.03","3,531,126,282.25","6,778,232,116.37","9,009,273,342.43","428,749,088.66","2,113,474,666.97","4,560,369,540.91","4,987,109,618.26","503,874,630.30","2,743,588,241.80","4,367,380,802.99","7,757,617,222.82","1,172,429,495.75","2,847,367,618.96","5,418,393,359.96","11,468,921,149.09","567,815,319.66","1,108,465,993.90","3,839,617,888.65","7,254,689,802.08","274,166,848.61","661,328,765.59"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,661,167.00",,"164,128.46",,"1,664,084.00","1,664,084.00","1,664,084.00",,"709,246.15","950,976.92","950,976.92",,,,"35,000.00",,,,,,,"252,450.98","298,582,100.98",,"58,700.00","58,700.00","1,662,100.00","719,820.00","719,820.00","719,820.00",,,"117,000.00","117,000.00","367,560.00",,700.00
筹资活动产生的现金流量净额,"2,415,842,372.38","743,396,985.32","2,464,339,305.64","4,906,308,252.34","4,827,607,555.96","4,474,717,671.03","3,842,307,050.41","465,037,033.73","1,550,305,618.82","1,242,796,877.25","3,279,456,728.70","-62,795,117.05","-195,718,003.40","1,935,838,505.39","2,047,191,944.18","-44,597,341.03","-111,976,282.25","-572,082,116.37","-1,257,423,342.43","354,250,911.34","1,187,975,333.03","2,227,080,459.09","4,941,590,381.74","-485,874,630.30","-839,138,241.80","-1,563,130,802.99","-1,901,265,222.82","574,570,504.25","304,682,381.04","-38,343,359.96","-1,982,923,949.09","-117,815,319.66","1,149,979,134.10","418,827,239.35","-54,294,678.33","389,223,151.39","-97,933,893.59"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,"20,139,392.71",,,,,,,,,,,,,,,,,,,,,,,,,,"80,520,650.00"
四、汇率变动对现金的影响,"-13,462,793.81","1,245,559.46","-52,510.47",,"-26,535,862.04","-18,783,671.04","-10,151,559.52","4,135,860.80","3,014,302.56","-7,868,822.99","-11,619,466.10","3,650,104.73","2,558,222.15","-6,271,352.10","7,166,707.55","-4,897,333.67","-7,817,554.44","-5,902,211.71","-4,897,713.97","2,759,110.78","2,184,004.43","-5,372,790.32","-21,441,562.38","-11,017,461.62","-10,272,061.97","9,133,369.99","26,934,897.82","-721,964.61","7,974,686.77","6,699,129.99","12,769,549.81","-240,588.74","1,312,814.77","1,038,796.65","291,678.85","-535,444.51","-532,015.56"
收到其他与投资活动有关的现金,"463,540,740.74","24,480,000.00","151,500,000.00",,,,"35,244,125.26",,,,"732,950,000.00",,"238,683,900.00","238,683,900.00","269,464,563.34",,,,,,,,"580,227,711.06","825,000,000.00",,,"3,903,900,000.00","1,750,270,000.00","1,750,270,000.00","1,750,270,000.00","3,197,270,000.00","30,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00",,"2,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"465,201,907.74","24,480,000.00","152,044,128.46",,"1,664,084.00","2,615,899.29","37,860,024.55",,"714,518.15","956,248.92","754,045,641.63","2,000,000,000.00","2,238,683,900.00","2,239,106,820.75","2,298,835,561.96","850,000,000.00","867,089,282.35","1,517,884,224.36","1,443,535,044.27","2,804,570,748.82","42,573,611.64","185,717,173.07","937,443,394.00","862,129,395.07","3,968,573,698.60","3,992,205,621.28","4,017,352,314.40","1,754,827,742.54","1,758,493,349.71","1,761,127,704.21","3,208,508,897.56","30,332,133.78","45,469,877.89","46,045,174.90","46,310,693.60","5,095.83","82,799,074.88"
五、现金及现金等价物净增加额,"11,158,605.09","-646,293,592.45","-65,443,396.70","4,091,553,205.05","2,444,187,601.68","1,584,153,136.75","1,259,944,855.78","-760,822,029.91","-132,311,209.14","-794,163,400.89","-710,678,821.04","1,080,640,134.29","474,086,616.18","279,843,334.61","950,922,487.37","-1,056,485,501.39","-676,801,979.78","-831,059,286.06","802,552,811.38","-452,870,061.40","-469,251,331.58","-541,730,924.25","-1,288,049,452.61","-37,100,814.28","-398,882,831.30","141,311,499.18","-221,029,136.29","421,295,164.36","-458,919,543.83","-415,252,751.75","-246,486,110.12","-225,754,957.29","1,886,039,416.68","848,416,682.79","532,119,476.86","237,275,162.63","-905,871,722.57"
购建固定资产、无形资产和其他长期资产支付的现金,"1,243,196,915.31","430,034,930.95","907,716,845.27","145,839,862.98","558,785,517.44","797,695,215.13","902,588,899.40","253,553,751.12","387,170,719.24","778,588,040.34","1,054,376,704.32","139,236,729.79","417,063,277.24","500,739,160.19","678,082,658.33","236,292,499.82","79,184,841.00","114,323,641.08","309,417,843.71","109,664,941.96","92,548,793.69","228,213,675.06","415,099,203.70","99,624,450.42","101,992,698.88","213,746,807.23","162,625,358.55","18,995,897.76","93,622,958.24","118,396,911.03","507,991,266.74","54,203,290.09","306,352,233.56","430,029,819.29","443,618,981.57","122,753,946.03","132,672,949.00"
期初现金及现金等价物余额,"2,288,802,589.82","2,299,961,194.91","2,299,961,194.91","2,234,517,798.21","2,280,417,798.21","2,380,417,798.21","2,234,517,798.21","3,494,462,653.99","3,494,462,653.99","3,494,462,653.99","3,494,462,653.99","2,783,783,832.95","2,783,783,832.95","2,783,783,832.95","2,783,783,832.95","3,734,706,320.32","3,734,706,320.32","3,734,706,320.32","3,734,706,320.32","4,537,259,131.70","4,537,259,131.70","4,537,259,131.70","4,537,259,131.70","3,249,209,679.09","3,249,209,679.09","3,249,209,679.09","3,249,209,679.09","3,028,180,542.80","3,028,180,542.80","3,028,180,542.80","3,028,180,542.80","2,781,694,432.68","2,781,694,432.68","2,781,694,432.68","2,781,694,432.68","3,313,813,909.54","3,313,813,909.54"
投资支付的现金,,,"12,000,000.00",,"561,400,000.00","561,400,000.00",,,,,"2,000,000,000.00","150,000,000.00",,"1,700,000,000.00","850,000,000.00","910,000,000.00","1,191,600,000.00","1,191,600,000.00","553,900,000.00","2,770,000,000.00","755,700,000.00","876,000,000.00","12,000,000.00",,"2,995,700,000.00","1,760,000,000.00","22,288,600.00",,,,"190,000.00",,,,,,
期末现金及现金等价物余额,"2,299,961,194.91","1,653,667,602.46","2,234,517,798.21","6,326,071,003.26","4,724,605,399.89","3,964,570,934.96","3,494,462,653.99","2,733,640,624.08","3,362,151,444.85","2,700,299,253.10","2,783,783,832.95","3,864,423,967.24","3,257,870,449.13","3,063,627,167.56","3,734,706,320.32","2,678,220,818.93","3,057,904,340.54","2,903,647,034.26","4,537,259,131.70","4,084,389,070.30","4,068,007,800.12","3,995,528,207.45","3,249,209,679.09","3,212,108,864.81","2,850,326,847.79","3,390,521,178.27","3,028,180,542.80","3,449,475,707.16","2,569,260,998.97","2,612,927,791.05","2,781,694,432.68","2,555,939,475.39","4,667,733,849.36","3,630,111,115.47","3,313,813,909.54","3,551,089,072.17","2,407,942,186.97"
