科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付其他与经营活动有关的现金,"4,784,523.17","5,025,772.96","8,881,248.72","5,704,760.43","9,599,266.79","16,737,249.29","13,660,829.59","3,296,146.22","7,162,601.96","11,655,290.57","15,787,007.65","7,737,500.70","12,595,817.99","17,385,713.74","20,882,018.18","4,949,761.91","9,794,045.73","57,335,401.38","113,416,396.28","22,089,257.86","60,944,711.03","92,229,340.55","207,356,436.71","23,533,710.19","58,852,057.90","90,829,264.16","163,544,593.00"
筹资活动现金流入小计,,"5,000,000.00",,,"176,184,761.43","176,184,761.43","183,839,400.00",,,,,"3,358,783.48","31,711,723.48","31,711,723.48","71,711,723.48",,,"546,829,410.25","437,724,847.66","74,111,639.88","294,838,662.45","342,850,054.80","1,071,464,969.00",,"300,191,373.36","445,154,661.76","488,030,243.59"
经营活动现金流出小计,"60,930,715.39","76,039,269.08","99,711,057.07","33,140,359.38","64,550,005.97","95,354,861.52","121,819,322.97","27,636,847.37","60,636,333.31","104,171,199.47","135,224,060.90","33,046,139.15","72,372,198.77","117,035,101.79","158,297,628.66","37,331,665.61","74,763,433.22","983,666,318.50","785,134,101.40","264,340,716.26","550,357,897.87","888,486,364.74","1,455,336,441.15","250,971,238.60","602,631,441.18","1,063,224,145.01","1,204,157,035.19"
偿还债务支付的现金,,"5,000,000.00",,,,,,,,,,,,,,,,"94,738,933.73","117,982,075.11","86,089,910.50","182,665,319.31","335,089,571.52","360,449,042.21","76,069,363.28","270,527,270.03","355,101,534.22","462,625,230.94"
经营活动产生的现金流量净额,"19,484,395.04","30,957,081.64","25,822,676.84","-10,942,589.17","1,735,151.96","1,870,049.65","8,603,904.51","2,967,144.95","15,887,556.89","17,039,804.40","28,862,816.71","1,424,351.00","3,195,079.02","8,710,366.68","31,541,500.67","7,325,035.19","10,400,635.95","35,856,676.66","40,129,511.37","29,271,073.90","3,011,209.91","99,622,465.28","329,786,391.59","14,050,117.15","-33,191,654.24","21,312,224.10","180,274,622.00"
分配股利、利润或偿还利息支付的现金,"15,848,000.00","3,162,395.00",,,,"25,330,905.05","26,670,000.00",,"10,263,534.11","10,263,534.11","10,263,534.11",,"5,334,000.00","5,334,000.00","5,557,100.00","669,300.01","8,080,887.48","14,571,247.74","11,229,609.74","2,410,609.82","12,923,144.35","26,911,145.05","30,515,510.51","4,607,931.12","41,352,078.73","45,645,387.28","48,030,469.65"
收回投资收到的现金,,,,,,,,,,,,,"20,000,000.00","22,934,937.84","30,000,000.00","40,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00",,"23,238,950.52","23,238,950.52","23,138,950.52",,,,"13,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"5,454,957.37",,,,,,,"2,934,937.84",,,"708,950.00","135,118,327.77","448,950.00","32,200,005.00","33,827,499.83","53,201,941.91","9,894,955.47","17,131,739.34","729,424.88","899,994.62","710,753,217.02"
取得投资收益收到的现金,,,,,,,,,,,,,"153,289.40","153,289.40","153,289.40","598,356.16","1,118,378.69","1,118,378.69","1,118,378.69","5,113.60",34.25,34.25,,,,,"68,254.79"
筹资活动现金流出小计,"15,848,000.00","8,162,395.00",,,,"25,330,905.05","32,124,957.37",,"10,263,534.11","10,263,534.11","10,263,534.11",,"5,334,000.00","8,268,937.84","5,557,100.00","669,300.01","8,789,837.48","244,428,509.24","129,660,634.85","120,700,525.32","229,415,963.49","415,202,658.48","400,859,508.19","97,809,033.74","312,608,773.64","401,646,916.12","1,221,408,917.61"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,"37,500.00","37,500.00",,,"9,184.00","9,184.00","56,400.00","2,723,100.00","4,273,185.00","4,273,185.00",,"21,500.00","29,500.00","632,500.00",,"60,000.00","60,100.00","63,100.00",,"4,463.40","4,899.70","10,962.70"
筹资活动产生的现金流量净额,"-15,848,000.00","-3,162,395.00",,,"176,184,761.43","150,853,856.38","151,714,442.63",,"-10,263,534.11","-10,263,534.11","-10,263,534.11","3,358,783.48","26,377,723.48","23,442,785.64","66,154,623.48","-669,300.01","-8,789,837.48","302,400,901.01","308,064,212.81","-46,588,885.44","65,422,698.96","-72,352,603.68","670,605,460.81","-97,809,033.74","-12,417,400.28","43,507,745.64","-733,378,674.02"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,"61,348.60",,,,,,,
四、汇率变动对现金的影响,600.34,"-144,639.62","-224,514.32","-24,300.80","-21,060.82","-12,775.33","76,756.72","-67,733.49","-28,642.82","22,224.77","-10,620.04","13,387.49","-96,933.49","-88,393.09","-151,755.90","82,986.30","85,315.28","127,460.04","501,025.04","208,033.13","456,844.47","431,276.83","626,921.60","-144,568.13","-298,327.98","-677,999.21","-900,303.14"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,"37,500.00","37,500.00",,,"9,184.00","9,184.00","56,400.00","22,876,389.40","27,361,412.24","34,426,474.40","40,598,356.16","81,139,878.69","81,147,878.69","81,750,878.69","66,462.20","23,298,984.77","23,299,084.77","23,202,050.52",,"4,463.40","4,899.70","13,079,217.49"
五、现金及现金等价物净增加额,"1,184,706.60","17,917,960.78","18,742,744.04","-11,564,766.81","176,875,139.76","149,381,757.13","129,715,314.24","-18,654,503.61","-48,244,081.65","-81,843,014.74","-93,912,967.07","-2,940,498.63","5,262,240.36","-8,968,862.52","-10,155,858.77","3,856,851.02","36,870,962.55","89,466,614.68","132,250,298.78","-71,706,501.38","5,129,066.92","-76,297,120.66","785,930,106.01","-147,656,384.22","-215,688,878.95","-218,393,145.25","-877,335,261.07"
购建固定资产、无形资产和其他长期资产支付的现金,"2,452,288.78","9,732,086.24","6,855,418.48","597,876.84","1,023,712.81","3,366,873.57","30,717,289.62","21,553,915.07","53,201,961.61","87,375,693.80","101,387,126.86","7,793,420.60","27,090,018.05","48,395,033.99","82,126,701.42","3,480,226.62","5,965,029.89","20,312,915.19","55,323,917.68","54,563,185.17","86,960,670.19","127,197,342.86","238,290,717.51","63,752,899.50","169,785,959.85","233,180,015.48","240,623,608.84"
期初现金及现金等价物余额,"7,690,657.69","8,875,364.29","26,793,325.07","45,536,069.11","45,536,069.11","45,536,069.11","45,536,069.11","175,251,383.35","175,484,478.40","175,484,478.40","175,251,383.35","91,345,632.98","81,338,416.28","91,345,008.66","81,338,416.28","71,185,150.21","71,182,557.51","129,100,235.88","71,182,557.51","203,479,804.31","203,432,856.29","203,432,856.29","203,432,856.29","989,362,962.30","989,362,962.30","1,004,774,545.26","989,362,962.30"
投资支付的现金,,,,,,,,,"637,500.00","1,275,000.00","10,000,000.00",,"20,000,000.00","20,000,000.00","60,000,000.00","40,000,000.00","40,000,000.00","308,000,000.00","50,000,000.00","100,000.00","100,000.00","100,000.00",,,,"45,360,000.00","103,720,000.00"
期末现金及现金等价物余额,"8,875,364.29","26,793,325.07","45,536,069.11","33,971,302.30","222,411,208.87","194,917,826.24","175,251,383.35","156,596,879.74","127,240,396.75","93,641,463.66","81,338,416.28","88,405,134.35","86,600,656.64","82,376,146.14","71,182,557.51","75,042,001.23","108,053,520.06","218,566,850.56","203,432,856.29","131,773,302.93","208,561,923.21","127,135,735.63","989,362,962.30","841,706,578.08","773,674,083.35","786,381,400.01","112,027,701.23"
