科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动现金流入小计,"55,000,000.00","100,291,448.91","34,225,531.93","98,079,513.58","74,740,000.00","496,015,000.00","496,705,000.00","31,650,000.00","91,650,000.00","207,946,982.79","256,691,713.47","400,000.00","204,437,633.73","392,437,633.73","492,437,633.73","53,000,000.00","139,788,857.75","314,096,282.09","480,604,723.45","78,148,365.11","144,948,365.11","419,547,865.11","792,158,365.11","220,438,229.65","378,288,000.00","521,129,611.00","893,594,811.00","320,000,000.00","486,951,000.00","679,151,000.00","1,053,235,403.54","127,500,000.00","380,380,000.00","789,380,000.00","972,180,000.00","163,200,000.00","338,200,000.00"
经营活动现金流出小计,"238,495,230.11","367,634,212.26","167,284,142.56","303,251,181.24","172,366,596.03","307,179,093.23","386,656,299.90","75,202,758.24","161,282,063.02","316,829,347.52","429,239,065.14","79,898,151.08","174,976,052.25","310,101,564.60","536,060,879.05","172,893,020.95","180,075,798.21","398,305,520.85","569,679,484.34","172,722,834.51","310,884,532.04","516,426,419.67","725,771,943.27","199,177,404.92","455,595,466.91","691,820,791.15","768,279,960.60","310,061,137.69","605,578,051.51","758,421,808.79","896,299,672.86","240,483,505.80","499,449,906.22","729,927,263.13","791,094,117.53","182,270,832.00","392,671,256.68"
偿还债务支付的现金,"20,000,000.00","46,646,754.12","31,754,534.70","112,044,208.37","56,180,000.00","56,180,000.00","85,095,000.00",,"50,700,000.00","131,441,234.61","175,949,011.40","65,079,394.84","145,942,702.07","240,136,601.61","388,880,335.80","63,000,000.00","168,000,000.00","287,332,908.39","351,548,742.12","90,547,539.97","198,612,764.97","305,204,346.44","703,424,346.44","129,494,516.67","280,303,333.33","352,964,833.33","699,552,839.77","303,860,000.00","423,532,698.05","689,432,698.05","893,164,688.58","120,930,000.00","297,050,000.00","577,450,000.00","515,986,505.75","239,000,000.00","385,000,000.00"
经营活动产生的现金流量净额,"15,810,306.78","52,121,891.33","-15,530,633.39","35,681,047.00","-25,267,517.74","-119,398,144.40","-118,888,253.20","-17,338,338.97","-30,019,843.67","-39,708,782.28","-54,155,332.34","29,116,679.07","36,862,244.32","27,449,458.88","-71,691,565.94","-73,398,358.36","10,461,023.32","-105,965,569.44","-89,741,570.42","-46,577,067.75","26,111,370.30","-40,266,586.47","-10,464,370.24","-51,985,460.05","-82,166,481.73","-62,073,709.81","-43,956,790.55","61,771,473.93","-44,968,833.59","9,631,725.61","-12,233,441.83","-2,814,250.48","-56,804,512.97","-71,393,957.86","80,986,081.56","74,782,469.89","128,327,376.26"
分配股利、利润或偿还利息支付的现金,"7,034,031.25","3,232,063.39","1,678,629.73","5,154,029.48","2,498,051.50","3,761,691.47","5,283,620.01","1,974,312.50","4,275,106.99","6,986,158.11","10,426,704.60","3,330,680.62","6,170,203.91","10,036,806.40","14,793,589.21","3,240,879.20","8,186,111.42","17,349,454.60","32,948,922.89","5,959,042.48","12,172,392.97","17,206,530.35","21,993,346.76","2,583,020.90","7,793,786.27","24,069,597.92","31,967,083.10","5,286,257.84","29,777,320.54","34,455,039.87","38,042,976.66","4,076,317.51","7,674,223.76","87,769,075.57","90,399,830.98","2,674,839.17","35,534,822.52"
收回投资收到的现金,"2,318,423.60","2,000,000.00","2,000,000.00","2,042,022.43",,"2,000,000.00","6,700,000.00",,"5,000,000.00","5,000,000.00","17,900,000.00","4,000,000.00","4,000,000.00","6,000,000.00","6,000,000.00",,"24,145,085.56","1,000,000.00","2,500,000.00",,"33,100.50","33,100.50","33,100.50",,,,"1,284,000.00",,"300,000.00","300,000.00",,,,"2,000,000.00","34,829,000.00","200,000.00","70,150,000.00"
支付其他与筹资活动有关的现金,,,"500,000.00","2,130,000.00","1,313,426.10","22,105,504.90","10,670,261.27",,,,,,,,,,,,,,,,,,,,"54,807,000.00",,,,"209,482,000.00",,,,"423,550,000.00",,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000.00","1,342,111.78","1,001,802.74","1,234,890.98"
筹资活动现金流出小计,"27,034,031.25","49,878,817.51","33,933,164.43","119,328,237.85","59,991,477.60","82,047,196.37","101,048,881.28","1,974,312.50","54,975,106.99","138,427,392.72","186,375,716.00","68,410,075.46","152,112,905.98","250,173,408.01","403,673,925.01","66,240,879.20","176,186,111.42","304,682,362.99","384,497,665.01","96,506,582.45","210,785,157.94","322,410,876.79","725,417,693.20","132,077,537.57","288,097,119.60","377,034,431.25","786,326,922.87","309,146,257.84","453,310,018.59","723,887,737.92","1,140,689,665.24","125,006,317.51","304,724,223.76","665,219,075.57","1,029,936,336.73","241,674,839.17","420,534,822.52"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"257,304.39","1,109,378.32",,,,,,,,,"40,000.00","40,000.00","40,000.00",,,,"15,000.00","5,000.00","5,000.00","5,000.00","5,000.00",,,,"700,000.00","160,000.00","160,200.00","160,200.00","402,673.43","3,416,000.00","3,475,000.00","3,475,000.00","3,625,000.00",,
筹资活动产生的现金流量净额,"27,965,968.75","50,412,631.40","292,367.50","-21,248,724.27","14,748,522.40","413,967,803.63","395,656,118.72","29,675,687.50","36,674,893.01","69,519,590.07","70,315,997.47","-68,010,075.46","52,324,727.75","142,264,225.72","88,763,708.72","-13,240,879.20","-36,397,253.67","9,413,919.10","96,107,058.44","-18,358,217.34","-65,836,792.83","97,136,988.32","66,740,671.91","88,360,692.08","90,190,880.40","144,095,179.75","107,267,888.13","10,853,742.16","33,640,981.41","-44,736,737.92","-87,454,261.70","2,493,682.49","75,655,776.24","124,160,924.43","-57,756,336.73","-78,474,839.17","-82,334,822.52"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,823,018.50","124,949,631.24",,,,,,
四、汇率变动对现金的影响,-97.94,-189.26,-0.52,"-1,122.29","-62,550.72","-70,991.17","-74,534.27",-26.33,-60.02,-106.37,-143.12,12.68,24.83,"-2,487.29","-2,487.29","-9,781.56","-9,781.56","-9,781.56","-225,285.64",,"185,533.05","44,707.96","-144,925.81",,,,,,"2,488.12","-141,409.10","73,936.65",,,,,,
收到其他与投资活动有关的现金,,,,,,,,,"26,248,977.00","7,255,072.00","27,920,000.00",,,,"374,500.00",,,,"600,000.00",,,,"1,030,000.00",,,,"11,150,000.00",,,,"19,610,000.00",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,318,423.60","2,000,000.00","2,257,304.39","3,151,400.75",,"2,000,000.00","6,700,000.00",,"31,248,977.00","12,255,072.00","45,820,000.00","4,000,000.00","4,040,000.00","6,040,000.00","6,414,500.00",,"24,145,085.56","1,000,000.00","3,115,000.00","5,000.00","38,100.50","38,100.50","1,068,100.50",,,,"13,134,000.00","160,000.00","460,200.00","25,283,218.50","144,962,304.67","3,416,000.00","3,475,000.00","6,475,000.00","39,796,111.78","1,201,802.74","71,384,890.98"
五、现金及现金等价物净增加额,"20,424,425.71","39,558,475.14","-27,364,389.82","2,849,669.11","-25,303,003.19","271,392,722.67","249,345,172.86","-801,307.80","-25,250,654.41","-89,091,972.04","-86,346,320.29","-43,561,878.10","67,918,641.82","102,623,432.38","-77,628,560.55","-108,346,819.87","-119,983,443.32","-161,894,761.87","-81,150,943.30","-67,349,149.29","-55,025,124.43","761,996.05","-48,812,050.38","31,569,795.66","12,642,163.89","82,055,203.61","5,038,368.92","67,651,365.18","-16,859,369.32","-16,445,403.82","25,527,742.65","-18,232,005.63","-1,025,947.80","9,497,212.01","-3,202,775.51","-33,336,867.85","-11,167,169.80"
购建固定资产、无形资产和其他长期资产支付的现金,"18,670,175.48","29,081,648.45","11,883,427.80","12,232,932.08","7,721,457.13","18,105,945.39","26,048,158.39","12,138,630.00","53,037,413.73","82,857,745.46","100,026,842.30","8,668,494.39","25,308,355.08","73,127,764.93","101,112,716.04","21,697,800.75","118,182,516.97","66,333,329.97","86,106,145.68","1,418,864.20","14,523,335.45","34,491,214.26","65,039,451.54","4,805,436.37","-8,597,724.21","-4,013,692.66","40,102,267.32","5,133,850.91","5,994,205.26","6,482,200.91","5,520,795.14","7,486,037.64","9,507,811.07","14,981,754.56","16,767,895.90","2,346,301.31","3,244,614.52"
期初现金及现金等价物余额,"23,766,481.64","44,190,907.35","83,749,382.49","83,749,382.49","86,599,051.60","86,599,051.60","86,599,051.60","335,845,995.58","335,845,995.58","335,845,995.58","335,845,995.58","249,981,018.29","249,499,675.29","249,499,675.29","249,499,675.29","177,313,934.27","177,313,934.27","177,313,934.27","171,871,114.74","90,720,171.44","90,720,171.44","90,720,171.44","90,720,171.44","73,153,661.15","41,908,121.06","73,153,656.15","41,908,121.06","101,964,125.12","46,946,489.98","46,946,489.98","46,946,489.98","135,621,666.04","72,474,232.63","72,474,232.63","72,474,232.63","69,271,457.12","69,271,457.12"
投资支付的现金,"1,000,000.00","35,894,209.88","2,500,000.00","2,500,000.00","7,000,000.00","7,000,000.00","8,000,000.00","1,000,000.00","10,000,000.00","48,300,000.00","48,300,000.00",,,,,,,,"4,300,000.00","1,000,000.00","1,000,000.00","21,700,000.00","1,000,000.00",,"3,900,000.00","3,900,000.00","30,700,000.00",,,,"14,300,000.00","13,841,400.00","13,844,400.00","34,763,000.00","32,700,000.00","28,500,000.00","124,400,000.00"
期末现金及现金等价物余额,"44,190,907.35","83,749,382.49","56,384,992.67","86,599,051.60","61,296,048.41","357,991,774.27","335,944,224.46","335,044,687.78","310,595,341.17","246,754,023.54","249,499,675.29","206,419,140.19","317,418,317.11","352,123,107.67","171,871,114.74","68,967,114.40","57,330,490.95","15,419,172.40","90,720,171.44","23,371,022.15","35,695,047.01","91,482,167.49","41,908,121.06","104,723,456.81","54,550,284.95","155,208,859.76","46,946,489.98","169,615,490.30","30,087,120.66","30,501,086.16","72,474,232.63","117,389,660.41","71,448,284.83","81,971,444.64","69,271,457.12","35,934,589.27","58,104,287.32"
