科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","80,000,000.00","80,000,000.00","80,200,000.00","30,700,000.00","500,000.00","19,100,000.00","19,600,000.00","19,600,000.00","19,600,000.00","1,000,000.00","1,000,000.00","1,000,000.00",,,"12,000,000.00","12,000,000.00",,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,386,956.06","28,520,342.48","24,314,809.45","29,273,032.41","31,671,212.81","24,152,250.04","14,904,183.60","6,907,226.53","25,038,900.89","24,881,099.85","44,545,636.94","48,685,418.44","68,225,715.14","86,036,299.66"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"384,336,863.49","354,226,501.00","342,665,775.14","310,264,110.67","437,857,242.63","394,362,389.93","406,873,502.95","303,024,449.05","406,628,991.22","478,420,189.69","639,582,354.34","571,850,311.80","598,162,561.58","657,650,237.73","680,871,254.19","719,522,087.40","765,351,611.39","847,574,428.04","894,693,385.77","782,907,057.43","829,632,612.20","1,051,341,837.71","1,183,308,589.56","1,100,521,972.45","1,137,648,471.33","1,226,423,067.30","1,368,008,031.26","1,324,424,778.73","1,305,816,866.35","1,445,585,573.96","1,425,827,094.44","1,527,870,854.55","1,403,277,028.64","1,571,749,264.75","1,583,250,408.05","1,323,613,972.70","1,603,589,740.55","1,807,259,924.84","1,899,921,243.20","2,163,055,929.95","2,428,685,018.37","2,555,156,331.93","2,405,998,742.13","2,084,724,218.08","2,083,070,799.68"
流动负债合计,"162,671,871.74","175,122,445.02","163,441,736.23","123,524,645.21","248,335,743.21","342,509,545.82","338,109,201.16","216,871,693.38","199,044,068.50","291,422,029.09","479,578,165.16","379,199,110.59","389,438,808.03","465,893,224.85","450,081,333.65","455,839,246.13","485,861,629.92","627,669,733.15","639,177,239.64","546,333,880.70","582,488,726.09","508,642,228.90","614,533,725.13","597,695,997.29","624,798,620.01","684,372,875.95","783,205,386.16","767,804,045.12","776,267,082.71","890,437,768.69","831,732,267.09","765,428,924.32","628,921,918.22","890,935,794.22","927,274,400.06","609,480,483.65","817,012,670.51","1,005,122,392.51","988,650,310.92","610,407,732.36","760,888,906.81","928,955,074.73","843,377,265.43","523,481,729.18","483,560,747.45"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,255,226.42","34,255,226.42","34,255,226.42","34,255,226.42","34,255,226.42","34,255,226.42","34,255,226.42","34,255,226.42","34,255,226.42","34,255,226.42","34,255,226.42","34,255,226.42","34,255,226.42","34,255,226.42","34,255,226.42"
长期借款,,,,,,,,,,"30,000,000.00","60,000,000.00","70,000,000.00","100,000,000.00","90,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","20,000,000.00","20,000,000.00","18,600,000.00","18,600,000.00","18,600,000.00","50,000,000.00","49,000,000.00","49,000,000.00","149,000,000.00","148,000,000.00","148,000,000.00","148,000,000.00","145,000,000.00","181,900,000.00","93,000,000.00","93,000,000.00",,,,,"6,858,705.30","99,928,705.30","175,518,705.30","200,000,000.00","180,000,000.00","90,000,000.00",,
