科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
应付债券,,,"780,900,000.00","781,290,000.00","781,680,000.00","782,070,000.00","782,365,739.00","782,755,739.00","783,145,739.00","783,535,739.00","783,916,066.00","784,336,066.00","784,756,066.00","785,176,066.00","785,555,862.00","786,005,862.00","786,455,862.00","786,905,862.00","787,290,291.00","1,763,411,855.42","2,545,945,034.51","2,547,641,600.36","2,549,342,688.21","2,551,084,010.61","2,552,859,651.29","2,554,687,841.25","2,556,502,899.02","2,558,364,365.22","2,560,276,766.68","2,562,217,372.15","2,564,157,977.54","2,566,147,960.93","2,568,011,714.70","2,570,267,544.79","2,572,342,474.13","2,574,469,938.95","2,576,656,084.89","2,578,874,727.03","2,581,093,368.85","923,636,952.91","201,012,940.12","200,607,491.92","200,805,921.73"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"4,378,013.00","4,378,013.00","4,378,013.00","4,378,013.00","6,689,379.89","7,555,208.20","7,076,618.46","7,176,938.54","7,157,138.54","7,159,208.54","7,159,208.54","4,642,904.00","4,642,904.00","4,642,904.00","4,642,904.00","4,642,904.00","504,642,904.00","482,805,244.92","460,860,231.25","346,549,855.22","322,608,429.62","298,069,751.29","273,050,563.59","660,193,016.45","611,869,551.88","568,645,746.74","513,014,410.45","462,460,303.89","411,139,935.01","359,041,657.11","306,153,645.95","747,003,364.87","1,900,177,807.28","1,771,759,772.06","1,635,439,332.74","2,071,209,592.87","1,911,931,539.19","1,747,852,819.93","1,573,247,524.78","1,574,327,740.21","1,425,939,957.90","1,273,846,596.03","1,589,318,564.84"
长期股权投资,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","166,941,613.59","166,941,613.59","166,941,613.59","166,941,613.59","166,941,613.59","166,941,613.59","166,941,613.59","166,937,093.70","166,937,093.70","166,937,093.70","166,937,093.70","167,487,214.24","167,487,214.24","167,487,214.24","167,487,214.24","167,975,022.76","167,975,022.76","187,975,022.76","187,975,022.76","187,256,088.30","187,256,088.30","187,256,088.30","187,256,088.30","187,906,127.15","187,906,127.15","187,906,127.15","87,904,127.15","87,573,136.59","87,573,136.59","87,573,136.59","87,573,136.59","84,931,311.94","84,931,311.94","84,931,311.94","84,931,311.94","86,381,159.60","86,381,159.60","89,381,159.60","89,381,159.60"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"7,759,424,861.32","11,936,225,020.24","11,743,158,518.49","11,773,945,749.92","12,338,599,654.00","12,184,012,410.49","11,995,976,560.60","12,437,826,010.57","12,226,224,946.35","12,163,791,326.54","11,945,682,981.65","11,733,828,850.66","12,588,029,160.56","12,373,931,582.68","12,179,771,657.41","11,941,647,832.71","11,994,865,347.50","11,791,984,263.83","11,579,393,346.40","11,349,349,888.74","11,120,348,061.69","10,898,961,692.33","10,684,811,941.76","10,495,795,630.14","10,273,118,774.67","15,256,652,816.18","14,949,643,110.82","14,649,643,076.06","14,346,129,328.47","14,050,987,835.66","13,881,257,494.18","13,605,294,013.63","13,334,947,763.96","13,073,773,314.06","12,858,262,741.19","12,595,821,366.23","12,322,521,504.03","13,935,101,662.90","13,615,033,179.86","14,097,162,963.18","13,754,945,366.02","13,416,963,525.20","13,099,158,997.94"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,"157,178.48","157,178.48",,,,,"890,678.03","890,678.03","2,352,437.84","2,352,437.84","5,606,032.28","5,606,032.28","12,375,185.27","12,375,185.27","6,025,174.88","6,025,174.88","6,025,174.88","6,025,174.88","4,962,298.27","4,962,298.27","3,747,365.43","3,747,365.43"
在建工程,"2,642,259,171.40","251,801,893.15","404,722,601.62","412,574,584.28","584,421,607.39","862,454,791.13","1,092,884,867.20","872,063,461.26","1,029,541,327.60","1,252,249,668.70","1,476,199,193.37","1,500,710,328.89","570,926,853.86","796,218,726.16","1,047,094,599.18","1,512,616,794.79","1,735,682,130.73","2,230,521,953.63","2,917,308,597.58","4,418,130,123.99","5,053,696,802.04","5,735,149,199.14","6,052,311,118.69","6,501,322,305.66","7,147,447,502.92","2,439,438,256.57","2,603,271,495.05","2,769,059,085.80","2,990,184,102.34","2,960,509,334.48","3,026,795,517.06","3,267,024,015.88","3,348,349,855.00","3,484,944,765.91","3,669,241,508.71","3,873,739,797.39","4,044,786,588.16","2,488,949,910.77","2,610,327,400.96","1,898,438,107.98","2,076,630,830.77","2,439,596,973.13","2,934,575,151.75"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,376,666.67","30,165,001.67","29,953,336.67","29,241,671.67",,,,,,,,,,,,
工程物资,"27,889,292.60","26,967,222.56","18,574,660.43","4,360,384.93","5,089,249.64","3,327,833.57","5,160,986.84","3,809,734.95","14,039,085.41","13,835,832.61","7,089,517.96","5,587,664.49","4,216,325.74","3,319,806.37","14,741,379.98","3,365,128.11","7,547,340.65","13,573,757.51","102,907,527.59","82,793,324.30","100,263,522.82","84,516,134.90","127,948,237.54","214,334,629.35","84,502,826.87","73,846,604.60","82,425,232.25","48,841,156.74","20,726,159.10","18,115,555.76","15,170,231.99","15,616,831.76","36,943,831.71","21,057,544.53","17,453,428.70","19,610,589.29","15,227,911.53","19,987,403.79","29,334,953.70","68,070,238.38","51,999,997.35","54,098,182.50","34,114,497.10"
非流动负债合计,"2,734,378,013.00","4,024,378,013.00","4,705,278,013.00","4,435,668,013.00","4,498,369,379.89","4,239,625,208.20","4,439,442,357.46","4,509,932,677.54","5,110,302,877.54","4,620,694,947.54","4,851,075,274.54","4,758,978,970.00","5,589,398,970.00","6,369,818,970.00","6,620,198,766.00","6,466,648,766.00","6,537,098,766.00","6,065,711,106.92","5,967,150,522.25","6,537,961,710.64","6,394,053,464.13","5,006,868,530.13","5,017,550,430.28","4,417,277,027.06","4,201,729,203.17","3,915,333,587.99","3,655,517,309.47","3,486,092,013.81","3,286,472,381.39","3,135,564,803.77","3,083,905,733.00","3,527,287,364.75","4,681,613,895.93","4,471,509,178.79","4,246,552,003.81","4,677,388,053.37","4,519,584,480.63","4,357,012,738.51","4,183,914,420.18","3,635,628,678.06","2,913,702,717.96","3,385,074,810.05","4,099,631,043.67"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"9,101,478,196.78","12,164,494,012.78","13,547,414,707.80","14,075,110,496.50","16,091,479,314.95","18,937,952,760.15","18,646,096,257.54","16,723,888,687.83","17,050,965,821.85","16,960,972,348.13","16,755,535,587.81","16,252,830,495.30","19,235,851,530.29","19,671,428,033.51","20,731,170,695.05","20,631,828,261.78","21,905,922,618.87","22,230,635,599.27","21,870,899,140.72","22,171,786,415.75","23,671,539,388.08","22,705,239,302.86","23,431,597,826.08","24,882,846,161.65","25,834,353,723.58","26,927,712,526.77","25,649,381,946.11","24,433,901,891.72","25,454,933,520.31","26,148,325,373.32","25,871,654,412.07","24,515,161,820.27","25,724,758,943.98","26,258,569,532.65","26,719,113,830.36","26,811,392,819.45","26,830,014,168.65","25,981,236,159.45","26,234,249,852.75","26,879,444,943.96","27,028,202,218.29","26,946,111,143.25","26,896,786,883.29"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"2,018,235,389.00","2,018,235,389.00","2,018,235,389.00","2,018,235,389.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00","2,393,684,489.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"780,009,318.21","780,009,318.21","780,009,318.21","826,879,318.21","3,350,763,269.40","3,350,763,269.40","3,350,763,269.40","3,350,763,269.40","3,350,763,269.40","3,350,763,269.40","3,365,003,269.40","3,365,003,269.40","3,365,003,269.40","3,365,003,269.40","3,365,003,269.40","3,396,913,269.40","3,396,913,269.40","3,396,913,269.40","3,396,913,269.40","3,396,913,269.40","3,396,913,269.40","3,396,913,269.40","3,396,913,269.40","3,396,913,269.40","3,436,913,269.40","3,436,913,269.40","3,436,913,269.40","3,436,913,269.40","3,436,913,269.40","3,436,913,269.40","3,436,913,269.40","3,436,913,269.40","3,436,913,269.40","3,436,913,269.40","3,436,913,269.40","3,461,913,269.40","3,461,913,269.40","3,461,913,269.40","3,461,913,269.40","3,461,913,269.40","3,461,913,269.40","3,461,913,269.40","3,461,913,269.40"
