科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动现金流入小计,"2,754,830,024.78","2,362,403,031.96","4,423,439,897.80","3,273,496,892.10","7,152,171,502.38","2,581,110,799.15","5,370,308,245.88","7,738,787,964.48","9,906,268,965.17","2,347,084,373.19","4,828,442,390.36","7,686,276,287.17","11,084,924,454.31","2,021,317,040.49","4,474,207,837.44","7,032,053,728.16","11,676,841,326.68","3,915,229,771.98","7,616,999,071.36"
经营活动现金流出小计,"3,114,414,228.39","3,127,623,003.64","4,034,054,778.41","2,437,198,510.74","5,338,029,062.42","1,410,321,852.87","2,681,208,894.88","4,127,079,789.48","4,649,557,075.50","1,045,644,069.79","2,021,076,553.66","3,371,532,211.76","4,151,542,952.08","1,675,276,439.10","4,227,016,710.85","7,014,682,100.95","10,557,458,824.47","3,338,508,246.47","7,242,397,925.64"
偿还债务支付的现金,"2,311,826,055.60","2,048,345,418.60","2,944,474,033.28","2,046,752,995.16","5,119,488,664.81","1,607,582,770.91","3,406,183,672.56","4,626,266,662.57","6,241,424,162.24","1,947,544,634.95","3,841,637,102.35","5,978,327,518.92","9,011,113,695.26","1,420,655,181.12","2,821,795,636.33","4,382,353,784.96","7,072,094,775.47","2,107,023,501.43","5,556,741,555.93"
经营活动产生的现金流量净额,"153,366,857.09","406,354,839.66","-593,345,573.41","-274,251,994.69","-719,632,136.15","-314,818,552.48","-407,770,991.89","-653,770,244.64","-451,663,618.87","-99,053,891.31","116,423,668.43","178,323,191.06","972,520,586.08","-163,767,604.66","-620,745,660.84","-1,219,412,148.92","-1,794,532,582.53","-161,036,338.93","114,572,120.21"
分配股利、利润或偿还利息支付的现金,"60,593,116.24","66,560,835.75","113,457,469.36","76,581,383.85","192,852,303.37","71,170,561.19","110,271,904.32","209,953,800.88","282,140,738.56","55,863,337.72","114,908,032.95","195,626,171.74","265,753,640.67","38,720,023.38","132,498,746.87","184,529,421.93","187,843,296.49","55,328,062.65","164,326,100.45"
收回投资收到的现金,,,,,,,,,,,,"160,281,600.00","225,325,420.88","100,000,000.00","665,618,588.30","866,832,274.40","4,318,055.64",,"16,793,651.05"
支付其他与筹资活动有关的现金,"50,012,270.00","122,113,995.55","43,336,750.00","6,379,672.00","699,386,686.32","315,119,251.11","849,772,471.73","1,535,402,642.21","1,801,798,872.33","491,835,148.93","1,026,589,134.94","1,818,031,572.71","1,572,491,194.22","296,927,774.97","602,084,034.17","1,226,400,456.73","1,475,689,214.38","282,617,293.66","921,714,491.01"
取得投资收益收到的现金,,,"183,516.00",,"25,824,787.79",,"1,655,000.00","4,304,960.00","9,608,084.50",,,,,"652,054.79","4,939,958.91","6,898,589.06","34,993,709.36","36,593.94","372,449.89"
筹资活动现金流出小计,"2,422,431,441.84","2,237,020,249.90","3,101,268,252.64","2,129,714,051.01","6,011,727,654.50","1,993,872,583.21","4,366,228,048.61","6,371,623,105.66","8,325,363,773.13","2,495,243,121.60","4,983,134,270.24","7,991,985,263.37","10,849,358,530.15","1,756,302,979.47","3,556,378,417.37","5,793,283,663.62","8,735,627,286.34","2,444,968,857.74","6,642,782,147.39"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,514,204.04","1,035,834.90","401,354.68","649,442.44","461,673.65","10,918.80","97,500.00","174,522.27","850,869.39","170,393.05","4,506,727.64","4,576,080.64","5,308,460.10","49,584.00","321,342.60","9,222,770.75","1,903,443.79","669,213.00","3,994,849.32"
筹资活动产生的现金流量净额,"332,398,582.94","125,382,782.06","1,322,171,645.16","1,143,782,841.09","1,140,443,847.88","587,238,215.94","1,004,080,197.27","1,367,164,858.82","1,580,905,192.04","-148,158,748.41","-154,691,879.88","-305,708,976.20","235,565,924.16","265,014,061.02","917,829,420.07","1,238,770,064.54","2,941,214,040.34","1,470,260,914.24","974,216,923.97"
处置子公司及其他营业单位收到的现金净额,"100,193,692.32",,,,"451,865,750.30",,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-18,290,708.85","-6,688,703.15","-30,863,841.40","6,427,402.78","2,630,130.84","-2,292,876.14","-381,866.03","3,188,247.32","29,309,011.84","-3,515,863.66","1,225,221.77","908,826.74","-64,346,697.29","9,367,574.33","5,818,879.76","-4,049,416.90","-15,902,625.79","-39,921,007.71","16,580,103.80"
收到其他与投资活动有关的现金,"4,517,915.06","13,732,905.60","1,730,767.34","1,871,716.71","123,044,101.60","1,915,698.38","1,915,698.38","1,915,698.38","24,378,186.16","29,206,062.97","44,269,226.37","63,959,287.40","34,435,952.78","48,920,806.05","55,759,008.62","59,271,485.25","53,240,793.66","54,890,351.72","70,279,906.84"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"106,225,811.42","14,768,740.50","2,315,638.02","2,521,159.15","601,196,313.34","1,926,617.18","3,668,198.38","6,395,180.65","34,837,140.05","29,376,456.02","48,775,954.01","228,816,968.04","265,069,833.76","149,622,444.84","726,638,898.43","942,225,119.46","94,456,002.45","55,596,158.66","91,440,857.10"
五、现金及现金等价物净增加额,"137,010,243.60","-163,028,735.24","-183,890,572.45","266,041,486.75","-28,410,246.53","146,784,648.19","348,804,362.64","258,259,423.70","294,974,917.20","-324,062,731.34","-142,728,139.29","-123,721,718.62","886,343,077.80","-429,369,747.10","-353,992,523.96","-692,249,461.61","-58,746,435.81","943,308,286.56","507,375,823.31"
购建固定资产、无形资产和其他长期资产支付的现金,"434,582,731.69","663,042,512.82","876,187,173.89","591,820,725.79","948,315,868.43","125,268,756.31","239,258,039.84","443,835,968.07","870,930,499.16","66,807,968.62","115,284,043.96","167,884,668.60","323,493,091.76","126,473,785.92","301,943,202.61","460,579,438.08","639,581,362.75","207,581,035.89","377,056,447.50"
期初现金及现金等价物余额,"599,705,178.91","736,715,422.51","573,686,687.27","389,796,114.82","389,796,114.82","361,385,868.29","361,385,868.29","361,385,868.29","361,385,868.29","656,360,785.49","656,360,785.49","656,360,785.49","656,360,785.49","1,542,703,863.29","1,542,703,863.29","1,542,703,863.29","1,542,703,863.29","1,483,957,427.48","1,483,957,427.48"
投资支付的现金,"2,107,567.31","17,505,502.75",,"4,912,595.37",,,,,"9,444,225.05",,,,"178,288,083.49","540,000,000.00","956,488,700.11","1,152,039,339.72","376,819,353.53","148,245,759.73","247,201,641.48"
期末现金及现金等价物余额,"736,715,422.51","573,686,687.27","389,796,114.82","655,837,601.57","361,385,868.29","508,170,516.48","710,190,230.93","619,645,291.99","656,360,785.49","332,298,054.15","513,632,646.20","532,639,066.87","1,542,703,863.29","1,113,334,116.19","1,188,711,339.33","850,454,401.68","1,483,957,427.48","2,427,265,714.04","1,991,333,250.79"
