科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
经营活动产生的现金流量净额,"10,307,162.66","65,924,976.73","22,165,089.23","44,769,137.13","55,546,054.60","65,130,483.07","21,235,342.40","-52,924,622.81","12,516,786.08","60,050,749.48","14,221,984.32","-2,134,111.21","-10,134,235.46","-13,143,450.15","37,843,709.94","5,072,784.26","8,745,170.20","19,832,379.63","93,988,504.81","75,432,851.66","81,159,522.06","83,337,925.32","14,061,411.19","-40,542,092.52","-31,149,304.54","9,464,785.76"
分配股利、利润或偿还利息支付的现金,"3,409,836.93","4,931,811.78","6,811,137.67","5,704,611.00","5,738,833.22","5,880,388.78","23,333.33","19,931,800.00","20,056,400.00","20,056,400.00",,"14,140,000.00","14,140,000.00","14,140,000.00",,"14,140,000.00","14,140,000.00","14,140,000.00",,,,,,,,
收回投资收到的现金,,,,,,,,,"331,820,356.51","436,669,063.83","410,804,260.38","656,730,811.63","933,663,679.45","1,095,997,773.34","158,950,938.01","359,549,885.20","398,873,793.84","446,109,441.81","70,920,643.05","278,382,865.18","581,802,551.04","765,819,096.49","347,684,516.23","697,054,010.39","1,049,610,612.51","1,253,432,112.65"
支付其他与筹资活动有关的现金,,,,,"41,500,000.00","41,500,000.00",,,,,,,,,,,,,,,,,,,,"154,328,000.00"
取得投资收益收到的现金,,,,,,,,,,,,,,"96,322.23",,,,,,,,,,,,
筹资活动现金流出小计,"27,129,836.93","80,041,811.78","36,091,137.67","35,604,611.00","77,138,833.22","77,280,388.78","10,023,333.33","58,931,800.00","68,056,400.00","68,056,400.00",,"14,140,000.00","14,140,000.00","14,140,000.00",,"14,140,000.00","14,140,000.00","14,140,000.00",,,,,,,"103,828,000.00","154,328,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"232,046.72","3,082,933.19","579,327.42","964,912.74","1,684,859.31","399,949.62","565,549.32","868,249.72","1,869,062.13","99,957.29","3,697,453.77","3,381,003.47","3,407,540.62","683,760.68","688,042.86","712,026.33","745,479.13","3,262.96","-11,015.39","5,941.25","123,318.28","3,324.02","95,480.02","110,293.85","234,657.35"
筹资活动产生的现金流量净额,"7,980,163.07","-20,761,811.78","3,808,862.33","-35,604,611.00","446,161,166.78","446,019,611.22","-10,023,333.33","-20,931,800.00","-30,056,400.00","-30,056,400.00",,"-14,140,000.00","-14,140,000.00","-14,140,000.00",,"-14,140,000.00","-14,140,000.00","-12,640,000.00",,,"154,328,000.00","154,328,000.00",,,"-103,828,000.00","-154,328,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-6,160.69","-80,234.54","2,886.44",839.66,821.09,-508.63,"-3,305.61","-3,152.18","-18,765.04","-3,423.61","4,867.04","-100,954.59","-137,967.58",-513.51,"3,613.04","-82,834.30","-237,490.55","-1,680.75","-2,091.04","6,709.15",-235.87,"30,335.52","10,270.75","30,186.01","49,695.48","47,685.51"
收到其他与投资活动有关的现金,,,"1,100,000.00","300,000.00","300,000.00","300,000.00",,,,"300,000.00",,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"232,046.72","4,182,933.19","879,327.42","1,264,912.74","1,984,859.31","399,949.62","565,549.32","332,688,606.23","438,838,125.96","410,904,217.67","660,428,265.40","937,044,682.92","1,099,501,636.19","159,634,698.69","360,237,928.06","399,585,820.17","446,854,920.94","70,923,906.01","278,371,849.79","581,808,492.29","765,942,414.77","347,687,840.25","697,149,490.41","1,049,720,906.36","1,253,666,770.00"
五、现金及现金等价物净增加额,"-2,998,137.62","16,945,041.96","-2,277,858.72","-19,361.00","475,717,575.60","467,558,871.65","-1,304,745.88","-96,183,822.03","-421,489,682.18","-202,741,001.58","46,173,696.23","-214,356,103.79","-224,817,923.98","-212,361,528.50","27,440,821.61","-4,576,925.24","-12,678,077.98","14,402,166.56","17,211,115.46","-60,222,986.61","-60,002,655.93","-72,170,638.11","-870,360.21","-29,062,403.76","18,991,643.31","13,600,295.85"
购建固定资产、无形资产和其他长期资产支付的现金,"21,279,302.66","28,369,935.17","32,437,629.91","10,064,054.21","27,255,379.61","45,575,573.32","12,913,398.96","22,889,796.36","87,503,303.45","114,570,053.41","6,957,372.80","41,466,201.12","70,225,296.92","89,024,094.09","11,741,200.06","23,544,073.85","40,113,582.47","49,125,457.93","11,999,204.32","9,834,397.21","23,898,434.41","29,319,313.72","4,369,882.40","8,099,987.66","12,201,653.99","15,850,945.42"
期初现金及现金等价物余额,"33,327,364.41","30,329,226.79","47,274,268.75","44,996,410.03","44,996,410.03","44,996,410.03","512,555,281.68","512,555,281.68","512,555,281.68","512,555,281.68","309,814,280.10","309,814,280.10","309,814,280.10","309,814,280.10","97,452,751.60","97,452,751.60","97,452,751.60","97,452,751.60","111,854,918.16","111,854,918.16","111,854,918.16","111,854,918.16","39,684,280.05","39,684,280.05","39,684,280.05","39,684,280.05"
投资支付的现金,,,,,,,,,"649,116,606.00","557,000,000.00","372,000,000.00","753,000,000.00","1,003,000,000.00","1,131,330,000.00","158,300,000.00","332,120,729.41","366,517,995.33","390,517,995.33","135,700,000.00","404,200,000.00","853,400,000.00","1,046,490,000.00","358,260,000.00","677,600,000.00","883,600,000.00","1,079,400,000.00"
期末现金及现金等价物余额,"30,329,226.79","47,274,268.75","44,996,410.03","44,977,049.03","520,713,985.63","512,555,281.68","511,250,535.80","416,371,459.65","91,065,599.50","309,814,280.10","355,987,976.33","95,458,176.31","84,996,356.12","97,452,751.60","124,893,573.21","92,875,826.36","84,774,673.62","111,854,918.16","129,066,033.62","51,631,931.55","51,852,262.23","39,684,280.05","38,813,919.84","10,621,876.29","58,675,923.36","53,284,575.90"
