科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付的各项税费,"23,277,154.77","5,847,631.31","13,422,352.11","18,676,646.02","3,472,667.18","6,264,729.17","10,702,663.92","13,066,680.98","5,749,497.46","10,451,284.45","16,463,963.16","20,211,292.95","5,278,303.61","12,303,176.57","19,159,242.11","20,745,863.58","11,795,868.63","18,430,777.36","26,814,468.78","36,879,324.97","10,942,170.33","20,721,661.81","33,849,988.92","40,408,612.66","12,050,457.39","26,917,205.84","45,912,729.42","62,023,950.98","14,845,713.82","29,372,789.92","53,525,152.70","71,587,444.36","26,833,561.74","50,838,849.21","74,423,844.27","97,003,080.77","29,360,792.76","44,328,857.12","79,694,992.26","87,016,981.41","28,866,491.79","38,744,751.83"
收到其他与筹资活动有关的现金,,,,"50,000,000.00",,,,,,,,,,,,,,,,"3,472,130.00",,,"360,838.20",,,"1,547,754.90","2,346,156.34",,,,"2,332,623.17",,"707,298.57","2,409,538.69","3,169,334.37",,,,,,,
支付其他与经营活动有关的现金,"31,714,890.52","5,998,856.80","10,877,625.52","13,809,339.15","1,747,448.00","5,932,943.98","13,638,839.71","14,548,732.39","3,170,932.73","9,509,603.39","11,070,096.80","10,736,416.31","6,492,642.77","14,433,163.12","12,936,526.49","28,158,691.89","9,924,483.80","16,795,154.15","18,605,377.11","45,574,838.35","5,859,953.46","14,269,575.83","25,768,012.32","33,510,378.78","8,284,020.89","16,213,915.62","29,877,352.42","42,934,228.07","16,516,522.77","6,667,357.53","34,412,996.11","85,515,827.42","10,093,290.71","16,950,849.90","40,754,647.09","102,774,264.86","26,365,729.82","53,527,192.87","79,394,625.59","214,755,470.09","17,531,619.47","161,722,818.14"
筹资活动现金流入小计,"55,000,000.00","5,000,000.00","292,843,000.00","285,161,500.00",,"4,088,447.41","4,080,000.00","4,080,000.00",,,,"3,000,815.11","52,505,600.00","52,505,600.00","56,805,600.00","366,790,600.00",,"3,000,000.00","3,600,000.00","10,072,130.00","5,811,200.00","5,811,200.00","6,172,038.20","5,811,200.00",,"98,581,051.70","121,059,453.14","257,033,296.80","50,000,000.00","140,000,000.00","1,442,795,116.45","1,437,371,223.65","707,298.57","2,409,538.69","105,569,334.37","200,960,000.00","50,000,000.00","80,000,000.00","150,000,000.00","1,418,352,075.99",,"42,942,057.06"
经营活动现金流出小计,"139,185,847.16","64,768,908.29","100,922,351.28","156,955,288.40","31,869,986.21","61,858,461.95","92,309,068.31","133,028,061.16","46,025,858.01","97,582,832.44","159,747,769.60","256,903,761.57","84,777,986.06","164,026,326.95","267,697,166.42","328,534,737.92","116,636,268.64","210,694,465.83","312,083,185.77","462,799,751.57","119,004,305.74","224,787,589.92","366,895,685.14","531,328,086.07","160,877,177.35","358,657,568.50","645,873,876.49","832,398,480.96","212,757,415.72","411,905,538.46","624,640,629.74","1,025,885,042.79","312,736,172.27","575,731,918.13","927,516,890.73","1,412,637,091.88","424,138,420.69","822,164,084.64","1,259,709,361.28","1,793,238,317.60","483,896,822.48","1,065,319,370.86"
偿还债务支付的现金,"54,000,000.00","5,000,000.00","65,000,000.00","105,000,000.00",,,,,,,,,,,"3,000,000.00","3,000,000.00",,,,"3,000,000.00","2,000,000.00","3,600,000.00","3,600,000.00","3,600,000.00",,"31,111.11","370,222.21","20,000,000.00","20,000,000.00","20,000,000.00","400,355,347.23","400,000,000.00",,,"100,000,000.00","100,000,000.00",,,"109,000,000.00","205,000,000.00","5,000,000.00","47,942,057.06"
经营活动产生的现金流量净额,"31,506,628.95","21,577,646.84","33,832,123.05","45,716,710.32","15,266,018.70","19,018,283.10","36,307,360.87","55,267,535.38","14,564,933.59","32,760,842.87","62,965,548.10","78,497,512.31","24,070,176.75","42,717,403.37","66,349,820.56","137,941,603.75","2,720,746.26","37,440,838.84","113,674,224.00","176,743,143.67","15,183,582.14","29,004,720.04","29,424,090.13","93,197,196.55","1,262,194.95","26,174,340.31","39,586,806.44","149,684,735.19","12,123,356.21","73,398,739.83","106,152,205.62","212,346,508.42","21,577,557.73","92,864,999.77","170,450,492.43","330,634,206.19","102,747,342.88","229,824,762.93","336,836,382.21","358,872,870.29","61,380,277.14","51,501,549.26"
分配股利、利润或偿还利息支付的现金,"3,965,828.72","1,982,025.00","3,005,543.75","3,287,931.25",,"20,010,000.00","20,010,000.00","20,010,000.00",,"43,355,000.00","43,355,000.00","43,370,290.55","41,701.50","85,454.52","104,384.76","104,384.76",,"62,427,523.75","62,471,171.62","62,523,197.85","42,653.35","50,138,712.40","50,134,201.59","51,080,268.91",,"51,470,010.78","51,470,010.78","53,674,615.78","2,655,555.55","63,838,628.91","65,786,990.02","66,142,104.05","2,000,000.00","45,661,208.30","45,709,541.63","45,709,541.63",,"66,319,520.74","69,072,971.58","69,937,730.11","320,000.00","66,217,094.69"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,000.00",,,,,,,,,"14,000,000.00",,,,,"21,674,154.27"
支付其他与筹资活动有关的现金,,,"2,032,172.39",,,,,,,,,,,,,,,,"672,000.00","3,172,130.00","336,000.00","1,308,000.00","1,308,000.00","336,000.00",,"30,936,200.00","33,515,721.85","34,378,513.20",,"20,334,000.00","25,286,623.17","20,334,000.00","707,298.57","1,312,361.64","5,629,771.32",,,,,"1,050,000.00",,"200,000.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"1,150.69","4,295.83",,"1,355,061.47","1,348,617.60","1,565,970.92","4,160,908.77",,"2,500,910.28","2,500,910.28","21,112,358.59","2,890,410.96","13,738,897.49","18,286,462.16","18,694,098.09","3,125,134.64","197,112,007.18"
筹资活动现金流出小计,"57,965,828.72","6,982,025.00","70,037,716.14","108,287,931.25",,"20,010,000.00","20,010,000.00","20,010,000.00",,"43,355,000.00","43,355,000.00","43,370,290.55","41,701.50","85,454.52","3,104,384.76","3,104,384.76",,"62,427,523.75","63,143,171.62","68,695,327.85","2,378,653.35","55,046,712.40","55,042,201.59","55,016,268.91",,"82,437,321.89","85,355,954.84","108,053,128.98","22,655,555.55","104,172,628.91","491,428,960.42","486,476,104.05","2,707,298.57","46,973,569.94","151,339,312.95","145,709,541.63",,"66,319,520.74","178,072,971.58","275,987,730.11","5,320,000.00","114,359,151.75"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"44,000.00","44,000.00","413,688.00",,"190,600.00","190,600.00","215,249.39",,,"277,000.00","278,304.99",,"58,000.00","58,000.00","76,990.38",,,,,,,"6,000.00","6,000.00",,"201,506.09","1,392,014.63","404,776.00",,,,"92,571.44","40,076.00","40,076.00","74,971.00","654,765.77","119,697.44","119,697.44","138,629.48","93,335.64",,"31,800.00"
筹资活动产生的现金流量净额,"-2,965,828.72","-1,982,025.00","222,805,283.86","176,873,568.75",,"-15,921,552.59","-15,930,000.00","-15,930,000.00",,"-43,355,000.00","-43,355,000.00","-40,369,475.44","52,463,898.50","52,420,145.48","53,701,215.24","363,686,215.24",,"-59,427,523.75","-59,543,171.62","-58,623,197.85","3,432,546.65","-49,235,512.40","-48,870,163.39","-49,205,068.91",,"16,143,729.81","35,703,498.30","148,980,167.82","27,344,444.45","35,827,371.09","951,366,156.03","950,895,119.60","-2,000,000.00","-44,564,031.25","-45,769,978.58","55,250,458.37","50,000,000.00","13,680,479.26","-28,072,971.58","1,142,364,345.88","-5,320,000.00","-71,417,094.69"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,"-1,156,521.56",,,"1,661.40",,,,,,,,,,,,,,,,,,,"386,050.00","549,146.54","1,438,453.36","-1,584,375.71","-3,793,319.79","-6,865,796.22","-9,354,361.67","-3,368,871.60","4,653,874.34"
收到其他与投资活动有关的现金,,,,,,,,"5,020,000.00","3,950,000.00","3,950,000.00","3,950,000.00","4,060,000.00","3,750,000.00","3,750,000.00","4,250,000.00","5,550,000.00","530,000.00","500,000.00","500,000.00","530,000.00","800,000.00","800,000.00","800,000.00","8,600,000.00","3,550,000.00","3,550,000.00","4,800,000.00","13,802,071.22","3,800,000.00","11,800,000.00","178,176,558.42","430,176,558.42","103,739,641.09","480,554,393.88","790,761,550.97","850,083,689.16","120,000,000.00","314,900,000.00","454,900,000.00","640,600,000.00","406,800,000.00","561,180,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"44,000.00","44,000.00","413,688.00",,"190,600.00","190,600.00","5,235,249.39","3,950,000.00","3,950,000.00","4,227,000.00","4,338,304.99","3,750,000.00","3,808,000.00","4,308,000.00","5,626,990.38","530,000.00","500,000.00","500,000.00","530,000.00","800,000.00","800,000.00","806,000.00","8,606,000.00","3,550,000.00","3,752,656.78","6,196,310.46","14,506,847.22","5,155,061.47","13,148,617.60","179,742,529.34","434,430,038.63","103,779,717.09","483,095,380.16","793,337,432.25","871,850,813.52","137,010,108.40","328,758,594.93","473,325,091.64","659,387,433.73","409,925,134.64","779,997,961.45"
五、现金及现金等价物净增加额,"-14,917,772.50","-1,928,256.74","231,738,313.92","212,080,231.88","8,859,734.38","-24,374,583.82","-13,880,652.70","11,793,618.96","2,071,616.75","-63,388,912.16","-81,582,167.27","-66,099,262.45","66,014,918.25","27,315,402.18","24,541,621.51","329,363,858.44","-12,938,608.47","-121,889,730.52","-164,161,023.66","-123,235,803.50","-6,096,348.89","-81,158,079.15","-147,843,481.41","-122,441,108.58","-40,996,033.42","-189,187,714.68","-210,110,136.78","-190,333,485.17","5,654,166.33","21,349,940.52","401,473,604.63","304,321,286.51","-75,788,017.41","-91,345,931.66","-78,739,529.18","55,561,804.43","20,689,908.30","160,319,751.14","252,714,401.82","656,564,595.52","69,091,273.85","89,756,051.12"
购建固定资产、无形资产和其他长期资产支付的现金,"43,458,572.73","21,567,878.58","24,943,092.99","10,923,735.19","6,406,284.32","27,661,914.33","34,448,613.57","32,779,165.81","16,443,316.84","56,744,755.03","94,192,554.78","97,269,987.94","14,269,157.00","71,630,146.67","97,981,475.69","176,053,350.93","16,189,354.73","100,403,045.61","218,792,076.04","241,835,749.32","25,512,477.68","61,727,286.79","129,203,408.15","175,039,236.22","31,428,228.37","142,124,904.31","196,463,214.71","287,140,194.73","35,968,695.80","73,024,788.00","97,709,650.94","271,793,821.72","62,002,203.07","151,591,641.18","269,430,132.66","452,330,256.21","213,944,607.27","318,112,206.19","420,569,744.23","642,988,404.87","143,525,266.33","219,999,504.64"
期初现金及现金等价物余额,"39,744,446.00","24,826,673.50","24,826,673.50","24,826,673.50","236,906,905.38","236,906,905.38","236,906,905.38","236,906,905.38","248,700,524.34","248,700,524.34","249,788,590.12","248,700,524.34","182,601,261.89","182,601,261.89","182,601,261.89","182,601,261.89","511,965,120.33","511,965,120.33","511,965,120.33","511,965,120.33","388,729,316.83","388,729,316.83","388,729,316.83","388,729,316.83","266,288,208.25","266,288,208.25","266,288,208.25","266,288,208.25","76,454,723.08","75,954,723.08","75,954,723.08","75,954,723.08","380,276,009.59","380,276,009.59","380,276,009.59","380,276,009.59","435,837,814.02","435,837,814.02","435,837,814.02","435,837,814.02","1,092,402,409.54","1,092,402,409.54"
投资支付的现金,,,,,,,,,,,"11,227,160.59",,,,"1,837,600.00","1,837,600.00",,,,"50,000.00",,,,,"14,380,000.00",,"2,000,000.00","119,231,503.40",,"20,000,000.00","20,000,000.00","38,500,000.00",,"2,500,000.00","2,500,000.00","59,402,963.72","50,038,560.00","50,038,560.00","52,538,560.00","132,467,287.84",,"83,200,000.00"
期末现金及现金等价物余额,"24,826,673.50","22,898,416.76","256,564,987.42","236,906,905.38","245,766,639.76","212,532,321.56","223,026,252.68","248,700,524.34","250,772,141.09","185,311,612.18","168,206,422.85","182,601,261.89","248,616,180.14","209,916,664.07","207,142,883.40","511,965,120.33","499,026,511.86","390,075,389.81","347,804,096.67","388,729,316.83","382,632,967.94","307,571,237.68","240,885,835.42","266,288,208.25","225,292,174.83","77,100,493.57","56,178,071.47","75,954,723.08","82,108,889.41","97,304,663.60","477,428,327.71","380,276,009.59","304,487,992.18","288,930,077.93","301,536,480.41","435,837,814.02","456,527,722.32","596,157,565.16","688,552,215.84","1,092,402,409.54","1,161,493,683.39","1,182,158,460.66"
