科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"45,861,181.54","75,259,101.70","101,661,188.94","62,907,653.81","98,048,386.70","131,025,955.85","38,651,000.05","63,260,775.53","93,456,140.06","122,194,834.54","34,526,561.58","60,278,270.32","88,579,502.74","113,847,200.45","32,994,148.50","57,557,009.90","83,067,215.87","112,174,410.88","28,250,916.28","54,606,739.57","112,650,128.39","201,970,538.81","29,586,480.83","155,000,148.97","224,943,330.21"
取得借款收到的现金,"1,866,643,961.78","3,345,694,509.37","3,449,165,974.42","1,292,563,681.30","2,342,791,928.04","3,044,593,632.88","701,624,936.22","1,354,746,535.84","2,020,261,140.87","2,834,575,433.16","593,553,495.63","1,042,241,726.55","1,687,072,002.25","2,220,474,199.88","539,339,975.57","958,993,030.85","1,565,337,849.51","1,935,627,822.60","429,303,023.02","1,285,931,387.98","2,110,924,657.20","2,706,784,313.60","226,976,590.43","563,114,331.27","1,004,033,675.67"
支付的各项税费,"32,573,866.65","94,068,276.87","139,201,955.24","116,134,373.74","137,302,726.84","216,621,951.04","49,321,586.66","94,051,194.82","170,389,695.04","240,310,458.25","38,146,600.38","61,201,306.35","74,489,766.47","113,916,090.74","21,352,878.44","37,160,255.51","63,337,094.19","84,623,044.83","6,298,679.10","13,495,319.94","30,548,079.09","51,821,429.24","38,297,377.66","56,804,903.28","86,285,688.54"
收到其他与筹资活动有关的现金,"68,764,698.05","56,611,205.65","112,800,000.00","40,197,500.00","59,695,238.00",,,,"67,310,902.00","56,228,000.00",,,,"9,952,262.00","66,000,000.00","66,000,000.00","75,711,944.00","75,711,944.00",,,"11,655,447.34","339,222,991.39",,,
支付其他与经营活动有关的现金,"26,675,470.16","42,400,644.69","51,255,428.22","84,435,093.82","215,638,727.06","59,691,420.26","10,544,431.61","18,500,023.15","32,836,103.62","44,279,033.35","8,989,455.43","17,941,881.64","41,052,132.16","38,516,460.38","8,030,855.02","89,458,501.60","28,210,254.17","35,132,192.97","7,315,613.70","15,719,909.80","82,114,337.53","64,504,735.35","40,358,883.83","27,186,654.26","28,910,766.36"
筹资活动现金流入小计,"1,935,408,659.83","3,430,118,742.70","3,561,965,974.42","2,611,592,521.02","3,681,318,505.76","4,347,168,632.88","701,624,936.22","1,354,746,535.84","2,087,572,042.87","2,890,803,433.16","594,519,178.96","1,042,241,726.55","1,687,072,002.25","2,230,476,034.33","605,365,117.85","1,024,993,030.85","1,641,049,793.51","2,011,339,766.60","429,303,023.02","1,285,931,387.98","2,122,580,104.54","3,046,007,304.99","226,976,590.43","563,114,331.27","1,004,033,675.67"
经营活动现金流出小计,"1,943,145,268.54","3,774,093,675.27","5,646,871,574.99","2,956,553,389.84","4,421,112,359.96","5,578,295,804.31","1,228,093,907.79","2,519,490,205.93","3,877,096,230.54","5,289,874,718.08","966,369,149.55","3,255,720,177.43","3,346,109,397.41","4,862,058,838.28","804,585,594.71","1,822,463,934.10","2,787,827,346.34","3,564,552,021.29","617,671,249.73","1,438,686,601.75","2,870,803,303.63","4,232,233,595.55","1,144,992,273.45","2,901,900,320.64","4,113,475,673.86"
偿还债务支付的现金,"1,551,227,648.56","2,879,777,372.21","3,208,776,737.39","1,384,650,768.82","2,458,936,647.98","3,242,031,526.11","607,011,712.05","1,219,386,793.45","1,819,582,087.42","2,770,604,536.18","611,599,191.34","1,206,839,548.07","1,884,589,964.54","2,218,807,441.81","533,981,080.09","977,383,744.64","1,512,327,378.00","2,005,729,440.88","531,468,970.46","1,265,463,352.30","1,702,796,214.22","2,169,978,539.37","413,659,859.71","710,244,959.20","1,097,785,698.07"
经营活动产生的现金流量净额,"-162,966,107.26","43,325,287.09","-179,225,151.71","-39,807,740.74","-96,348,330.98","135,355,737.43","-128,560,108.73","-122,572,778.77","-148,410,766.46","-85,406,991.28","208,972,365.91","320,667,777.92","288,251,369.70","209,581,657.22","220,379,766.59","290,725,992.94","194,480,557.85","294,686,759.00","122,170,637.43","78,769,246.92","47,563,096.62","48,962,953.80","56,818,674.85","128,568,505.47","30,054,771.71"
分配股利、利润或偿还利息支付的现金,"62,506,886.23","83,113,879.38","170,114,910.42","27,639,437.09","99,680,961.42","107,487,132.00","7,273,376.57","54,850,683.98","61,960,436.61","70,617,218.68","9,302,729.73","17,926,408.77","53,687,486.67","61,736,445.41","8,637,312.95","15,023,743.80","33,443,250.76","46,688,224.67","9,121,559.18","19,237,393.46","30,243,661.17","41,588,190.99","8,695,293.65","28,406,759.38","40,362,455.83"
收回投资收到的现金,,"2,480,282.47","52,992,737.54",,,"1,005,246.84",,"1,378,047.30","1,957,559.21","7,956,281.80",,,"629,891,714.43","789,648,230.26","520,011,202.00","566,652,724.87","1,020,155,482.47","1,723,047,578.17","434,482,225.87","814,173,856.42","1,180,011,942.61","1,489,720,590.97","420,255,116.70","658,983,265.43","903,043,653.88"
支付其他与筹资活动有关的现金,"75,197,664.38","4,850,000.00","58,080,232.00","314,595.00","42,770,984.79","226,636,637.46",,"9,835,458.06","9,835,458.06","11,292,531.32","100,244.10","330,139.57","421,130.98","77,341,567.84","63,514.89","202,137.34","9,984,982.29","12,183,394.04","6,852,102.60","6,925,383.15","7,574,254.55","341,641,444.60","103,291.50","103,045.50","101,974.50"
取得投资收益收到的现金,"3,947,027.95",,,,,,,,,,,"2,093,157.53","2,111,921.72","34,692,056.45","6,071,724.64","19,861,062.06","24,441,504.51","49,746,313.07","2,445,562.48","5,267,888.22","7,517,662.60","9,527,653.02","4,511,258.17","85,400,480.67","89,618,406.77"
筹资活动现金流出小计,"1,688,932,199.17","2,967,741,251.59","3,436,971,879.81","1,412,604,800.91","2,601,388,594.19","3,576,155,295.57","614,285,088.62","1,284,072,935.49","1,891,377,982.09","2,852,514,286.18","621,002,165.17","1,225,096,096.41","1,938,698,582.19","2,357,885,455.06","542,681,907.93","992,609,625.78","1,555,755,611.05","2,064,601,059.59","547,442,632.24","1,291,626,128.91","1,740,614,129.94","2,553,208,174.96","422,458,444.86","738,754,764.08","1,138,250,128.40"
处置固定资产、无形资产和其他长期资产收回的现金净额,"100,564.71","105,080.32","82,715.66","256,062.60","267,779.91","414,367.23","2,978,911.39","39,885.92","160,836.80","289,055.88","35,269.00","183,828.80","559,679.51","304,004.40","4,073.00","144,950.34","150,906.74","355,086.74","2,775.33","107,775.97","785,057.60","8,107,729.07","585,493.44","1,659,008.64","150,593.49"
筹资活动产生的现金流量净额,"246,476,460.66","462,377,491.11","124,994,094.61","1,198,987,720.11","1,079,929,911.57","771,013,337.31","87,339,847.60","70,673,600.35","196,194,060.78","38,289,146.98","-26,482,986.21","-182,854,369.86","-251,626,579.94","-127,409,420.73","62,683,209.92","32,383,405.07","85,294,182.46","-53,261,292.99","-118,139,609.22","-5,694,740.93","381,965,974.60","492,799,130.03","-195,481,854.43","-175,640,432.81","-134,216,452.73"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,"10,131.31",,,,,,,,,,,
四、汇率变动对现金的影响,"336,744.41","14,891,532.35","77,677,592.36","11,742,793.67","10,175,439.97","18,123,322.67","11,688,090.93","25,167,870.89","49,011,111.26","63,433,327.62","13,240,958.45","7,823,402.04","9,689,901.78","8,198,341.78","1,509,746.86","636,503.88","-1,137,455.50","-18,811,470.31","-11,009.97","-10,447,463.42","-4,567,251.66","-8,441,358.74","5,905,571.44","3,387,291.14","4,621,546.46"
收到其他与投资活动有关的现金,"189,019.42","1,196,035.74",,,,,,,,,,,,,,,,,,,,"40,000,000.00",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"4,236,612.08","3,781,398.53","53,075,453.20","256,062.60","267,779.91","1,419,614.07","2,978,911.39","1,417,933.22","2,118,396.01","8,245,337.68","35,269.00","2,276,986.33","632,563,315.66","824,654,422.42","526,086,999.64","586,658,737.27","1,044,747,893.72","1,773,148,977.98","436,930,563.68","819,549,520.61","1,188,314,662.81","1,547,355,973.06","425,351,868.31","746,042,754.74","992,812,654.14"
五、现金及现金等价物净增加额,"591,452.00","341,601,032.13","-64,240,603.81","1,142,400,770.12","950,644,217.37","685,793,637.78","-33,686,503.04","-38,769,137.38","74,639,819.24","-634,181,430.87","189,055,049.00","133,991,241.68","-7,110,778.65","58,367,895.59","206,271,997.88","368,495,448.43","106,438,010.60","501,095,489.84","-221,453,664.91","-490,512,565.28","-506,041,713.78","-395,097,117.96","-95,557,500.27","-79,581,395.55","-168,297,716.46"
购建固定资产、无形资产和其他长期资产支付的现金,"84,777,597.36","166,723,107.36","87,880,663.37","28,778,065.52","35,098,152.38","231,933,699.14","7,133,244.23","11,805,286.27","20,837,344.27","40,014,553.15","5,467,110.15","12,658,705.15","27,588,391.57","97,906,376.70","69,769,062.36","136,706,584.80","155,733,173.06","171,858,578.61","24,220,317.90","43,322,530.56","66,467,605.32","92,947,148.26","17,406,791.55","65,430,133.01","76,240,126.67"
期初现金及现金等价物余额,"163,226,969.83","163,818,421.83","505,419,453.96","540,484,350.15","540,496,659.61","540,484,350.15","1,226,277,987.93","1,226,277,987.93","1,102,608,990.84","1,226,277,987.93","592,096,557.06","592,096,557.07","592,096,557.07","582,144,295.07","640,512,190.66","640,512,190.66","640,512,190.66","640,512,190.66","1,141,607,680.51","1,141,607,680.50","1,178,942,784.00","1,141,607,680.50","746,510,562.54","746,510,562.54","746,510,562.54"
投资支付的现金,"2,714,660.53","16,051,569.59","52,881,928.90",,"8,282,430.72","8,184,674.56",,"1,650,476.80","3,435,638.08","618,727,698.72","1,243,448.00","1,263,849.60","658,400,394.28","758,750,728.40","534,618,662.77","405,202,605.93","1,061,213,994.87","1,322,808,905.23","635,303,928.93","946,465,017.43","1,320,091,190.20","1,706,749,700.28","370,669,851.83","716,509,381.08","985,330,109.37"
期末现金及现金等价物余额,"163,818,421.83","505,419,453.96","441,178,850.15","1,682,885,120.27","1,491,140,876.98","1,226,277,987.93","1,192,591,484.89","1,187,508,850.55","1,177,248,810.08","592,096,557.06","781,151,606.06","726,087,798.75","584,985,778.42","640,512,190.66","846,784,188.54","1,009,007,639.09","746,950,201.26","1,141,607,680.50","920,154,015.60","651,095,115.22","672,901,070.22","746,510,562.54","650,953,062.27","666,929,166.99","578,212,846.08"
