科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
无形资产,"29,328,702.31","29,283,987.17","29,040,008.98","28,738,088.27","27,610,353.36","27,450,274.11","27,284,140.73","27,144,807.73","60,695,682.84","60,332,249.49","65,064,094.71","64,777,277.72","65,352,670.34","65,048,899.80","64,626,789.24","64,328,406.58","63,944,116.11","65,502,950.45","65,107,995.27","64,646,898.48"
盈余公积,"5,587,729.30","11,932,966.56","18,054,125.48","18,054,125.48","26,674,896.96","26,674,896.96","26,674,896.96","26,674,896.96","37,258,182.65","37,258,182.65","37,258,182.65","37,258,182.65","49,401,046.74","49,401,046.74","49,401,046.74","49,401,046.74","62,268,364.29","62,268,364.29","62,268,364.29","62,268,364.29"
开发支出,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,
未分配利润,"50,289,563.73","98,396,699.07","139,987,129.34","156,630,844.36","203,917,546.37","209,354,815.93","228,718,119.15","256,378,149.03","278,923,787.09","287,528,497.39","302,146,029.49","328,871,562.52","361,766,467.54","373,400,628.61","378,735,538.79","404,886,425.46","434,100,554.48","451,399,894.52","455,167,454.78","481,390,124.83"
长期待摊费用,,,,,,,,,,,,,,,,,,,,
少数股东权益,,,,,,,,,,,,,,,"-39,207.88","-429,362.53","-1,209,814.24","-401,914.92","-200,770.11","-792,519.56"
递延所得税资产,"100,483.68","38,138.64","24,824.96","19,991.78","13,395.41","13,395.41","13,395.41","13,395.41","48,417.55","48,417.55","48,417.55","48,417.55","123,982.09","123,982.09","204,971.10","204,971.10","373,499.13","373,499.13","357,192.96","357,192.96"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,"179,000.00","54,000.00",,,"96,338,700.00","96,338,700.00","96,416,166.00","774,290.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"39,884,550.80","72,210,127.93","92,896,815.41","108,230,535.97","118,995,914.29","117,231,211.84","117,838,220.08","118,818,839.75","158,467,591.56","156,980,277.80","161,212,478.62","159,282,083.16","177,314,079.27","185,686,919.74","190,868,748.87","206,211,561.52","323,606,008.20","651,767,803.83","665,945,790.59","689,092,240.63"
所有者权益(或股东权益)合计,"106,224,482.03","160,676,854.63","208,388,443.82","225,032,158.84","280,939,632.33","446,625,701.89","465,989,005.11","493,649,034.99","526,777,958.74","535,382,669.04","550,000,201.14","576,725,734.17","621,763,503.28","633,397,664.35","638,693,366.65","992,087,879.98","1,033,388,874.84","1,051,496,114.20","1,055,464,819.27","1,081,095,739.87"
资产总计,"130,936,422.71","189,218,357.67","246,725,225.87","265,309,747.24","333,026,579.64","499,446,787.93","521,838,884.21","550,093,449.22","584,832,364.57","608,096,027.03","615,989,860.93","643,210,283.02","692,216,066.18","702,287,371.01","747,237,478.58","1,091,486,285.39","1,158,077,719.08","1,327,328,093.99","1,371,382,875.12","1,348,094,944.55"
负债和所有者(或股东权益)合计,"130,936,422.71","189,218,357.67","246,725,225.87","265,309,747.24","333,026,579.64","499,446,787.93","521,838,884.21","550,093,449.22","584,832,364.57","608,096,027.03","615,989,860.93","643,210,283.02","692,216,066.18","702,287,371.01","747,237,478.58","1,091,486,285.39","1,158,077,719.08","1,327,328,093.99","1,371,382,875.12","1,348,094,944.55"
