科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,"18,827,040.00","18,827,040.00","18,827,040.02","25,249,536.00","18,973,856.00","18,973,856.00","18,973,856.00","18,973,856.00","8,416,512.00","8,416,512.00","8,416,512.00","8,416,512.00",,,,"14,902,000.00","14,902,000.00","16,317,277.70"
长期股权投资,,,,,,,,,,,"1,200,000.00","1,200,000.00","1,200,000.00",,"902,200.00",,,,"296,898,880.45","286,057,120.16","274,698,547.02","523,160,131.73","498,920,699.20","478,407,574.72","462,254,847.85","469,816,379.12","479,491,086.81","210,397,901.90"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,"656,986.10","1,164,224.28","1,749,743.50","1,961,601.59","2,233,737.70","2,494,395.74","2,690,142.00","2,747,029.25","2,800,356.44","3,009,210.74","3,009,017.55","2,458,157.37","2,657,800.57","2,450,039.68","1,645,420.03","1,484,185.26","1,258,924.89","105,876.77","1,363,028.20","1,106,838.85","1,364,922.90","1,361,491.62","1,697,461.48","1,938,946.48","2,299,154.61","2,558,937.33","2,790,674.14","3,631,108.38"
固定资产,"5,387,679.11","6,915,611.88","11,039,072.53","11,671,692.13","11,296,737.78","14,471,437.99","14,680,405.19","14,015,579.95","18,270,086.36","22,105,570.06","62,982,862.43","68,156,558.23","93,487,167.80","95,093,440.50","98,768,463.44","97,256,777.75","200,961,821.73","217,136,158.30","223,439,410.24","226,536,639.51","236,385,857.78","236,428,339.47","235,268,062.33","231,979,026.25","235,318,694.93","233,399,491.22","231,594,190.19","278,526,043.77"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,652,422.39"
在建工程,,,"777,829.85","1,738,526.78","5,976,136.74","19,501,812.69","25,386,406.95","40,616,964.17","49,817,522.60","63,159,660.25","65,450,175.03","71,088,861.08","54,926,291.72","64,347,825.94","87,983,989.72","108,551,458.67","14,832,244.68","12,784,094.95","12,262,816.71","10,264,837.33","1,395,875.29","3,045,243.42","9,578,589.03","12,139,287.44","31,627,738.93","40,045,659.13","74,999,605.07","88,857,868.72"
其他非流动负债,"10,772,742.44","11,136,535.73","13,007,181.84","12,826,932.44","12,609,726.95","12,340,514.21","13,569,184.90","13,184,783.04","13,471,241.67","13,007,206.35","14,622,007.28","14,254,218.53","14,040,545.51","8,934,989.10","10,620,452.01",,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"11,429,728.54","12,300,760.01","14,756,925.34","14,788,534.03","14,843,464.65","14,834,909.95","16,259,326.90","15,931,812.29","16,271,598.11","16,016,417.09","36,458,064.83","35,539,415.90","35,525,386.10","36,634,564.78","31,239,728.04","30,100,208.81","29,602,267.76","28,242,138.21","19,767,664.09","19,486,239.70","19,253,491.51","19,192,197.04","10,235,345.63","10,126,307.40","9,958,231.34","24,792,031.01","24,213,723.53","50,752,624.10"
固定资产清理,,,,,,,,,,,,,,,"11,961.42","11,961.42","18,433.22","18,433.22",,"322,075.79","322,288.91","127,731.27","165,118.21","165,118.21","165,118.21","262,446.89","209,818.89","210,472.11"
负债合计,"29,767,695.20","55,089,031.50","61,669,839.93","57,493,216.55","70,955,145.89","80,098,779.31","101,096,815.03","160,203,114.02","85,849,842.63","105,825,975.02","102,707,431.44","181,598,232.11","115,449,103.90","103,098,818.13","100,507,464.84","106,072,040.85","132,292,897.74","122,986,669.32","93,892,283.68","113,851,179.26","118,175,270.99","141,869,056.11","195,680,002.13","179,661,798.91","216,444,958.66","223,267,928.15","273,182,225.41","360,940,365.00"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"5,000,000.00","66,000,000.00","66,000,000.00","88,000,000.00","88,000,000.00","88,000,000.00","88,000,000.00","88,000,000.00","132,000,000.00","132,000,000.00","132,976,000.00","132,976,000.00","199,464,000.00","200,060,000.00","200,060,000.00","200,480,676.00","260,859,676.00","261,055,760.00","261,039,654.00","338,569,949.00","338,355,432.00","338,355,432.00","338,355,432.00","338,355,432.00","405,036,839.00","407,316,839.00","407,316,839.00","471,095,612.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,,"13,012,123.27","13,012,123.27","571,848,123.27","571,848,123.27","571,848,123.27","571,848,123.27","571,848,123.27","527,848,123.27","527,848,123.27","553,504,943.27","557,116,018.07","494,239,092.87","508,251,500.67","525,259,661.82","543,456,370.17","499,006,165.36","507,656,921.77","497,051,239.33","412,126,024.70","414,720,775.81","417,345,692.20","398,651,236.24","398,651,236.24","323,459,655.75","339,348,317.40","341,703,761.15","1,294,139,864.95"
无形资产,"8,489,625.81","9,964,500.20","11,235,315.07","11,451,201.96","11,370,983.99","11,275,183.22","11,552,223.14","24,777,276.91","24,643,872.08","24,415,618.97","24,257,166.42","24,050,289.81","24,198,518.13","24,334,979.46","24,429,497.68","39,735,356.01","40,190,369.68","40,170,395.69","39,874,504.68","39,096,131.36","38,745,297.23","38,193,773.26","37,998,294.06","38,617,274.79","38,139,715.90","37,459,647.65","41,255,477.94","118,256,948.49"
盈余公积,"5,767,977.70","1,850,959.31","15,075,162.42","15,075,162.42","15,075,162.42","15,075,162.42","34,399,084.56","34,399,084.56","34,399,084.56","34,399,084.56","59,195,026.04","59,195,026.04","59,195,026.04","59,195,026.04","88,868,776.64","88,868,776.64","88,868,776.64","88,868,776.64","111,062,009.33","111,062,009.33","111,062,009.33","111,062,009.33","129,340,773.45","129,340,773.45","129,340,773.45","129,340,773.45","170,354,087.84","170,354,087.84"
开发支出,,,,,,,,,,,,,,"564,193.51","1,090,343.11","1,124,579.01",,,,,,,,,,,,
减:库存股,,,,,,,,,,,,"25,102,720.00","25,102,720.00","35,806,880.00","29,531,200.00","29,531,200.00","29,531,200.00","25,249,536.00","8,416,512.00","8,416,512.00","8,416,512.00","8,416,512.00",,,,"18,627,500.00","18,627,500.00","18,627,500.00"
商誉,,,,,,,,,,,,,,,,"12,729,603.98","12,729,603.98","12,729,603.98","12,729,603.98","12,729,603.98","12,729,603.98","12,729,603.98","12,729,603.98","12,729,603.98","12,729,603.98","12,729,603.98","12,729,603.98","479,157,973.83"
未分配利润,"30,725,114.25","10,488,769.47","85,425,920.37","118,386,441.97","101,440,916.53","134,615,034.46","150,928,145.97","124,811,732.04","154,859,655.26","205,536,755.81","225,438,480.99","190,109,025.04","239,938,173.78","305,634,678.51","326,615,938.87","359,657,017.93","329,655,583.60","379,609,835.10","376,082,635.95","326,261,662.18","334,742,497.65","401,379,932.38","379,298,435.39","421,799,417.15","349,426,238.30","468,513,354.18","475,614,351.22","558,903,710.70"
长期待摊费用,"564,060.00","463,617.00","565,521.00","631,292.37","535,528.60","439,764.87","344,001.12","314,904.07","221,153.32","171,952.57","66,666.70",,,,"209,919.93","190,836.33","171,752.73","231,324.78","274,415.61","750,132.89","820,063.42","852,054.33","795,504.73","1,040,019.01","915,954.76","1,003,764.08","4,241,318.66","4,718,781.47"
少数股东权益,,,,,,,,,,,,,,,,"3,708,600.46","3,541,301.63","3,350,640.01","3,301,199.41","3,071,455.43","2,934,152.41","2,746,104.77","2,598,667.21","622,908.32",-8.03,-8.03,-8.03,
递延所得税资产,"199,279.39","333,545.07","376,728.38","466,377.92","635,774.85","731,314.26","597,605.24","823,601.05","864,655.94","1,143,469.29","773,644.85","948,618.47","1,182,925.40","1,341,279.03","2,289,124.79","1,896,935.16","2,608,113.52","2,976,497.88","3,751,030.38","3,490,959.67","3,672,456.99","7,650,451.38","10,020,937.00","11,262,459.09","11,723,700.35","12,969,376.14","16,955,604.71","57,648,462.62"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,"4,299,417.68","4,299,417.68","10,096,384.45","9,320,716.70","1,018,993.00","3,537,775.52","8,784,921.95","9,541,223.89","986,400.60","2,549,903.00","2,404,505.87","3,304,956.30","1,448,095.40","285,558.60","210,230.00","98,880.00","22,823,282.51","32,568,958.38","25,244,111.84","30,030,038.56","20,753,844.11","19,627,524.72"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"14,640,644.31","17,677,274.15","23,994,466.83","25,959,091.16","29,815,161.96","46,419,513.03","56,860,059.32","84,847,743.83","103,913,674.75","120,316,987.84","155,749,508.43","168,982,103.11","183,779,825.00","196,422,942.33","217,871,900.69","266,747,411.33","276,616,845.41","292,051,465.10","593,378,757.45","582,233,059.29","571,680,220.62","824,986,208.84","829,500,091.05","820,109,321.87","819,319,486.75","838,916,406.77","883,430,550.36","1,263,601,977.63"
所有者权益(或股东权益)合计,"41,493,091.95","91,351,852.05","179,513,206.06","793,309,727.66","776,364,202.22","809,538,320.15","845,175,353.80","819,058,939.87","849,106,863.09","899,783,963.64","946,011,730.30","914,293,349.15","967,733,572.69","1,037,334,325.22","1,111,273,177.33","1,166,640,241.20","1,152,400,303.23","1,215,292,397.52","1,240,120,226.02","1,182,674,588.64","1,193,398,355.20","1,262,472,658.68","1,277,830,121.51","1,317,065,622.68","1,225,892,254.13","1,333,802,411.42","1,389,593,616.04","2,482,689,576.06"
资产总计,"71,260,787.15","146,440,883.55","241,183,045.99","850,802,944.21","847,319,348.11","889,637,099.46","946,272,168.83","979,262,053.89","934,956,705.72","1,005,609,938.66","1,048,719,161.74","1,095,891,581.26","1,083,182,676.59","1,140,433,143.35","1,211,780,642.17","1,272,712,282.05","1,284,693,200.97","1,338,279,066.84","1,334,012,509.70","1,296,525,767.90","1,311,573,626.19","1,404,341,714.79","1,473,510,123.64","1,496,727,421.59","1,442,337,212.79","1,557,070,339.57","1,662,775,841.45","2,843,629,941.06"
负债和所有者(或股东权益)合计,"71,260,787.15","146,440,883.55","241,183,045.99","850,802,944.21","847,319,348.11","889,637,099.46","946,272,168.83","979,262,053.89","934,956,705.72","1,005,609,938.66","1,048,719,161.74","1,095,891,581.26","1,083,182,676.59","1,140,433,143.35","1,211,780,642.17","1,272,712,282.05","1,284,693,200.97","1,338,279,066.84","1,334,012,509.70","1,296,525,767.90","1,311,573,626.19","1,404,341,714.79","1,473,510,123.64","1,496,727,421.59","1,442,337,212.79","1,557,070,339.57","1,662,775,841.45","2,843,629,941.06"
