科目,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"8,682,778.99","19,306,258.58","38,089,062.84","49,998,155.45","14,511,867.63","33,556,625.00","51,466,590.98","85,944,828.75","20,353,696.30","45,820,391.95","66,106,349.37","95,061,601.55","21,414,290.72","46,407,286.83","79,665,339.39","97,613,508.47","15,810,566.35","45,294,606.78","66,586,963.14","95,333,589.64","22,477,807.73","51,324,086.18","65,726,074.94","103,523,582.21","22,472,893.53","48,801,962.19","72,628,208.40","104,004,299.25","28,290,410.90","53,673,528.86","82,585,099.73","113,181,519.05","25,989,560.33","53,757,008.38","90,469,339.16","113,042,249.81","20,414,623.09"
取得借款收到的现金,,,"100,000,000.00","100,000,000.00","30,000,000.00","50,000,000.00","60,000,000.00","124,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","90,000,000.00",,,,"24,900,000.00",,,"363,038,067.71","679,818,067.71",,"628,247,828.88","1,028,578,178.63","1,195,545,326.31","157,794,250.82","238,952,110.61","900,029,788.11","900,029,788.11","158,238,410.60","162,941,350.60","162,941,350.60","162,941,350.60","18,777,473.00","18,777,473.00","18,777,473.00","18,777,473.00",
支付的各项税费,"27,738,889.89","48,792,958.15","51,264,437.97","100,987,271.73","6,606,365.74","35,158,943.21","51,891,048.47","64,171,056.58","26,859,342.65","44,517,298.66","71,771,944.99","99,162,817.92","24,510,819.01","48,918,229.71","58,589,483.63","69,345,049.50","53,183,453.37","101,162,146.69","119,848,263.74","134,792,053.06","4,676,989.29","56,308,081.82","69,927,995.85","95,224,520.76","11,795,851.04","29,265,671.04","37,505,620.85","93,057,686.41","10,402,258.19","48,863,447.72","85,325,399.10","129,275,419.76","6,874,726.25","60,071,802.86","80,385,387.62","117,448,392.22","24,314,487.53"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"19,274,067.19","29,437,942.50","43,823,503.24","68,822,878.72","16,542,761.00","22,222,011.09","38,029,001.12","40,873,963.98","29,455,497.05","17,246,975.82","26,836,239.55","42,867,387.08","76,616,877.37","115,624,838.29","24,520,832.59","66,051,219.86","2,616,081.02","75,071,898.24","74,570,617.49","72,912,404.13","3,146,606.19","32,117,122.40","86,037,513.81","25,638,721.10","25,234,698.87","19,644,464.56","37,354,129.83","101,601,562.23","8,419,535.73","33,810,054.08","46,631,551.38","28,574,924.10","16,555,213.03","48,107,660.70","77,055,846.30","30,929,810.11","24,690,402.29"
筹资活动现金流入小计,,,"100,000,000.00","100,000,000.00","30,000,000.00","50,300,000.00","60,300,000.00","124,300,000.00","30,000,000.00","819,200,000.00","819,200,000.00","879,200,000.00",,,,"24,900,000.00",,,"363,038,067.71","679,818,067.71",,"628,247,828.88","1,028,578,178.63","1,195,545,326.31","157,794,250.82","238,952,110.61","900,029,788.11","900,029,788.11","158,238,410.60","162,941,350.60","162,941,350.60","162,941,350.60","18,777,473.00","465,135,274.76","465,135,274.76","465,502,469.88",
经营活动现金流出小计,"81,119,857.29","125,282,477.60","211,581,556.62","464,885,701.46","98,983,708.35","290,099,143.71","507,658,197.60","559,390,886.39","199,119,759.67","145,079,221.40","244,647,945.45","348,011,724.11","158,753,134.44","243,854,992.79","268,578,019.48","361,595,459.58","76,655,483.10","240,137,817.91","313,011,951.61","352,079,683.47","33,861,020.94","170,235,010.33","246,791,071.82","282,600,898.71","61,952,443.84","108,048,597.67","169,973,945.56","341,995,732.32","52,116,124.00","145,736,885.34","234,343,733.94","364,883,441.12","66,654,225.86","187,219,769.62","290,141,768.75","322,193,509.34","89,781,725.36"
偿还债务支付的现金,,,,,,,"100,000,000.00","160,000,000.00","30,000,000.00","50,000,000.00","80,000,000.00","144,000,000.00",,"10,000,000.00","30,000,000.00","60,000,000.00","10,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,"200,000,000.00","201,230,744.62",,"898,769,255.38","898,769,255.38","899,483,372.97",,"195,000,000.00","225,000,000.00","295,000,000.00",
经营活动产生的现金流量净额,"35,546,240.99","172,396,269.26","220,110,549.69","150,945,053.72","86,067,545.61","118,765,115.92","162,277,515.88","288,778,962.61","15,468,018.12","236,462,766.69","383,935,516.50","483,138,573.52","51,809,408.30","624,350,801.27","347,547,208.03","453,069,057.09","94,536,503.36","93,491,503.18","120,011,013.11","263,127,591.62","113,741,774.29","86,460,558.29","122,846,364.24","304,911,665.65","77,278,702.40","190,977,958.61","314,491,119.66","453,977,979.63","126,585,129.25","327,304,015.09","524,915,201.59","684,254,737.10","90,222,876.33","198,527,140.09","394,861,528.27","579,489,610.55","86,801,770.36"
分配股利、利润或偿还利息支付的现金,,,,"1,252,073.78","957,555.56","12,203,309.66","28,875,205.44","34,109,920.63",,"63,554,772.84","63,648,772.84","65,800,234.51","621,379.94","45,489,296.67","123,006,428.22","124,459,999.81","414,731.42","83,810,869.14","123,246,006.68","133,899,484.96","11,472,521.57","145,481,588.06","247,553,352.51","193,911,848.52","26,565,938.36","141,430,927.18","148,352,245.67","201,596,702.39","32,842,719.20","140,787,255.69","206,754,464.35","239,493,860.98","32,444,208.75","159,034,443.06","189,864,304.54","220,859,058.79","28,922,845.08"
收回投资收到的现金,,,"100,000.00","100,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,500,000.00",,,,"30,000,000.00",,"182,808.44","182,808.44","30,367,195.12",
取得投资收益收到的现金,"552,500.00","585,910.00","585,910.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,043,750.00","933,750.00",,,"308,456.94"
筹资活动现金流出小计,,,,"1,252,073.78","957,555.56","12,203,309.66","128,875,205.44","194,109,920.63","30,000,000.00","113,554,772.84","143,648,772.84","209,800,234.51","621,379.94","55,489,296.67","153,006,428.22","184,459,999.81","10,414,731.42","103,810,869.14","143,246,006.68","153,899,484.96","11,472,521.57","145,481,588.06","247,553,352.51","193,911,848.52","26,565,938.36","141,430,927.18","348,352,245.67","424,327,447.01","32,842,719.20","1,039,556,511.07","1,105,523,719.73","1,168,977,233.95","32,444,208.75","354,217,251.50","415,047,112.98","546,226,253.91","28,922,845.08"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,320,124.58","1,320,124.58","1,340,224.58","590,455.25",,"123,070.93","125,757.00","1,188,744.93","396,000.00","396,000.00","396,000.00","451,000.00",,,,"449,382.78",,,,,,"36,200.00",,"3,049,864.53",,"4,470,000.00","8,730,000.00","5,802,989.92",,"1,380,000.00","1,380,000.00","1,426,095.47",,"23,581.68","2,144,257.72","3,136,465.00",
筹资活动产生的现金流量净额,,,"100,000,000.00","98,747,926.22","29,042,444.44","38,096,690.34","-68,575,205.44","-69,809,920.63",,"705,645,227.16","675,551,227.16","669,399,765.49","-621,379.94","-55,489,296.67","-153,006,428.22","-159,559,999.81","-10,414,731.42","-103,810,869.14","219,792,061.03","525,918,582.75","-11,472,521.57","482,766,240.82","781,024,826.12","1,001,633,477.79","131,228,312.46","97,521,183.43","551,677,542.44","475,702,341.10","125,395,691.40","-876,615,160.47","-942,582,369.13","-1,006,035,883.35","-13,666,735.75","110,918,023.26","50,088,161.78","-80,723,784.03","-28,922,845.08"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,820.54",,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,"628,875,583.70","253,575,583.70","3,341,424.88","30,648,302.43","188,464,478.31","78,287,895.20",,"46,321,461.38","16,239,095.50","26,022,714.40",,"2,602,421.00","3,202,421.00","136,150.00","38,740,666.66","441,714,987.15","441,714,987.15","440,069,827.78","200,237,696.00","200,347,696.00","201,281,446.00","936,616,616.57","495,952,759.73"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,872,624.58","1,906,034.58","2,026,134.58","690,455.25",,"123,070.93","125,757.00","1,188,744.93","396,000.00","396,000.00","396,000.00","451,000.00",,,"628,875,583.70","254,024,966.48","3,341,424.88","30,648,302.43","188,464,478.31","78,287,895.20",,"46,357,661.38","16,239,095.50","29,072,578.93",,"7,072,421.00","11,932,421.00","5,939,139.92","38,740,666.66","443,094,987.15","443,094,987.15","441,494,102.71","201,281,446.00","201,305,027.68","203,425,703.72","939,753,081.57","496,261,216.67"
五、现金及现金等价物净增加额,"35,369,606.57","169,117,197.74","99,109,168.29","98,094,631.44","106,622,083.06","102,256,714.54","55,076,025.87","74,168,091.87","12,437,654.12","799,567,512.31","756,208,696.14","753,918,550.45","50,321,698.36","460,925,141.27","55,642,860.52","-102,677,546.72","-16,947,185.36","-467,188,236.81","-913,284,339.65","-920,824,109.47","-18,665,099.33","151,619,360.94","125,575,370.35","267,318,854.83","47,307,140.12","49,335,345.86","512,895,509.77","89,908,614.76","110,677,520.21","-318,894,587.36","-210,301,286.38","-294,385,441.71","251,352,805.61","483,099,682.77","580,181,104.07","78,823,869.20","498,939,064.30"
购建固定资产、无形资产和其他长期资产支付的现金,"2,049,259.00","5,185,106.10","223,027,515.98","152,288,803.75","5,487,906.99","54,728,162.65","38,752,041.57","145,989,695.04","3,426,364.00","142,936,481.54","303,674,047.52","384,820,788.56","866,330.00","107,936,363.33","392,573,502.99","644,211,570.48","104,410,382.18","484,217,173.28","1,328,288,276.80","1,696,396,139.54","120,934,352.05","362,127,764.61","740,729,494.51","992,594,840.39","161,199,874.74","238,342,733.53","350,895,097.78","400,885,940.44","21,911,968.20","54,190,018.53","76,159,020.09","55,734,289.27","21,730,556.82","22,896,284.11","61,267,972.25","77,851,940.87","5,201,077.65"
期初现金及现金等价物余额,"317,311,202.35","317,311,202.35","317,311,202.35","317,311,202.35","415,405,833.79","415,405,833.79","415,405,833.79","415,405,833.79","489,573,925.66","489,573,925.66","489,573,925.66","489,573,925.66","1,243,492,476.11","1,243,492,476.11","1,243,492,476.11","1,243,492,476.11","1,140,814,929.39","1,140,814,929.39","1,140,814,929.39","1,140,814,929.39","219,990,819.92","219,990,819.92","219,990,819.92","219,990,819.92","487,309,674.75","487,309,674.75","487,309,674.75","487,309,674.75","577,218,289.51","577,218,289.51","577,218,289.51","577,218,289.51","282,832,847.80","282,832,847.80","282,832,847.80","282,832,847.80","361,656,717.00"
投资支付的现金,,,,,"3,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"352,680,808.92","486,428,400.09","416,420,370.64","415,405,833.79","522,027,916.85","517,662,548.33","470,481,859.66","489,573,925.66","502,011,579.78","1,289,141,437.97","1,245,782,621.80","1,243,492,476.11","1,293,814,174.47","1,704,417,617.38","1,299,135,336.63","1,140,814,929.39","1,123,867,744.03","673,626,692.58","227,530,589.74","219,990,819.92","201,325,720.59","371,610,180.86","345,566,190.27","487,309,674.75","534,616,814.87","536,645,020.61","1,000,205,184.52","577,218,289.51","687,895,809.72","258,323,702.15","366,917,003.13","282,832,847.80","534,185,653.41","765,932,530.57","863,013,951.87","361,656,717.00","860,595,781.30"
